,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,5706306810.54,4535907476.26,3258004221.84,2723831288.58,7525203122.07,7970717344.15,4367694533.77,2419983028.68,5993607578.26,5675324312.98,3773617687.17,1550069859.90,4495821937.82,4032591143.97,2740233952.66,1174143838.13,3272945077.28,3111641959.05,2315754134.61,1186934795.83,3414730454.76,2276902221.78,1444535447.37,775520816.41,3503511784.88,1980844042.95,1208968402.64,608314988.19,2487947644.17,1912017193.82,1124535819.50,445072968.62,1581940676.52,1114551546.68,697216506.45,391855755.80,1398850014.34,759282081.64,456740359.80,240884333.15,843043194.59,441459358.39,281849511.38,130705861.72,1135922528.81,892451276.12,753964290.72,320598769.20,1980718925.62,1152745669.40,713849723.78,355600153.21,1687260671.51,995187969.36,627860374.49,279673269.73,1365721003.55,1009124496.27,743021727.73,383039321.04,1199942292.23,937884740.24,655759996.15,271991540.39,872629923.86,463007300.97,301564845.20,167048770.80,708932442.22,251333114.41,687534138.67,419451622.07,740190801.42,442177563.68,653566427.56,258573655.64,0.0
20,投资所支付的现金,589884689.27,477954983.52,487401237.06,51038751.55,2182248877.49,1377321969.71,685914428.73,275931881.90,3231895504.20,2933433228.76,2420591401.45,1233001720.36,3186083981.00,3795158508.32,3743358508.32,2116766346.83,2055798600.00,3491386712.73,2266670265.15,1189383448.76,1461947787.00,1889821876.04,748900000.00,670846000.00,3607692691.82,3329388732.50,2659917809.49,1325650000.00,1978304891.02,2016398999.00,1642236739.59,692896250.00,2099785244.40,2082414741.27,1404025844.05,455961356.52,979788594.50,506566694.93,178868211.31,49146960.31,510574939.67,353697114.91,159922619.58,47000000.00,84036303.22,69536303.22,44773600.00,44773600.00,15000000.00,90894502.33,70494502.33,32733628.60,27671220.00,56318800.00,0,6914500.00,199798948.86,127920945.73,21160945.73,79560000.00,114461754.20,100083603.44,89259398.90,61168789.66,144290063.74,100497000.00,49397000.00,50684271.52,55095086.61,90059094.45,141569617.00,67147600.00,341499934.37,254709413.31,622755944.12,270598436.08,0.0
21,取得子公司及其他营业单位支付的现金净额,37504484.22,23671048.55,4530263.55,4530263.55,1420714065.06,1503794795.72,1503794795.72,1473794795.72,254592564.34,0,0,0,0,0,0,0,0,0,0,0,270728691.44,19367314.16,19367314.16,0,6299232228.90,0,0,0,183690649.06,0,0,0,10773172.62,0,0,0,0,0,0,0,0,7571445.11,0,0,2000000.00,0,0,0,76933658.23,0,0,0,29307959.50,0,10818800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321390.00,321390.00,0,0,41047755.99,41047755.99,44047755.99,0,18839367.10,75293247.75,27395887.60,0,34535900.00,25934900.00,0,0,103090.51,0,0,0,0,0,0,11117836.42,0,0,0,2571856.45,50000000.00,0,1264475.96,18157346.51,9161409.37,9161409.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,6333695984.03,5037533508.33,3749935722.45,2779400303.68,11128166064.62,10851834109.58,6557403758.22,4169709706.30,9480095646.80,8608757541.74,6194209088.62,2783071580.26,7681905918.82,7827749652.29,6483592460.98,3290910184.96,5328743677.28,6603028671.78,4582424399.76,2376318244.59,5147406933.20,4186091411.98,2212802761.53,1446366816.41,13410436705.60,5310232775.45,3868886212.13,1933964988.19,4649943184.25,3928737582.82,2767093949.09,1137969218.62,3692499093.54,3238014043.94,2142290106.49,891864868.31,2378638608.84,1284688143.67,710901818.86,317427181.06,1353618134.26,837263818.41,467707030.96,177705861.72,1221958832.03,962090669.85,798737890.72,365372369.20,2072652583.85,1243640171.73,784344226.11,388333781.81,1755357687.43,1051506769.36,638679174.49,286587769.73,1568091808.86,1187045442.00,764182673.46,463863797.00,1332561392.94,1047129753.05,754180804.42,333160330.05,1016919987.60,563504300.97,350961845.20,217733042.32,764027528.83,341392208.86,829103755.67,486599222.07,1081690735.79,696886976.99,964944399.62,393872873.68,0.0
24,投资活动产生的现金流量净额,-1638036519.88,-2322856486.97,-1947676363.42,-1874554691.78,-6818507138.47,-5000888459.49,-4332001023.86,-3056350953.00,-3818342486.31,-4789083577.32,-4305477806.17,-2412044911.74,-2267221708.06,-3074553424.30,-3342827611.47,-2259545323.15,-788563249.51,-3619385434.23,-1983236417.78,-1710558370.59,-298657596.03,-463375014.46,-114650027.95,-579139829.11,-8502900399.80,-1431456986.12,-861989703.25,148571109.65,-1924378215.82,-1503510511.59,-1374650263.23,-436282364.44,-1069595837.93,-1217317333.64,-684375833.59,-237924895.38,-294638902.79,-245028999.16,96400664.36,-289224084.70,1074480376.42,766788184.95,887712087.78,-157503960.49,-888339243.62,-784475329.67,-677675397.12,-293130029.90,-1572600973.12,-921773790.85,-557208860.95,-267139734.77,-1244444180.34,-895714578.55,-527575916.80,-257406978.33,-1321653550.89,-1013495439.18,-598642384.36,-361955758.21,-1017744471.69,-825994720.57,-667354527.37,-289044026.45,-753456678.27,-400547764.81,-228089917.86,-146335328.30,-583918860.86,-170467443.13,-687167069.16,-270884430.94,-985824447.29,-646852195.19,-795782680.61,-333038059.04,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,89131500.00,54950000.00,54950000.00,24950000.00,99800000.00,99800000.00,99800000.00,0,114110290.29,157350314.54,157350314.54,157350314.54,4817124676.62,5074495504.24,4649870504.24,4550304418.09,275632000.00,275632000.00,275662000.00,0,2480000.00,0,0,0,60559536.85,38565602.90,27776304.99,13650000.00,79206516.00,6000000.00,6000000.00,0,82667000.00,46950000.00,46950000.00,28000000.00,16970450.85,46300000.00,60882751.00,16300000.00,9856109.32,2342131567.10,2342125149.09,2631245271.85,3114000.00,0,0,0,92686834.23,55010000.00,55010000.00,52170000.00,93447400.00,96711700.00,96711700.00,0,106055000.00,65400000.00,42400000.00,2400000.00,27161700.00,11700.00,11700.00,11700.00,16900000.00,3040000.00,0,0,44715000.00,47611093.33,23772738.00,0,400888342.00,720000.00,23931700.00,292023424.90,0.0
27,其中：子公司吸收少数股东投资收到的现金,89131500.00,54950000.00,54950000.00,24950000.00,99800000.00,99800000.00,99800000.00,0,114110290.29,157350314.54,157350314.54,157350314.54,668507638.15,668507638.15,243882638.15,144316552.00,275632000.00,275632000.00,275662000.00,0,2480000.00,0,0,0,60559536.85,38565602.90,27776304.99,13650000.00,79206516.00,6000000.00,6000000.00,0,82667000.00,46950000.00,46950000.00,28000000.00,16970450.85,0,0,16300000.00,9856109.32,4950000.00,4950000.00,0,0,0,0,0,0,0,0,0,93447400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,6269912368.01,9233553522.60,6005573454.79,2722717241.50,9148220069.02,7921153579.18,4854669394.21,1920647190.55,4523013049.26,3511660296.86,1938090305.58,1397432456.25,2452552343.10,3505695421.81,2052107421.00,1196614965.63,1567437436.71,518522980.12,471720620.79,200481028.19,732813741.66,1062128739.79,918322064.73,346596615.85,2483606117.70,1116961601.80,823157513.74,485667137.05,859849005.98,897919052.08,454073017.64,159103259.21,909576970.00,869143076.96,615549558.07,349608609.19,949189633.00,1973809784.68,1645147334.93,565078638.20,1761922130.86,2990286506.00,2038699212.80,1213307402.66,4225300000.00,3063600000.00,2425100000.00,1460700000.00,3995700000.00,3317200000.00,1886900000.00,1220000000.00,1872000000.00,1296000000.00,871500000.00,646000000.00,3079900000.00,2493200000.00,1446700000.00,791000000.00,3024290000.00,2560800000.00,1665120000.00,745170000.00,2243346000.00,1665253000.00,885326000.00,437172000.00,1777578400.00,1532664533.00,1746333100.00,674377409.85,1342366100.00,578842150.00,1165922800.00,642332350.00,0.0
