,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
888,002861,瀛通通讯,6.76,6.42,24.1531,71.2235,0.5804,1107.8093,9.0287
889,300183,东软载波,6.75,23.88,50.9173,197.7639,0.4219,828.1335,1.7668
890,300218,安利股份,6.75,4.19,19.9401,71.1127,0.3277,1694.8389,7.8107
891,600399,ST抚钢,6.74,5.26,16.5655,302.0255,,5741.068,
892,601618,中国中冶,6.73,1.94,11.632,6599.7119999999995,0.3184,338637.609,16.3406
893,000055,方大集团,6.71,11.57,27.8324,347.7712,0.3095,3005.7496,2.6756
894,688202,美迪西,6.7,14.81,35.915,66.5731,1.0737,449.3928,7.2482
895,603656,泰禾光电,6.7,16.2,54.3411,62.4183,0.4192,385.1623,2.5869999999999997
896,600777,新潮能源,6.68,17.75,47.489,1077.5695,0.1584,6070.0185,0.8925
897,600106,重庆路桥,6.67,104.61,87.0896,250.1626,0.207,239.1308,0.1979
898,600968,海油发展,6.67,3.68,12.1702,1233.0513,0.1213,33463.2926,3.2919
899,002885,京泉华,6.67,3.9,16.485,52.0641,0.2892,1332.8216,7.4045
900,600284,浦东建设,6.66,6.56,9.5037,408.2998,0.4208,6219.6106,6.4102
901,300129,泰胜风能,6.63,6.92,21.3109,153.6271,0.2136,2219.0258,3.0856
902,002004,华邦健康,6.63,6.14,46.5306,620.2058,,10091.3705,
903,300227,光韵达,6.62,9.12,40.7388,72.0874,0.2883,790.4286,3.1617
904,600327,大东方,6.61,2.38,12.5673,223.0423,0.252,9362.1572,10.5813
905,000791,甘肃电投,6.6,18.63,46.0362,422.5038,0.3107,2267.6039,1.6678
906,688111,金山办公,6.6,25.36,85.5801,400.5792,0.8689,1579.5206,3.4262
907,002921,联诚精密,6.59,6.19,25.8439,46.297,0.5787,747.8396,9.3479
908,000488,晨鸣纸业,6.58,5.45,28.3646,1656.5666,0.4004,30395.4341,10.4645
909,603166,福达股份,6.58,9.39,24.2184,142.2444,0.2389,1514.7743,2.5447
910,002658,雪迪龙,6.58,11.3,44.0251,140.6091,0.2324,1243.2863,2.0553
911,002053,云南能投,6.57,13.58,51.498000000000005,262.558,0.345,1933.1379,2.5403
912,603997,继峰股份,6.57,1.65,15.5784,297.6963,0.2908,18001.2561,17.5861
913,000652,泰达股份,6.56,1.56,7.3193,315.6259,,20161.3995,
914,002237,恒邦股份,6.55,1.07,5.523,305.536,0.3356,28536.0776,31.3445
915,600635,大众公用,6.52,9.64,14.1629,526.4732,,5459.7999,
916,600647,同达创业,6.52,117.85,10.6543,18.7781,0.1349,15.933,0.1145
917,688058,宝兰德,6.51,42.73,96.4576,61.2431,1.531,143.3023,3.5825
918,601878,浙商证券,6.51,17.09,22.8851,967.5571,0.2902,5659.4786,1.6978
919,603396,金辰股份,6.49,6.97,38.1237,60.1383,0.5685,862.0172,8.1492
920,000099,中信海直,6.46,13.49,25.6296,211.4615,0.3489,1567.2533,2.5859
921,000686,东北证券,6.46,12.63,16.0303,1007.0802,0.4302,7968.7956,3.4048
922,002723,金莱特,6.45,3.9,15.4775,39.0694,0.2036,1000.8179,5.2166
923,601228,广州港,6.43,8.15,22.9205,850.2243,0.1372,10420.3401,1.6825
924,600456,宝钛股份,6.42,5.73,20.6007,240.0106,0.5578,4187.6202,9.7326
925,300766,每日互动,6.41,20.24,73.7568,108.9838,0.2723,538.3361,1.3455
926,603161,科华控股,6.4,5.07,17.1603,82.4277,0.6178,1623.3464,12.169
927,002129,中环股份,6.4,5.35,19.4899,903.6614,0.3244,16886.9713,6.0632
928,601990,南京证券,6.39,32.23,43.3476,709.8117,0.2151,2201.7773,0.6674
929,600857,宁波中百,6.38,4.08,12.0934,41.2339,0.1838,1009.5952,4.5006
930,600433,冠豪高新,6.38,6.56,25.4308,170.3251,0.1339,2594.7687,2.041
931,601326,秦港股份,6.37,13.85,42.8237,931.2473,0.1666,6722.73,1.2031
932,600819,耀皮玻璃,6.34,4.62,21.5873,208.4974,0.223,4511.0162,4.825
933,601086,国芳集团,6.33,4.15,16.7129,114.9184,0.1725,2765.9012,4.1530000000000005
934,603217,元利科技,6.32,11.67,24.6438,136.2895,1.4969999999999999,1167.3419,12.8222
935,600619,海立股份,6.32,2.35,14.3904,285.3381,0.32299999999999995,12140.2142,13.7441
936,300573,兴齐眼药,6.31,6.61,73.2596,35.8938,0.4354,542.4342,6.5805
937,000551,创元科技,6.3,3.48,22.9529,112.9048,0.2822,3237.2634,8.0915
938,600571,信雅达,6.3,4.97,49.3949,59.7045,0.1357,1199.7379,2.7286
939,300234,开尔新材,6.29,8.44,27.1817,57.8568,0.1998,685.3258,2.3669
940,002469,三维工程,6.29,12.26,25.9057,77.3641,0.1537,631.0078,1.2538
941,601211,国泰君安,6.28,28.83,38.2625,8637.0375,0.9695,29949.3118,3.362
942,600116,三峡水利,6.27,14.66,18.3382,191.6743,0.193,1306.9108,1.3161
943,601236,红塔证券,6.26,40.54,54.5414,837.5413,0.2305,2065.7285,0.5685
944,600109,国金证券,6.26,29.85,37.9917,1298.5397,0.4293,4349.5147,1.4381
945,601696,中银证券,6.26,27.45,34.3564,798.253,0.4033,2907.6676,1.4691
946,600895,张江高科,6.26,39.46,59.1151,582.8207,0.3763,1476.6847,0.9535
947,688138,清溢光电,6.25,14.65,33.5626,70.2841,0.2634,479.6509,1.7977
948,002135,东南网架,6.25,2.97,11.5813,267.4786,0.2585,8976.3746,8.6778
949,300305,裕兴股份,6.25,10.79,18.7598,94.3683,0.3268,874.5603,3.0287
950,688021,奥福环保,6.2,19.25,50.3181,51.6229,0.6679,268.0783,3.4687
951,300052,中青宝,6.2,11.03,46.9946,51.723,0.1961,468.8263,1.778
952,002888,惠威科技,6.2,9.51,36.444,26.1602,0.2098,274.8161,2.2042
953,002538,司尔特,6.2,7.89,21.1852,238.1232,0.3315,3015.9317,4.1997
954,000795,英洛华,6.2,5.67,20.563000000000002,142.5388,0.1257,2512.7534,2.2164
955,300553,集智股份,6.18,12.53,46.5494,20.8565,0.4345,166.3257,3.4651
956,603090,宏盛股份,6.18,6.32,24.7411,31.0322,0.3103,490.7623,4.9076
957,600382,广东明珠,6.18,31.27,77.6484,371.0039,0.6113,1186.1055,1.9544
958,002922,伊戈尔,6.17,4.42,23.9911,57.376999999999995,0.4245,1296.5591,9.5933
959,000541,佛山照明,6.17,9.02,23.2823,301.1829,0.2152,3337.5767,2.385
960,688122,西部超导,6.16,10.94,33.6875,158.2415,0.3586,1446.1074,3.2771
961,300532,今天国际,6.15,6.66,28.9591,47.5148,0.1727,712.409,2.5902
962,002553,南方轴承,6.14,10.35,32.8817,42.2097,0.1212,407.4394,1.1708
