,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1530076333.63,1408037427.25,995408746.51,511374665.46,1288736748.82,1066540911.40,704197564.18,222874146.31,423025865.70,430517970.48,217097320.81,82362364.03,37383882.57,135466128.24,33242024.28,9338876.79,30365023.87,33082569.62,56142801.70,39619115.59,232583239.43,303342311.07,289193251.81,182342948.09,1003669581.07,823981624.76,633939874.09,455485161.09,1910928195.66,1455073206.35,985340263.16,499479691.80,1421027333.10,1138154828.57,729929568.15,382273383.12,1064358827.68,741255069.68,537893052.94,232803084.17,773220075.53,604368349.84,336921921.91,579686282.85,354069090.45,0.0
20,减：所得税费用,390166334.11,275339173.64,208420321.27,103474632.01,349829374.01,278052888.97,182315428.72,44056539.00,82865491.77,77032957.18,41168142.13,10157605.90,735509.22,20710344.33,4670413.00,-2184310.64,19755621.99,13370847.43,14390230.29,5677025.94,39250492.51,44411904.79,41459520.11,44335899.93,166688489.82,143173929.36,104825652.05,76794141.73,297384654.49,231486961.60,157348677.40,79896518.28,207776653.16,250133420.74,174477204.56,95958190.94,171568151.43,118141440.01,84729036.23,37586219.25,126467410.12,86880368.95,60063510.21,89968394.84,128383629.08,0.0
21,五、净利润,1139909999.52,1132698253.61,786988425.24,407900033.45,938907374.81,788488022.43,521882135.46,178817607.31,340160373.93,353485013.30,175929178.68,72204758.13,36648373.35,114755783.91,28571611.28,11523187.43,10609401.88,19711722.19,41752571.41,33942089.65,193332746.92,258930406.28,247733731.70,138007048.16,836981091.25,680807695.40,529114222.04,378691019.36,1613543541.17,1223586244.75,827991585.76,419583173.52,1213250679.94,888021407.83,555452363.59,286315192.18,892790676.25,623113629.67,453164016.71,195216864.92,646752665.41,517487980.89,276858411.70,489717888.01,225685461.37,0.0
22,归属于母公司所有者的净利润,1040253246.73,1059646985.68,730729048.28,377968496.38,832343630.97,685291271.22,455928236.75,153217097.84,284250827.45,319158772.23,163030056.51,74193396.07,61997356.40,128147400.80,42217734.69,19527209.25,42198585.09,44715347.13,58844157.30,40145994.90,205193086.38,261088721.21,247956331.03,140475272.16,866712374.60,698314023.20,535693086.59,383656063.26,1589146742.94,1200655299.57,807619100.94,418789314.51,1194058818.65,875063300.45,546410108.98,287606171.85,882570030.18,617883570.44,450595207.06,193536877.73,630414115.13,503756255.59,268440233.70,481024640.48,203615872.36,0.0
23,少数股东损益,99656752.79,73051267.93,56259376.96,29931537.07,106563743.84,103196751.21,65953898.71,25600509.47,55909546.48,34326241.07,12899122.17,-1988637.94,-25348983.05,-13391616.89,-13646123.41,-8004021.82,-31589183.21,-25003624.94,-17091585.89,-6203905.25,-11860339.46,-2158314.93,-222599.33,-2468224.00,-29731283.35,-17506327.80,-6578864.55,-4965043.90,24396798.23,22930945.18,20372484.82,793859.01,19191861.29,12958107.38,9042254.61,-1290979.67,10220646.07,5230059.23,2568809.65,1679987.19,16338550.28,13731725.30,8418178.00,8693247.53,22069589.01,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.600000,0.610000,0.420000,0.218000,0.480000,0.400000,0.260000,0.088000,0.167000,0.190000,0.100000,0.040000,0.038000,0.080000,0.030000,0.010000,0.030000,0.030000,0.040000,0.020000,0.130000,0.160000,0.150000,0.090000,0.530000,0.430000,0.330000,0.240000,1.120000,0.860000,0.580000,0.300000,1.710000,1.250000,0.780000,0.410000,1.430000,1.050000,0.800000,0.350000,1.130000,0.900000,0.480000,0.860000,0.360000,0.0
26,稀释每股收益(元/股),0.600000,0.610000,0.420000,0.218000,0.480000,0.400000,0.260000,0.088000,0.167000,0.190000,0.100000,0.040000,0.038000,0.080000,0.030000,0.010000,0.030000,0.030000,0.040000,0.020000,0.130000,0.160000,0.150000,0.090000,0.530000,0.430000,0.330000,0.240000,1.120000,0.860000,0.580000,0.300000,1.710000,1.250000,0.780000,0.410000,1.430000,1.050000,0.800000,0.350000,1.130000,0.900000,0.480000,0.860000,0.360000,0.0
27,七、其他综合收益,-14004097.53,-20759429.58,9805827.76,-63686340.88,-82543873.31,5344078.54,-37635036.83,-6969496.54,-40575247.11,5057050.85,-45403143.87,-72793873.00,102597836.44,3461390.76,132510.64,146050.22,64659776.30,-13851960.58,1549494.92,1433797.11,-44239201.96,-9444580.14,-17454285.80,0,-22305460.24,0,0,0,2902002.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1125905901.99,1111938824.03,796794253.00,344213692.57,856363501.50,793832100.97,484247098.63,171848110.76,299585126.82,358542064.15,130526034.81,-589114.87,139246209.79,118217174.67,28704121.92,11669237.65,75269178.18,5859761.61,43302066.33,35375886.76,149093544.96,249485826.14,230279445.90,138007048.16,814675631.01,680807695.40,529114222.04,378691019.36,1616445543.17,1223586244.75,827991585.76,419583173.52,1213250679.94,888021407.83,555452363.59,286315192.18,892790676.25,623113629.67,453164016.71,195216864.92,646752665.41,517487980.89,276858411.70,489717888.01,225685461.37,0.0
29,归属于母公司所有者的综合收益总额,1026249149.20,1038887556.10,740534876.04,314282155.51,749799757.66,690635349.76,418293199.92,146247601.29,243675580.34,324215823.08,117626912.64,1399523.07,164595192.84,131608791.56,42350245.33,19673259.47,106858361.39,30863386.55,60393652.22,41579792.01,160953884.42,251644141.07,230502045.23,140475272.16,844406914.36,698314023.20,535693086.59,383656063.26,1592048744.94,1200655299.57,807619100.94,418789314.51,1194058818.65,875063300.45,546410108.98,287606171.85,882570030.18,617883570.44,450595207.06,193536877.73,630414115.13,503756255.59,268440233.70,481024640.48,203615872.36,0.0
30,归属于少数股东的综合收益总额,99656752.79,73051267.93,56259376.96,29931537.06,106563743.84,103196751.21,65953898.71,25600509.47,55909546.48,34326241.07,12899122.17,-1988637.94,-25348983.05,-13391616.89,-13646123.41,-8004021.82,-31589183.21,-25003624.94,-17091585.89,-6203905.25,-11860339.46,-2158314.93,-222599.33,-2468224.00,-29731283.35,-17506327.80,-6578864.55,-4965043.90,24396798.23,22930945.18,20372484.82,793859.01,19191861.29,12958107.38,9042254.61,-1290979.67,10220646.07,5230059.23,2568809.65,1679987.19,16338550.28,13731725.30,8418178.00,8693247.53,22069589.01,0.0
