,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,五、净利润,1206160984.91,602121907.36,386221580.33,122050303.16,887279687.71,450281436.77,292583904.87,89739516.16,535608259.22,243556761.04,140305636.61,26059168.38,303062954.36,144365224.55,85330010.80,16305953.02,172266115.56,7561215.77,7427065.65,4598160.67,11926315.06,20857791.16,-179592931.14,-98283327.61,-536463009.09,-208450103.81,-132024008.20,-47778927.67,-194856046.83,-126353157.83,-76039024.13,5889445.96,84074086.17,82920220.79,47085201.33,40015157.17,177602857.31,113510038.98,58316191.69,22524659.29,74074214.20,47362937.42,35528607.51,16771997.92,31838247.20,41311064.70,26707955.84,6918896.95,66661061.95,43415783.68,26664882.62,8665543.18,57634550.79,32275659.81,22016266.45,6120815.67,51374570.16,7969232.85,0.0
22,归属于母公司所有者的净利润,1206136918.38,602097840.83,386221275.63,122050417.60,886472236.97,449474488.87,291777146.85,89261118.66,534291649.78,242949297.87,139845351.24,25819168.72,301144671.46,144281828.38,85078812.08,16312776.19,171819355.12,5773037.11,6152012.02,4081080.48,10417486.60,18999465.01,-180812158.85,-98738196.20,-520714991.83,-198278597.26,-124392648.25,-44034924.05,-178808399.93,-116475164.48,-70245195.11,6171560.93,71052324.34,70496112.49,38293031.60,34220742.70,137373770.17,88582474.42,46496333.16,18113643.01,57755214.77,36262616.16,26822249.95,12413344.46,27848976.57,34338804.83,22007283.29,5898210.23,52216748.58,33493124.73,20090420.93,6736844.44,44463797.78,24900879.32,16997644.26,4661892.48,38038643.40,7189083.79,0.0
23,少数股东损益,24066.53,24066.53,304.70,-114.44,807450.74,806947.90,806758.02,478397.50,1316609.44,607463.17,460285.37,239999.66,1918282.90,83396.17,251198.72,-6823.17,446760.44,1788178.66,1275053.63,517080.19,1508828.46,1858326.15,1219227.71,454868.59,-15748017.26,-10171506.55,-7631359.95,-3744003.62,-16047646.90,-9877993.35,-5793829.02,-282114.97,13021761.83,12424108.30,8792169.73,5794414.47,40229087.14,24927564.56,11819858.53,4411016.28,16318999.43,11100321.26,8706357.56,4358653.46,3989270.63,6972259.87,4700672.55,1020686.72,14444313.37,9922658.95,6574461.69,1928698.74,13170753.01,7374780.49,5018622.19,1458923.19,13335926.76,780149.06,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.490000,0.250000,0.160000,0.050000,0.360000,0.180000,0.120000,0.050000,0.340000,0.160000,0.090000,0.020000,0.200000,0.090000,0.060000,0.020000,0.590000,0.010000,0.010000,0.010000,0.020000,0.040000,-0.400000,-0.220000,-1.170000,-0.440000,-0.280000,-0.100000,-0.400000,-0.260000,-0.160000,0.010000,0.160000,0.160000,0.090000,0.080000,0.350000,0.200000,0.120000,0.050000,0.200000,0.120000,0.090000,0.070000,0.150000,0.190000,0.120000,0.040000,0.370000,0.250000,0.160000,0.080000,0.550000,0.310000,0.210000,0.120000,0.990000,0.190000,0.0
26,稀释每股收益(元/股),0.490000,0.250000,0.160000,0.050000,0.360000,0.180000,0.120000,0.050000,0.340000,0.160000,0.090000,0.020000,0.200000,0.090000,0.050000,0.020000,0.590000,0.010000,0.010000,0.010000,0.020000,0.040000,-0.400000,-0.220000,-1.170000,-0.440000,-0.280000,-0.100000,-0.400000,-0.260000,-0.160000,0.010000,0.160000,0.160000,0.090000,0.080000,0.350000,0.200000,0.120000,0.050000,0.200000,0.120000,0.090000,0.070000,0.150000,0.190000,0.120000,0.040000,0.370000,0.250000,0.160000,0.080000,0.550000,0.310000,0.210000,0.120000,0,0,0.0
27,七、其他综合收益,0,59942.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8576822.42,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1206160984.91,602181849.38,386221580.33,122050303.16,887279687.71,450281436.77,292583904.87,89739516.16,535608259.22,243556761.04,140305636.61,26059168.38,303062954.36,144365224.55,85330010.80,16305953.02,172266115.56,7561215.77,7427065.65,4598160.67,3349492.64,20857791.16,-179592931.14,-98283327.61,-536463009.09,-208450103.81,-132024008.20,-47778927.67,-194856046.83,-126353157.83,-76039024.13,5889445.96,84074086.17,82920220.79,47085201.33,40015157.17,177602857.31,113510038.98,58316191.69,22524659.29,74074214.20,47362937.42,35528607.51,16771997.92,31838247.20,41311064.70,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,1206136918.38,602157782.85,386221275.63,122050417.60,886472236.97,449474488.87,291777146.85,89261118.66,534291649.78,242949297.87,139845351.24,25819168.72,301144671.46,144281828.38,85078812.08,16312776.19,171819355.12,5773037.11,6152012.02,4081080.48,1840664.18,18999465.01,-180812158.85,-98738196.20,-520714991.83,-198278597.26,-124392648.25,-44034924.05,-178808399.93,-116475164.48,-70245195.11,6171560.93,71052324.34,70496112.49,38293031.60,34220742.70,137373770.17,88582474.42,46496333.16,18113643.01,57755214.77,36262616.16,26822249.95,12413344.46,27848976.57,34338804.83,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,24066.53,24066.53,304.70,-114.44,807450.74,806947.90,806758.02,478397.50,1316609.44,607463.17,460285.37,239999.66,1918282.90,83396.17,251198.72,-6823.17,446760.44,1788178.66,1275053.63,517080.19,1508828.46,1858326.15,1219227.71,454868.59,-15748017.26,-10171506.55,-7631359.95,-3744003.62,-16047646.90,-9877993.35,-5793829.02,-282114.97,13021761.83,12424108.30,8792169.73,5794414.47,40229087.14,24927564.56,11819858.53,4411016.28,16318999.43,11100321.26,8706357.56,4358653.46,3989270.63,6972259.87,0,0,0,0,0,0,0,0,0,0,0,0,0.0
