,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090630,20090331,20081231,20080630,20071231,20070630,20061231,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040630,20031231,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,其他业务成本,1018946170.13,783092266.53,547846664.04,192991413.42,457984618.96,318737685.46,257625616.49,30513093.89,98861766.69,88126739.13,44158034.66,30181896.52,92647686.67,82521942.77,44385121.77,18940489.89,74480575.09,54041258.81,36450152.98,23488933.38,246754300.30,34373113.40,24172765.78,9339733.72,27076821.59,7244095.34,1620153.61,968280.65,30831144.56,29308859.08,27802963.85,3471069.90,7709673.01,6088578.70,4662879.87,2717228.96,7702662.08,2652561.30,1853420.72,916451.80,7323298.85,1972961.40,1071000.17,21663563.96,46584037.43,149089338.00,64211757.93,45997950.82,11864272.00,0,14004033.58,0,5405301.58,0,11909025.52,3966138.44,7285342.19,3253844.88,3797481.96,4095116.50,0.0
20,三、营业利润,11607934891.17,8449345841.50,5415085522.15,3652264361.81,6475101872.20,5820459768.11,4020140365.73,2401593035.45,10848268625.72,6316213287.96,3984710169.12,1807952582.83,8397950822.39,6448393905.47,3808768269.15,1675096943.85,14270074421.49,11500065659.38,8810376472.94,2694510112.95,5849520326.60,3504488446.08,1964182691.96,1012764958.49,2915693342.65,2436975309.13,1683419483.36,818608836.61,2116200999.31,1715955979.64,1398606277.07,630477246.10,2438911804.81,1798265265.74,1532925517.71,925279877.89,4499498403.86,3019493246.16,1779724940.54,1082344052.23,5335366604.92,1656858008.23,1034346046.07,1700011407.81,1408407225.10,8500720295.76,2728592365.00,1164990055.39,566485527.51,0,13751020.17,0,-88055808.70,0,-187942605.82,-26002936.84,-87603676.46,-12323057.18,12497571.04,179803277.23,0.0
21,加:营业外收入,16005633.05,15206686.41,12451663.83,1856883.13,3253269.44,3415106.30,5401517.56,2843841.02,760091188.18,33876862.04,12861627.30,5608234.78,213443105.28,94094899.08,72793777.62,45943332.21,85855952.88,44718286.57,31747969.45,10997965.64,85122265.82,45744804.81,28473625.68,20565691.73,42553853.22,48024024.55,30890355.14,7676917.55,45674866.22,20698759.19,16412278.42,14985681.84,31320613.54,14086364.46,5806996.09,3617213.13,18323571.13,11077492.90,4832522.51,2643246.86,26657017.47,1484642.09,2362952.84,30016061.53,3096597.84,16633526.38,1563910.15,9883760.35,524348.40,0,1979465.87,0,797770.91,0,3401447.90,1210395.17,9451160.13,296190.40,4479855.16,4144689.85,0.0
22,减:营业外支出,37975462.19,16258103.36,9495186.72,2532327.82,29684794.62,19735381.19,5060941.39,671657.29,23715496.14,18362472.49,10708665.13,7217341.88,17965954.39,11839757.67,3550040.42,2036424.78,92433568.36,13118086.64,8251167.23,2751063.06,19827122.67,12781375.47,7801567.78,2364356.35,21160419.64,11675423.30,5608332.17,1396505.69,39076547.31,19487720.93,16100356.82,9250485.88,19184465.98,10995148.10,8213390.35,1257515.35,16023852.06,10082301.58,6272398.22,899775.35,40903774.55,5344839.56,2864595.33,43364344.75,17784642.41,31932643.29,8412421.86,28146063.72,10355450.76,0,11600898.75,0,6014299.11,0,3796435.20,2351360.65,2950100.64,789210.49,9977420.76,27128862.77,0.0
23,四、利润总额,11585965062.03,8448294424.55,5418041999.26,3651588917.12,6448670347.02,5804139493.22,4020480941.90,2403765219.18,11584644317.76,6331727677.51,3986863131.29,1806343475.73,8593427973.28,6530649046.88,3878012006.35,1719003851.28,14263496806.01,11531665859.31,8833873275.16,2702757015.53,5914815469.75,3537451875.42,1984854749.86,1030966293.87,2937086776.23,2473323910.38,1708701506.33,824889248.47,2122799318.22,1717167017.90,1398918198.67,636212442.06,2451047952.37,1801356482.10,1530519123.45,927639575.67,4501798122.93,3020488437.48,1778285064.83,1084087523.74,5321119847.84,1652997810.76,1033844403.58,1686663124.59,1393719180.53,8485421178.85,2631817929.00,1146727752.02,556654425.15,105627500.00,4129587.29,-119371400.00,-93272336.90,-159795100.00,-188337593.12,-27143902.32,-81102616.97,-12816077.27,7000005.44,156819104.31,0.0
24,减:所得税,2528752207.36,1960153840.94,1317941220.73,846807720.45,1287783549.20,1211176204.11,813995360.94,483253618.85,2176787685.25,1502181288.26,932296072.25,433457855.96,2073940096.94,1576722914.81,934458775.61,419839533.73,3465588570.68,2827804648.62,2115301390.96,667949271.91,1375028707.67,858477595.90,490933935.06,245717378.47,668361237.67,578358437.14,401054583.49,188944559.79,461764932.84,337891900.10,317675662.69,142920853.40,630308136.52,449321979.11,375294773.81,228497948.07,1021963008.82,582597356.97,335764306.98,249254300.98,1234458354.06,376356953.63,246649489.76,274319692.43,271310672.46,2471201138.59,898175471.50,307649962.86,28851983.32,0,0,0,0,0,2581.59,0,15589830.46,0,5628474.28,90637562.47,0.0
25,五、净利润,9057212854.67,6488140583.61,4100100778.53,2804781196.67,5160886797.82,4592963289.11,3206485580.96,1920511600.33,9407856632.51,4829546389.25,3054567059.04,1372885619.77,6519487876.34,4953926132.07,2943553230.74,1299164317.55,10797908235.33,8703861210.69,6718571884.20,2034807743.62,4539786762.08,2678974279.52,1493920814.80,785248915.40,2268725538.56,1894965473.24,1307646922.84,635944688.68,1661034385.38,1379275117.80,1081242535.98,493291588.66,1820739815.85,1352034502.99,1155224349.64,699141627.60,3479835114.11,2437891080.51,1442520757.85,834833222.76,4086661493.78,1276640857.13,787194913.82,1412343432.16,1122408508.07,6014220040.26,1733642458.00,839077789.16,527802441.83,126204800.00,4129587.29,-47845800.00,-93272336.90,-143022900.00,-188340174.71,-27143902.32,-96692447.43,-12816077.27,1371531.16,66181541.84,0.0
26,归属于母公司所有者的净利润,9001644018.52,6440723943.13,4056931777.50,2779612391.79,5032737702.70,4479803439.20,3158898403.05,1903006658.17,9276520447.68,4707537875.22,2993249919.72,1330162690.23,6270611459.43,4810150882.82,2841253347.88,1246472322.40,10696870875.92,8639352161.79,6674821930.46,2015354155.33,4486276132.08,2644771672.96,1478917478.24,780617848.23,2211709350.41,1855426508.31,1288441551.71,626886217.86,1615680830.05,1345255939.39,1058027353.28,481185726.02,1784428782.88,1332191509.03,1143575101.57,694658080.15,3425046334.64,2399912171.29,1420347648.47,826346533.89,3795291501.09,1276640857.13,708447018.81,1253126412.46,1122408508.07,5626718549.03,1733642458.00,838055257.22,527802441.83,126204800.00,4129587.29,-47845800.00,-93272336.90,-143022900.00,-188340174.71,-27143902.32,-96692447.43,-12816077.27,1371531.16,66181541.84,0.0
27,少数股东损益,55568836.15,47416640.48,43169001.03,25168804.88,128149095.12,113159849.91,47587177.91,17504942.16,131336184.83,122008514.03,61317139.32,42722929.54,248876416.91,143775249.25,102299882.86,52691995.15,101037359.41,64509048.90,43749953.74,19453588.29,53510630.00,34202606.56,15003336.56,4631067.17,57016188.15,39538964.93,19205371.13,9058470.82,45353555.33,34019178.41,23215182.70,12105862.64,36311032.97,19842993.96,11649248.07,4483547.45,54788779.47,37978909.22,22173109.38,8486688.87,291369992.69,0,78747895.01,159217019.70,0,387501491.23,0,1022531.94,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,基本每股收益(元/股),1.040000,0.750000,0.490000,0.340000,0.660000,0.610000,0.441000,0.265700,1.295100,0.660000,0.417900,0.185700,0.875400,0.670000,0.396700,0.174000,1.645200,1.380000,1.145000,0.359900,0.801100,0.470000,0.264100,0.139400,0.394900,0.330000,0.230100,0.111900,0.288500,0.240000,0.188900,0.090000,0.318600,0.240000,0.200000,0.120000,0.630000,0.442300,0.266100,0.162800,0.819500,0.283700,0.157400,0.278500,0.250000,1.250400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,稀释每股收益(元/股),1.030000,0.750000,0.490000,0.340000,0.660000,0.610000,0.441000,0.265700,1.295100,0.660000,0.417900,0.185700,0.875400,0.670000,0.396700,0.174000,1.645200,1.380000,1.145000,0.359900,0.801100,0.470000,0.264100,0.139400,0.394900,0.330000,0.230100,0.111900,0.288500,0,0.188900,0.090000,0.318600,0.240000,0.200000,0,0.630000,0.442300,0.266100,0.162800,0.819500,0.283700,0.157400,0.278500,0.250000,1.250400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,七、其他综合收益,634281123.92,707574669.24,647707686.20,451576063.07,-549839000.56,377733719.59,-249229256.46,-230137979.48,-2717379695.48,442603839.95,208826553.90,835412277.94,1065483884.06,175471968.89,-1241997192.89,-1425155756.47,1435065958.79,-105326478.91,1684553023.59,496063938.50,1474939013.42,168200247.59,9254278.47,-55744450.69,144625490.99,151193809.60,-41683876.13,199853834.27,178118243.03,13008839.02,107610307.54,88871361.58,-597063480.71,-284539373.87,-46453310.86,-35086574.40,-7175598.04,-17992202.41,-213313920.08,-2371048.84,220906997.12,0,10047625.56,-352775326.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,八、综合收益总额,9691493978.59,7195715252.85,4747808464.73,3256357259.74,4611047797.26,4970697008.70,2957256324.50,1690373620.85,6690476937.03,5272150229.20,3263393612.94,2208297897.71,7584971760.40,5129398100.96,1701556037.85,-125991438.92,12232974194.12,8598534731.78,8403124907.79,2530871682.12,6014725775.50,2847174527.11,1503175093.27,729504464.71,2413351029.55,2046159282.84,1265963046.71,835798522.95,1839152628.41,1392283956.82,1188852843.52,582162950.24,1223676335.14,1067495129.12,1108771038.78,664055053.20,3472659516.07,2419898878.10,1229206837.77,832462173.92,4307568490.90,0,797242539.38,1059568105.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,归属于母公司所有者的综合收益总额,9611073958.97,7075734894.66,4724273110.64,3231963967.75,4479436772.88,4854041365.39,2909743255.69,1672832952.64,6577001583.27,5150960059.97,3219538136.50,2143410517.22,7153915897.21,4980745989.20,1598522463.51,-179221442.88,12107098061.95,8533722358.07,8357737556.58,2511109432.84,5961010945.70,2812468128.39,1488497770.47,724861714.16,2356750394.15,2007363962.78,1247557134.27,826440091.69,1793202555.80,1358014651.71,1165439493.27,570044408.37,1187927479.77,1048084491.14,1097465867.76,659952780.16,3417773480.21,2382116805.47,1207443331.18,824365889.73,4006392603.43,0,727216989.22,873622532.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,归属于少数股东的综合收益总额,80420019.62,119980358.19,23535354.09,24393291.99,131611024.38,116655643.31,47513068.81,17540668.21,113475353.76,121190169.23,43855476.44,64887380.49,431055863.19,148652111.76,103033574.34,53230003.96,125876132.17,64812373.71,45387351.21,19762249.28,53714829.80,34706398.72,14677322.80,4642750.55,56600635.40,38795320.06,18405912.44,9358431.26,45950072.61,34269305.11,23413350.25,12118541.87,35748855.37,19410637.98,11305171.02,4102273.04,54886035.86,37782072.63,21763506.59,8096284.19,301175887.47,0,70025550.16,185945573.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
