,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,-41529906.90,68923090.58,65483580.87,52836288.77,12883791.22,-368000447.13,74325178.46,61026400.31,12704905.80,66714693.01,59187806.64,34376020.32,6350431.29,-710352928.44,-59456397.14,2748647.51,-45618313.84,246163492.96,197825525.47,149298515.61,31904673.63,213882278.95,123001011.93,122283994.98,58197710.55,77699449.87,85342660.33,87085712.90,25625296.09,206952659.91,160599316.36,102674237.94,61701745.13,562433212.40,321498004.90,217300713.18,70028206.59,437939968.17,263184726.93,177595028.74,56309017.98,333022902.76,212709682.78,133547520.40,49242848.22,241877216.84,175435557.61,128572078.06,35803059.42,153365898.26,109974193.46,68055455.00,28438642.35,101108496.44,68750904.42,44658149.40,19629364.78,79040036.93,50873198.41,69377324.62,54705260.07,0.0
20,减：所得税费用,4335532.20,11799431.03,20846585.96,9628581.05,2562485.11,-28730544.76,7593895.61,7810750.47,2659561.50,-9652718.57,-11543559.25,-17480899.16,-3993009.46,76482994.81,-12415077.27,-7498900.41,-6395991.68,49172834.95,41230539.29,32390118.93,9178874.90,23772908.32,3111714.23,13058428.15,15583771.22,-47750474.07,-4578639.24,-10867273.88,-14161925.26,-3993338.82,20426469.56,8619134.68,8623234.62,102696449.93,57967456.38,38180881.02,8111405.58,63732120.18,45719692.66,30578073.55,10587804.78,38173549.06,34401441.96,26291530.48,9213915.73,17802421.20,43469386.57,31506597.12,8969334.72,19607510.38,41765826.18,26973221.03,12356497.84,13597014.03,24405163.45,15017026.94,1306507.71,9677803.74,5782197.35,7374022.89,556380.75,0.0
21,五、净利润,-45865439.10,57123659.55,44636994.91,43207707.72,10321306.11,-339269902.37,66731282.85,53215649.84,10045344.30,76367411.58,70731365.89,51856919.48,10343440.75,-786835923.25,-47041319.87,10247547.92,-39222322.16,196990658.01,156594986.18,116908396.68,22725798.73,190109370.63,119889297.70,109225566.83,42613939.33,125449923.94,89921299.57,97952986.78,39787221.35,210945998.73,140172846.80,94055103.26,53078510.51,459736762.47,263530548.52,179119832.16,61916801.01,374207847.99,217465034.27,147016955.19,45721213.20,294849353.70,178308240.82,107255989.92,40028932.49,224074795.64,131966171.04,97065480.94,26833724.70,133758387.88,68208367.28,41082233.97,16082144.51,87511482.41,44345740.97,29641122.46,18322857.07,69362233.19,45091001.06,62003301.73,54148879.32,0.0
22,归属于母公司所有者的净利润,-37620459.50,78048598.05,71001087.10,65251861.33,18091247.86,-312858601.06,78166460.46,63018861.77,16284603.14,92052238.50,85151473.63,61669652.87,14789364.53,-771394229.41,-35426583.06,18200539.83,-35255330.98,209589923.10,164121452.29,120922092.46,26059575.27,192151415.90,120746448.66,108829147.63,43070342.58,126134533.83,90227954.47,98716415.18,39840925.03,207220030.59,141129996.60,95631047.21,53922631.98,455428177.25,261904737.97,177540206.41,61642824.45,372959774.63,217017711.47,146729881.27,46045065.93,294759996.47,178308240.82,107255989.92,40028932.49,224074795.64,131966171.04,97065480.94,26833724.70,133758387.88,68208367.28,41082233.97,16082144.51,88301835.21,44798411.00,30137783.12,18412748.64,69621853.98,45226552.41,62026742.69,54148879.32,0.0
23,少数股东损益,-8244979.60,-20924938.50,-26364092.19,-22044153.61,-7769941.75,-26411301.31,-11435177.61,-9803211.93,-6239258.84,-15684826.92,-14420107.74,-9812733.39,-4445923.78,-15441693.84,-11614736.81,-7952991.91,-3966991.18,-12599265.09,-7526466.11,-4013695.78,-3333776.54,-2042045.27,-857150.96,396419.20,-456403.25,-684609.89,-306654.90,-763428.40,-53703.68,3725968.14,-957149.80,-1575943.95,-844121.47,4308585.22,1625810.55,1579625.75,273976.56,1248073.36,447322.80,287073.92,-323852.73,89357.23,0,0,0,0,0,0,0,0,0,0,0,-790352.80,-452670.03,-496660.66,-89891.57,-259620.79,-135551.35,-23440.96,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.040000,0.083600,0.080000,0.070000,0.020000,-0.334700,0.080000,0.070000,0.020000,0.098600,0.091000,0.070000,0.020000,-0.916600,-0.040000,0.020000,-0.040000,0.270000,0.210000,0.160000,0.040000,0.260000,0.160000,0.150000,0.058000,0.170000,0.120000,0.130000,0.050000,0.280000,0.190000,0.130000,0.070000,0.610000,0.350000,0.240000,0.080000,0.500000,0.290000,0.200000,0.090000,0.620000,0.380000,0.360000,0.140000,0.790000,0.460000,0.340000,0.090000,0.940000,0.480000,0.290000,0.230000,0,0,0,0.350000,0,0,0,0,0.0
26,稀释每股收益(元/股),-0.040000,0.083600,0.080000,0.070000,0.020000,-0.334700,0.080000,0.070000,0.020000,0.098600,0.091000,0.070000,0.020000,-0.914800,-0.040000,0.020000,-0.040000,0.270000,0.190000,0.150000,0.040000,0.260000,0.160000,0.150000,0.058000,0.170000,0.120000,0.130000,0.050000,0.280000,0.190000,0.130000,0.070000,0.610000,0.350000,0.240000,0.080000,0.500000,0.290000,0.200000,0.090000,0.620000,0.380000,0.360000,0.140000,0.790000,0.460000,0.340000,0.090000,0.940000,0.480000,0.290000,0.230000,0,0,0,0.350000,0,0,0,0,0.0
27,七、其他综合收益,263105.14,-1552364.10,2011889.62,35758.69,-124095.68,-350066.31,-528727.32,-916442.04,16284603.14,-65412162.91,-66944489.52,-68438694.94,-27091692.83,-139860007.07,-145235661.07,-153794349.33,-86769462.25,-62660520.20,-126241458.98,33975705.66,24005227.58,-891181.08,10769010.80,-43770874.54,-17746872.20,112270827.31,60950154.78,43493369.21,42275644.03,-7931964.65,-14473064.10,22524075.56,18241726.47,145643644.68,156687642.02,203389622.35,290031.44,-272591.38,-29123.20,-311404.22,0,-42623.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-45602333.96,55571295.45,46648884.53,43243466.41,10197210.43,-339619968.68,66202555.53,52299207.80,26329947.44,10955248.67,3786876.37,-16581775.46,-16748252.08,-926695930.32,-192276980.94,-143546801.41,-125991784.41,134330137.81,30353527.20,150884102.34,46731026.31,189218189.55,130658308.50,65454692.29,24867067.13,237720751.25,150871454.35,141446355.99,82062865.38,203014034.08,125699782.70,116579178.82,71320236.98,605380407.15,420218190.54,382509454.51,62206832.45,373935256.61,217435911.07,146705550.97,45721213.20,294806730.40,178308240.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,-37357354.36,76496233.95,73012976.72,65287620.02,17967152.18,-313208667.37,77637733.14,62102419.73,32569206.28,26640075.59,18206984.11,-6769042.07,-12302328.30,-911254236.48,-180662244.13,-135593809.50,-122024793.23,146929402.90,37879993.31,154897798.12,50064802.85,191260234.82,131515459.46,65058273.09,25323470.38,238405361.14,151178109.25,142209784.39,82116569.06,199288065.94,126656932.50,118155122.77,72164358.45,601071821.93,418592379.99,380929828.76,61932855.89,372687183.25,216988588.27,146418477.05,46045065.93,294717373.17,178308240.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-8244979.60,-20924938.50,-26364092.19,-22044153.61,-7769941.75,-26411301.31,-11435177.61,-9803211.93,-6239258.84,-15684826.92,-14420107.74,-9812733.39,-4445923.78,-15441693.84,-11614736.81,-7952991.91,-3966991.18,-12599265.09,-7526466.11,-4013695.78,-3333776.54,-2042045.27,-857150.96,396419.20,-456403.25,-684609.89,-306654.90,-763428.40,-53703.68,3725968.14,-957149.80,-1575943.95,-844121.47,4308585.22,1625810.55,1579625.75,273976.56,1248073.36,447322.80,287073.92,-323852.73,89357.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
