,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1271616228.03,831343046.31,314175109.34,1539302750.14,1243456299.06,817292453.98,295889643.14,1476616731.31,1194289708.39,636763966.96,211005829.62,1018789832.97,807925026.99,485282695.25,161642711.86,728374132.76,601692425.74,319833813.92,122403584.89,610749989.18,496375507.22,313250848.02,125811020.68,401780959.40,325260895.54,233006515.38,100950860.18,355274494.40,338957948.54,249834846.06,120585052.34,534227316.61,433154943.44,305389863.76,140813873.83,459785611.67,359003342.38,239853043.54,106323788.57,336687957.68,222269010.40,134419790.55,51536112.75,337711450.23,78222865.49,63586427.53,24669334.81,78139779.83,58490598.30,40639780.84,16230186.60,66318773.07,52030126.97,38138498.31,18017092.43,59092341.11,48750816.61,42089189.81,17065887.08,50799760.40,43050387.95,29964309.11,33975515.44,23367107.87,0.0
20,减：所得税费用,215095227.44,142881546.88,52519418.44,227995515.52,205651594.08,131376570.60,43542624.80,225736255.03,200902231.26,115189517.16,36838680.96,156965757.42,130410736.32,81878383.21,30388187.79,120021763.84,86721935.72,44224358.31,24758007.02,121965777.20,93709417.84,72361055.43,34284011.30,78529506.70,61269456.40,43592807.87,22440549.75,70729908.74,65819795.65,48456643.40,23881016.84,98815225.91,85745314.04,62350016.64,25829072.29,80635899.08,68619688.30,45271704.62,20440624.01,49612496.08,32573208.50,22691263.97,13092956.48,46731572.27,20409899.69,15798580.25,5115005.51,29022709.37,19788581.85,12351800.15,5231474.80,21742348.62,17169941.90,12585704.44,5945640.50,14328181.38,14328181.38,13889432.64,6798300.83,8727396.53,8727396.53,6884071.19,6261947.41,6903638.95,0.0
21,五、净利润,1056521000.59,688461499.43,261655690.90,1311307234.62,1037804704.98,685915883.38,252347018.34,1250880476.28,993387477.13,521574449.80,174167148.66,861824075.55,677514290.67,403404312.04,131254524.07,608352368.92,514970490.02,275609455.61,97645577.87,488784211.98,402666089.38,240889792.59,91527009.38,323251452.70,263991439.14,189413707.51,78510310.43,284544585.66,273138152.89,201378202.66,96704035.50,435412090.70,347409629.40,243039847.12,114984801.54,379149712.59,290383654.08,194581338.92,85883164.56,287075461.60,189695801.90,111728526.58,38443156.27,290979877.96,57812965.80,47787847.28,19554329.30,49117070.46,38702016.45,28287980.69,10998711.80,44576424.45,34860185.07,25552793.87,12071451.93,44764159.73,34422635.23,28199757.17,10267586.25,42072363.87,34322991.42,23080237.92,27713568.03,16463468.92,0.0
22,归属于母公司所有者的净利润,1056299089.77,692968498.78,258685946.50,1292349782.17,1023391459.78,677056092.91,248311450.44,1235952056.18,979010039.39,512885510.76,171116591.02,857455254.04,671620587.29,399405562.87,131062945.28,605406896.32,509641920.37,272973646.16,96831730.28,487721471.21,401109879.33,240157322.98,91507211.32,323353825.36,263809879.71,189246046.05,78642481.27,271295190.61,259119143.47,187069864.29,81509264.80,365883868.22,291508112.89,204730509.36,100192597.02,315405486.22,240442061.61,160600131.76,72021916.64,237853879.87,158058638.61,94495840.64,33012468.78,258096913.02,57812965.80,47787847.28,19554329.30,49117070.46,38702016.45,28287980.69,10998711.80,44576424.45,34860185.07,25552793.87,12071451.93,44764159.73,34422635.23,28199757.17,10267586.25,42072363.87,34322991.42,23080237.92,27713568.03,16463468.92,0.0
23,少数股东损益,221910.82,-4506999.35,2969744.40,18957452.45,14413245.20,8859790.47,4035567.90,14928420.10,14377437.74,8688939.04,3050557.64,4368821.51,5893703.38,3998749.17,191578.79,2945472.60,5328569.65,2635809.45,813847.59,1062740.77,1556210.05,732469.61,19798.06,-102372.66,181559.43,167661.46,-132170.84,13249395.05,14019009.42,14308338.37,15194770.70,69528222.48,55901516.51,38309337.76,14792204.52,63744226.37,49941592.47,33981207.16,13861247.92,49221581.73,31637163.29,17232685.94,5430687.49,32882964.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.380000,0.250000,0.120000,0.610000,0.480000,0.320000,0.120000,0.600000,0.480000,0.280000,0.090000,0.480000,0.370000,0.220000,0.070000,0.340000,0.290000,0.180000,0.130000,0.630000,0.520000,0.310000,0.150000,0.540000,0.440000,0.320000,0.130000,0.460000,0.440000,0.310000,0.270000,1.230000,0.980000,0.690000,0.340000,1.190000,0.910000,0.610000,0.270000,0.900000,0.600000,0.360000,0.125000,0.980000,0.512000,0.420000,0.170000,0.430000,0.342000,0.250000,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.380000,0.250000,0.120000,0.610000,0.480000,0.320000,0.120000,0.600000,0.480000,0.280000,0.090000,0.480000,0.370000,0.220000,0.070000,0.340000,0.290000,0.180000,0.130000,0.630000,0.520000,0.310000,0.150000,0.540000,0.440000,0.320000,0.130000,0.460000,0.440000,0.310000,0.270000,1.230000,0.980000,0.690000,0.340000,1.190000,0.910000,0.610000,0.270000,0.900000,0.600000,0.360000,0.125000,0.980000,0.512000,0.420000,0.170000,0.430000,0.342000,0.250000,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,2035955.94,-3329949.74,15494395.98,1453688.59,8338456.64,-2346157.01,-15046595.52,-16781869.06,-2496667.33,12470030.23,21434571.05,-5094573.83,35374083.47,33575792.82,26396797.38,14890278.06,571140.94,5839015.27,31429401.81,1565195.65,6789512.89,-4553664.97,-21034444.12,-17800608.15,-6406596.27,-9743510.15,-5482290.36,-7422028.96,10715348.20,8546679.01,6363715.14,-7992979.44,-3600858.47,-3591564.07,-3063367.07,28951050.87,29445466.71,28477286.50,-350757.35,3650724.31,5521219.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1058556956.53,685131549.69,277150086.88,1312760923.21,1046143161.62,683569726.37,237300422.82,1234098607.22,990890809.80,534044480.03,195601719.71,856729501.72,712888374.14,436980104.86,157651321.45,623242646.98,515541630.96,281448470.88,129074979.68,490349407.63,409455602.27,236336127.62,70492565.26,305450844.55,257584842.87,179670197.36,73028020.07,277122556.70,283853501.09,209924881.67,103067750.64,427419111.26,343808770.93,239448283.05,111921434.47,408100763.46,319829120.79,223058625.42,85532407.21,290726185.91,195217021.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,1058335045.71,689638549.04,274180342.48,1293803470.76,1031729916.42,674709935.90,233264854.92,1219170187.12,976513372.06,525355540.99,192551162.07,852360680.21,706994670.76,432981355.69,157459742.66,620297174.38,510213061.31,278812661.43,128261132.09,489286666.86,407899392.22,235603658.01,70472767.20,305553217.21,257403283.44,179502535.90,73160190.91,263873161.65,269839407.59,195621459.22,87877895.86,357821277.00,287869064.57,201119131.56,97111646.68,344363770.84,269868950.35,189092507.59,71683530.20,241494763.18,163579858.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,221910.82,-4506999.35,2969744.40,18957452.45,14413245.20,8859790.47,4035567.90,14928420.10,14377437.74,8688939.04,3050557.64,4368821.51,5893703.38,3998749.17,191578.79,2945472.60,5328569.65,2635809.45,813847.59,1062740.77,1556210.05,732469.61,19798.06,-102372.66,181559.43,167661.46,-132170.84,13249395.05,14014093.50,14303422.45,15189854.78,69597834.26,55939706.36,38329151.49,14809787.79,63736992.62,49960170.44,33966117.83,13848877.01,49231422.73,31637163.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
