,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,520501098.65,337624533.63,50539785.95,1891604464.32,1599801527.80,1032823476.28,132225075.41,1615676631.28,978582836.69,19744874.31,-205202797.07,112784248.73,136354285.72,92692899.66,-178261377.98,-2558494275.82,-1270276774.92,-386892192.31,-98901680.44,39519643.05,54431976.39,45883433.81,33519636.30,46956154.22,-382045028.75,-608819292.53,-396243140.95,-3496312957.87,-2465800636.10,-1451912627.51,-468439270.73,373109506.43,134980017.58,89623812.23,30748708.13,104860753.87,91982251.94,70676972.58,20280265.49,145732503.78,-308603654.31,-493338240.76,-327035916.33,155546280.90,968982540.47,796446858.03,328905542.62,1145445514.20,967874808.62,637576232.81,299563748.47,745962660.18,659705949.00,327813321.35,41973255.96,625388955.23,700304219.18,601737251.83,343687832.82,1074185656.78,904498962.85,701776690.94,371195013.41,1264222104.66,929001165.57,628037400.79,301591362.88,725597259.08,483877948.38,246929302.46,69462523.87,703523936.61,359177219.78,741398319.85,486679557.92,477827172.81,0.0
20,减：所得税费用,151864145.82,94597490.15,46010.57,31136800.16,19502189.87,10731952.60,3485519.77,10232558.97,217422.44,-6405019.62,0,4468512.32,1782060.53,-66815.16,0,-10101776.79,2437594.26,2437594.26,1800442.42,6097001.70,-702314.37,-771448.19,0,6947682.77,-1685119.10,-2279631.78,1609623.85,4977521.11,-903344.44,-934123.28,-110333159.99,338745097.10,32616421.18,15753742.62,12891905.90,28589018.57,20744316.32,15117422.33,5558956.53,14729910.95,-57258427.87,-110167526.03,9138.67,30213221.16,261888146.75,210141684.42,91911326.76,60123765.18,315758695.25,206555653.78,99303887.95,189283956.56,222580170.35,110046523.87,17551881.42,192302712.77,234975489.36,217011950.10,113891583.01,342167514.40,317648334.68,244970836.14,128624196.84,439829901.36,315900061.59,210818686.05,98859407.34,188294092.63,107897627.60,29961063.58,-28103030.48,232793677.07,118538019.17,249135332.40,172075728.72,181463896.39,0.0
21,五、净利润,368636952.83,243027043.48,50493775.38,1860467664.16,1580299337.93,1022091523.68,128739555.64,1605444072.31,978365414.25,26149893.93,-205202797.07,108315736.41,134572225.19,92759714.82,-178261377.98,-2548392499.03,-1272714369.18,-389329786.57,-100702122.86,33422641.35,55134290.76,46654882.00,33519636.30,40008471.45,-380359909.65,-606539660.75,-397852764.80,-3501290478.98,-2464897291.66,-1450978504.23,-358106110.74,34364409.33,102363596.40,73870069.61,17856802.23,76271735.30,71237935.62,55559550.25,14721308.96,131002592.83,-251345226.44,-383170714.73,-327045055.00,125333059.74,707094393.72,586305173.61,236994215.86,1085321749.02,652116113.37,431020579.03,200259860.52,556678703.62,437125778.65,217766797.48,24421374.54,433086242.46,465328729.82,384725301.73,229796249.81,732018142.38,586850628.17,456805854.80,242570816.57,824392203.30,613101103.98,417218714.74,202731955.54,537303166.45,375980320.78,216968238.88,97565554.35,470730259.54,240639200.61,492262987.45,314603829.20,296363276.42,0.0
22,归属于母公司所有者的净利润,378087913.27,250920623.70,57157772.38,1856669101.22,1572710909.39,1016730740.17,128794095.86,1600781548.19,976666398.35,27763031.48,-200604272.07,123237140.62,140396397.86,94408185.01,-173868881.65,-2550622560.06,-1275243560.78,-393314488.54,-103428164.25,28529657.07,53128322.66,47255432.86,36762821.67,52050394.82,-372628548.36,-599202928.40,-392230607.10,-3497840884.61,-2460256799.44,-1448630161.12,-352499000.95,37860723.84,100576090.94,71491369.73,20848956.01,69441170.95,64189671.35,50370872.99,14687806.10,127405926.37,-256648822.06,-381863293.07,-321986076.77,123696548.89,700453363.69,579669000.76,235140226.73,1090527892.49,652120057.44,431022596.78,200259176.83,556678703.62,437125778.65,217766797.48,24421374.54,433086242.46,465328729.82,384725301.73,229796249.81,732018142.38,586850628.17,456805854.80,242570816.57,824392203.30,613101103.98,417218714.74,202731955.54,537303166.45,375980320.78,216968238.88,97565554.35,470730259.54,240639200.61,492262987.45,314603829.20,296363276.42,0.0
23,少数股东损益,-9450960.44,-7893580.22,-6663997.00,3798562.94,7588428.54,5360783.51,-54540.22,4662524.12,1699015.90,-1613137.55,-4598525.00,-14921404.21,-5824172.67,-1648470.19,-4392496.33,2230061.03,2529191.60,3984701.97,2726041.39,4892984.28,2005968.10,-600550.86,-3243185.37,-12041923.37,-7731361.29,-7336732.35,-5622157.70,-3449594.37,-4640492.22,-2348343.11,-5607109.79,-3496314.51,1787505.46,2378699.88,-2992153.78,6830564.35,7048264.27,5188677.26,33502.86,3596666.46,5303595.62,-1307421.66,-5058978.23,1636510.85,6641030.03,6636172.85,1853989.13,-5206143.47,-3944.07,-2017.75,683.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.145000,0.087000,0.024000,0.776000,0.657000,0.425000,0.054000,0.669000,0.408000,0.012000,-0.084000,0.051000,0.058700,0.039000,-0.073000,-1.066000,-0.532800,-0.164000,-0.043200,0.012000,0.022200,0.020000,0.015400,0.022000,-0.155700,-0.250000,-0.163900,-1.461000,-1.027800,-0.610000,-0.147300,0.016000,0.042000,0.030000,0.008700,0.030000,0.026800,0.020000,0.006100,0.050000,-0.110000,-0.160000,-0.130000,0.050000,0.300000,0.250000,0.100000,0.540000,0.323100,0.213600,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.145000,0.087000,0.024000,0.776000,0.657000,0.425000,0.054000,0.669000,0.408000,0.012000,-0.084000,0.051000,0.058700,0.039000,-0.073000,-1.066000,-0.532800,-0.164000,-0.043200,0.012000,0.022200,0.020000,0.015400,0.022000,-0.155700,-0.250000,-0.163900,-1.461000,-1.027800,-0.610000,-0.147300,0.016000,0.042000,0.030000,0.008700,0.030000,0.026800,0.020000,0.006100,0.050000,-0.110000,-0.160000,-0.130000,0.050000,0.300000,0.250000,0.100000,0.540000,0.323100,0.213600,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14240000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,368636952.83,243027043.48,50493775.38,1860467664.16,1580299337.93,1022091523.68,128739555.64,1605444072.31,978365414.25,26149893.93,-205202797.07,108315736.41,134572225.19,92759714.82,-178261377.98,-2548392499.03,-1272714369.18,-389329786.57,-100702122.86,33422641.35,55134290.76,46654882.00,33519636.30,40008471.45,-380359909.65,-606539660.75,-397852764.80,-3501290478.98,-2464897291.66,-1450978504.23,-358106110.74,34364409.33,102363596.40,73870069.61,17856802.23,76271735.30,71237935.62,55559550.25,14721308.96,145242592.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,378087913.27,250920623.70,57157772.38,1856669101.22,1572710909.39,1016730740.17,128794095.86,1600781548.19,976666398.35,27763031.48,-200604272.07,123237140.62,140396397.86,94408185.01,-173868881.65,-2550622560.06,-1275243560.78,-393314488.54,-103428164.25,28529657.07,53128322.66,47255432.86,36762821.67,52050394.82,-372628548.36,-599202928.40,-392230607.10,-3497840884.61,-2460256799.44,-1448630161.12,-352499000.95,37860723.84,100576090.94,71491369.73,20848956.01,69441170.95,64189671.35,50370872.99,14687806.10,141645926.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-9450960.44,-7893580.22,-6663997.00,3798562.94,7588428.54,5360783.51,-54540.22,4662524.12,1699015.90,-1613137.55,-4598525.00,-14921404.21,-5824172.67,-1648470.19,-4392496.33,2230061.03,2529191.60,3984701.97,2726041.39,4892984.28,2005968.10,-600550.86,-3243185.37,-12041923.37,-7731361.29,-7336732.35,-5622157.70,-3449594.37,-4640492.22,-2348343.11,-5607109.79,-3496314.51,1787505.46,2378699.88,-2992153.78,6830564.35,7048264.27,5188677.26,33502.86,3596666.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
