,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1137010472.16,728616124.47,306831744.61,1269454212.77,1133460403.99,842762414.88,344951763.02,1169361600.79,1048907017.61,745330380.87,301061924.39,1018295349.77,989379196.88,706408382.20,290652412.32,862343162.39,646392335.11,476989187.01,162260714.48,928883411.44,740747806.58,558045554.17,196305560.17,936248234.94,780654282.60,651279173.24,302916514.61,691615965.28,612732178.98,462628018.63,200948144.26,515103923.41,428938540.10,348962418.70,157507012.77,398499236.64,323678740.42,240795774.04,115799640.45,333092360.60,258845769.53,189293816.63,97137318.33,254363192.30,231820201.39,182295092.73,0.0
20,减：所得税费用,178372935.40,107337498.94,53920580.74,194706963.37,252705138.97,178682020.54,86147953.96,255431058.03,232069150.62,157833259.38,71653902.01,229626910.81,224254023.63,152722256.56,72455641.33,228811539.37,173508995.38,106294386.98,55469991.10,196651116.88,145390713.81,103162360.63,46027308.30,209602491.20,178564581.31,137029614.20,78241128.20,147646738.51,120452565.68,91516919.49,49756789.04,93150491.60,78613547.46,58207131.76,41078062.78,63590485.48,48766617.72,34536119.60,25603212.97,41480012.16,27022288.77,17469331.55,12366548.80,33895176.58,33271511.25,19464286.65,0.0
21,五、净利润,958637536.76,621278625.53,252911163.87,1074747249.40,880755265.02,664080394.34,258803809.06,913930542.76,816837866.99,587497121.49,229408022.38,788668438.96,765125173.25,553686125.64,218196770.99,633531623.02,472883339.73,370694800.03,106790723.38,732232294.56,595357092.77,454883193.54,150278251.87,726645743.74,602089701.29,514249559.04,224675386.41,543969226.77,492279613.30,371111099.14,151191355.22,421953431.81,350324992.64,290755286.94,116428949.99,334908751.16,274912122.70,206259654.44,90196427.48,291612348.44,231823480.76,171824485.08,84770769.53,220468015.72,198548690.14,162830806.08,0.0
22,归属于母公司所有者的净利润,918123870.82,594638712.10,238311939.82,1030929806.22,842751128.28,638394704.24,246632906.23,886876369.17,792765038.35,572044764.88,222117959.02,772009612.12,748474635.39,540447802.05,210591034.08,659661697.66,513408882.28,386390906.60,122330914.22,721129885.11,582702139.56,443295811.91,145250100.76,707010641.07,595297286.40,503044007.59,221808590.39,528400721.20,482730350.14,366168792.55,147446639.05,405304276.85,340607333.33,281025592.48,112988993.10,320047352.11,269068593.13,202738954.37,85818689.79,269307102.38,216747399.39,162396551.91,79664568.91,189664095.55,156466962.36,112252088.78,0.0
23,少数股东损益,40513665.94,26639913.43,14599224.05,43817443.18,38004136.74,25685690.10,12170902.83,27054173.59,24072828.64,15452356.61,7290063.36,16658826.84,16650537.86,13238323.59,7605736.91,-26130074.64,-40525542.55,-15696106.57,-15540190.84,11102409.45,12654953.21,11587381.63,5028151.11,19635102.67,6792414.89,11205551.45,2866796.02,15568505.57,9549263.16,4942306.59,3744716.17,16649154.96,9717659.31,9729694.46,3439956.89,14861399.05,5843529.57,3520700.07,4377737.69,22305246.06,15076081.37,9427933.17,5106200.62,30803920.17,42081727.78,50578717.30,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.320000,0.210000,0.080000,0.360000,0.290000,0.220000,0.110000,0.400000,0.360000,0.260000,0.100000,0.350000,0.340000,0.250000,0.100000,0.310000,0.250000,0.190000,0.060000,0.360000,0.290000,0.220000,0.070000,0.360000,0.301000,0.250000,0.110000,0.270000,0.244000,0.180000,0.110000,0.330000,0.277000,0.230000,0.090000,0.260000,0.219000,0.160000,0.070000,0.240000,0.197000,0.150000,0.070000,0.170000,0.140000,0,0.0
26,稀释每股收益(元/股),0.320000,0.200000,0.080000,0.360000,0.290000,0.220000,0.110000,0.400000,0.350000,0.260000,0.100000,0.350000,0.340000,0.250000,0.100000,0.310000,0.240000,0.190000,0.060000,0.330000,0.270000,0.200000,0.070000,0.350000,0,0,0,0.270000,0,0,0,0,0,0,0,0,0,0,0.070000,0,0,0.150000,0.070000,0.170000,0.140000,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,958637536.76,621278625.53,252911163.87,1074747249.40,880755265.02,664080394.34,258803809.06,913930542.76,816837866.99,587497121.49,229408022.38,788668438.96,765125173.25,553686125.64,218196770.99,633531623.02,472883339.73,370694800.03,106790723.38,732232294.56,595357092.77,454883193.54,150278251.87,726645743.74,602089701.29,514249559.04,224675386.41,543969226.77,492279613.30,371111099.14,151191355.22,421953431.81,350324992.64,290755286.94,116428949.99,334908751.16,274912122.70,206259654.44,90196427.48,291612348.44,231823480.76,171824485.08,84770769.53,220468015.72,198548690.14,162830806.08,0.0
29,归属于母公司所有者的综合收益总额,918123870.82,594638712.10,238311939.82,1030929806.22,842751128.28,638394704.24,246632906.23,886876369.17,792765038.35,572044764.88,222117959.02,772009612.12,748474635.39,540447802.05,210591034.08,659661697.66,513408882.28,386390906.60,122330914.22,721129885.11,582702139.56,443295811.91,145250100.76,707010641.07,595297286.40,503044007.59,221808590.39,528400721.20,482730350.14,366168792.55,147446639.05,405304276.85,340607333.33,281025592.48,112988993.10,320047352.11,269068593.13,202738954.37,85818689.79,269307102.38,216747399.39,162396551.91,79664568.91,189664095.55,156466962.36,112252088.78,0.0
30,归属于少数股东的综合收益总额,40513665.94,26639913.43,14599224.05,43817443.18,38004136.74,25685690.10,12170902.83,27054173.59,24072828.64,15452356.61,7290063.36,16658826.84,16650537.86,13238323.59,7605736.91,-26130074.64,-40525542.55,-15696106.57,-15540190.84,11102409.45,12654953.21,11587381.63,5028151.11,19635102.67,6792414.89,11205551.45,2866796.02,15568505.57,9549263.16,4942306.59,3744716.17,16649154.96,9717659.31,9729694.46,3439956.89,14861399.05,5843529.57,3520700.07,4377737.69,22305246.06,15076081.37,9427933.17,5106200.62,30803920.17,42081727.78,50578717.30,0.0
