,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,452936836.64,864344597.14,847965428.73,637804178.54,289648649.35,845887834.16,764703845.72,572008460.36,260256887.02,720202238.83,657589214.19,480992862.13,223566976.62,572512489.59,512658504.99,393004582.52,166304499.50,407800530.89,390024707.76,293350939.53,126471709.89,333693265.27,291585611.16,217081803.81,106629849.38,298147517.47,240577752.72,179718785.99,85446080.04,278992839.91,212520906.60,153480815.77,75227329.08,260457236.18,197457472.62,135210426.82,68622056.74,180620639.22,131211243.19,95172538.34,42970082.36,118109759.44,87012840.58,54550140.69,25230749.21,73669374.67,56815299.97,37506214.74,14803116.36,57468832.40,47325974.92,28751135.96,16018435.46,53474271.11,102663704.49,0.0
20,减：所得税费用,72343045.69,102769731.41,128681163.05,100613595.63,43146735.66,95002832.89,116404927.15,85132292.86,36410822.53,92660578.92,95674518.94,69688573.02,32069685.87,70927293.81,79012423.99,60298002.32,23692431.38,41119472.11,56913829.10,40851987.58,17411438.23,35803307.77,38710870.36,24629212.46,12093333.11,39585421.78,30072765.21,22725052.76,8842911.76,33923182.61,22848383.45,16330766.82,8810126.52,32595770.26,22113836.94,13216441.71,8522354.85,19303527.56,14678928.34,14138032.10,5340254.46,16966912.33,13859997.94,8372675.37,4034429.54,11653722.34,14381796.09,9487916.56,3629107.12,18972209.04,16798619.46,10293416.83,5043532.25,23503417.32,19358620.03,0.0
21,五、净利润,380593790.95,761574865.73,719284265.68,537190582.91,246501913.69,750885001.27,648298918.57,486876167.50,223846064.49,627541659.91,561914695.25,411304289.11,191497290.75,501585195.78,433646081.00,332706580.20,142612068.12,366681058.78,333110878.66,252498951.95,109060271.66,297889957.50,252874740.80,192452591.35,94536516.27,258562095.69,210504987.51,156993733.23,76603168.28,245069657.30,189672523.15,137150048.95,66417202.56,227861465.92,175343635.68,121993985.11,60099701.89,161317111.66,116532314.85,81034506.24,37629827.90,101142847.11,73152842.64,46177465.32,21196319.67,62015652.33,42433503.88,28018298.18,11174009.24,38496623.36,30527355.46,18457719.13,10974903.21,29970853.79,83305084.46,0.0
22,归属于母公司所有者的净利润,382627990.81,752567254.74,712902683.97,533349330.04,246602887.23,727154342.46,628071830.26,469944009.89,213677429.53,592029445.06,527537419.59,398127283.23,185730336.00,500255228.93,432012155.46,331409028.34,142472288.16,364343527.24,332035296.28,251922945.80,108872437.55,297004572.83,252350191.55,192129687.81,94454670.30,258053461.25,210057987.90,156659338.21,76564893.90,244101303.73,188862104.21,136761394.71,66275547.87,226411771.66,174275969.97,121017205.63,60021103.04,160882376.25,116174165.15,80662816.74,37454844.21,100542425.50,72192880.57,45880558.13,20942084.92,61832165.75,42068590.90,27705996.85,11096585.38,37872715.01,30316648.54,18155301.99,10542156.39,31549269.33,58774364.75,0.0
23,少数股东损益,-2034199.86,9007610.99,6381581.71,3841252.87,-100973.54,23730658.81,20227088.31,16932157.61,10168634.96,35512214.85,34377275.66,13177005.88,5766954.75,1329966.85,1633925.54,1297551.86,139779.96,2337531.54,1075582.38,576006.15,187834.11,885384.67,524549.25,322903.54,81845.97,508634.44,446999.61,334395.02,38274.38,968353.57,810418.94,388654.24,141654.69,1449694.26,1067665.71,976779.48,78598.85,434735.41,358149.70,371689.50,174983.69,600421.61,959962.07,296907.19,254234.75,183486.58,364912.98,312301.33,77423.86,623908.35,210706.92,302417.14,432746.82,-1578415.54,24487780.19,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.381700,0.750000,0.711100,0.530000,0.250000,0.730000,0.626500,0.470000,0.210000,0.590000,0.526200,0.400000,0.280000,0.800000,0.710000,0.570000,0.240000,0.620000,0.570000,0.430000,0.200000,0.560000,0.470000,0.360000,0.180000,0.490000,0.400000,0.290000,0.140000,0.460000,0.360000,0.260000,0.160000,0.550000,0.430000,0.300000,0.230000,0.640000,0.460000,0.330000,0.240000,0.650000,0.470000,0.300000,0.200000,0.660000,0.450000,0.320000,0.150000,0.540000,0.440000,0.280000,0,0,0,0.0
26,稀释每股收益(元/股),0.381700,0.750000,0.711100,0.530000,0.250000,0.730000,0.626500,0.470000,0.210000,0.590000,0.526200,0.400000,0.280000,0.800000,0.710000,0.570000,0.240000,0.620000,0.570000,0.430000,0.200000,0.560000,0.470000,0.360000,0.180000,0.490000,0.400000,0.290000,0.140000,0.460000,0.360000,0.260000,0.160000,0.550000,0.430000,0.300000,0.230000,0.640000,0.460000,0.330000,0.240000,0.650000,0.470000,0.300000,0.200000,0.660000,0.450000,0.320000,0.150000,0.540000,0.440000,0.280000,0,0,0,0.0
27,七、其他综合收益,547212.91,-397810.49,-261291.94,669607.12,-2830604.72,-4477534.02,3450971.46,-1651894.66,-424071.02,7686474.33,6320507.88,5142507.97,0,376863.63,0,0,0,1288000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,381141003.86,761177055.24,719022973.74,537860190.03,243671308.97,746407467.25,651749890.03,485224272.84,223421993.47,635228134.24,568235203.13,416446797.08,191497290.75,501962059.41,433646081.00,332706580.20,142612068.12,367969058.78,333110878.66,252498951.95,109060271.66,297889957.50,252874740.80,192452591.35,94536516.27,258562095.69,210504987.51,156993733.23,76603168.28,245069657.30,189672523.15,137150048.95,66417202.56,227861465.92,175343635.68,121993985.11,60099701.89,161317111.66,116532314.85,81034506.24,37629827.90,101142847.11,73152842.64,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,383175203.72,752169444.25,712641392.03,534018937.16,243772282.51,722676808.44,631522801.72,468292115.23,213253358.51,599715919.39,533857927.47,403269791.20,185730336.00,500632092.56,432012155.46,331409028.34,142472288.16,365631527.24,332035296.28,251922945.80,108872437.55,297004572.83,252350191.55,192129687.81,94454670.30,258053461.25,210057987.90,156659338.21,76564893.90,244101303.73,188862104.21,136761394.71,66275547.87,226411771.66,174275969.97,121017205.63,60021103.04,160882376.25,116174165.15,80662816.74,37454844.21,100542425.50,72192880.57,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-2034199.86,9007610.99,6381581.71,3841252.87,-100973.54,23730658.81,20227088.31,16932157.61,10168634.96,35512214.85,34377275.66,13177005.88,5766954.75,1329966.85,1633925.54,1297551.86,139779.96,2337531.54,1075582.38,576006.15,187834.11,885384.67,524549.25,322903.54,81845.97,508634.44,446999.61,334395.02,38274.38,968353.57,810418.94,388654.24,141654.69,1449694.26,1067665.71,976779.48,78598.85,434735.41,358149.70,371689.50,174983.69,600421.61,959962.07,0,0,0,0,0,0,0,0,0,0,0,0,0.0
