,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,减：所得税费用,16666556.14,119131350.92,90294633.03,53299486.27,33370797.95,95733421.40,90860108.14,58234003.69,43254573.36,90810907.90,90508988.84,44332038.67,21985611.26,80709681.71,63378605.71,44079906.79,23129226.21,88611971.99,48869485.69,30061624.29,21179307.41,53632117.13,40316639.75,25334137.74,17702590.44,59861374.85,37936104.54,25253043.19,19517706.15,61950453.53,42224768.24,25078122.62,22988840.61,70548110.26,47934985.09,25281931.27,29453283.52,71365814.27,69820550.11,35970578.43,19374579.13,50926318.67,32179640.43,16241581.61,11150238.31,26161263.46,20821381.47,26024310.54,4054415.44,0.0
21,五、净利润,72776346.37,559071482.93,367615463.33,213167743.83,146077806.40,544858556.02,385824671.55,225583386.21,159065732.49,453071628.51,331920358.28,175283497.72,125114335.06,338813260.40,270122891.10,158628555.50,113834610.63,423089068.52,330771108.90,187225671.66,118284083.52,398173688.69,276700908.29,157367923.56,98749351.72,332154652.15,237183891.67,137105896.34,85756571.65,382086766.76,253142472.81,133686094.25,106343788.37,374010138.19,280158815.18,162435481.10,88671221.55,211825682.56,144459369.12,77434140.76,50165119.96,146002767.59,101662169.33,51051582.18,33777696.21,111031977.60,84100158.34,85138294.76,49517218.42,0.0
22,归属于母公司所有者的净利润,71355351.15,546075460.20,358231177.61,207394573.54,144607077.76,534524240.53,377094856.53,218428089.68,156488769.09,427876997.14,310526985.16,161634176.15,116839080.93,317296870.91,259455473.43,150836883.68,108812558.97,410088318.57,323821790.53,183770049.64,116179144.33,398089770.08,276700908.29,157367923.56,98749351.72,332154652.15,237183891.67,137105896.34,85756571.65,382086766.76,253142472.81,133686094.25,106343788.37,374010138.19,280158815.18,162435481.10,88671221.55,209705315.55,142914774.06,76795650.21,49666686.82,144473175.58,100843091.84,50865856.58,33532813.12,110067128.20,83336279.64,85143821.59,49249157.25,0.0
23,少数股东损益,1420995.22,12996022.73,9384285.72,5773170.29,1470728.64,10334315.49,8729815.02,7155296.53,2576963.40,25194631.37,21393373.12,13649321.57,8275254.13,21516389.49,10667417.67,7791671.82,5022051.66,13000749.95,6949318.37,3455622.02,2104939.19,83918.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120367.01,1544595.06,638490.55,498433.14,1529592.01,819077.49,185725.60,244883.09,964849.40,763878.70,-5526.83,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.085900,0.659900,0.433500,0.249200,0.194800,0.723700,0.511000,0.296000,0.214000,0.608300,0.441800,0.230300,0.166500,0.452100,0.370000,0.214900,0.155000,0.580000,0.460000,0.260000,0.410000,1.420000,0.990000,0.560000,0.350000,1.180000,0.840000,0.490000,0.610000,2.720000,1.800000,0.950000,0.760000,2.660000,2.000000,1.160000,0.630000,1.490000,1.020000,0.550000,0.350000,1.270000,0.960000,0.480000,0.320000,1.050000,0.790000,0.850000,0.490000,0.0
26,稀释每股收益(元/股),0.085800,0.656000,0.430700,0.249400,0.194600,0.723600,0.511000,0.296000,0.214000,0.608300,0.441800,0.230300,0.166500,0.452100,0.370000,0.214900,0.155000,0.580000,0.460000,0.260000,0.410000,1.420000,0.990000,0.560000,0.350000,1.180000,0.840000,0.490000,0.610000,2.720000,1.800000,0.950000,0.760000,2.660000,2.000000,1.160000,0.630000,1.490000,1.020000,0.550000,0.350000,1.270000,0.960000,0.480000,0.320000,1.050000,0.790000,0.850000,0.490000,0.0
27,七、其他综合收益,4292301.56,-6726753.79,3023204.48,-8062545.93,-17743043.27,32187262.97,26264477.80,8768413.61,-23530364.31,-27005854.12,-20996537.11,-9716983.28,267164.26,2746174.97,1318275.21,1015033.46,-3847.23,1747637.99,1367525.67,-19837.18,121474.14,60762.70,192631.38,239185.79,218363.80,-691715.42,-464829.47,-363372.38,-81160.31,3357.70,147195.29,92296.55,-2400.00,-706542.83,-597629.93,-307502.71,0,-375189.50,-211123.94,-96363.82,0,-13205.78,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,77068647.93,552344729.14,370638667.81,205105197.90,128334763.13,577045818.99,412089149.35,234351799.82,135535368.18,426065774.39,310923821.17,165566514.44,125381499.32,341559435.37,271441166.31,159643588.96,113830763.40,424836706.51,332138634.57,187205834.48,118405557.66,398234451.39,276893539.67,157607109.35,98967715.52,331462936.73,236719062.20,136742523.96,85675411.34,382090124.46,253289668.10,133778390.80,106343788.37,373303595.36,279561185.25,162127978.39,88671221.55,211450493.06,144248245.18,77337776.94,50165119.96,145989561.81,101662169.33,0,33777696.21,0,84100158.34,0,0,0.0
29,归属于母公司所有者的综合收益总额,75647652.71,539348706.41,361254382.09,199332027.61,126864034.49,566711503.50,403359334.33,227196503.29,132958404.78,400871143.02,289534239.55,151918918.42,117106245.19,320043045.88,260773748.64,151851917.14,108808711.74,411835956.56,325189316.20,183750212.46,116300618.47,398150532.78,276893539.67,157607109.35,98967715.52,331462936.73,236719062.20,136742523.96,85675411.34,382090124.46,253289668.10,133778390.80,106343788.37,373303595.36,279561185.25,162127978.39,88671221.55,209330126.05,142703650.12,76699286.39,49666686.82,144459969.80,100843091.84,0,33532813.12,0,83336279.64,0,0,0.0
30,归属于少数股东的综合收益总额,1420995.22,12996022.73,9384285.72,5773170.29,1470728.64,10334315.49,8729815.02,7155296.53,2576963.40,25194631.37,21389581.62,13647596.02,8275254.13,21516389.49,10667417.67,7791671.82,5022051.66,13000749.95,6949318.37,3455622.02,2104939.19,83918.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120367.01,1544595.06,638490.55,498433.14,1529592.01,819077.49,0,244883.09,0,763878.70,0,0,0.0
