,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,350409756.99,259969329.18,162935630.46,291763687.92,227759599.66,138574462.28,53635876.19,246378846.15,195701321.78,110175304.65,47394444.11,40101577.44,38005013.03,26074113.37,8886193.46,47291263.20,36194018.00,28324590.60,9701862.48,48084157.80,30789131.45,16383970.25,5489421.95,45816235.89,33210419.58,22750396.33,11065743.36,41362227.54,32813515.41,22535736.24,11153549.05,27537539.48,19314210.60,13104583.72,5997092.99,9986336.58,4132479.41,2869197.58,-1203224.94,-70418925.82,-36285316.89,-23611228.45,-14899853.61,5577728.78,-15540424.34,2363967.95,-8095537.88,35718663.96,8623775.44,20582491.00,-9017155.31,27571643.19,4668952.96,14266962.06,-7300869.58,37291539.83,1865040.11,12634988.12,-7894345.10,34274278.10,4198188.55,10346038.09,-10637534.60,-90953694.12,-49625986.37,-25703305.45,-20410529.90,7688144.39,3406543.36,6451009.94,1069682.68,-92546333.87,12624037.93,25003826.80,18539283.37,28268073.12,15385664.61,52103188.33,31232847.50,81981388.96,37575622.19,62930759.17,21324743.59,66661530.94,37892687.00,65318664.48,39380576.00,50376177.42,0.0
20,减：所得税费用,85538805.99,62892535.68,41328271.89,73786598.25,56621046.43,34515065.27,13674309.76,61191942.27,47680749.93,26109881.60,11678432.52,9486705.00,8894307.05,4809575.03,2352030.99,8059559.02,6648781.22,4777050.69,2508202.30,11716843.21,7303840.54,3722364.19,1372355.50,11395074.31,8045150.76,5430146.82,2766435.84,10390197.02,8040097.47,5470652.67,2873830.30,7061251.29,4970047.74,3080338.99,1578053.95,3212871.51,833913.50,886176.64,-506926.03,-17872951.30,-8764006.02,-5595483.91,-3724963.40,1329698.35,-3904512.71,571585.35,-2023884.47,10774545.07,1221858.90,5223978.57,228669.93,1201170.21,694305.33,457948.35,200082.39,367503.88,558503.29,321462.99,74423.97,0,0,0,0,0,0,0,0,-970104.00,-2641784.54,-1512394.50,352995.28,5088955.41,5737023.77,4578063.63,2744670.20,4600271.02,2302653.62,8064950.66,4195339.79,11544609.93,5636244.75,9069197.75,3055495.05,9972425.88,5684038.00,9789695.40,5883553.00,7556426.61,0.0
21,五、净利润,264870951.00,197076793.50,121607358.57,217977089.67,171138553.23,104059397.01,39961566.43,185186903.88,148020571.85,84065423.05,35716011.59,30614872.44,29110705.98,21264538.34,6534162.47,39231704.18,29545236.78,23547539.91,7193660.18,36367314.59,23485290.91,12661606.06,4117066.45,34421161.58,25165268.82,17320249.51,8299307.52,30972030.52,24773417.94,17065083.57,8279718.75,20476288.19,14344162.86,10024244.73,4419039.04,6773465.07,3298565.91,1983020.94,-696298.91,-52545974.52,-27521310.87,-18015744.54,-11174890.21,4248030.43,-11635911.63,1792382.60,-6071653.41,24944118.89,7401916.54,15358512.43,-9245825.24,26370472.98,3974647.63,13809013.71,-7500951.97,36924035.95,1306536.82,12313525.13,-7968769.07,34274278.10,4198188.55,10346038.09,-10637534.60,-90953694.12,-49625986.37,-25703305.45,-20410529.90,8658248.39,6048327.90,7963404.44,716687.40,-97635289.28,6887014.16,20425763.17,15794613.17,23667802.10,13083010.99,44038237.67,27037507.71,70436779.03,31939377.44,53861561.42,18269248.54,56689105.06,32208649.00,55528969.08,33497023.00,42819750.81,0.0
22,归属于母公司所有者的净利润,237988986.73,180414661.81,111669474.23,204869356.78,161989460.90,100202984.43,38159948.13,177359289.29,141184137.20,80555726.07,33855226.44,30614872.44,29110705.98,21264538.34,6534162.47,39231704.18,29545236.78,23547539.91,7193660.18,36367314.59,23485290.91,12661606.06,4117066.45,34421161.58,25165268.82,17320249.51,8299307.52,30972030.52,24773417.94,17065083.57,8279718.75,20476288.19,14344162.86,10024244.73,4419039.04,6773465.07,3298565.91,1983020.94,-696298.91,-52545974.52,-27521310.87,-18015744.54,-11174890.21,4248030.43,-11635911.63,1792382.60,-6071653.41,24944118.89,7401916.54,15358512.43,-9245825.24,25362975.15,3340305.04,13390615.45,-7683754.51,36014653.54,796267.92,12019824.87,-8036765.51,34274278.10,4198188.55,10346038.09,-10637534.60,-90953694.12,-49625986.37,-25703305.45,-20410529.90,8658248.39,6048327.90,7963404.44,716687.40,-97635289.28,6887014.16,20425763.17,15794613.17,23667802.10,13083010.99,44038237.67,27037507.71,70436779.03,31939377.44,53861561.42,18269248.54,56689105.06,32208649.00,55528969.08,33497023.00,42819750.81,0.0
23,少数股东损益,26881964.27,16662131.69,9937884.34,13107732.89,9149092.33,3856412.58,1801618.30,7827614.59,6836434.65,3509696.98,1860785.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007497.83,634342.59,418398.26,182802.54,909382.41,510268.90,293700.26,67996.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.360000,0.270000,0.167000,0.310000,0.240000,0.150000,0.057000,0.280000,0.210000,0.120000,0.063000,0.110000,0.108000,0.079000,0.024000,0.150000,0.110000,0.087000,0.027000,0.130000,0.087000,0.047000,0.015000,0.130000,0.093000,0.060000,0.031000,0.110000,0.090000,0.060000,0.031000,0.080000,0.053000,0.040000,0.016000,0.025000,0.012000,0.007000,-0.002600,-0.190000,-0.100000,-0.067000,-0.041000,0.020000,-0.043000,0.007000,-0.023000,0.090000,0.027000,0.057000,-0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.360000,0.270000,0.167000,0.310000,0.240000,0.150000,0.057000,0.280000,0.210000,0.120000,0.063000,0.110000,0.108000,0.079000,0.024000,0.150000,0.110000,0.087000,0.027000,0.130000,0.087000,0.047000,0.015000,0.130000,0.093000,0.060000,0.031000,0.110000,0.090000,0.060000,0.031000,0.080000,0.053000,0.040000,0.016000,0.025000,0.012000,0.007000,-0.002600,-0.190000,-0.100000,-0.067000,-0.041000,0.020000,-0.043000,0.007000,-0.023000,0.090000,0.027000,0.057000,-0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-64590.75,1086598.89,6726440.86,-12298777.91,-12732351.78,-11851558.97,-2728096.94,-18312203.40,-13509754.53,-9981814.59,-2612159.74,-13698718.31,-19936527.55,-24706616.97,-15839143.06,23238897.16,122309.99,37549165.40,19202667.65,25623941.86,13576408.34,-305774.96,1651184.80,5442794.33,5137019.38,-5870879.27,-1406564.82,-13576406.87,-12659081.99,-1834648.32,-560587.42,-32582013.45,-21574115.07,-12247978.94,509624.89,-15118871.68,985274.77,-21336295.30,-3737249.18,49875288.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,264806360.25,198163392.39,128333799.43,205678311.76,158406201.45,92207838.04,37233469.49,166874700.48,134510817.32,74083608.46,33103851.85,16916154.13,9174178.43,-3442078.63,-9304980.59,62470601.34,29667546.77,61096705.31,26396327.83,61991256.45,37061699.25,12355831.10,5768251.25,39863955.91,30302288.20,11449370.24,6892742.70,17395623.65,12114335.95,15230435.25,7719131.33,-12105725.26,-7229952.21,-2223734.21,4928663.93,-8345406.61,4283840.68,-19353274.36,-4433548.09,-2670685.53,-27521310.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
