,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,998126515.83,252571158.59,241631412.41,245761362.36,370516916.82,181963480.16,106585443.82,56530574.31,383458782.87,159855055.34,149411850.08,63199336.74,731032231.22,321171301.84,194150452.54,37586690.06,330131069.92,38968795.63,36360116.80,7454808.07,104407378.42,54001616.38,27667465.73,7597436.97,34683065.24,12790175.48,7779813.54,2316890.44,16468291.54,2529409.69,1971015.52,1079487.36,20832742.63,20749519.75,1720713.53,263595.37,7110893.12,-216416547.76,-203199817.56,-204296809.38,14750432.72,971739.83,945358.93,750940.38,193524738.80,50305902.14,47104202.91,36319479.50,190802094.43,152821621.44,102480671.27,51010725.75,107975181.42,-19908934.78,-16169795.88,1301736.71,5209538.31,3970606.78,4483392.09,11506172.95,105039200.10,168822028.95,20696405.60,-21227785.72,-458019840.97,-52413151.51,-32798892.55,-11098109.02,-332499585.41,-28549103.23,-19715308.39,-6128795.49,-299245230.73,29541065.17,53714177.33,22060442.98,60579909.96,21147073.64,50714905.12,20543459.05,44417434.44,23553102.08,44812185.00,30897835.00,8993651.00,0.0
20,减：所得税费用,205855231.83,27461646.45,24382469.82,22151431.64,41441360.74,12163188.67,10704053.69,8883750.02,53172806.65,19210131.31,16501801.75,8580892.82,104039532.90,44089339.34,26688961.77,7018100.52,44509887.11,9817805.39,8825289.80,1591572.94,28859668.26,16333391.72,9730229.52,1896228.56,9112497.07,3219947.38,1955715.58,614977.15,3821147.81,932853.79,762312.92,291237.17,5321766.10,4975700.67,131644.50,131644.50,630881.61,0,388315.89,306919.97,1859669.71,0,0,0,0,0,0,0,15432596.41,14318617.09,14318617.09,14880003.65,38042518.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9775992.42,16981764.95,4909288.95,13367825.23,4196168.54,7556379.91,3081518.86,6585930.59,3532965.31,6721828.00,4634675.00,1349048.00,0.0
21,五、净利润,792271284.00,225109512.14,217248942.59,223609930.72,329075556.08,169800291.49,95881390.13,47646824.29,330285976.22,140644924.03,132910048.33,54618443.92,646852238.25,277081962.50,167461490.77,30568589.54,285621182.81,29150990.24,27534827.00,5863235.13,75547710.16,37668224.66,17937236.21,5701208.41,25570568.17,9570228.10,5824097.96,1701913.29,12647143.73,1596555.90,1208702.60,788250.19,15510976.53,15773819.08,1589069.03,131950.87,6480011.51,-216416547.76,-203588133.45,-204603729.35,12890763.01,971739.83,945358.93,750940.38,193524738.80,50305902.14,47104202.91,36319479.50,175369498.02,138503004.35,88162054.18,36130722.10,69932663.22,-19908934.78,-16169795.88,1301736.71,5209538.31,3970606.78,4483392.09,11506172.95,105039200.10,168822028.95,20696405.60,-21227785.72,-458019840.97,-52413151.51,-32798892.55,-11098109.02,-332499585.41,-28549103.23,-19715308.39,-6128795.49,-299245230.73,19765072.75,36732412.38,17151154.03,47212084.73,16950905.10,43158525.21,17461940.19,37831503.85,20020136.77,38090357.00,26263160.00,7644603.00,0.0
22,归属于母公司所有者的净利润,792190570.54,225715432.62,218547320.45,222516976.05,284207238.90,168809734.50,96402951.72,46136735.15,323846456.64,135206669.36,130556832.20,54769196.76,642838739.84,274385706.18,165949610.03,29941961.05,286535708.62,29150990.24,27534827.00,5863235.13,75547710.16,37668224.66,17937236.21,5701208.41,25570568.17,9570228.10,5824097.96,1701913.29,12647143.73,1596555.90,1208702.60,788250.19,15510976.53,15773819.08,1589069.03,131950.87,6486572.28,-216344006.54,-203581573.68,-204600436.43,12904652.37,979099.71,952566.77,754205.12,193537779.16,50305884.28,47104182.85,36319441.57,175369157.27,138502921.50,88162062.83,36130726.02,69932663.22,-19908934.78,-16169795.88,1301736.71,5209538.31,3970606.78,4483392.09,11506172.95,105039200.10,168822028.95,20696405.60,-21227785.72,-458019840.97,-52413151.51,-32798892.55,-11098109.02,-332499585.41,-28549103.23,-19715308.39,-6128795.49,-299245230.73,19765072.75,36732412.38,17151154.03,47212084.73,16950905.10,43158525.21,17461940.19,37831503.85,20020136.77,38090357.00,26263160.00,7644603.00,0.0
23,少数股东损益,80713.46,-605920.48,-1298377.86,1092954.67,44868317.18,990556.99,-521561.59,1510089.14,6439519.58,5438254.67,2353216.13,-150752.84,4013498.41,2696256.32,1511880.74,626628.49,-914525.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6560.77,-72541.22,-6559.77,-3292.92,-13889.36,-7359.88,-7207.84,-3264.74,-13040.36,17.86,20.06,37.93,340.75,82.85,-8.65,-3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.827300,0.520600,0.504100,0.513300,0.655500,0.389400,0.222400,0.106400,0.747000,0.311900,0.301100,0.126300,1.448400,0.632900,0.382800,0.069100,0.660900,0.067240,0.063510,0.013520,0.174260,0.086900,0.041400,0.013200,0.058980,0.022100,0.013400,0.003900,0.029170,0.003700,0.002800,0.001800,0.040000,0.036400,0.003700,0.000400,0.020000,-0.598800,-0.563500,-0.566300,0.040000,0.002700,0.003100,0.002500,0.640000,0.170000,0.160000,0.121600,0.580000,0.460000,0.290000,0.120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),1.827300,0.520600,0.504100,0.513300,0.655500,0.389400,0.222400,0.106400,0.747000,0.311900,0.301100,0.126300,1.448400,0.632900,0.382800,0.069100,0.660900,0.067240,0.063510,0.013520,0.174260,0.086900,0.041400,0.013200,0.058980,0.022100,0.013400,0.003900,0.029170,0.003700,0.002800,0.001800,0.040000,0.036400,0.003700,0.000400,0.020000,-0.598800,-0.563500,-0.566300,0.040000,0.002700,0.003100,0.002500,0.640000,0.170000,0.160000,0.121600,0.580000,0,0.290000,0.120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-28126953.75,-21828298.86,-36741596.29,-44036301.02,-60969581.02,-141866692.64,-93583527.31,-41721783.34,124085565.54,71417182.47,144738443.84,243087550.82,8372302.00,103945185.29,79380389.66,-13510139.90,21368325.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,764144330.25,203281213.28,180507346.30,179573629.70,268105975.06,27933598.85,2297862.82,5925040.95,454371541.76,212062106.50,277648492.17,297705994.74,640329885.30,381027147.79,246841880.43,17058449.64,306989508.26,29150990.24,27534827.00,5863235.13,75547710.16,37668224.66,17937236.21,5701208.41,25570568.17,9570228.10,5824097.96,1701913.29,12647143.73,1596555.90,0,0,15510976.53,0,1589069.03,131950.87,6480011.51,0,0,0,12890763.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,778398788.77,217804477.55,196595477.76,193909220.29,153029114.92,26519617.40,3342188.44,5715936.98,450960446.07,206954912.35,274965259.72,296423625.02,635755352.04,374726568.75,244351387.73,17426980.57,305823607.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589069.03,0,6486572.28,0,0,0,12904652.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-14254458.52,-14523264.27,-16088131.46,-14335590.59,115076860.14,1413981.45,-1044325.62,209103.97,3411095.69,5107194.15,2683232.45,1282369.72,4574533.26,6300579.04,2490492.70,-368530.93,1165900.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6560.77,0,0,0,-13889.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
