,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1923887590.13,1406023921.60,861179032.12,382347067.12,2011462750.99,1272487478.52,772964035.24,500800102.99,1411777768.80,1032014418.33,561669388.90,273960725.39,876869919.18,657109840.88,406120225.45,193087710.90,672984800.98,648402175.55,426521284.44,231567678.31,1069389021.44,739418174.69,519513659.56,279161928.59,1401141720.04,831344217.59,524913106.46,246678472.61,1185072759.53,849031532.89,637967763.10,235510223.23,1853737443.66,1415198789.13,964146073.49,464816997.29,1618769841.16,950057489.00,632334275.00,274338913.00,741447443.00,223352408.00,63033593.00,40760112.00,834525682.00,1162295881.00,709299592.00,242806344.00,840327399.00,399920794.00,228070658.00,109521294.00,349051137.00,151507543.00,103643904.00,87278156.00,265172739.00,110916005.00,94498765.00,84327039.00,243799302.00,123049561.00,112311595.00,85631674.00,250039789.00,118904764.00,88915887.00,83369885.00,217610631.00,101226310.00,102581184.00,86757563.00,318819762.00,141969656.00,320291179.00,102584323.00,180527181.00,77580000.00,163518000.00,64167000.00,151901000.00,80992787.00,212835245.00,81636485.25,173380319.00,103699813.06,34469978.88,0.0
20,减：所得税费用,412102003.26,239879131.70,194557608.92,81625026.37,460658168.20,358950460.46,207234252.80,109218623.63,377750989.72,293239948.84,204311311.76,72461302.20,298317351.26,196352393.82,121202462.01,50504478.67,184992064.66,162277583.46,99844536.19,47308380.71,201909845.21,174476063.95,120206297.57,58268598.56,272244138.82,148877357.05,104776645.36,47924131.33,241004171.18,146877663.39,111766159.62,44799820.25,223426424.31,125780596.11,100975541.31,51237649.95,157461063.15,73313369.00,48100049.00,26684547.00,73983249.00,17173277.00,11700684.00,6669736.00,20714662.00,20228245.00,18575151.00,13811829.00,27860917.00,31363087.00,26261109.00,16752899.00,65927446.00,24975040.00,21246188.00,20367940.00,57790934.00,24093250.00,19376295.00,14581229.00,49830482.00,23850234.00,19682592.00,13675364.00,47981349.00,22548466.00,18482918.00,11326092.00,49611411.00,18973463.00,19375993.00,13649158.00,67037175.00,28555743.00,63167510.00,27540585.00,42909307.00,15490000.00,24688000.00,8748000.00,6971000.00,1692357.00,3530958.00,1158389.24,0,20742299.00,4877359.00,0.0
21,五、净利润,1511785586.87,1166144789.90,666621423.20,300722040.75,1550804582.79,913537018.06,565729782.44,391581479.36,1034026779.08,738774469.49,357358077.14,201499423.19,578552567.92,460757447.06,284917763.44,142583232.23,487992736.32,486124592.09,326676748.25,184259297.60,867479176.23,564942110.74,399307361.99,220893330.03,1128897581.22,682466860.54,420136461.10,198754341.28,944068588.35,702153869.50,526201603.48,190710402.98,1630311019.35,1289418193.02,863170532.18,413579347.34,1461308778.01,876744120.00,584234226.00,247654366.00,667464194.00,206179131.00,51332909.00,34090376.00,813811020.00,1142067636.00,690724441.00,228994515.00,812466482.00,368557707.00,201809549.00,92768395.00,283123691.00,126532503.00,82397716.00,66910216.00,207381805.00,86822755.00,75122470.00,69745810.00,198429557.00,99199327.00,92629003.00,71956310.00,202058440.00,96356298.00,70432969.00,72043793.00,167999220.00,82252847.00,83205191.00,73108405.00,251782587.00,113413913.00,257123669.00,75043738.00,137617874.00,62090000.00,138830000.00,55419000.00,144930000.00,79300430.00,209304287.00,80478096.01,173380319.00,82957514.06,29592619.88,0.0
22,归属于母公司所有者的净利润,1340872231.25,974175802.62,549412013.04,212314573.86,923367607.76,498146746.15,278840331.32,208025198.73,520966388.50,362440675.79,168773580.84,110789115.09,265631733.92,181880412.29,104633398.76,86731034.56,240936690.16,172923454.81,110688822.73,106063823.34,421529323.78,264864917.43,177029551.44,126182761.04,736924743.94,415892794.49,249854642.73,131096182.66,626582505.17,404745508.67,307140415.85,125701182.27,876270082.36,749022421.42,501410322.71,228333641.30,840652124.34,491127333.00,324779048.00,131524408.00,393458804.00,120747488.00,19042480.00,32796050.00,415903670.00,628622675.00,350568532.00,122616113.00,519621442.00,187331950.00,116723569.00,65970011.00,204476052.00,106745555.00,78138983.00,59941741.00,181645885.00,79603001.00,71583736.00,60221736.00,162947858.00,80450359.00,79885700.00,65828595.00,175232381.00,79030468.00,78868433.00,66445596.00,162418220.00,74068735.00,72866989.00,65862725.00,230683893.00,100455292.00,206399189.00,64669351.00,111785055.00,52561000.00,84997000.00,40291000.00,103332000.00,71003782.00,185966648.00,67088407.18,173380319.00,82957514.06,29592619.88,0.0
23,少数股东损益,170913355.62,191968987.28,117209410.16,88407466.89,627436975.03,415390271.91,286889451.12,183556280.63,513060390.58,376333793.70,188584496.30,90710308.10,312920834.00,278877034.77,180284364.68,55852197.67,247056046.16,313201137.28,215987925.52,78195474.26,445949852.45,300077193.31,222277810.55,94710568.99,391972837.28,266574066.05,170281818.37,67658158.62,317486083.18,297408360.83,219061187.63,65009220.71,754040936.99,540395771.60,361760209.47,185245706.04,620656653.67,385616787.00,259455178.00,116129958.00,274005390.00,85431643.00,32290429.00,1294326.00,397907350.00,513444961.00,340155909.00,106378402.00,292845040.00,181225757.00,85085980.00,26798384.00,78647639.00,19786948.00,4258733.00,6968475.00,25735920.00,7219754.00,3538734.00,9524074.00,35481699.00,18748968.00,12743303.00,6127715.00,26826059.00,17325830.00,-8435464.00,5598197.00,5581000.00,8184112.00,10338202.00,7245680.00,21098694.00,12958621.00,50724480.00,10374387.00,25832819.00,9529000.00,53833000.00,15128000.00,41598000.00,8296648.00,23337639.00,13389688.83,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.040000,0.800000,0.480000,0.210000,0.890000,0.480000,0.270000,0.200000,0.500000,0.350000,0.160000,0.110000,0.260000,0.180000,0.100000,0.080000,0.230000,0.170000,0.110000,0.100000,0.410000,0.260000,0.170000,0.120000,0.710000,0.400000,0.240000,0.130000,0.610000,0.390000,0.300000,0.120000,0.850000,0.730000,0.490000,0.220000,0.810000,0.480000,0.310000,0.130000,0.380000,0.120000,0.020000,0.030000,0.400000,0.610000,0.340000,0.120000,0.500000,0.180000,0.110000,0.063900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),1.040000,0.800000,0.480000,0.210000,0.890000,0.480000,0.270000,0.200000,0.500000,0.350000,0.160000,0.110000,0.260000,0.180000,0.100000,0.080000,0.230000,0.170000,0.110000,0.100000,0.410000,0.260000,0.170000,0.120000,0.710000,0.400000,0.240000,0.130000,0.610000,0.390000,0.300000,0.120000,0.850000,0.730000,0.490000,0.220000,0.810000,0.480000,0.310000,0.130000,0.380000,0.120000,0.020000,0.030000,0.400000,0.610000,0.340000,0.120000,0.500000,0.180000,0.110000,0.063900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-2486954.33,292151.65,126742.31,110993.43,6319528.53,6126055.80,938457.41,-182271.57,-1213892.61,-1395875.46,-1540237.72,-1052734.89,1575019.15,675797.53,510855.47,16825.17,2256589.98,1061437.32,547121.00,320310.57,1025165.88,800068.07,1004199.70,787500.28,477198.66,-391.04,-5349.15,-5659.18,-1421.45,-78.89,884.41,-703.58,21838.32,919.21,326.32,0,-62556.37,0,0,0,13141958.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1509298632.54,1166436941.55,666748165.51,300833034.18,1557124111.32,919663073.86,566668239.85,391399207.79,1032812886.47,737378594.03,355817839.42,200446688.30,580127587.07,461433244.59,285428618.91,142600057.40,490249326.30,487186029.41,327223869.25,184579608.17,868504342.11,565742178.81,400311561.69,221680830.31,1129374779.88,682466469.50,420131111.95,198748682.10,944067166.90,702153790.61,526202487.89,190709699.40,1630332857.67,1289419112.23,863170858.50,413579347.34,1461246221.64,876744120.00,584234226.00,247654366.00,680606152.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
