,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,251984886.28,153105155.52,86648035.97,14264944.33,314129814.94,188152866.38,67137261.44,-23348096.97,115953576.60,32687752.20,18999287.32,-13574863.51,194122468.77,149799533.95,65460954.44,42078635.31,398583728.07,239340051.71,226431545.57,63966665.99,380386205.21,294176085.97,170115672.43,66455132.36,725322890.60,420364975.47,183973173.69,42218322.50,268481284.55,170106930.31,61518678.38,35204073.48,191884087.70,141332574.81,80657075.14,51389867.23,290036220.63,128159870.68,121859070.16,80578059.28,459504355.53,396507350.11,202402173.02,3129493.03,118584567.39,140564697.45,121431055.79,7958322.59,188680076.68,152361650.99,68556744.58,8372811.81,142959674.20,47485319.86,32174787.08,7720639.72,42501481.03,35238321.58,33424571.41,11598926.81,113072591.62,105481009.19,65368371.24,20169480.10,120071264.19,108771558.35,57749480.23,19197162.20,93591995.15,78437120.18,41471455.09,81142164.34,75211745.09,0.0
20,减：所得税费用,37447060.97,21847760.49,14018782.01,3268801.88,57938877.16,31881541.30,10296078.92,-468677.36,22486575.13,14334505.05,9334723.49,914254.73,46990467.90,33282375.84,16605130.23,10353657.89,60334737.84,47602921.80,44571315.48,14360635.91,66984733.11,65043345.08,40128664.22,12928226.97,164216764.95,104071456.28,56652898.86,8459729.10,72500024.34,37037246.04,13097886.52,8255688.14,33433549.51,25208341.70,12307985.35,7533144.69,44603713.92,20125300.65,18391218.09,11247863.23,46591946.18,51879679.70,24084756.49,2939060.28,23962939.92,17359603.61,9875386.25,1196213.75,12276200.05,10582397.57,4190631.88,93695.41,30464001.55,9780808.86,5713814.77,1621083.09,8762874.49,5944401.88,5913238.68,2249396.12,19572603.66,19410638.50,12200129.95,3761793.37,12896215.21,11480687.01,6235460.12,2002470.75,11722519.75,10196457.80,5755756.98,9155959.99,9566986.93,0.0
21,五、净利润,214537825.31,131257395.03,72629253.96,10996142.45,256190937.78,156271325.08,56841182.52,-22879419.61,93467001.47,18353247.15,9664563.83,-14489118.24,147132000.87,116517158.11,48855824.21,31724977.42,338248990.23,191737129.91,181860230.09,49606030.08,313401472.10,229132740.89,129987008.21,53526905.39,561106125.65,316293519.19,127320274.83,33758593.40,195981260.21,133069684.27,48420791.86,26948385.34,158450538.19,116124233.11,68349089.79,43856722.54,245432506.71,108034570.03,103467852.07,69330196.05,412912409.35,344627670.41,178317416.53,190432.75,94621627.47,123205093.84,111555669.54,6762108.84,176403876.63,141779253.42,64366112.70,8279116.40,112495672.65,37704511.00,26460972.31,6099556.62,33738606.54,29293919.70,27511332.72,9349530.69,93499987.96,86070370.69,53168241.29,16407686.73,107175048.98,97290871.34,51514020.11,17194691.45,81869475.40,68240662.38,35715698.11,71986204.35,65644758.16,0.0
22,归属于母公司所有者的净利润,206778581.39,128569085.68,69586526.92,10524035.29,251832770.67,151149689.58,54390011.47,-22575186.73,95953041.84,22238010.62,13594663.32,-12050717.86,161360046.30,130921381.86,61210450.54,36946604.70,348545452.00,211500046.19,186311872.24,52796619.69,292669211.44,238678561.70,150166586.01,62161942.20,520497077.40,334144376.39,141616988.67,38304088.76,215888227.45,137383865.42,52604130.64,26838834.20,154882905.94,111039195.00,69084287.87,40786229.19,231253042.08,104454744.56,95980100.75,61786853.05,355150367.64,294572151.64,154790476.82,5506648.96,105312264.92,114846948.63,97598747.06,7241804.11,127061799.47,103129062.08,46943827.34,5074613.03,93981290.31,41750979.29,26490380.61,6107872.29,33740874.58,29293758.85,27509017.85,9345220.67,93505071.74,86094330.56,53187757.75,16416608.17,107219272.18,97290871.34,51514020.11,17194691.45,81869475.40,68240662.38,35715698.11,71986204.35,65644758.16,0.0
23,少数股东损益,7759243.92,2688309.35,3042727.04,472107.16,4358167.11,5121635.50,2451171.05,-304232.88,-2486040.37,-3884763.47,-3930099.49,-2438400.38,-14228045.43,-14404223.75,-12354626.33,-5221627.28,-10296461.77,-19762916.28,-4451642.15,-3190589.61,20732260.66,-9545820.81,-20179577.80,-8635036.81,40609048.25,-17850857.20,-14296713.84,-4545495.36,-19906967.24,-4314181.15,-4183338.78,109551.14,3567632.25,5085038.11,-735198.08,3070493.35,14179464.63,3579825.47,7487751.32,7543343.00,57762041.71,50055518.77,23526939.71,-5316216.21,-10690637.45,8358145.21,13956922.48,-479695.27,49342077.16,38650191.34,17422285.36,3204503.37,18514382.34,-4046468.29,-29408.30,-8315.67,-2268.04,160.85,2314.87,4310.02,-5083.78,-23959.87,-19516.46,-8921.44,-44223.20,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.125800,0.078200,0.042000,0.006400,0.154900,0.092800,0.033100,-0.013900,0.059200,0.013700,0.008400,-0.007400,0.099600,0.080800,0.037800,0.022800,0.215100,0.130500,0.230000,0.065200,0.361300,0.294600,0.185400,0.076700,0.642500,0.412500,0.174800,0.047300,0.266500,0.169600,0.064900,0.033100,0.191200,0.137100,0.085300,0.050300,0.285500,0.128900,0.118500,0.091500,0.526100,0.436400,0.229300,0.008200,0.157200,0.171900,0.146900,0.010700,0.207600,0.168500,0.153400,0.016600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.125800,0.078200,0.042000,0.006400,0.154900,0.092800,0.033100,-0.013900,0.059200,0.013700,0.008400,-0.007400,0.099600,0.080800,0.037800,0.022800,0.215100,0.130500,0.230000,0.065200,0.361200,0.294600,0.185400,0.076700,0.642300,0.412500,0.174800,0.047300,0.266200,0.169600,0.064900,0.033100,0.191200,0.140100,0.087700,0,0.285500,0.127300,0.114600,0,0.526100,0,0.229300,0.008200,0.157200,0.171900,0.146900,0.010700,0.207600,0.168500,0.153400,0.016600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,628232.93,1234673.99,580695.68,2022796.45,890055.26,-1190306.31,1328898.54,415075.03,-2725245.29,-876743.67,-517520.63,443183.52,-63979.72,-293672.08,30060.35,-1304950.89,2134790.22,1429200.97,1427901.99,136742.45,-221867.18,38869.90,38869.89,0,-66587.53,0,0,0,-14699.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,215166058.24,132492069.02,73209949.64,13018938.90,257080993.04,155081018.77,58170081.06,-22464344.58,90741756.18,17476503.48,9147043.20,-14045934.72,147068021.15,116223486.03,48885884.56,30420026.53,340383780.45,193166330.89,183288132.08,49742772.53,313179604.92,229171610.79,130025878.10,53526905.39,561039538.12,316293519.19,127320274.83,33758593.40,195966560.79,133069684.27,48420791.86,26948385.34,158450538.19,116124233.11,68349089.79,43856722.54,245432506.71,108034570.03,103467852.07,69330196.05,412912409.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,207317554.70,129344870.44,69913665.73,11751433.47,252450324.76,150320903.66,55425437.13,-22268031.21,93729102.26,21458922.86,13081400.61,-11722762.06,161546363.68,130788263.95,61316911.65,35885026.70,350203974.52,212555271.39,187365798.45,52894186.41,292669211.44,238711601.11,150199625.42,62161942.20,520440478.00,334144376.39,141616988.67,38304088.76,215875732.94,137383865.42,52604130.64,26838834.20,154882905.94,111039195.00,69084287.87,40786229.19,231253042.08,104454744.56,95980100.75,61786853.05,355150367.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,7848503.54,3147198.58,3296283.91,1267505.43,4630668.28,4760115.11,2744643.93,-196313.37,-2987346.08,-3982419.38,-3934357.41,-2323172.66,-14478342.53,-14564777.92,-12431027.09,-5465000.17,-9820194.07,-19388940.50,-4077666.37,-3151413.88,20510393.48,-9539990.32,-20173747.32,-8635036.82,40599060.12,-17850857.20,-14296713.84,-4545495.36,-19909172.15,-4314181.15,-4183338.78,109551.14,3567632.25,5085038.11,-735198.08,3070493.35,14179464.63,3579825.47,7487751.32,7543343.00,57762041.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
