,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,424554624.11,260814363.83,102661016.48,271838117.48,436006429.07,331359817.71,107260910.14,78368622.16,206627312.26,143620231.69,19199046.73,356985976.98,361232846.66,264636166.82,105844271.99,548748560.06,325122174.34,205142046.85,104327925.48,239197153.48,230956547.67,119785897.09,36891576.52,355542300.25,210025907.25,119149195.78,30565554.41,-119543303.33,-87304164.64,92412289.12,96415556.77,401822983.01,409065469.39,272562541.71,80484081.39,368521951.26,293754125.16,31033095.95,1401486.14,12205745.09,-17551969.97,-13904422.76,-3251361.00,-56089265.11,-8530324.33,-11411504.19,1702413.53,7563322.82,5750836.37,4308628.10,2231767.26,5770759.49,8337385.32,4304720.91,1474765.89,8426682.27,7701817.21,3541670.07,2966921.67,20786730.81,-13425772.80,-9943756.93,233960.85,-7303652.20,-3303027.64,-5166440.57,-3972005.91,-81141399.74,-19060525.41,-16669500.30,-3592712.50,-74715.14,3074664.82,11303184.87,-3809322.12,5930781.56,1822352.35,-2560055.75,1153178.90,6150751.75,15365534.02,29826309.66,15897809.85,38505160.55,11868702.52,10298300.00,4270966.00,3881270.00,3055456.00,0.0
20,减：所得税费用,88260244.78,51484212.80,21338183.29,84895736.34,102189123.05,74888881.42,26494456.93,-11086009.54,24731096.23,18555363.64,3680348.14,48884112.30,73375808.22,52646862.40,20726825.45,97457971.54,67976108.28,42439545.38,20011877.20,39854043.40,43309191.65,19121266.52,6685023.28,60914068.57,53722808.12,34088047.22,9857799.21,23711411.45,-12535508.45,22714536.64,25649207.29,71616526.41,82776115.33,54199848.09,13555595.34,66118297.49,55927721.35,8280452.11,0,10200543.01,0,-98702.36,0,388938.26,0,0,0,1020236.39,1075653.17,1075653.17,0,140405.49,0,0,0,-1012066.13,0,0,0,3184118.70,0,0,0,0,0,0,0,19482.44,15789.92,817.15,0,-1892793.27,27381.58,1474507.81,649782.82,527649.92,236905.81,213268.93,140804.84,657515.18,2020418.06,3745134.82,2066715.81,5005670.87,281627.68,1303830.00,0,0,0,0.0
21,五、净利润,336294379.33,209330151.03,81322833.19,186942381.14,333817306.02,256470936.29,80766453.21,89454631.70,181896216.03,125064868.05,15518698.59,308101864.68,287857038.44,211989304.42,85117446.54,451290588.52,257146066.06,162702501.47,84316048.28,199343110.08,187647356.02,100664630.57,30206553.24,294628231.68,156303099.13,85061148.56,20707755.20,-143254714.78,-74768656.19,69697752.48,70766349.48,330206456.60,326289354.06,218362693.62,66928486.05,302403653.77,237826403.81,22752643.84,1401486.14,2005202.08,-17551969.97,-13805720.40,-3251361.00,-56478203.37,-8530324.33,-11411504.19,1702413.53,6543086.43,4675183.20,3232974.93,2231767.26,5630354.00,8337385.32,4304720.91,1474765.89,9438748.40,7701817.21,3541670.07,2966921.67,17602612.11,-13425772.80,-9943756.93,233960.85,-7303652.20,-3303027.64,-5166440.57,-3972005.91,-81160882.18,-19076315.33,-16670317.45,-3548121.64,1818078.13,3047283.24,9828677.06,-4459104.94,5403131.64,1585446.54,-2773324.68,1012374.06,5493236.57,13345115.96,26081174.84,13831094.04,33499489.68,11587074.84,8994470.00,2535828.00,2350411.00,1814257.00,0.0
22,归属于母公司所有者的净利润,321664996.66,197322140.15,79591443.00,151783128.07,297932276.83,221899845.05,70364968.82,51081631.01,146049335.58,107501447.37,11866411.87,286722917.50,284062968.50,207438666.24,86668775.64,422276884.65,249921125.79,162310810.29,83296345.49,182714079.89,190360608.75,102706427.22,33541480.88,302894499.52,162052394.40,91655911.74,24080093.41,-142119176.99,-74770273.66,69723628.82,70757374.53,330219314.37,326288937.13,218360698.78,66889506.93,302449656.62,237867353.02,22786214.17,1410205.86,2284148.31,-17408674.09,-13675049.82,-3294518.97,-56452066.21,-8538287.18,-11415259.41,1691188.65,6535219.30,4624721.71,3186922.55,2226413.04,5569743.27,8337385.32,4304720.91,1474765.89,9451707.79,7702618.27,3547873.99,2966921.67,17482852.24,-13416569.90,-9955478.07,308009.98,-7245644.43,-3277037.64,-5132330.34,-3977956.19,-80682173.60,-19034213.46,-16646172.86,-3570417.07,1768955.18,3043221.42,9721496.69,-4282155.63,5951138.71,1525146.85,-2874911.82,962385.31,5366811.02,13242893.58,25878106.77,13732354.65,33499489.68,11587074.84,8994470.00,2535828.00,2350411.00,1814257.00,0.0
23,少数股东损益,14629382.67,12008010.88,1731390.19,35159253.07,35885029.19,34571091.24,10401484.39,38373000.69,35846880.45,17563420.68,3652286.72,21378947.18,3794069.94,4550638.18,-1551329.10,29013703.87,7224940.27,391691.18,1019702.79,16629030.19,-2713252.73,-2041796.65,-3334927.64,-8266267.84,-5749295.27,-6594763.18,-3372338.21,-1135537.79,1617.47,-25876.34,8974.95,-12857.77,416.93,1994.84,38979.12,-46002.85,-40949.21,-33570.33,-8719.72,-278946.23,-143295.88,-130670.58,43157.97,-26137.16,7962.85,3755.22,11224.88,7867.13,50461.49,46052.38,5354.22,60610.73,0,0,0,-12959.39,-801.06,-6203.92,0,119759.87,-9202.90,11721.14,-74049.13,-58007.77,-25990.00,-34110.23,5950.28,-478708.58,-42101.87,-24144.59,22295.43,49122.95,4061.82,107180.37,-176949.31,-548007.07,60299.69,101587.14,49988.75,126425.55,102222.38,203068.07,98739.39,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.144900,0.088900,0.035900,0.068400,0.134200,0.100000,0.031700,0.023000,0.065800,0.048400,0.005300,0.133300,0.133500,0.099600,0.041600,0.212300,0.252400,0.163900,0.084100,0.184600,0.190000,0.103700,0.030000,0.305900,0.160000,0.092600,0.020000,-0.143500,-0.080000,0.140000,0.140000,0.760000,0.760000,0.510000,0.160000,0.710000,0.560000,0.189900,0.010000,0.019000,-0.140000,-0.110000,-0.030000,-0.470000,-0.070000,-0.100000,0.010000,0.050000,0.040000,0.030000,0.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.144900,0.088900,0.035900,0.068400,0.134200,0.100000,0.031700,0.023000,0.065800,0.048400,0.005300,0.133300,0.133500,0.099600,0.041600,0.212300,0.252400,0.163900,0.084100,0.184600,0.190000,0.103700,0.030000,0.305900,0.160000,0.092600,0.020000,-0.143500,-0.080000,0.140000,0.140000,0.760000,0.760000,0.510000,0.160000,0.710000,0.560000,0.189900,0.010000,0.019000,-0.140000,-0.110000,-0.030000,-0.470000,-0.070000,-0.100000,0.010000,0.050000,0.040000,0.030000,0.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,6.32,-15.37,-32.72,65.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173664.24,289127.89,0,0,-3020000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,336294385.65,209330135.66,81322800.47,186942446.34,333817306.02,256470936.29,80766453.21,89454631.70,181896216.03,125064868.05,15518698.59,308101864.68,287857038.44,211989304.42,85117446.54,451290588.52,257146066.06,162702501.47,84316048.28,199343110.08,187647356.02,100664630.57,30206553.24,294628231.68,156303099.13,85061148.56,20707755.20,-143254714.78,0,0,0,330206456.60,0,0,0,302229989.53,238115531.70,22752643.84,0,-1014797.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
