,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,-25849115.32,7494507.97,7962253.57,5018686.79,41058667.77,41653984.97,31500233.93,17871599.92,160641067.47,143504725.80,100896734.86,34950754.33,88756343.52,52024631.65,23915268.58,1864869.24,-22767053.94,-4414423.04,-4939953.71,7798694.31,14875601.57,26621805.56,19641202.66,13456342.92,67049505.83,49898073.38,29856102.43,11795780.60,48958803.28,30388481.95,18354683.88,7953687.88,16587841.82,12671641.98,9426831.36,5006398.54,52865715.05,34923114.08,23348131.45,10274296.70,38562731.11,27515946.97,19559409.02,8897798.10,37806947.00,26244357.07,19649032.43,7774585.56,37258857.04,23049884.19,16590619.26,6006933.05,33074158.67,28726741.85,19699754.77,30868581.99,28026087.62,0.0
20,减：所得税费用,6363854.77,1130524.59,606046.27,1017099.30,1599692.38,5148227.68,3825307.26,1461922.24,30709401.74,32684976.54,23916732.72,5536216.11,9642215.61,2919637.19,2039434.47,-263893.89,-246663.22,-462867.58,-542548.23,1315144.93,1310897.43,4404183.60,4317087.81,2426208.69,10826668.38,8401179.73,4906960.22,1679557.43,3129432.67,1379086.13,824183.65,461361.15,4929556.06,5011759.48,3420592.46,1463796.89,5238666.76,2821235.81,1876221.71,627572.69,3059497.43,1927688.87,1339220.96,641129.44,3314957.58,4176046.28,3395786.40,796005.85,5363512.53,2100054.83,1565490.42,516076.48,1498309.46,1837683.43,1837683.43,1135106.51,406384.48,0.0
21,五、净利润,-32212970.09,6363983.38,7356207.30,4001587.49,39458975.39,36505757.29,27674926.67,16409677.68,129931665.73,110819749.26,76980002.14,29414538.22,79114127.91,49104994.46,21875834.11,2128763.13,-22520390.72,-3951555.46,-4397405.48,6483549.38,13564704.14,22217621.96,15324114.85,11030134.23,56222837.45,41496893.65,24949142.21,10116223.17,45829370.61,29009395.82,17530500.23,7492326.73,11658285.76,7659882.50,6006238.90,3542601.65,47627048.29,32101878.27,21471909.74,9646724.01,35503233.68,25588258.10,18220188.06,8256668.66,34491989.42,22068310.79,16253246.03,6978579.71,31895344.51,20949829.36,15025128.84,5490856.57,31575849.21,26889058.42,17802731.14,29733475.48,27619703.14,0.0
22,归属于母公司所有者的净利润,-28369829.09,8085517.20,8414712.23,5080384.22,41708323.69,38631286.07,28619778.50,16987416.01,129662224.63,110812350.33,77654607.96,29379524.50,78830452.35,46921149.84,22591871.08,3456966.46,-19098211.29,-1292928.39,-2843794.75,7437603.05,15262137.81,22548636.52,15640178.07,11160837.62,56306587.90,41504598.83,24949142.21,10116223.17,45829370.61,29009395.82,17530500.23,7492326.73,11658285.76,7659882.50,6006238.90,3542601.65,47627048.29,32101878.27,21471909.74,9646724.01,35503233.68,25588311.03,18220188.06,8256668.66,34491989.42,22068310.79,16253246.03,6978579.71,31895344.51,20949829.36,15025128.84,5490856.57,31498658.69,26821465.78,17743390.94,29674468.36,27041525.73,0.0
23,少数股东损益,-3843141.00,-1721533.82,-1058504.93,-1078796.73,-2249348.30,-2125528.78,-944851.83,-577738.33,269441.10,7398.93,-674605.82,35013.72,283675.56,2183844.62,-716036.97,-1328203.33,-3422179.43,-2658627.07,-1553610.73,-954053.67,-1697433.67,-331014.56,-316063.22,-130703.39,-83750.45,-7705.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.93,0,0,0,0,0,0,0,0,0,0,77190.52,67592.64,59340.20,59007.12,578177.41,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.050000,0.014300,0.010000,0.010000,0.070000,0.068100,0.050000,0.030000,0.240000,0.195300,0.140000,0.110000,0.310000,0.180000,0.090000,0.010000,-0.070000,-0.010000,-0.020000,0.030000,0.060000,0.090000,0.060000,0.090000,0.500000,0.370000,0.220000,0.090000,0.400000,0.260000,0.150000,0.070000,0.100000,0.070000,0.050000,0.050000,0.640000,0.420000,0.280000,0.130000,0.470000,0.340000,0.240000,0.110000,0.460000,0.290000,0.210000,0.140000,0.760000,0.530000,0.400000,0.150000,0.830000,0.720000,0.470000,0.940000,0.860000,0.0
26,稀释每股收益(元/股),-0.050000,0.014300,0.010000,0.010000,0.070000,0.068100,0.050000,0.030000,0.230000,0.195300,0.140000,0.110000,0.310000,0.180000,0.090000,0.010000,-0.070000,-0.010000,-0.020000,0.030000,0.060000,0.090000,0.060000,0.090000,0.500000,0.370000,0.220000,0.090000,0.400000,0.260000,0.150000,0.070000,0.100000,0.070000,0.050000,0.050000,0.640000,0.420000,0.280000,0.130000,0.470000,0.340000,0.240000,0.110000,0.460000,0.290000,0.210000,0.140000,0.760000,0.530000,0.400000,0.150000,0.830000,0.720000,0.470000,0.940000,0.860000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-32212970.09,6363983.38,7356207.30,4001587.49,39458975.39,36505757.29,27674926.67,16409677.68,129931665.73,110819749.26,76980002.14,29414538.22,79114127.91,49104994.46,21875834.11,2128763.13,-22520390.72,-3951555.46,-4397405.48,6483549.38,13564704.14,22217621.96,15324114.85,11030134.23,56222837.45,41496893.65,24949142.21,10116223.17,45829370.61,29009395.82,17530500.23,7492326.73,11658285.76,7659882.50,6006238.90,3542601.65,47627048.29,32101878.27,21471909.74,9646724.01,35503233.68,25588258.10,0,0,0,0,0,0,0,20949829.36,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,-28369829.09,8085517.20,8414712.23,5080384.22,41708323.69,38631286.07,28619778.50,16987416.01,129662224.63,110812350.33,77654607.96,29379524.50,78830452.35,46921149.84,22591871.08,3456966.46,-19098211.29,-1292928.39,-2843794.75,7437603.05,15262137.81,22548636.52,15640178.07,11160837.62,56222837.45,41504598.83,24949142.21,10116223.17,45829370.61,29009395.82,17530500.23,7492326.73,11658285.76,7659882.50,6006238.90,3542601.65,47627048.29,32101878.27,21471909.74,9646724.01,35503233.68,25588311.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-3843141.00,-1721533.82,-1058504.93,-1078796.73,-2249348.30,-2125528.78,-944851.83,-577738.33,269441.10,7398.93,-674605.82,35013.72,283675.56,2183844.62,-716036.97,-1328203.33,-3422179.43,-2658627.07,-1553610.73,-954053.67,-1697433.67,-331014.56,-316063.22,-130703.39,0,-7705.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
