,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,-16329647.81,-9634262.61,-3063734.35,4427122.80,-7196378.69,-10464222.91,-10676028.15,4001389.63,-28452869.97,-15691645.25,-7037297.68,-41372595.09,-23047524.84,-15143832.75,-5377215.81,-35832459.70,-28638382.50,-19804331.04,-2833689.84,5699230.48,-13175751.12,-8005084.46,-4607444.43,-38927934.63,-17570212.15,-11555447.88,-8870817.76,5247225.93,22526037.37,29965715.24,-3941543.00,-30248650.60,-13644337.13,-9896973.06,-6334757.49,25039556.55,-16244451.53,-11152447.44,-2414288.48,-78813919.03,-14193250.45,-12622926.17,-3489248.37,6066639.42,-12900877.99,-9899985.69,-4626465.05,-81879223.27,-51511654.94,-11689635.26,-5260445.66,-117424637.50,-35733257.01,-23341065.28,-11551709.00,32030182.15,-11668519.70,-808026.51,12321590.79,-57561566.54,-34145078.68,-23831727.36,-8793250.62,17032247.19,13942106.60,18123750.04,5438826.54,89954027.99,25727302.86,17435116.83,10139050.07,59679811.27,33354926.56,79558096.17,46762852.45,67340588.42,56380739.73,24990626.22,0.0
20,减：所得税费用,125070.22,125070.22,0,147829.17,0,0,0,0,0,0,0,0,0,0,0,1003.36,1003.36,1003.36,0,2075.15,1200.15,1200.15,0,93997.07,0,0,21667.88,82286.65,0,0,0,80865.10,0,0,0,595075.64,891186.39,1111722.98,1033024.58,2816569.02,1087508.82,932095.52,38049.92,4810732.32,0,0,0,520188.93,0,0,0,115847.82,0,0,0,15940382.89,0,0,0,5205356.34,479247.18,479247.18,474869.34,16161558.79,10893455.81,9754606.05,2932584.05,32443544.94,8278978.32,6038004.03,3341106.91,11186893.49,11007125.77,13251679.58,15431741.31,10021839.11,8871402.51,3765340.55,0.0
21,五、净利润,-16454718.03,-9759332.83,-3063734.35,4279293.63,-7196378.69,-10464222.91,-10676028.15,4001389.63,-28452869.97,-15691645.25,-7037297.68,-41372595.09,-23047524.84,-15143832.75,-5377215.81,-35833463.06,-28639385.86,-19805334.40,-2833689.84,5697155.33,-13176951.27,-8006284.61,-4607444.43,-39021931.70,-17570212.15,-11555447.88,-8892485.64,5164939.28,22526037.37,29965715.24,-3941543.00,-30329515.70,-13644337.13,-9896973.06,-6334757.49,24444480.91,-17135637.92,-12264170.42,-3447313.06,-81630488.05,-15280759.27,-13555021.69,-3527298.29,1255907.10,-12900877.99,-9899985.69,-4626465.05,-82399412.20,-51511654.94,-11689635.26,-5260445.66,-117540485.32,-35733257.01,-23341065.28,-11551709.00,16089799.26,-11668519.70,-808026.51,12321590.79,-62766922.88,-34624325.86,-24310974.54,-9268119.96,870688.40,3048650.79,8369143.99,2506242.49,57510483.05,17448324.54,11397112.80,6797943.16,48492917.78,22347800.79,66306416.59,31331111.14,57318749.31,47509337.22,21225285.67,0.0
22,归属于母公司所有者的净利润,-16454300.00,-9759314.53,-3063470.77,4281168.55,-7194749.82,-10462360.43,-10674013.38,4120369.03,-28340122.03,-15579884.22,-6994682.79,-41155160.97,-22960931.90,-15023647.00,-5316638.08,-35848923.19,-28609505.58,-19773386.25,-2808057.40,5762378.05,-13187620.74,-8003976.48,-4618787.13,-39062050.80,-17655170.29,-11636248.07,-8944097.41,5117053.41,22529535.70,29970447.34,-3812754.37,-29578786.00,-13492138.23,-9784267.40,-6251682.29,23016313.48,-16747551.33,-11989630.81,-3352737.74,-79405099.43,-15222556.90,-13512507.05,-3513789.56,958513.63,-12899108.49,-9898448.05,-4624497.54,-81433103.51,-51123617.56,-11301393.49,-5120167.36,-98986474.00,-34010733.84,-22103340.99,-10801322.96,4116362.84,-10582581.12,-245405.30,12519613.89,-62868044.75,-34727263.85,-24638866.57,-9542218.63,1092231.68,2061348.50,7398866.54,1306928.59,38816542.71,17425061.71,11375932.53,6797813.93,48489364.29,22347800.79,66306416.59,31331111.14,57318749.31,47509337.22,21225285.67,0.0
23,少数股东损益,-418.03,-18.30,-263.58,-1874.92,-1628.87,-1862.48,-2014.77,-118979.40,-112747.94,-111761.03,-42614.89,-217434.12,-86592.94,-120185.75,-60577.73,15460.13,-29880.28,-31948.15,-25632.44,-65222.72,10669.47,-2308.13,11342.70,40119.10,84958.14,80800.19,51611.77,47885.87,-3498.33,-4732.10,-128788.63,-750729.70,-152198.90,-112705.66,-83075.20,1428167.43,-388086.59,-274539.61,-94575.32,-2225388.62,-58202.37,-42514.64,-13508.73,297393.47,-1769.50,-1537.64,-1967.51,-966308.69,-388037.38,-388241.77,-140278.30,-18554011.32,-1722523.17,-1237724.29,-750386.04,11973436.42,-1085938.58,-562621.21,-198023.10,101121.87,102937.99,327892.03,274098.67,-221543.28,987302.29,970277.45,1199313.90,18693940.34,23262.83,21180.27,129.23,3553.49,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.032300,-0.019200,-0.006000,0.008400,-0.014100,-0.020600,-0.021000,0.008100,-0.055700,-0.030600,-0.013700,-0.080900,-0.045100,-0.029500,-0.010400,-0.070500,-0.056200,-0.038900,-0.005500,0.011300,-0.025900,-0.015700,-0.009100,-0.076800,-0.034700,-0.022900,-0.017600,0.010100,0.044300,0.058900,-0.007500,-0.058100,-0.026500,-0.019200,-0.012300,0.045200,-0.032900,-0.023600,-0.006600,-0.156100,-0.029900,-0.026600,-0.006900,0.001900,-0.025400,-0.019500,-0.009100,-0.160000,-0.100500,-0.022200,-0.010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),-0.032300,-0.019200,-0.006000,0.008400,-0.014100,-0.020600,-0.021000,0.008100,-0.055700,-0.030600,-0.013700,-0.080900,-0.045100,-0.029500,-0.010400,-0.070500,-0.056200,-0.038900,-0.005500,0.011300,-0.025900,-0.015700,-0.009100,-0.076800,-0.034700,-0.022900,-0.017600,0.010100,0.044300,0.058900,-0.007500,-0.058100,-0.026500,-0.019200,-0.011700,0.045200,-0.032900,-0.023600,-0.006300,-0.156100,-0.029900,-0.026600,-0.006900,0.001900,-0.025400,-0.019500,-0.009100,-0.160000,-0.100500,-0.022200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112319.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-16454718.03,-9759332.83,-3063734.35,4279293.63,-7196378.69,-10464222.91,-10676028.15,4001389.63,-28452869.97,-15691645.25,-7037297.68,-41372595.09,-23047524.84,-15143832.75,-5377215.81,-35833463.06,-28639385.86,-19805334.40,-2833689.84,5697155.33,-13176951.27,-8006284.61,-4607444.43,-39021931.70,-17570212.15,-11555447.88,-8892485.64,5052620.28,22526037.37,29965715.24,-3941543.00,-30329515.70,-13644337.13,-9896973.06,-6334757.49,24444480.91,-17135637.92,-12264170.42,-3447313.06,-81630488.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,-16454300.00,-9759314.53,-3063470.77,4281168.55,-7194749.82,-10462360.43,-10674013.38,4120369.03,-28340122.03,-15579884.22,-6994682.79,-41155160.97,-22960931.90,-15023647.00,-5316638.08,-35848923.19,-28609505.58,-19773386.25,-2808057.40,5762378.05,-13187620.74,-8003976.48,-4618787.13,-39062050.80,-17655170.29,-11636248.07,-8944097.41,5004734.41,22529535.70,29970447.34,-3812754.37,-29578786.00,-13492138.23,-9784267.40,-6251682.29,23016313.48,-16747551.33,-11989630.81,-3352737.74,-79405099.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-418.03,-18.30,-263.58,-1874.92,-1628.87,-1862.48,-2014.77,-118979.40,-112747.94,-111761.03,-42614.89,-217434.12,-86592.94,-120185.75,-60577.73,15460.13,-29880.28,-31948.15,-25632.44,-65222.72,10669.47,-2308.13,11342.70,40119.10,84958.14,80800.19,51611.77,47885.87,-3498.33,-4732.10,-128788.63,-750729.70,-152198.90,-112705.66,-83075.20,1428167.43,-388086.59,-274539.61,-94575.32,-2225388.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
