,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,-531040464.13,-355692129.35,-137433902.84,-3719940930.96,-419772192.41,-253355550.20,-39448327.37,194082685.01,252715176.09,166095540.04,73794377.75,66867492.14,-1469779.17,13212315.95,3803406.14,-18170368.85,-40373365.67,-29268160.36,-21389664.80,-4261026.96,-18498891.52,-17918848.08,-5528483.81,22527305.40,9409404.38,2254693.87,-1653892.53,29097594.12,21972682.48,13288006.96,2651495.65,41317676.55,27844088.26,7609182.76,3556388.58,33563505.78,18397345.27,14826898.60,4712032.22,66026352.78,-2098937.55,-2171351.76,45584.70,-57189098.47,-16965289.44,-11905410.89,-7577200.50,-17440017.86,-1611118.96,-2483178.72,957169.23,27722623.75,26727196.81,13753867.41,1871263.29,21348308.38,13857187.04,8929355.13,2396866.74,19465088.57,8552230.62,4216047.21,1164984.02,19206682.53,15433379.21,10814126.97,3723371.85,27527729.28,28149720.22,22209915.09,745778.15,48313865.74,33542997.77,72196086.69,42624829.92,75428208.17,39649463.72,91627035.32,31781284.29,62766633.31,27866757.64,53703849.14,21230628.74,27425366.68,0.0
20,减：所得税费用,40148.03,14159.01,8591.81,13817330.34,-3320745.54,-1261206.43,-937960.10,63966592.69,49048867.55,30950451.87,17637014.25,29657304.94,13082719.03,9516958.81,7198101.20,7250446.52,631107.18,372951.41,85332.01,12419666.09,5239528.90,2468852.34,2363156.10,10093102.15,5231375.55,905316.35,221280.49,4268872.28,2063683.48,1168915.09,512427.82,7269474.43,3538223.33,788250.79,163768.72,14252549.19,8845515.00,6694001.17,2451329.68,20552499.42,1065023.29,739881.32,731465.01,-2787083.42,1712834.53,770307.08,68977.86,906471.10,2727352.48,1724498.15,586578.66,15448252.93,7948798.40,4410938.95,2065813.53,8292383.14,4261943.03,2715843.32,1043906.28,6878471.49,4783906.17,3535830.00,1219279.03,8746898.70,5888130.42,4023364.42,1141012.42,7142321.78,5604800.94,4289010.26,1053260.23,7930029.60,5098866.06,13750886.73,6925115.79,12185191.80,6552077.16,14151300.59,4995418.00,9400327.85,4335041.96,7818983.52,3169506.07,4107055.08,0.0
21,五、净利润,-531080612.16,-355706288.36,-137442494.65,-3733758261.30,-416451446.87,-252094343.77,-38510367.27,78488310.78,203666308.54,135145088.17,56157363.50,37210187.20,-14552498.20,3695357.14,-3394695.06,-25420815.37,-41004472.85,-29641111.77,-21474996.81,-16680693.05,-23738420.42,-20387700.42,-7891639.91,12434203.25,4178028.83,1349377.52,-1875173.02,24828721.84,19908999.00,12119091.87,2139067.83,34048202.12,24305864.93,6820931.97,3392619.86,19310956.59,9551830.27,8132897.43,2260702.54,45473853.36,-3163960.84,-2911233.08,-685880.31,-54402015.05,-18678123.97,-12675717.97,-7646178.36,-18346488.96,-4338471.44,-4207676.87,370590.57,12274370.82,18778398.41,9342928.46,-194550.24,13055925.24,9595244.01,6213511.81,1352960.46,12586617.08,3768324.45,680217.21,-54295.01,10459783.83,9545248.79,6790762.55,2582359.43,20385407.50,22544919.28,17920904.83,-307482.08,40383836.14,28444131.71,58445199.96,35699714.13,63243016.37,33097386.56,77475734.73,26785866.29,53366305.46,23531715.68,45884865.62,18061122.67,23318311.60,0.0
22,归属于母公司所有者的净利润,-499556958.55,-335454205.99,-131205132.56,-3683491910.86,-385826247.11,-231501726.65,-32334191.30,127229086.53,219157988.27,145910571.25,62507162.00,76580182.77,13371144.51,25767673.20,1408050.66,-18362731.06,-39546043.92,-28685944.89,-20967905.48,-14677638.75,-23771490.91,-20395791.23,-7887263.89,12419825.67,4095750.77,1329950.67,-1798441.82,24814098.82,19956674.07,12168015.51,2198503.44,34035680.51,24389447.47,6868418.85,3480480.85,19342184.14,9614520.00,8185340.99,2421981.17,45512344.84,-3051375.09,-2830281.92,-593228.31,-54392874.42,-18693109.98,-12676572.13,-7649297.45,-16956396.48,-4355620.36,-4273958.94,66584.17,12533345.53,18843936.04,9369736.07,45062.25,15313787.91,10112884.77,6485656.76,1561921.32,18123299.13,10576096.29,6388569.66,1766586.07,18658991.91,13345555.15,10521394.38,3175117.71,25218782.69,22419737.76,18028120.29,46011.54,38228929.75,27548495.58,56327360.43,33678633.26,58741173.58,32607238.23,77475734.73,26785866.29,53366305.46,23531715.68,45884865.62,18061122.67,23318311.60,0.0
23,少数股东损益,-31523653.61,-20252082.37,-6237362.09,-50266350.44,-30625199.76,-20592617.12,-6176175.97,-48740775.75,-15491679.73,-10765483.08,-6349798.50,-39369995.57,-27923642.71,-22072316.06,-4802745.72,-7058084.31,-1458428.93,-955166.88,-507091.33,-2003054.30,33070.49,8090.81,-4376.02,14377.58,82278.06,19426.85,-76731.20,14623.02,-47675.07,-48923.64,-59435.61,12521.61,-83582.54,-47486.88,-87860.99,-31227.55,-62689.73,-52443.56,-161278.63,-38491.48,-112585.75,-80951.16,-92652.00,-9140.63,14986.01,854.16,3119.09,-186935.87,17148.92,66282.07,304006.40,-258974.71,-65537.63,-26807.61,-239612.49,-2257862.67,-517640.76,-272144.95,-208960.86,-5536682.05,-6807771.84,-5708352.45,-1820881.08,-8199208.08,-3800306.36,-3730631.83,-592758.28,-4833375.19,125181.52,-107215.46,-353493.62,2154906.39,895636.13,2117839.53,2021080.87,4501842.79,490148.33,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.483000,-0.324000,-0.127000,-3.559800,-0.373000,-0.224000,-0.031000,0.123000,0.212000,0.141000,0.060000,0.121000,0.027000,0.052000,0.003000,-0.036800,-0.079000,-0.058000,-0.042000,-0.029400,-0.048000,-0.041000,-0.016000,0.024900,0.008000,0.003000,-0.004000,0.049700,0.040000,0.024400,0.004000,0.068200,0.049000,0.013800,0.007000,0.038800,0.019000,0.016400,0.004900,0.091200,-0.006100,-0.005670,-0.001200,-0.109100,-0.037500,-0.025000,-0.015300,-0.034000,-0.009300,-0.009000,0.000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),-0.483000,-0.324000,-0.127000,-3.559800,-0.373000,-0.224000,-0.031000,0.172900,0.212000,0.141000,0.060000,0.121000,0.027000,0.052000,0.003000,-0.036800,-0.079000,-0.058000,-0.042000,-0.029400,-0.048000,-0.041000,-0.016000,0.024900,0.008000,0.003000,-0.004000,0.049700,0.040000,0.024400,0.004000,0.068200,0.049000,0.013800,0.007000,0.038800,0.019000,0.016400,0.004900,0.091200,-0.006100,-0.005670,-0.001200,-0.109100,-0.037500,-0.025000,-0.015300,-0.034000,-0.009300,-0.009000,0.000200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,5887231.97,388901.14,-6411706.77,60122783.12,60222485.13,11267576.67,-50152325.84,-67706930.01,-48564384.01,-25019636.72,-5790239.51,97228916.47,-768537.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-525193380.19,-355317387.22,-143854201.42,-3718107778.18,-356228961.74,-240826767.10,-88662693.11,62409162.31,155101924.53,110125451.45,50367123.99,134439103.67,-15321035.56,3695357.14,-3394695.06,-25420815.37,-41004472.85,-29641111.77,-21474996.81,-16680693.05,-23738420.42,-20387700.42,-7891639.91,12434203.25,4178028.83,1349377.52,-1875173.02,24828721.84,19908999.00,12119091.87,2139067.83,34048202.12,24305864.93,6820931.97,3392619.86,19310956.59,9551830.27,8132897.43,2260702.54,45473853.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,-493669726.58,-335065304.85,-137616839.33,-3667841427.74,-325603761.98,-220234149.98,-82486517.14,111149938.06,170593604.26,120890934.53,56716922.49,173809099.24,12602607.15,25767673.20,1408050.66,-18362731.06,-39546043.92,-28685944.89,-20967905.48,-14677638.75,-23771490.91,-20395791.23,-7887263.89,12419825.67,4095750.77,1329950.67,-1798441.82,24814098.82,19956674.07,12168015.51,2198503.44,34035680.51,24389447.47,6868418.85,3480480.85,19342184.14,9614520.00,8185340.99,2421981.17,45512344.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-31523653.61,-20252082.37,-6237362.09,-50266350.44,-30625199.76,-20592617.12,-6176175.97,-48740775.75,-15491679.73,-10765483.08,-6349798.50,-39369995.57,-27923642.71,-22072316.06,-4802745.72,-7058084.31,-1458428.93,-955166.88,-507091.33,-2003054.30,33070.49,8090.81,-4376.02,14377.58,82278.06,19426.85,-76731.20,14623.02,-47675.07,-48923.64,-59435.61,12521.61,-83582.54,-47486.88,-87860.99,-31227.55,-62689.73,-52443.56,-161278.63,-38491.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
