,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,356763894.60,258238733.69,205572278.07,347370776.47,238991018.13,131542339.28,-20171765.42,425013382.80,304199014.59,211071490.89,138638260.47,362420866.52,298122033.09,210187865.94,15714876.57,387321356.17,314014553.12,239886085.40,51264819.78,258470649.34,111873891.09,69372027.14,17472032.42,283564115.97,161374908.47,118787791.58,30558634.80,150303329.07,137096844.28,101752341.48,43322621.40,172392851.71,147507296.13,88314519.13,40193967.61,139546277.36,97559076.64,50741651.02,25140268.98,73241782.77,54502317.76,28958037.25,3591716.67,27682107.48,32626867.77,25620373.95,-2004889.27,56852769.52,62812048.71,39031447.02,12712306.95,45414202.76,38842713.91,27717403.66,9474272.77,58179441.19,46401290.11,27301744.86,9542079.26,54506639.56,44578116.08,27846855.43,9513389.00,45663711.00,39369326.09,23030148.20,5056127.61,46349180.14,32680269.47,19174062.56,4339763.83,45384252.03,26369573.77,34172121.15,19794851.20,31689138.50,16367575.87,29979451.12,16058868.44,26115024.55,18397172.60,16983527.60,0.0
20,减：所得税费用,54861261.80,40106000.15,35894297.31,45465722.92,36894069.74,20276997.89,2555663.45,93829219.43,74085789.25,57395146.34,49559884.55,42236025.11,39592034.08,30777394.33,8887935.90,59514083.94,51758257.29,37943441.15,9707820.87,30815832.33,9479869.26,5597246.68,1653795.90,28923456.70,9351774.80,8798784.76,1997892.02,7692344.40,8549853.78,5446282.80,2887438.63,14951215.49,11643214.62,6074306.13,2204983.16,9314780.83,6973776.97,4245209.02,2126106.76,4862652.10,3797276.39,2173897.59,466053.45,4150628.52,-266873.17,-713987.64,675876.64,11280722.57,6609129.04,2792415.08,1424485.77,4227611.19,7099741.04,4681802.63,3177894.58,9608843.64,8846796.30,4610241.54,2970565.62,12028262.38,10886996.43,6431841.72,2557965.44,11671835.21,9123501.14,6020411.60,1983801.84,10249297.72,7536800.42,4199353.64,1061349.25,5325022.92,3892440.12,4955659.51,4973640.15,9170659.30,4875527.02,8847863.27,2263925.76,3635297.48,2046323.28,2191081.50,0.0
21,五、净利润,301902632.80,218132733.54,169677980.76,301905053.55,202096948.39,111265341.39,-22727428.87,331184163.37,230113225.34,153676344.55,89078375.92,320184841.41,258529999.01,179410471.61,6826940.67,327807272.23,262256295.83,201942644.25,41556998.91,227654817.01,102394021.83,63774780.46,15818236.52,254640659.27,152023133.67,109989006.82,28560742.78,142610984.67,128546990.50,96306058.68,40435182.77,157441636.22,135864081.51,82240213.00,37988984.45,130231496.53,90585299.67,46496442.00,23014162.22,68379130.67,50705041.37,26784139.66,3125663.22,23531478.96,32893740.94,26334361.59,-2680765.91,45572046.95,56202919.67,36239031.94,11287821.18,41186591.57,31742972.87,23035601.03,6296378.19,48570597.55,37554493.81,22691503.32,6571513.64,42478377.18,33691119.65,21415013.71,6955423.56,33991875.79,30245824.95,17009736.60,3072325.77,36099882.42,25143469.05,14974708.92,3278414.58,40059229.11,22477133.65,29216461.64,14821211.05,27505230.24,14011873.25,25629281.95,13794942.68,22479727.07,16350849.32,14792446.10,0.0
22,归属于母公司所有者的净利润,295237625.45,215336663.82,168148850.17,282366451.52,195733073.41,109837963.60,-22651523.19,314468217.97,218543150.20,145757733.70,88327123.30,300885489.81,244588309.37,171266677.22,4031922.77,307564282.55,247250169.99,190862530.95,37335544.92,207867819.08,99834436.95,61347570.62,15020083.60,253461646.38,150303588.14,110164282.62,29197374.80,141825861.92,127109967.73,95237541.56,40683605.30,157662313.41,134784753.96,80363073.32,38148643.22,140829901.93,101373684.43,58451483.68,25899944.00,83150843.57,60016511.98,33682362.57,6562259.22,36289161.26,43610542.08,33845616.38,3246943.02,55973762.37,54678582.62,32220377.74,10416074.04,39538232.70,28029778.20,19320874.67,5047254.42,44400405.42,34045827.18,21100969.37,6786864.62,40828754.71,32058716.20,21022110.01,6868770.48,35464706.28,30754954.36,17702523.78,3558233.08,35358653.84,25239270.50,15461478.51,3067637.76,37726309.25,21225763.07,28296826.06,14529808.06,26842974.53,13791053.88,24374205.94,13137335.83,21639021.76,15429902.17,14446674.65,0.0
23,少数股东损益,6665007.35,2796069.72,1529130.59,19538602.03,6363874.98,1427377.79,-75905.68,16715945.40,11570075.14,7918610.85,751252.62,19299351.60,13941689.64,8143794.39,2795017.90,20242989.68,15006125.84,11080113.30,4221453.99,19786997.93,2559584.88,2427209.84,798152.92,1179012.89,1719545.53,-175275.80,-636632.02,785122.75,1437022.77,1068517.12,-248422.53,-220677.19,1079327.55,1877139.68,-159658.77,-10598405.40,-10788384.76,-11955041.68,-2885781.78,-14771712.90,-9311470.61,-6898222.91,-3436596.00,-12757682.30,-10716801.14,-7511254.79,-5927708.93,-10401715.42,1524337.05,4018654.20,871747.14,1648358.87,3713194.67,3714726.36,1249123.77,4170192.13,3508666.63,1590533.95,-215350.98,1649622.47,1632403.45,392903.70,86653.08,-1472830.49,-509129.41,-692787.18,-485907.31,741228.58,-95801.45,-486769.59,210776.82,2332919.86,1251370.58,919635.58,291402.99,662255.71,220819.37,1255076.01,657606.85,840705.31,920947.15,345771.45,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.450000,0.330000,0.260000,0.430000,0.300000,0.170000,-0.030000,0.480000,0.330000,0.330000,0.200000,0.690000,0.560000,0.390000,0.010000,0.720000,0.580000,0.480000,0.090000,0.530000,0.250000,0.160000,0.040000,0.640000,0.380000,0.280000,0.070000,0.360000,0.320000,0.240000,0.100000,0.400000,0.340000,0.200000,0.150000,0.540000,0.390000,0.220000,0.150000,0.470000,0.340000,0.190000,0.037400,0.210000,0.250000,0.190000,0.020000,0.320000,0.310000,0.180000,0.060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.440000,0.300000,0.230000,0.430000,0.300000,0.170000,-0.030000,0.480000,0.330000,0.330000,0.200000,0.690000,0.560000,0.390000,0.010000,0.720000,0.580000,0.480000,0.090000,0.530000,0.250000,0.160000,0.040000,0.640000,0.380000,0.280000,0.070000,0.360000,0.320000,0.240000,0.100000,0.400000,0.340000,0.200000,0.150000,0.540000,0.390000,0.220000,0.150000,0.470000,0.340000,0.190000,0.037400,0.210000,0.250000,0.190000,0.020000,0.320000,0.310000,0.180000,0.060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-11146461.87,761209.37,1762147.29,-138282847.68,-6051550.96,14789980.77,9351408.82,193219044.43,216196951.30,113599893.71,42067441.61,14272634.88,24156800.72,6173716.36,-37493289.63,-256419773.12,-287101199.55,-130982918.99,-7440197.21,-59923556.15,-72394099.48,-118826620.26,-68964325.23,49051195.63,-492986.87,-5628781.39,61266802.04,61348495.31,25884443.12,12324344.93,4610127.71,258715091.18,352233056.33,429400522.62,-2578815.49,-575576.49,4458515.22,4962028.43,914682.45,-1906553.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,290756170.93,218893942.91,171440128.05,163622205.87,196045397.43,126055322.16,-13376020.05,524403207.80,446310176.64,267276238.26,131145817.53,334457476.29,282686799.73,185584187.97,-30666348.96,71387499.11,-24844903.72,70959725.26,34116801.70,167731260.86,29999922.35,-55051839.80,-53146088.71,303691854.90,151530146.80,104360225.43,89827544.82,203959479.98,154431433.62,108630403.61,45045310.48,416156727.40,488097137.84,511640735.62,35410168.96,129655920.04,95043814.89,51458470.43,23928844.67,66472576.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,284038543.05,216006818.57,169941863.72,143910749.55,189508758.19,124805491.87,-13200717.10,507592957.99,434775144.81,259503137.29,130534322.60,314943165.08,268554395.74,177249147.47,-33365591.22,51463679.66,-39851029.56,59879611.96,29895347.71,147944262.93,27440337.47,-57479049.64,-53944241.63,302512842.01,149810601.27,104535501.23,90464176.84,203174357.23,152994410.85,107561886.49,45293733.01,416377404.59,487017810.29,509763595.94,35569827.73,140254325.44,105832199.65,63413512.11,26814626.45,81244289.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,6717627.88,2887124.34,1498264.33,19711456.32,6536639.24,1249830.29,-175302.95,16810249.81,11535031.83,7773100.97,611494.93,19514311.21,14132403.99,8335040.50,2699242.26,19923819.45,15006125.84,11080113.30,4221453.99,19786997.93,2559584.88,2427209.84,798152.92,1179012.89,1719545.53,-175275.80,-636632.02,785122.75,1437022.77,1068517.12,-248422.53,-220677.19,1079327.55,1877139.68,-159658.77,-10598405.40,-10788384.76,-11955041.68,-2885781.78,-14771712.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
