,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,14333446.11,160271883.79,122123264.65,90676537.15,50604550.32,137133201.87,123232509.51,81293924.80,39495379.32,153591817.80,96254643.99,63731850.22,10589707.25,39403995.79,9497636.01,4686025.45,1740507.24,19190282.32,15852747.37,4729488.73,1397241.17,21143981.16,20709808.83,7993880.93,4709078.22,24408927.52,20263315.81,7063084.39,3163031.89,-35535672.50,-962792.54,250560.35,2997117.38,12892871.66,14237773.78,9671241.03,4157477.08,12305159.64,11537716.57,6662382.58,2405458.59,5608879.90,1851122.51,531390.34,495500.60,-17804479.43,4043002.65,2496560.28,1088213.66,11880592.20,7423396.31,3786863.48,2070605.04,18678836.72,15185177.67,10881919.61,4125891.06,14685323.41,9315369.04,5406085.30,16806106.57,7157573.87,0.0
20,减：所得税费用,933597.03,22815531.36,17582856.87,13433876.65,5643336.33,14827429.60,16798592.94,10573870.59,4086181.77,17842425.44,10590146.64,9514986.24,1519238.50,5125765.94,1303280.18,549925.21,492553.37,2904970.26,1638618.96,735174.86,383641.42,1711265.34,2684156.28,759337.80,548795.20,3129652.90,3642867.07,1243912.15,907489.99,-827710.76,-825577.61,-768162.01,611677.28,2284803.78,2568740.94,1873250.58,777111.83,1736259.94,1301508.76,637755.36,627892.18,2699202.74,1357453.34,-89314.91,683281.09,-4352122.15,0,0,0,220431.45,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,五、净利润,13399849.08,137456352.43,104540407.78,77242660.50,44961213.99,122305772.27,106433916.57,70720054.21,35409197.55,135749392.36,85664497.35,54216863.98,9070468.75,34278229.85,8194355.83,4136100.24,1247953.87,16285312.06,14214128.41,3994313.87,1013599.75,19432715.82,18025652.55,7234543.13,4160283.02,21279274.62,16620448.74,5819172.24,2255541.90,-34707961.74,-137214.93,1018722.36,2385440.10,10608067.88,11669032.84,7797990.45,3380365.25,10568899.70,10236207.81,6024627.22,1777566.41,2909677.16,493669.17,620705.25,-187780.49,-13452357.28,4043002.65,2496560.28,1088213.66,11660160.75,7423396.31,3786863.48,2070605.04,18678836.72,15185177.67,10881919.61,4125891.06,14685323.41,9315369.04,5406085.30,16806106.57,7157573.87,0.0
22,归属于母公司所有者的净利润,13405460.62,137209639.73,104540407.78,77242660.50,44961213.99,122305772.27,106303102.13,70589239.77,35278383.11,135716771.17,85437916.20,54174205.61,9074422.90,34376875.64,8201496.65,4139271.19,1254372.19,16408102.84,14237030.40,4009467.40,1021626.23,19509377.91,18063937.33,7263649.73,4169884.86,21307586.87,16651047.30,5838443.36,2266126.53,-34515566.61,-45452.02,1079323.32,2420916.35,10635916.03,11673729.24,7825177.18,3387511.33,10280538.26,9666063.52,5561967.42,1777566.41,3205581.91,944633.80,943525.10,101957.31,-12735818.11,4293070.11,2693252.55,1188062.16,11632140.88,7385665.88,3769866.95,2078180.08,18474112.13,14978924.87,10703126.13,4084432.80,14776405.41,9389356.46,5431112.79,16636380.16,7435759.84,0.0
23,少数股东损益,-5611.54,246712.70,0,0,0,0,130814.44,130814.44,130814.44,32621.19,226581.15,42658.37,-3954.15,-98645.79,-7140.82,-3170.95,-6418.32,-122790.78,-22901.99,-15153.53,-8026.48,-76662.09,-38284.78,-29106.60,-9601.84,-28312.25,-30598.56,-19271.12,-10584.63,-192395.13,-91762.91,-60600.96,-35476.25,-27848.15,-4696.40,-27186.73,-7146.08,288361.44,570144.29,462659.80,0,-295904.75,-450964.63,-322819.85,-289737.80,-716539.17,-250067.46,-196692.27,-99848.50,28019.87,37730.43,16996.53,-7575.04,204724.59,206252.80,178793.48,41458.26,-91082.00,-73987.42,-25027.49,169726.41,-278185.97,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.023300,0.238500,0.181700,0.134300,0.117200,0.318300,0.276500,0.183500,0.140000,0.529100,0.360000,0.230200,0.050000,0.172400,0.040000,0.020800,0.010000,0.082300,0.070000,0.020100,0.010000,0.097800,0.090000,0.036400,0.040000,0.213700,0.167000,0.058600,0.022700,-0.365400,-0.000500,0.010000,0.030000,0.130000,0.140000,0.090000,0.040000,0.120000,0.120000,0.070000,0.020000,0.040000,0.011300,0.010000,0.001000,-0.150000,0.050000,0.030000,0.010000,0.140000,0.090000,0.040000,0.030000,0,0,0,0.100000,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.023300,0.238500,0.181700,0.134300,0.117200,0.318300,0.276500,0.183500,0.140000,0.529100,0.360000,0.230200,0.050000,0.172400,0.040000,0.020800,0.010000,0.082300,0.070000,0.020100,0.010000,0.097800,0.090000,0.036400,0.040000,0.213700,0.167000,0.058600,0.022700,-0.365400,-0.000500,0.010000,0.030000,0.130000,0.140000,0.090000,0.040000,0.120000,0.120000,0.070000,0.020000,0.040000,0.011300,0.010000,0.001000,-0.150000,0.050000,0.030000,0.010000,0.140000,0.090000,0.040000,0.030000,0,0,0,0.100000,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,13399849.08,137456352.43,104540407.78,77242660.50,44961213.99,122305772.27,106433916.57,70720054.21,35409197.55,135749392.36,85664497.35,54216863.98,9070468.75,34278229.85,8194355.83,4136100.24,1247953.87,16285312.06,14214128.41,3994313.87,1013599.75,19432715.82,18025652.55,7234543.13,4160283.02,21279274.62,16620448.74,5819172.24,2255541.90,-34707961.74,-137214.93,1018722.36,2385440.10,10608067.88,11669032.84,7797990.45,3380365.25,10568899.70,10236207.81,6024627.22,1777566.41,2909677.16,493669.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,13405460.62,137209639.73,104540407.78,77242660.50,44961213.99,122305772.27,106303102.13,70589239.77,35278383.11,135716771.17,85437916.20,54174205.61,9074422.90,34376875.64,8201496.65,4139271.19,1254372.19,16408102.84,14237030.40,4009467.40,1021626.23,19509377.91,18063937.33,7263649.73,4169884.86,21307586.87,16651047.30,5838443.36,2266126.53,-34515566.61,-45452.02,1079323.32,2420916.35,10635916.03,11673729.24,7825177.18,3387511.33,10280538.26,9666063.52,5561967.42,1777566.41,3205581.91,944633.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-5611.54,246712.70,0,0,0,0,130814.44,130814.44,130814.44,32621.19,226581.15,42658.37,-3954.15,-98645.79,-7140.82,-3170.95,-6418.32,-122790.78,-22901.99,-15153.53,-8026.48,-76662.09,-38284.78,-29106.60,-9601.84,-28312.25,-30598.56,-19271.12,-10584.63,-192395.13,-91762.91,-60600.96,-35476.25,-27848.15,-4696.40,-27186.73,-7146.08,288361.44,570144.29,462659.80,0,-295904.75,-450964.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
