,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,108699172.07,53210265.57,28619506.84,7013772.50,91151698.02,50723588.79,26532786.61,5624660.19,69086551.64,30750987.69,12938296.51,2784377.23,53240608.11,5096548.09,3952500.05,2292296.88,10972708.44,-4093792.50,5979407.27,3846671.00,3462334.93,3669950.68,1376374.88,672433.63,1069623.42,2671096.79,2576800.04,469304.39,43707941.22,74953913.87,37192931.98,811333.17,64336935.86,73835754.32,38533195.27,2637849.38,103719070.78,70296901.28,35263070.53,2079635.28,84504290.34,60892488.32,30546535.69,2871196.08,66806472.38,57743850.79,37997634.78,2913641.93,50304729.84,43665427.00,13519540.74,857283.84,45248944.48,35548451.55,0.0
20,减：所得税费用,13981195.37,8527341.20,6258281.83,516235.33,12112184.45,4686257.29,707428.64,2691019.07,8521999.49,5763210.45,2979492.27,288777.88,2961110.13,2236896.70,1253745.42,895233.53,6365381.81,3667774.86,3642923.87,927041.21,-4305025.98,1415610.85,1268224.32,1255872.73,-2422880.24,2292132.13,2057634.44,608669.00,6193964.71,12417096.13,6751302.05,308132.98,2094533.37,6281865.20,3321598.01,421231.61,13448302.52,6657601.50,3837844.56,238391.63,5266822.12,6047722.64,3260872.68,301758.40,815696.92,4094243.11,1787385.14,404642.94,3463966.07,2435275.33,1643251.87,86909.89,2747071.93,3182554.36,0.0
21,五、净利润,94717976.70,44682924.37,22361225.01,6497537.17,79039513.57,46037331.50,25825357.97,2933641.12,60564552.15,24987777.24,9958804.24,2495599.35,50279497.98,2859651.39,2698754.63,1397063.35,4493119.07,-7761567.36,2336483.40,2919629.79,7767360.91,2254339.83,108150.56,-583439.10,3492503.66,378964.66,519165.60,-139364.61,37513976.51,62536817.74,30441629.93,503200.19,62242402.49,67553889.12,35211597.26,2216617.77,90270768.26,63639299.78,31425225.97,1841243.65,79237468.22,54844765.68,27285663.01,2569437.68,65990775.46,53649607.68,36210249.64,2508998.99,46840763.77,41230151.67,11876288.87,770373.95,42501872.55,32365897.19,0.0
22,归属于母公司所有者的净利润,90831161.07,41938023.65,20465096.16,6307557.19,72167400.45,40149220.66,22466804.03,1174714.73,53179323.21,19199808.73,6024297.24,1272165.34,45717077.64,466939.88,1210862.39,689702.32,3015637.75,-9053932.96,1712787.41,1018693.78,7687939.29,3459783.47,1286158.28,774169.11,7612050.29,3492006.75,1918357.75,1043337.71,42428977.99,65259709.59,32584408.88,1932626.87,64056653.57,67553889.12,35211597.26,2216617.77,90270768.26,63639299.78,31425225.97,1841243.65,79352241.78,55061564.22,27249063.23,2715790.54,66163377.38,53878319.08,36286449.53,2508914.33,46840889.89,41230151.67,11876288.87,770373.95,42501872.55,32365897.19,0.0
23,少数股东损益,3886815.63,2744900.72,1896128.85,189979.98,6872113.12,5888110.84,3358553.94,1758926.39,7385228.94,5787968.51,3934507.00,1223434.01,4562420.34,2392711.51,1487892.24,707361.03,1477481.32,1292365.60,623695.99,1900936.01,79421.62,-1205443.64,-1178007.72,-1357608.21,-4119546.63,-3113042.09,-1399192.15,-1182702.32,-4915001.48,-2722891.85,-2142778.95,-1429426.68,-1814251.08,0,0,0,0,0,0,0,-114773.56,-216798.54,36599.78,-146352.86,-172601.92,-228711.40,-76199.89,84.66,-126.12,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.222300,0.102700,0.050100,0.015400,0.176600,0.098300,0.055000,0.002900,0.130200,0.047000,0.014700,0.003100,0.111900,0.001100,0.003000,0.001700,0.007700,-0.022200,0.004200,0.002500,0.018800,0.008500,0.003100,0.001900,0.018600,0.008500,0.004700,0.002600,0.103900,0.159700,0.079800,0.004700,0.156800,0.165400,0.086200,0.007600,0.314000,0.230000,0.120000,0.007200,0.310000,0.220000,0.110000,0.010000,0.570000,0.480000,0.340000,0,0.490000,0.430000,0.120000,0,0.450000,0.340000,0.0
26,稀释每股收益(元/股),0.222300,0.102700,0.050100,0.015400,0.176600,0.098300,0.055000,0.002900,0.130200,0.047000,0.014700,0.003100,0.111900,0.001100,0.003000,0.001700,0.007700,-0.022200,0.004200,0.002500,0.018800,0.008500,0.003100,0.001900,0.018600,0.008500,0.004700,0.002600,0.103900,0.159700,0.079800,0.004700,0.156800,0.165400,0.086200,0.007600,0.314000,0.230000,0.120000,0.007200,0.310000,0.220000,0.110000,0.010000,0.570000,0.480000,0.340000,0,0.490000,0.430000,0.120000,0,0.450000,0.340000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,76372.79,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,94717976.70,44682924.37,22361225.01,6497537.17,79039513.57,46037331.50,25825357.97,2933641.12,60564552.15,24987777.24,9958804.24,2495599.35,50279497.98,2859651.39,2698754.63,1397063.35,4607326.63,-7761567.36,2336483.40,2919629.79,7767360.91,2254339.83,108150.56,-583439.10,3492503.66,378964.66,519165.60,-139364.61,37590349.30,62536817.74,30441629.93,503200.19,62242402.49,67553889.12,35211597.26,2216617.77,90270768.26,63639299.78,31425225.97,1841243.65,79237468.22,54844765.68,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,90831161.07,41938023.65,20465096.16,6307557.19,72167400.45,40149220.66,22466804.03,1174714.73,53179323.21,19199808.73,6024297.24,1272165.34,45717077.64,466939.88,1210862.39,689702.32,3129845.31,-9053932.96,1712787.41,1018693.78,7687939.29,3459783.47,1286158.28,774169.11,7612050.29,3492006.75,1918357.75,1043337.71,42505350.78,65259709.59,32584408.88,1932626.87,64056653.57,67553889.12,35211597.26,2216617.77,90270768.26,63639299.78,31425225.97,1841243.65,79352241.78,55061564.22,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,3886815.63,2744900.72,1896128.85,189979.98,6872113.12,5888110.84,3358553.94,1758926.39,7385228.94,5787968.51,3934507.00,1223434.01,4562420.34,2392711.51,1487892.24,707361.03,1477481.32,1292365.60,623695.99,1900936.01,79421.62,-1205443.64,-1178007.72,-1357608.21,-4119546.63,-3113042.09,-1399192.15,-1182702.32,-4915001.48,-2722891.85,-2142778.95,-1429426.68,-1814251.08,0,0,0,0,0,0,0,-114773.56,-216798.54,0,0,0,0,0,0,0,0,0,0,0,0,0.0
