,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,140536528.71,74186962.11,31274827.89,149114363.50,113326444.64,68407915.71,26062897.85,173526845.50,128608669.17,82223003.37,29508618.68,152310432.91,107130043.91,68172915.59,16646266.09,23661553.82,12351505.62,5174441.55,3618889.01,49213883.22,36030697.73,16756898.41,2480962.00,39873249.25,33169835.02,17380359.70,3272130.05,16887885.10,23027227.03,27357044.79,16581253.68,80102311.19,61757111.64,45320254.73,26568577.96,81752328.38,62634682.45,44766802.20,22106334.98,42183724.70,28154682.09,13561064.24,5144106.14,19359389.19,22073551.60,8527808.69,2216156.67,28857390.41,24368596.77,17768028.38,7112510.10,34903357.23,30233464.96,21617781.86,12015567.61,34236697.08,20156594.51,33687802.93,49336046.16,0.0
20,减：所得税费用,18921514.52,9531818.40,5142336.48,16903169.81,15654691.05,9343851.47,4225073.32,24447394.15,16586552.35,10418990.20,4187415.32,20197981.48,15483006.67,10278203.11,2114028.81,4949461.06,2549912.52,592261.32,1606068.35,13015834.69,5664330.82,1527829.65,1452106.70,145487.02,5247533.71,2941924.82,1551224.63,-702651.94,1581880.29,990162.06,661861.47,11035047.39,7672023.03,6040876.38,4090224.41,12873470.64,8863120.45,6153105.88,3309327.14,4715626.47,3573940.29,1384664.71,771615.93,2564567.71,4982139.42,1595703.69,516966.67,2111593.91,2454193.16,1794136.33,711251.02,3345502.70,2889847.69,2256964.40,1201556.76,3207662.80,2015659.44,2962955.68,4792122.20,0.0
21,五、净利润,121615014.19,64655143.71,26132491.41,132211193.69,97671753.59,59064064.24,21837824.53,149079451.35,112022116.82,71804013.17,25321203.36,132112451.43,91647037.24,57894712.48,14532237.28,18712092.76,9801593.10,4582180.23,2012820.66,36198048.53,30366366.91,15229068.76,1028855.30,39727762.23,27922301.31,14438434.88,1720905.42,17590537.04,21445346.74,26366882.73,15919392.21,69067263.80,54085088.61,39279378.35,22478353.55,68878857.74,53771562.00,38613696.32,18797007.84,37468098.23,24580741.80,12176399.53,4372490.21,16794821.48,17091412.18,6932105.00,1699190.00,26745796.50,21914403.61,15973892.05,6401259.08,31557854.53,27343617.27,19360817.46,10814010.85,31029034.28,18140935.07,30724847.25,44543923.96,0.0
22,归属于母公司所有者的净利润,84496261.35,45073801.28,17336477.67,94550523.55,69482055.84,39353023.56,9586789.26,104696977.01,80095126.13,53523728.33,18806307.65,113409678.07,79802780.88,51624998.79,13177237.77,22833754.70,13248539.52,7114327.69,3039867.00,42515409.22,33233988.16,17525817.85,2509427.67,42281493.71,29679539.23,15238378.60,2251814.90,20294701.16,23495810.81,27711218.46,16763395.50,69052415.19,54226037.69,39279378.35,22478353.55,68878857.74,53771562.00,38613696.32,18797007.84,37468098.23,24580741.80,12176399.53,4372490.21,16794821.48,17091412.18,6932105.00,1699190.00,26773902.13,21914403.61,15973892.05,6401259.08,31557854.53,27343617.27,19360817.46,10814010.85,31029034.28,18140935.07,30724847.25,44543923.96,0.0
23,少数股东损益,37118752.84,19581342.43,8796013.74,37660670.14,28189697.75,19711040.68,12251035.27,44382474.34,31926990.69,18280284.84,6514895.71,18702773.36,11844256.36,6269713.69,1354999.51,-4121661.94,-3446946.42,-2532147.46,-1027046.34,-6317360.69,-2867621.25,-2296749.09,-1480572.37,-2553731.48,-1757237.92,-799943.72,-530909.48,-2704164.12,-2050464.07,-1344335.73,-844003.29,14848.61,-140949.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28105.63,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.116000,0.061900,0.024000,0.129900,0.095000,0.054000,0.013000,0.143800,0.110000,0.074000,0.026000,0.156000,0.110000,0.071000,0.018000,0.031000,0.018000,0.010000,0.004000,0.058000,0.045700,0.024000,0.003000,0.058000,0.040900,0.021000,0.003000,0.028000,0.032500,0.038000,0.042000,0.191000,0.151000,0.109000,0.081000,0.250000,0.195000,0.140000,0.068000,0.136000,0.089000,0.044000,0.016000,0.061000,0.060000,0.030000,0.010000,0.190000,0.160000,0.120000,0.050000,0,0.270000,0,0.110000,0,0,0,0,0.0
26,稀释每股收益(元/股),0.116000,0.061900,0.024000,0.129900,0.095000,0.054000,0.013000,0.143800,0.110000,0.074000,0.026000,0.156000,0.110000,0.071000,0.018000,0.031000,0.018000,0.010000,0.004000,0.058000,0.045700,0.024000,0.003000,0.058000,0.040900,0.021000,0.003000,0.028000,0.032300,0.038000,0.041000,0.188000,0.148000,0.107000,0.080000,0.249000,0.195000,0.140000,0.068000,0.136000,0.089000,0.044000,0.016000,0.061000,0.060000,0.030000,0.010000,0.190000,0.160000,0.120000,0.050000,0,0.270000,0,0.110000,0,0,0,0,0.0
27,七、其他综合收益,761763.00,942402.74,344356.01,1279694.37,1391735.35,1118710.77,1735958.74,2471950.21,1198524.61,1079929.67,290095.36,-483068.17,-2442851.70,-2389184.33,33413.31,-477025.40,-858521.06,29229.68,-82867.57,20363.94,-35170.94,-54461.82,-46240.65,33908.18,101058.19,110276.21,218840.48,1061044.49,-264465.91,-273263.89,-172281.25,77677.55,-890877.64,-410824.41,174753.90,-213156.52,-63056.37,-20053.07,-5976.36,-5566.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,122376777.19,65597546.45,26476847.42,133490888.06,99063488.94,60182775.01,23573783.27,151551401.56,113220641.43,72883942.84,25611298.72,131629383.26,89204185.54,55505528.15,14565650.59,18235067.36,8943072.04,4611409.91,1929953.09,36218412.47,30331195.97,15174606.94,982614.65,39761670.41,28023359.50,14548711.09,1939745.90,18651581.53,21180880.83,26093618.84,15747110.96,69144941.35,53194210.97,38868553.94,22653107.45,68665701.22,53708505.63,38593643.25,18791031.48,37462532.18,24580741.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,85105794.23,45996455.50,17733073.51,95737884.02,70771781.53,40451503.17,11341758.17,107182614.48,81277423.57,54604254.95,19095824.22,112921287.82,77359172.13,49240006.01,13213738.01,22328950.51,12396780.33,7150319.24,2956999.43,42526446.16,33198817.22,17471356.03,2463187.02,42315401.89,29780597.42,15348654.81,2470655.38,21355745.65,23231344.90,27437954.57,16591114.25,69130092.74,53194210.97,38868553.94,22653107.45,68665701.22,53708505.63,38593643.25,18791031.48,37462532.18,24580741.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,37270982.96,19601090.95,8743773.91,37753004.04,28291707.41,19731271.84,12232025.10,44368787.08,31943217.86,18279687.89,6515474.50,18708095.44,11845013.41,6265522.14,1351912.58,-4093883.15,-3453708.29,-2538909.33,-1027046.34,-6308033.69,-2867621.25,-2296749.09,-1480572.37,-2553731.48,-1757237.92,-799943.72,-530909.48,-2704164.12,-2050464.07,-1344335.73,-844003.29,14848.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
