,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1855492030.95,1382099015.94,471197823.83,-279156057.49,-801307048.48,-1341195782.56,196528792.62,1093675836.65,684190050.89,255676928.55,-9661758.82,500639683.49,-469439952.34,-276739338.50,-183686180.64,507315016.21,8354223.18,242316458.63,-158938374.78,523249176.83,135823309.58,124256824.06,80590264.25,175347151.74,113363831.28,94482313.89,62718671.03,222586036.91,163973577.10,155219917.22,131057532.22,100452275.78,72442750.48,61376600.16,47128486.90,95199718.26,94285236.59,75525640.27,46298205.76,110432022.40,79823582.07,62810638.95,38633958.34,100072227.52,97531278.46,80650830.60,40835932.64,105921376.62,109162753.21,74811338.51,38188175.19,109092310.44,116539611.28,73014200.51,35622276.93,69403284.90,62411991.65,50151394.20,31033332.03,79994041.55,58056077.94,44229211.16,30238139.77,101424565.31,53296669.27,42210718.02,25345411.95,88302288.75,55361269.12,40920750.45,29212013.99,78496286.73,48093458.72,77711411.28,42754961.24,67070673.43,45464824.85,75482381.67,40079353.79,74593787.63,25118464.47,37644795.91,28004757.02,50416201.29,29081668.65,58080000.00,33043181.76,40401800.00,25420400.00,0.0
20,减：所得税费用,386149138.66,306623928.70,100223802.24,520969385.42,329611002.73,209192651.35,72655907.85,247637827.65,267528625.99,138020780.67,46091128.86,97107083.02,37015248.70,28003778.01,19714247.30,148229366.06,154271240.24,132849594.45,19897907.24,89340334.72,41024488.58,33842874.36,19519689.95,45312387.34,31269375.25,24384164.74,15601437.86,34216902.76,26563136.21,21399759.96,11501298.13,17061483.34,18417625.38,15819374.24,9626994.67,22687974.93,22768550.93,18082595.25,9405182.45,21750191.98,18833203.16,14410269.10,8199595.48,25956943.36,23719148.42,15462911.11,8341849.21,44570502.97,33845233.06,23910071.46,12327851.30,46725170.75,23822606.91,20944041.94,12202592.14,26443089.55,17070452.81,17019190.31,9722568.22,24983741.16,15808190.37,10611660.38,10146233.18,21850955.43,14831215.28,14588354.94,8800742.79,32372959.02,20829148.24,16560461.63,10538486.08,17013982.73,10331824.26,13595870.81,16561951.24,21872770.92,6819723.72,24320188.01,6011903.06,23503985.63,3767769.66,4866446.49,4649262.12,7291813.77,4362250.29,8701000.00,4956477.27,6009438.96,8388700.00,0.0
21,五、净利润,1469342892.29,1075475087.24,370974021.59,-800125442.91,-1130918051.21,-1550388433.91,123872884.77,846038009.00,416661424.90,117656147.88,-55752887.68,403532600.47,-506455201.04,-304743116.51,-203400427.94,359085650.15,-145917017.06,109466864.18,-178836282.02,433908842.11,94798821.00,90413949.70,61070574.30,130034764.40,82094456.03,70098149.15,47117233.17,188369134.15,137410440.89,133820157.26,119556234.09,83390792.44,54025125.10,45557225.92,37501492.23,72511743.33,71516685.66,57443045.02,36893023.31,88681830.42,60990378.91,48400369.85,30434362.86,74115284.16,73812130.04,65187919.49,32494083.43,61350873.65,75317520.15,50901267.05,25860323.89,62367139.69,92717004.37,52070158.57,23419684.79,42960195.35,45341538.84,33132203.89,21310763.81,55010300.39,42247887.57,33617550.78,20091906.59,79565957.49,38457801.60,27614710.69,16544669.16,55936982.12,34532120.88,24360288.82,18673527.91,61482304.00,37761634.46,64115540.47,37141578.30,57090326.90,38645101.13,64385300.97,34067450.73,63959402.00,21350694.81,32778349.42,22601421.51,43124387.52,24719418.36,49379000.00,28086704.49,34392361.04,1703200.00,0.0
22,归属于母公司所有者的净利润,1363171218.09,978957169.93,326416834.90,-885889850.73,-1216256216.87,-1593241187.98,91768862.17,736232157.15,374782922.73,88726428.51,-60406968.20,399855227.28,-444682835.38,-267569188.65,-176798148.88,366504058.47,-92767449.78,139055685.29,-154151609.34,400389498.29,98380909.69,91014696.78,60289622.55,135240812.13,86110081.75,71840085.39,47760619.52,190528122.36,141756040.33,135643682.39,120333268.15,83390792.44,54025125.10,45557225.92,37501492.23,72511743.33,71516685.66,57443045.02,36893023.31,88681830.42,60990378.91,48400369.85,30434362.86,74115284.16,73812130.04,65187919.49,32494083.43,61442406.90,75268343.63,50860298.98,25763737.56,57944948.61,90205646.90,50557779.93,22950896.61,30840967.82,36118369.21,28085630.92,20365605.88,40266304.02,31313296.90,24987868.60,18115869.86,68216173.95,31381068.21,24472981.72,16252408.79,53817841.73,33999359.61,24128200.58,18771875.62,62240477.33,37883561.46,66200979.01,37265992.54,57168531.98,38645101.13,64385300.97,34067450.73,63959402.00,21350694.81,32778349.42,22601421.51,42808279.60,24719418.36,49379000.00,28086704.49,34392361.04,1703200.00,0.0
23,少数股东损益,106171674.20,96517917.31,44557186.69,85764407.82,85338165.66,42852754.07,32104022.60,109805851.85,41878502.17,28929719.37,4654080.52,3677373.19,-61772365.66,-37173927.86,-26602279.06,-7418408.32,-53149567.28,-29588821.11,-24684672.68,33519343.82,-3582088.69,-600747.08,780951.75,-5206047.73,-4015625.72,-1741936.24,-643386.35,-2158988.21,-4345599.44,-1823525.13,-777034.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91533.25,49176.52,40968.07,96586.33,4422191.08,2511357.47,1512378.64,468788.18,12119227.53,9223169.63,5046572.97,945157.93,14743996.37,10934590.67,8629682.18,1976036.73,11349783.54,7076733.39,3141728.97,292260.37,2119140.39,532761.27,232088.24,-98347.71,-758173.33,-121927.00,-2085438.54,-124414.24,-78205.08,0,0,0,0,0,0,0,316107.92,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.090000,0.760000,0.250000,-0.690000,-1.070000,-1.430000,0.080000,0.680000,0.350000,0.080000,-0.060000,0.480000,-0.540000,-0.320000,-0.210000,0.450000,-0.110000,0.190000,-0.430000,1.120000,0.270000,0.250000,0.170000,0.380000,0.240000,0.200000,0.130000,0.530000,0.400000,0.380000,0.340000,0.230000,0.150000,0.130000,0.100000,0.200000,0.200000,0.160000,0.100000,0.250000,0.170000,0.140000,0.080000,0.210000,0.210000,0.180000,0.140000,0.270000,0.330000,0.220000,0.112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),1.090000,0.760000,0.250000,-0.690000,-1.070000,-1.430000,0.080000,0.680000,0.350000,0.080000,-0.060000,0.480000,-0.540000,-0.320000,-0.210000,0.450000,-0.110000,0.190000,-0.430000,1.120000,0.270000,0.250000,0.170000,0.380000,0.240000,0.200000,0.130000,0.530000,0.400000,0.380000,0.340000,0.230000,0.150000,0.130000,0.100000,0.200000,0.200000,0.160000,0.100000,0.250000,0.170000,0.140000,0.080000,0.210000,0.210000,0.180000,0.140000,0.270000,0.330000,0.220000,0.112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,291092840.49,46681428.59,88893668.90,580960617.27,503487579.96,255787854.44,-23663994.13,364756910.82,31238988.22,40320872.09,152793242.83,66066190.85,-70911525.15,-65008925.39,-50253484.27,92812820.59,-606168.87,-11366440.32,-35282708.20,31215675.80,-18896638.07,1449717.72,435058.20,2695687.08,3263707.32,-403393.92,213688.20,-1309780.08,-1223326.56,-13893.12,291246.72,-2966692.07,-1064727.11,-288445.55,-470482.42,-1506315.35,-2310320.81,-2661107.68,153841.32,5180861.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,1760270603.11,1122156515.83,459867690.49,-219164825.64,-627430471.25,-1294600579.47,100208890.64,1210794919.82,447900413.12,157977019.97,97040355.15,469598791.32,-577366726.19,-369752041.90,-253653912.21,451898470.74,-146523185.93,98100423.86,-214118990.22,465124517.91,75902182.93,91863667.42,61505632.50,132730451.48,85358163.35,69694755.23,47330921.37,187059354.07,136187114.33,133806264.14,119847480.81,80424100.37,52960397.99,45268780.37,37031009.81,71005427.98,69206364.85,54781937.34,37046864.63,93862691.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
