,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,64359826.23,112149708.16,12464664.69,66223070.98,-962522626.49,-605933426.50,-81073015.47,-156107124.73,130047024.34,96568624.36,33736904.90,145019863.16,119096981.31,96002808.86,-5146206.58,136890083.11,85706040.39,64512929.21,16591768.37,93911770.37,32053894.05,21753443.95,9989921.75,30661767.01,11614894.21,6630883.24,8035772.09,20488395.14,16598566.41,7352078.53,4670143.87,62259870.52,48240555.32,47978804.08,39277266.61,135807708.59,80208254.88,90463540.45,89553571.64,-70164784.36,-28706737.60,-15182226.20,-5798320.74,24928323.30,15502973.00,5475796.76,2209325.89,139886917.42,10992443.48,6744429.11,5756502.56,42151733.60,-20196315.03,-12901999.38,-6146582.14,-34726051.75,-18758968.57,-17361914.95,-8388655.75,-43878158.36,-22346019.04,-16047675.67,-10641461.63,1401038.57,-23497391.09,-17842658.19,-11593323.85,-62808335.48,-20248962.61,-17720828.32,-7814803.09,-95266780.07,-15407606.56,402315.91,7331980.46,30520521.60,4600001.39,25828921.30,2613999.64,20438694.25,14010149.89,1733595.35,1511900.55,4635915.93,2921600.00,12317000.00,6717097.55,22058517.30,0.0
20,减：所得税费用,50016064.56,50504335.35,6621906.01,31260776.09,39636670.85,32618074.51,17809290.04,71941737.66,35342338.21,29271760.69,28150377.38,19268397.61,31394615.29,26371510.15,1267401.16,22330001.71,879264.57,1039775.19,1928942.97,12115804.61,4957436.17,2547842.15,2976479.65,14302731.92,3893937.88,2337889.14,2906833.68,6994860.58,5578893.53,2639037.06,1456492.88,16665450.87,11950915.92,11774056.80,9855991.34,35397495.80,20274152.40,23092411.32,25240845.52,-12518311.20,-7161626.10,-678778.79,-1217785.34,7542836.97,7805926.56,2093257.99,105222.78,52736472.03,-1202795.11,-1212192.06,0,12523.75,12093.75,10163.75,2680.00,388716.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18812.15,16042.64,237959.79,2143805.56,3946219.61,0,3868434.23,392099.95,1922794.43,2957153.61,481458.56,232513.41,695387.38,471700.00,1847000.00,1007564.63,0,0.0
21,五、净利润,14343761.67,61645372.81,5842758.68,34962294.89,-1002159297.34,-638551501.01,-98882305.51,-228048862.39,94704686.13,67296863.67,5586527.52,125751465.55,87702366.02,69631298.71,-6413607.74,114560081.40,84826775.82,63473154.02,14662825.40,81795965.76,27096457.88,19205601.80,7013442.10,16359035.09,7720956.33,4292994.10,5128938.41,13493534.56,11019672.88,4713041.47,3213650.99,45594419.65,36289639.40,36204747.28,29421275.27,100410212.79,59934102.48,67371129.13,64312726.12,-57646473.16,-21545111.50,-14503447.41,-4580535.40,17385486.33,7697046.44,3382538.77,2104103.11,87150445.39,12195238.59,7956621.17,5756502.56,42902110.97,-18506570.43,-13136402.48,-6479812.40,-29576620.57,-13932009.27,-14558228.82,-6669371.14,-43131239.29,-22346019.04,-16047675.67,-10641461.63,1401038.57,-23497391.09,-17842658.19,-11593323.85,-62808335.48,-20248962.61,-17720828.32,-7814803.09,-95285592.22,-15423649.20,164356.12,5188174.90,26574301.99,4600001.39,21960487.07,2221899.69,18515899.82,11052996.28,1252136.79,1279387.14,3940528.55,2449900.00,10470000.00,5709532.92,18749700.00,0.0
22,归属于母公司所有者的净利润,12978181.04,60659539.03,5978880.26,35882980.34,-999836051.01,-638716447.06,-98379529.55,-227455972.32,94150330.40,66466030.17,6067308.63,135372532.17,87094561.38,68502320.95,-6812616.05,112137070.84,84700620.72,63391220.88,12036234.96,71521328.46,28441796.24,19724922.84,7329944.11,19553701.41,9880620.86,5800320.37,5683997.93,14618118.07,11843568.93,5110213.34,3272519.10,45783612.09,36645920.24,36403048.89,29273095.67,100115172.93,59934102.48,67371129.13,64312726.12,-56459367.73,-20474796.05,-13949069.11,-3830091.39,18181455.63,7934926.86,3709488.97,2097918.40,87036140.13,12753680.44,8067590.85,6001137.10,43543542.72,-18077205.99,-12929593.10,-6456360.06,-27822078.08,-13002328.25,-14049018.61,-6562747.22,-40139133.38,-21934949.70,-15804317.04,-10595217.37,2452567.33,-23252257.43,-17656709.23,-11529521.79,-61168080.86,-19987196.80,-17515871.75,-7730829.11,-92088995.29,-14765959.38,158839.76,4777132.83,24352492.37,4446176.24,21766596.04,2221899.69,18515899.82,11052996.28,1252136.79,1279387.14,3940528.55,2449900.00,10470000.00,5709532.92,18749700.00,0.0
23,少数股东损益,1365580.63,985833.78,-136121.58,-920685.45,-2323246.33,164946.05,-502775.96,-592890.07,554355.73,830833.50,-480781.11,-9621066.62,607804.64,1128977.76,399008.31,2423010.56,126155.10,81933.14,2626590.44,10274637.30,-1345338.36,-519321.04,-316502.01,-3194666.32,-2159664.53,-1507326.27,-555059.52,-1124583.51,-823896.05,-397171.87,-58868.11,-189192.44,-356280.84,-198301.61,148179.60,295039.86,0,0,0,-1187105.43,-1070315.45,-554378.30,-750444.01,-795969.30,-237880.42,-326950.20,6184.71,114305.26,-558441.85,-110969.68,-244634.54,-641431.75,-429364.44,-206809.38,-23452.34,-1754542.49,-929681.02,-509210.21,-106623.92,-2992105.91,-411069.34,-243358.63,-46244.26,-1051528.76,-245133.66,-185948.96,-63802.06,-1640254.62,-261765.81,-204956.57,-83973.98,-3196596.93,-657689.82,5516.36,411042.07,2221809.62,153825.15,193891.03,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.020000,0.070000,0.010000,0.040000,-1.160000,-0.740000,-0.110000,-0.260000,0.110000,0.080000,0.010000,0.150000,0.100000,0.080000,-0.010000,0.150000,0.140000,0.110000,0.020000,0.140000,0.060000,0.040000,0.020000,0.060000,0.030000,0.018000,0.020000,0.050000,0.040000,0.016000,0.010000,0.140000,0.110000,0.110000,0.180000,0.620000,0.370000,0.420000,0.400000,-0.350000,-0.130000,-0.090000,-0.020000,0.110000,0.050000,0.020000,0.013000,0.540000,0.079000,0.050000,0.037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.020000,0.070000,0.010000,0.040000,-1.160000,-0.740000,-0.110000,-0.260000,0.110000,0.080000,0.010000,0.150000,0.100000,0.080000,-0.010000,0.150000,0.140000,0.110000,0.020000,0.140000,0.060000,0.040000,0.020000,0.060000,0.030000,0.018000,0.020000,0.050000,0.040000,0.016000,0.010000,0.140000,0.110000,0.110000,0.180000,0.620000,0.370000,0.420000,0.400000,-0.350000,-0.130000,-0.090000,-0.020000,0.110000,0.050000,0.020000,0.013000,0.540000,0.079000,0.050000,0.037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-14223245.98,215387.36,-10066207.16,-63624712.07,-33145364.03,-54916971.90,-68732212.94,22157752.58,39568443.86,32886705.77,60165787.20,34786281.93,52771116.83,29600779.05,30142311.20,-19577494.37,-47821129.86,-27517878.71,-26849124.02,-37487843.45,-8978650.62,17298417.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,120515.69,61860760.17,-4223448.48,-28962417.18,-1035304661.37,-693468472.91,-167614518.45,-205891109.81,134273129.99,100183569.44,65752314.72,160537747.48,140473482.85,99232077.76,23728703.46,94982587.03,37005645.96,35955275.31,-12186298.62,44308122.31,18117807.25,36504019.20,7013442.10,16359035.09,0,0,0,13493534.56,0,4713041.47,0,45594419.65,0,0,0,100410212.79,0,0,0,-57646473.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,-1245064.94,60874926.39,-4087326.90,-28041731.73,-1032981415.04,-693633418.96,-167111742.49,-205298219.74,133718774.26,99352735.94,66233095.83,170158814.10,139865678.21,98103100.00,23329695.15,92559576.47,36879490.86,35873342.17,-14812889.06,34033485.01,19463145.61,37023340.24,7329944.11,19553701.41,0,0,0,14618118.07,0,5110213.34,0,45783612.09,0,0,0,100115172.93,0,0,0,-56459367.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,1365580.63,985833.78,-136121.58,-920685.45,-2323246.33,164946.05,-502775.96,-592890.07,554355.73,830833.50,-480781.11,-9621066.62,607804.64,1128977.76,399008.31,2423010.56,126155.10,81933.14,2626590.44,10274637.30,-1345338.36,-519321.04,-316502.01,-3194666.32,0,0,0,-1124583.51,0,-397171.87,0,-189192.44,0,0,0,295039.86,0,0,0,-1187105.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
