,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,909252264.40,550737310.23,274364954.69,359060814.81,152554874.49,129394759.45,82007871.18,714683453.05,754128422.91,-8564037.93,-4699571.15,3284063.17,-31212601.14,-9140056.19,1249427.04,680927.56,-31956370.21,-29305918.47,-26711507.91,-96480493.88,1489267.18,2181473.38,1293121.26,5352561.57,3253251.93,4218102.86,2076322.77,11050916.00,4407960.01,4722899.34,2766972.39,13651116.57,2923275.30,4517195.24,5357055.03,26088544.31,3143429.78,514763.61,501786.05,15232248.62,5692706.10,7034025.84,157981.65,12168344.79,6467803.16,8349543.97,1158102.68,11134671.26,5060606.98,4835316.69,-3464899.15,3551489.80,-5066857.78,-4579154.58,-9335025.65,-43565248.61,-27193444.43,-14914275.92,-8735654.81,4014400.76,2216435.96,7677987.95,1152165.34,11185574.04,10893764.78,8952104.34,539140.21,10146039.03,9039251.07,8203548.34,-2964008.28,17346953.92,11101122.89,29031150.57,17814059.10,39526579.71,19029562.93,32889978.86,29167591.77,17664769.61,0.0
20,减：所得税费用,247076119.01,168841529.20,92545966.45,146771395.07,52257641.81,47377407.86,30395305.55,266372423.75,250567148.95,1082689.80,0,1192431.88,0,0,0,-16700.26,0,0,0,-24416585.29,71700.19,244751.74,323280.32,1251855.67,1264574.65,1505587.38,519273.32,5652094.60,2259153.59,2243855.92,691743.10,3340171.55,344271.83,742751.82,1751287.62,6251287.31,-353867.82,-353867.82,0,2129662.62,1039813.65,1039813.65,0,7501971.73,1253313.20,1253313.20,0,90289.85,-260289.14,-48266.26,2544.44,6270.31,6270.31,6270.31,0,68712.76,68712.76,68712.76,0,1822405.36,346727.38,1707902.53,396818.13,7332774.26,3520824.98,3009640.09,190077.64,3754201.36,3115877.02,2707170.95,0,2747150.55,1665168.43,3720469.28,5878639.50,11092849.75,2539627.34,6704149.01,4899194.24,1903692.48,0.0
21,五、净利润,662176145.39,381895781.03,181818988.24,212289419.74,100297232.68,82017351.59,51612565.63,448311029.30,503561273.96,-9646727.73,-4699571.15,2091631.29,-31212601.14,-9140056.19,1249427.04,697627.82,-31956370.21,-29305918.47,-26711507.91,-72063908.59,1417566.99,1936721.64,969840.94,4100705.90,1988677.28,2712515.48,1557049.45,5398821.40,2148806.42,2479043.42,2075229.29,10310945.02,2579003.47,3774443.42,3605767.41,19837257.00,3497297.60,868631.43,501786.05,13102586.00,4652892.45,5994212.19,157981.65,4666373.06,5214489.96,7096230.77,1158102.68,11044381.41,5320896.12,4883582.95,-3467443.59,3545219.49,-5073128.09,-4585424.89,-9335025.65,-43633961.37,-27262157.19,-14982988.68,-8735654.81,2191995.40,1869708.58,5970085.42,755347.21,3852799.78,7372939.80,5942464.25,349062.57,6391837.67,5923374.05,5496377.39,-2964008.28,14599803.37,9435954.46,25310681.29,11935419.60,28433729.96,16489935.59,26185829.85,24268397.53,15761077.13,0.0
22,归属于母公司所有者的净利润,407277768.27,225884552.52,104962481.26,134147815.17,71930296.58,57601086.91,33523065.88,240979317.73,299886573.54,-9646727.73,-4699571.15,2091631.29,-31212601.14,-9140056.19,1249427.04,697627.82,-31956370.21,-29305918.47,-26711507.91,-72063908.59,1417566.99,1936721.64,969840.94,4100705.90,1988677.28,2712515.48,1557049.45,5398821.40,2148806.42,2479043.42,2075229.29,10310945.02,2579003.47,3774443.42,3605767.41,19837257.00,3497297.60,868631.43,501786.05,13102586.00,4652892.45,5994212.19,157981.65,4666373.06,5214489.96,7096230.77,1158102.68,11044381.41,5320896.12,4883582.95,-3467443.59,3545219.49,-5073128.09,-4585424.89,-9335025.65,-43633961.37,-27262157.19,-14982988.68,-8735654.81,2279701.78,1957414.96,6057791.80,805661.06,4147650.98,7711227.81,6110481.42,385915.22,6476091.26,5923374.05,5496377.39,-2964008.28,14599803.37,9435954.46,25310681.29,11935419.60,28433729.96,16489935.59,26185829.85,24268397.53,15761077.13,0.0
23,少数股东损益,254898377.12,156011228.51,76856506.98,78141604.57,28366936.10,24416264.68,18089499.75,207331711.57,203674700.42,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87706.38,-87706.38,-87706.38,-50313.85,-294851.20,-338288.01,-168017.17,-36852.65,-84253.59,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.624000,0.346100,0.160000,0.205500,0.110000,0.088000,0.050000,0.466800,0.616700,-0.049000,-0.023700,0.010600,-0.157600,-0.046000,0.006300,0.004000,-0.161400,-0.148000,-0.134900,-0.364000,0.007200,0.009800,0.004900,0.020700,0.010000,0.013700,0.007900,0.027300,0.010900,0.012500,0.010500,0.052100,0.013000,0.019100,0.018200,0.100200,0.017700,0.004400,0.002500,0.066200,0.023500,0.030300,0.000800,0.023600,0.028400,0.033100,0.007000,0.066900,0.030000,0.030000,-0.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.624000,0.346100,0.160000,0.205500,0.110000,0.088000,0.050000,0.466800,0.616700,-0.049000,-0.023700,0.010600,-0.157600,-0.046000,0.006300,0.004000,-0.161400,-0.148000,-0.134900,-0.364000,0.007200,0.009800,0.004900,0.020700,0.010000,0.013700,0.007900,0.027300,0.010900,0.012500,0.010500,0.052100,0.013000,0.019100,0.018200,0.100200,0.017700,0.004400,0.002500,0.066200,0.023500,0.030300,0.000800,0.023600,0.028400,0.033100,0.007000,0.066900,0.030000,0.030000,-0.020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,109920318.85,161389378.30,-93255274.11,-599449447.54,-297055364.08,-346648437.73,-33847216.18,424108631.61,-46936508.89,1050706.82,3940033.95,-15359571.30,-1778602.45,-2417217.62,-3417151.68,-28911432.65,-28767797.83,-8693161.03,13963577.04,943354.55,-3951904.64,-3042726.48,-7068000.05,-78721048.17,-52858643.65,-7516648.26,-17440589.10,10977000.03,52199360.74,31480907.38,-4992398.58,-50088112.32,-24539827.50,-16331400.00,-30385800.00,69847509.36,112964748.76,6443148.76,35381760.00,61815325.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,772096464.24,543285159.33,88563714.13,-387160027.80,-196758131.40,-264631086.14,17765349.45,872419660.91,456624765.07,-8596020.91,-759537.20,-13267940.01,-32991203.59,-11557273.81,-2167724.64,-28213804.83,-60724168.04,-37999079.50,-12747930.87,-71120554.04,-2534337.65,-1106004.84,-6098159.11,-74620342.27,-50869966.37,-4804132.78,-15883539.65,16375821.43,54348167.16,33959950.80,-2917169.29,-39777167.30,-21960824.03,-12556956.58,-26780032.59,89684766.36,116462046.36,7311780.19,35883546.05,74917911.43,4652892.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,519172026.88,324169613.03,55996245.40,-203628821.88,-139405239.80,-235162141.21,4129905.12,543995203.92,378266265.20,-8596020.91,-759537.20,-13267940.01,-32991203.59,-11557273.81,-2167724.64,-28213804.83,-60724168.04,-37999079.50,-12747930.87,-71120554.04,-2534337.65,-1106004.84,-6098159.11,-74620342.27,-50869966.37,-4804132.78,-15883539.65,16375821.43,54348167.16,33959950.80,-2917169.29,0,-21960824.03,-12556956.58,-26780032.59,89684766.36,116462046.36,7311780.19,35883546.05,74917911.43,4652892.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,252924437.36,219115546.30,32567468.73,-183531205.92,-57352891.60,-29468944.93,13635444.33,328424456.99,78358499.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
