,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,2625271749.84,1477283570.25,128355590.85,5017495949.70,2836253895.55,1675619594.37,176593946.23,4247393533.82,955067567.53,369329944.71,36450822.93,1650345534.28,850142450.17,333274234.61,33450947.22,1532484881.28,365806972.60,47247436.31,18057427.72,1461220172.07,710987528.16,601645974.64,211561531.60,1795558591.82,650679993.12,409446632.75,115157100.89,1178803877.90,553308034.09,355617469.56,77332897.16,979326284.13,455340801.87,281786580.64,58552698.12,536799551.90,278375446.45,183648902.25,36094284.46,279410410.46,191604346.42,80899683.01,9810849.68,140588473.97,87856044.36,55345530.93,11712688.87,166510067.56,75238403.29,43925564.11,7874780.14,138095214.27,59901849.87,42298255.11,7996688.89,113461205.40,63602992.16,44006479.30,6524632.87,92260232.91,53289021.58,34520826.19,4205206.45,61445469.54,31360745.32,20849975.78,-7517560.24,35843048.98,26007077.82,30881285.87,17679977.95,0.0
20,减：所得税费用,341181230.17,195779276.25,38231920.27,567611897.95,383446495.62,247561158.82,70666740.91,544586035.14,109573708.18,33059621.73,26418756.80,199095744.73,81709483.44,54916737.37,22975706.65,207202560.66,68279198.22,21546192.23,12708848.48,159862640.80,55778957.03,42706000.89,25424761.68,180363465.18,26302020.88,-5654698.61,13006566.33,121044731.73,75563444.96,47570340.40,9395119.56,123155915.01,48739868.12,28180042.42,8454995.93,62115789.80,32585930.72,20061286.85,3100102.46,29281178.13,21078331.50,4491806.09,1029747.84,9896760.03,4000090.76,243314.67,1657367.90,17543896.15,5137929.51,817960.13,1020063.87,20762185.15,9595083.88,7260699.35,1200165.36,7703365.27,4157375.98,3486099.71,448135.61,6566117.48,3608643.68,2589061.96,315390.47,5002905.03,2509798.58,3571186.59,0,0,0,509270.65,4309948.95,0.0
21,五、净利润,2284090519.67,1281504294.00,90123670.58,4449884051.75,2452807399.93,1428058435.55,105927205.32,3702807498.68,845493859.35,336270322.98,10032066.13,1451249789.55,768432966.73,278357497.24,10475240.57,1325282320.62,297527774.38,25701244.08,5348579.24,1301357531.27,655208571.13,558939973.75,186136769.92,1615195126.64,624377972.24,415101331.36,102150534.56,1057759146.17,477744589.13,308047129.16,67937777.60,856170369.12,406600933.75,253606538.22,50097702.19,474683762.10,245789515.73,163587615.40,32994182.00,250129232.33,170526014.92,76407876.92,8781101.84,130691713.94,83855953.60,55102216.26,10055320.97,148966171.41,70100473.78,43107603.98,6854716.27,117333029.12,50306765.99,35037555.76,6796523.53,105757840.13,59445616.18,40520379.59,6076497.26,85694115.43,49680377.90,31931764.23,3889815.98,56442564.51,28850946.74,17278789.19,-7517560.24,35843048.98,26007077.82,30372015.22,13370029.00,0.0
22,归属于母公司所有者的净利润,2146382977.16,1201296984.08,76563568.98,4162074561.84,2315981587.93,1352306718.01,94301405.59,3240522727.39,860665129.60,349579781.15,17861455.23,1447176547.17,767734806.79,280518917.16,14047624.59,1299216559.64,294759440.93,24925532.73,9274909.35,1283059366.68,653754035.83,557008427.98,184189375.15,1600321182.43,622929273.50,414997424.98,103157224.74,1055962445.89,478100307.81,308286920.56,68667570.46,854767556.66,408788458.73,254646829.53,50763376.31,474547373.14,246867803.00,164086329.49,32994182.00,250129232.33,170526014.92,76407876.92,8781101.84,125313257.04,81094063.96,53718709.43,9478267.32,142390507.12,66834460.10,41851781.45,6827248.14,110652867.37,46595937.14,32927051.47,5872165.26,102652892.60,57065144.90,38765277.28,5789829.93,84732212.91,49680377.90,31931764.23,3889815.98,56442564.51,28850946.74,17278789.19,-7517560.24,35843048.98,26007077.82,30372015.22,13370029.00,0.0
23,少数股东损益,137707542.51,80207309.92,13560101.60,287809489.91,136825812.00,75751717.54,11625799.73,462284771.29,-15171270.25,-13309458.17,-7829389.10,4073242.38,698159.94,-2161419.92,-3572384.02,26065760.98,2768333.45,775711.35,-3926330.11,18298164.59,1454535.30,1931545.77,1947394.77,14873944.21,1448698.74,103906.38,-1006690.18,1796700.28,-355718.68,-239791.40,-729792.86,1402812.46,-2187524.98,-1040291.31,-665674.12,136388.96,-1078287.27,-498714.09,0,0,0,0,0,5378456.90,2761889.64,1383506.83,577053.65,6575664.29,3266013.68,1255822.53,27468.13,6680161.75,3710828.85,2110504.29,924358.27,3104947.53,2380471.28,1755102.31,286667.33,961902.52,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.470000,0.260000,0.020000,0.930000,0.520000,0.310000,0.020000,0.790000,0.350000,0.140000,0.010000,0.600000,0.320000,0.120000,0.010000,0.530000,0.120000,0.010000,0.000000,0.530000,0.270000,0.230000,0.076000,0.660000,0.280000,0.190000,0.070000,0.670000,0.300000,0.200000,0.070000,0.810000,0.390000,0.240000,0.050000,0.930000,0.480000,0.320000,0.064700,0.980000,0.668600,0.299600,0.034400,0.490000,0.320000,0.210600,0.037200,0.580000,0.262000,0.164100,0.031800,0,0,0,0,0.480000,0,0,0,0.400000,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.470000,0.260000,0.020000,0.930000,0.520000,0.310000,0.020000,0.790000,0.350000,0.140000,0.010000,0.600000,0.320000,0.120000,0.010000,0.530000,0.120000,0.010000,0.000000,0.530000,0.270000,0.230000,0.076000,0.660000,0.280000,0.190000,0.070000,0.670000,0.300000,0.200000,0.070000,0.810000,0.390000,0.240000,0.050000,0.930000,0.480000,0.320000,0.064700,0.980000,0.668600,0.299600,0.034400,0.490000,0.320000,0.210600,0.037200,0.580000,0.262000,0.164100,0.031800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,13029615.22,14443786.68,1169962.57,-17094346.46,-16606655.83,-16629992.11,623188.20,-1990974.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,2297120134.89,1295948080.68,91293633.15,4432789705.29,2436200744.10,1411428443.44,106550393.52,3700816524.33,845493859.35,336270322.98,10032066.13,1451249789.55,768432966.73,278357497.24,10475240.57,1325282320.62,297527774.38,25701244.08,5348579.24,1301357531.27,655208571.13,558939973.75,186136769.92,1615195126.64,624377972.24,415101331.36,102150534.56,1057759146.17,477744589.13,308047129.16,67937777.60,856170369.12,406600933.75,253606538.22,50097702.19,474683762.10,245789515.73,163587615.40,32994182.00,250129232.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,2157777185.23,1214600872.01,77884253.08,4145382557.46,2299655289.75,1335976666.73,95200694.01,3239074064.81,860665129.60,349579781.15,17861455.23,1447176547.17,767734806.79,280518917.16,14047624.59,1299216559.64,294759440.93,24925532.73,9274909.35,1283059366.68,653754035.83,557008427.98,184189375.15,1600321182.43,622929273.50,414997424.98,103157224.74,1055962445.89,478100307.81,308286920.56,68667570.46,854767556.66,408788458.73,254646829.53,50763376.31,474683762.10,246867803.00,164086329.49,32994182.00,250129232.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,139342949.66,81347208.67,13409380.07,287407147.83,136545454.35,75451776.71,11349699.51,461742459.52,-15171270.25,-13309458.17,-7829389.10,4073242.38,698159.94,-2161419.92,-3572384.02,26065760.98,2768333.45,775711.35,-3926330.11,18298164.59,1454535.30,1931545.77,1947394.77,14873944.21,1448698.74,103906.38,-1006690.18,1796700.28,-355718.68,-239791.40,-729792.86,1402812.46,-2187524.98,-1040291.31,-665674.12,136388.96,-1078287.27,-498714.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
