,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990331,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,568960095.38,348571111.88,196503104.17,111656842.58,457817662.86,247203391.63,129842316.30,44542441.45,252645717.26,153222588.28,84471262.23,39364579.61,231679564.94,117509683.24,40820027.74,29299373.46,254927954.52,134229137.15,91006120.60,67338499.71,369860425.70,247929819.68,107447667.02,60268072.31,547393067.75,204203004.87,61215659.43,25896552.79,475226808.41,66394292.15,30510742.22,24274455.32,309583967.60,84283304.57,33667935.76,22812484.34,588863651.09,139397765.19,62220870.80,17493365.41,585785821.30,122630221.99,41157524.80,18740889.09,-204549376.89,-540465484.94,-421897103.41,-22316761.13,-29492826.34,-179884982.77,-96840402.43,-43124599.92,-865961443.16,-244789866.94,-193729502.11,-145338407.57,-142332353.74,29495477.42,25219108.90,13529551.25,26327602.59,68458992.58,51957580.33,34301032.80,132268164.09,108027297.62,54826631.54,25193635.29,119277381.34,101835873.36,76871901.18,35486754.26,149212556.29,91307419.36,173241927.89,72109205.04,160941587.12,32744914.58,66965435.80,54496489.20,30833202.01,0.0
20,减：所得税费用,174845872.91,139222893.68,74860849.03,60119375.26,222907739.40,135286613.99,84893738.48,18574599.12,136695377.16,66735503.66,45664029.87,18370234.47,114078324.96,32956085.18,12407594.61,10951091.61,113944578.21,44145121.34,39296439.33,33476826.73,125830349.56,82950057.13,42065699.18,22736790.21,181682148.97,63872317.63,19566069.27,8343117.80,148878423.88,25341280.11,10717370.48,8495148.84,79181061.60,29542815.39,9218537.98,8222373.58,146283973.00,45402123.34,22461351.26,6450605.84,145773603.39,31390120.37,10689098.72,5271255.31,109210893.52,2525637.70,8224054.31,10704800.70,-3587454.06,542409.49,211816.46,0,0,0,0,0,0,1709935.32,203101.07,468818.12,7122408.29,5145677.97,5121630.73,1983628.41,15861379.18,12270873.88,7473864.87,3927400.59,17896147.98,14845584.09,10662670.49,1821136.66,1413106.44,-20877.46,21499104.03,24096822.26,25018199.88,2602384.22,6710254.61,8083793.96,4269399.83,0.0
21,五、净利润,394114222.47,209348218.20,121642255.14,51537467.32,234909923.46,111916777.64,44948577.82,25967842.33,115950340.10,86487084.62,38807232.36,20994345.14,117601239.98,84553598.06,28412433.13,18348281.85,140983376.31,90084015.81,51709681.27,33861672.98,244030076.14,164979762.55,65381967.84,37531282.10,365710918.78,140330687.24,41649590.16,17553434.99,326348384.53,41053012.04,19793371.74,15779306.48,230402906.00,54740489.18,24449397.78,14590110.76,442579678.09,93995641.85,39759519.54,11042759.57,440012217.91,91240101.62,30468426.08,13469633.78,-313760270.41,-542991122.64,-430121157.72,-33021561.83,-25905372.28,-180427392.26,-97052218.89,-43124599.92,-865961443.16,-244789866.94,-193729502.11,-145338407.57,-142332353.74,27785542.10,25016007.83,13060733.13,19205194.30,63313314.61,46835949.60,32317404.39,116406784.91,95756423.74,47352766.67,21266234.70,101381233.36,86990289.27,66209230.69,33665617.60,143869349.85,91328296.82,151742823.86,48012382.78,135923387.24,30142530.36,60255181.19,46412695.24,26563802.18,0.0
22,归属于母公司所有者的净利润,344508204.14,185006178.95,101982894.56,43003625.66,162060307.83,97666599.21,44815114.19,21619442.24,105361220.96,87720286.06,38663132.87,19535902.34,92372107.88,78103742.77,32791825.70,18164476.93,112491753.95,83344176.15,44539382.77,28005412.14,206420706.11,123848141.62,45711848.62,27093421.67,264026432.99,100325587.54,36266129.36,18518593.78,246602027.84,50449248.98,24448566.77,17317876.56,234627546.18,61396063.92,26286523.75,16484871.81,440981641.53,97088399.00,41992982.93,11652558.16,439366882.16,90475474.37,30872184.70,13189080.47,-297393985.19,-521231036.31,-408624623.71,-38135249.32,-10306515.67,-157416625.16,-84962488.71,-37587911.37,-773301533.87,-196455267.16,-157011249.27,-118998118.60,-121067420.52,28273650.62,22461556.38,12223952.50,21525194.57,55903472.80,41500054.38,26372181.77,101152775.53,85582977.56,44456433.02,20951450.28,98293846.96,83517606.68,62152289.37,32729495.93,135797008.56,84964805.21,145324450.93,48012382.78,135923387.24,30142530.36,60255181.19,46412695.24,26563802.18,0.0
23,少数股东损益,49606018.33,24342039.25,19659360.58,8533841.66,72849615.63,14250178.43,133463.63,4348400.09,10589119.14,-1233201.44,144099.49,1458442.80,25229132.10,6449855.29,-4379392.57,183804.92,28491622.36,6739839.66,7170298.50,5856260.84,37609370.03,41131620.93,19670119.22,10437860.43,101684485.79,40005099.70,5383460.80,-965158.79,79746356.69,-9396236.94,-4655195.03,-1538570.08,-4224640.18,-6655574.74,-1837125.97,-1894761.05,1598036.56,-3092757.15,-2233463.39,-609798.59,645335.75,764627.25,-403758.62,280553.31,-16366285.22,-21760086.33,-21496534.01,5113687.49,-15598856.61,-23010767.10,-12089730.18,-5536688.55,-92659909.29,-48334599.78,-36718252.84,-26340288.97,-21264933.22,-488108.52,2554451.45,836780.63,-2320000.27,7409841.81,5335895.22,5945222.62,15254009.38,10173446.18,2896333.65,314784.42,3087386.40,3472682.59,4056941.32,936121.67,8072341.29,6363491.61,6418372.93,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.340000,0.180000,0.100000,0.040000,0.160000,0.100000,0.040000,0.020000,0.110000,0.090000,0.040000,0.020000,0.090000,0.080000,0.030000,0.020000,0.110000,0.080000,0.040000,0.030000,0.210000,0.120000,0.050000,0.030000,0.260000,0.100200,0.036200,0.019000,0.250000,0.050000,0.024000,0.017000,0.230000,0.061300,0.026300,0.016000,0.441000,0.097000,0.042000,0.011600,0.440000,0.090400,0.031000,0.010000,-0.300000,-0.520700,-0.408000,-0.040000,-0.010000,-0.290000,-0.160000,-0.070000,-1.440000,-0.370000,-0.290000,-0.220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.340000,0.180000,0.100000,0.040000,0.160000,0.100000,0.040000,0.020000,0.110000,0.090000,0.040000,0.020000,0.090000,0.080000,0.030000,0.020000,0.110000,0.080000,0.040000,0.030000,0.210000,0.120000,0.050000,0.030000,0.260000,0.100200,0.036200,0.019000,0.250000,0.050000,0.024000,0.017000,0.230000,0.061300,0.026300,0.016000,0.441000,0.097000,0.042000,0.011600,0.440000,0.090400,0.031000,0.010000,-0.300000,-0.520700,-0.408000,-0.040000,-0.010000,-0.290000,-0.160000,-0.070000,-1.440000,-0.370000,-0.290000,-0.220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,394114222.47,209348218.20,121642255.14,51537467.32,234909923.46,111916777.64,44948577.82,25967842.33,115950340.10,86487084.62,38807232.36,20994345.14,117601239.98,84553598.06,28412433.13,18348281.85,140983376.31,90084015.81,51709681.27,33861672.98,244030076.14,164979762.55,65381967.84,37531282.10,365710918.78,140330687.24,41649590.16,17553434.99,326348384.53,41053012.04,19793371.74,15779306.48,230402906.00,54740489.18,24449397.78,14590110.76,442579678.09,93995641.85,39759519.54,11042759.57,440012217.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,344508204.14,185006178.95,101982894.56,43003625.66,162060307.83,97666599.21,44815114.19,21619442.24,105361220.96,87720286.06,38663132.87,19535902.34,92372107.88,78103742.77,32791825.70,18164476.93,112491753.95,83344176.15,44539382.77,28005412.14,206420706.11,123848141.62,45711848.62,27093421.67,264026432.99,100325587.54,36266129.36,18518593.78,246602027.84,50449248.98,24448566.77,17317876.56,234627546.18,61396063.92,26286523.75,16484871.81,440981641.53,97088399.00,41992982.93,11652558.16,439366882.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,49606018.33,24342039.25,19659360.58,8533841.66,72849615.63,14250178.43,133463.63,4348400.09,10589119.14,-1233201.44,144099.49,1458442.80,25229132.10,6449855.29,-4379392.57,183804.92,28491622.36,6739839.66,7170298.50,5856260.84,37609370.03,41131620.93,19670119.22,10437860.43,101684485.79,40005099.70,5383460.80,-965158.79,79746356.69,-9396236.94,-4655195.03,-1538570.08,-4224640.18,-6655574.74,-1837125.97,-1894761.05,1598036.56,-3092757.15,-2233463.39,-609798.59,645335.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
