,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,32121452.92,22513611.50,11974688.53,2201648.30,27623728.66,10376748.72,7564128.49,5751291.46,25497590.06,9682252.53,3088524.48,-658091.53,3828811.66,-4178118.88,-3267457.25,31201.61,50110515.23,49994554.62,-1320482.79,-11750.33,1674902.55,-2001787.96,-1477307.16,53164.12,378694.65,-1291211.38,-486075.94,-385130.58,2936192.97,373542.39,-410418.98,-573301.83,-10444870.88,-1842873.82,-1608272.14,-514843.18,3910402.00,1850209.29,2446120.90,-539870.44,2874951.02,903887.69,1797765.93,-653961.54,-43148522.61,5039747.22,3852789.66,1753689.16,6517815.00,11338924.62,9283275.89,3390980.52,9564350.19,4678131.48,3753452.10,2482966.68,-25195998.79,-7812714.06,-5885559.37,-2219883.45,1098670.38,-5400389.28,-5509690.63,-1208906.50,-8144868.94,2291391.43,2442955.94,2495382.56,4139501.50,-4027151.20,-4903248.45,-2087022.43,5390776.94,-854638.00,-1683054.79,-48999734.26,-926853.21,1349335.00,6333589.68,31835417.32,10759621.49,27418843.62,13527301.18,26113852.11,26752482.54,0.0
20,减：所得税费用,8443346.01,6260160.25,3486344.23,722616.59,7058019.29,4527558.32,3295938.13,1865977.94,6522555.19,2541111.39,1045546.34,273415.20,1205946.65,289761.77,289761.77,7800.40,11243124.07,5566953.75,0,0,820904.32,0,0,0,411746.44,0,0.00,0,946850.61,32343.15,32343.15,0,1457757.76,0,0,0,1053482.54,0,0,0,0,0,0,0,1724.61,-135232.21,-77807.34,89706.94,921768.86,2043351.57,1625263.64,1014163.68,4044712.69,1395541.23,1029312.23,662294.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202400.25,950038.45,4775312.60,1613943.22,4150510.00,1144328.48,3937837.75,5100000.00,0.0
21,五、净利润,23678106.91,16253451.25,8488344.30,1479031.71,20565709.37,5849190.40,4268190.36,3885313.52,18975034.87,7141141.14,2042978.14,-931506.73,2622865.01,-4467880.65,-3557219.02,23401.21,38867391.16,44427600.87,-1320482.79,-11750.33,853998.23,-2001787.96,-1477307.16,53164.12,-33051.79,-1291211.38,-486075.94,-385130.58,1989342.36,341199.24,-442762.13,-573301.83,-11902628.64,-1842873.82,-1608272.14,-514843.18,2856919.46,1850209.29,2446120.90,-539870.44,2874951.02,903887.69,1797765.93,-653961.54,-43150247.22,5174979.43,3930597.00,1663982.22,5596046.14,9295573.05,7658012.25,2376816.84,5519637.50,3282590.25,2724139.87,1820671.79,-25195998.79,-7812714.06,-5885559.37,-2219883.45,1098670.38,-5400389.28,-5509690.63,-1208906.50,-8144868.94,2291391.43,2442955.94,2495382.56,4139501.50,-4027151.20,-4903248.73,-2087022.43,5390776.94,-854638.00,-1683054.79,-48999734.26,-926853.21,1146934.75,5383551.23,27060104.72,9145678.27,23268333.62,12382972.70,22176014.36,21652482.54,0.0
22,归属于母公司所有者的净利润,19389151.32,13861525.38,8160918.15,1808416.41,20930602.12,5849190.40,4268190.36,3885313.52,18975034.87,7141141.14,2042978.14,-931506.73,2622865.01,-4467880.65,-3557219.02,23401.21,38613414.15,44220536.59,-1256846.01,-137066.33,357059.81,-1801744.19,-1399350.30,31898.47,-436654.78,-975727.56,-404810.96,-358758.38,1476431.65,489772.12,-375385.93,-515822.54,-11505418.37,-1658525.20,-1360070.81,-464021.70,1079791.87,499662.01,1029604.54,-496023.44,3417252.62,1117077.05,1868714.73,-623399.22,-37942165.08,4963300.95,3684544.07,1505614.04,5037269.59,7728283.38,6359944.68,1575036.52,2253108.67,119363.46,409318.69,319470.04,-25195998.79,-7812714.06,-5885559.37,-2219883.45,1098670.38,-5400389.28,-5509690.63,-1208906.50,-8144868.94,2291391.43,2442955.94,2495382.56,4139501.50,-4027151.20,-4903248.73,-2087022.43,5390776.94,-854638.00,-1683054.79,-48999734.26,-926853.21,1146934.75,5383551.23,27060104.72,9145678.27,23268333.62,12382972.70,22176014.36,21652482.54,0.0
23,少数股东损益,4288955.59,2391925.87,327426.15,-329384.70,-364892.75,0,0,0,0,0,0,0,0,0,0,0,253977.01,207064.28,-63636.78,125316.00,496938.42,-200043.77,-77956.86,21265.65,403602.99,-315483.82,-81264.98,-26372.20,512910.71,-148572.88,-67376.20,-57479.29,-397210.27,-184348.62,-248201.33,-50821.48,1777127.59,1350547.28,1416516.36,-43847.00,-542301.60,-213189.36,-70948.80,-30562.32,-5208082.14,211678.48,246052.93,158368.18,558776.55,1567289.67,1298067.57,801780.32,3266528.83,3163226.79,2314821.18,1501201.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.151000,0.108000,0.064000,0.014000,0.164000,0.046000,0.033000,0.030000,0.148000,0.056000,0.016000,-0.007300,0.020000,-0.035000,-0.028000,0.000200,0.302000,0.345000,-0.010000,-0.001000,0.003000,-0.014000,-0.011000,0.000200,-0.003000,-0.008000,-0.003000,-0.003000,0.010000,0.004000,-0.003000,-0.004000,-0.090000,-0.013000,-0.010000,-0.004000,0.010000,0.004000,0.008000,-0.004000,0.030000,0.009000,0.015000,-0.005000,-0.300000,0.040000,0.030000,0.012000,0.039000,0.060000,0.050000,0.012000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.151000,0.108000,0.064000,0.014000,0.164000,0.046000,0.033000,0.030000,0.148000,0.056000,0.016000,-0.007300,0.020000,-0.035000,-0.028000,0.000200,0.302000,0.345000,-0.010000,-0.001000,0.003000,-0.014000,-0.011000,0,-0.003000,-0.008000,-0.003000,-0.003000,0.010000,0.004000,-0.003000,-0.004000,-0.090000,-0.013000,-0.010000,-0.004000,0.010000,0.004000,0.008000,-0.004000,0.030000,0.009000,0.015000,-0.005000,-0.300000,0.040000,0.030000,0.012000,0.039000,0.060000,0.050000,0.012000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,23678106.91,16253451.25,8488344.30,1479031.71,20565709.37,5849190.40,4268190.36,3885313.52,18975034.87,7141141.14,2042978.14,-931506.73,2622865.01,-4467880.65,-3557219.02,23401.21,38867391.16,44427600.87,-1320482.79,-11750.33,853998.23,-2001787.96,-1477307.16,53164.12,-33051.79,0,0,0,1989342.36,0,0,0,-11902628.64,0,0,0,2856919.46,0,0,0,2874951.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,19389151.32,13861525.38,8160918.15,1808416.41,20930602.12,5849190.40,4268190.36,3885313.52,18975034.87,7141141.14,2042978.14,-931506.73,2622865.01,-4467880.65,-3557219.02,23401.21,38613414.15,44220536.59,-1256846.01,-137066.33,357059.81,-1801744.19,-1399350.30,31898.47,-436654.78,0,0,0,1476431.65,0,0,0,-11505418.37,0,0,0,1079791.87,0,0,0,3417252.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,4288955.59,2391925.87,327426.15,-329384.70,-364892.75,0,0,0,0,0,0,0,0,0,0,0,253977.01,207064.28,-63636.78,125316.00,496938.42,-200043.77,-77956.86,21265.65,403602.99,0,0,0,512910.71,0,0,0,-397210.27,0,0,0,1777127.59,0,0,0,-542301.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
