,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,607140670.83,389428232.29,297605725.29,108042389.26,589468661.08,42795108.85,28149344.62,6093539.73,64699093.98,28408657.31,23215763.54,4830697.53,32272113.47,14791266.61,12897047.46,1036989.67,42456087.41,34537025.26,32249902.38,15841729.99,91996902.24,60049498.50,44132644.85,17391599.45,87697088.15,55450414.30,38636795.91,17112760.96,82761398.65,57014054.15,42891347.86,12242068.30,77121133.31,41389720.93,23679405.27,6117055.67,54130346.27,31100093.17,14696368.08,3175515.85,49135843.06,27167281.09,14883464.20,5079744.32,71238713.08,51849621.64,29782003.57,7492276.77,42657147.24,31863543.45,16424759.43,5079410.50,-23828883.13,6936804.87,-287364.28,3437310.19,5169276.92,9337512.84,5283069.86,4146077.51,-33637066.10,5234528.36,8368349.28,3274085.89,33050941.73,21788907.70,14340017.40,13224340.28,15723055.73,12612677.92,3571712.70,23632722.68,15381550.07,21941778.25,8010503.39,20585738.20,18642933.72,13975663.41,0.0
20,减：所得税费用,70296330.45,47092880.35,31415586.80,8926170.93,54617832.14,3015422.30,422917.34,965806.73,5817325.58,1119720.22,48318.23,883095.99,6425330.74,1618701.01,1236596.61,226901.48,-764725.72,5240074.18,4648615.60,2336096.47,14399254.68,8981334.90,6296169.39,2452292.39,11931111.04,8056601.40,5273548.59,2492592.85,12671240.59,7817731.70,5716551.27,1587420.28,14523654.55,7098907.22,4314355.13,1123410.43,9219029.09,5418064.68,2675238.95,449040.16,6448547.91,2360247.68,-642584.88,806914.65,12419213.92,8796397.32,4226083.81,1251126.75,16558468.51,4566409.68,2541951.67,773634.42,11572078.90,1358826.99,874326.74,285462.73,1049161.57,159304.57,147577.15,4590.11,200494.77,1254435.48,527122.01,5177.28,58736.34,1570.71,1570.71,9063.89,88069.10,84434.10,0,25590.24,0,0,0,0,0,0,0.0
21,五、净利润,536844340.38,342335351.94,266190138.49,99116218.33,534850828.94,39779686.55,27726427.28,5127733.00,58881768.40,27288937.09,23167445.31,3947601.54,25846782.73,13172565.60,11660450.85,810088.19,43220813.13,29296951.08,27601286.78,13505633.52,77597647.56,51068163.60,37836475.46,14939307.06,75765977.11,47393812.90,33363247.32,14620168.11,70090158.06,49196322.45,37174796.59,10654648.02,62597478.76,34290813.71,19365050.14,4993645.24,44911317.18,25682028.49,12021129.13,2726475.69,42687295.15,24807033.41,15526049.08,4272829.67,58819499.16,43053224.32,25555919.76,6241150.02,26098678.73,27297133.77,13882807.76,4305776.08,-35400962.03,5577977.88,-1161691.02,3151847.46,4120115.35,9178208.27,5135492.71,4141487.40,-33837560.87,3980092.88,7841227.27,3268908.61,32992205.39,21787336.99,14338446.69,13215276.39,15634986.63,12528243.82,3571712.70,23607132.44,15381550.07,21941778.25,8010503.39,20585738.20,18642933.72,13975663.41,0.0
22,归属于母公司所有者的净利润,525063379.20,329978663.87,257279003.84,93246366.73,524821836.25,39779686.55,27726427.28,5127733.00,58881768.40,27288937.09,23167445.31,3947601.54,27111197.70,14031535.16,12001250.38,990849.20,43213075.54,29172802.98,27095947.90,13139276.10,76600666.95,50484318.92,37527663.74,14782334.26,74630436.90,46614632.97,32629905.43,14272613.25,68872462.37,48385051.24,36511183.71,10295940.30,61235152.58,33387846.53,18692357.52,4685560.83,43610574.77,24623441.19,11373126.69,2358417.17,41376024.88,23654564.69,14929915.03,3883162.13,56408733.10,41512592.23,24862064.54,6052101.17,23743702.87,26388979.79,13278883.80,4230354.91,-37028317.63,4601993.47,-1793542.61,3035681.71,3654636.52,8821961.70,5352301.17,4238586.93,-33044685.57,4354536.27,8095191.87,3413925.14,33662271.71,21787336.99,14338446.69,13215276.39,15630396.39,12534635.69,3556712.32,23592631.30,15381550.07,21941778.25,8010503.39,20585738.20,18642933.72,13975663.41,0.0
23,少数股东损益,11780961.18,12356688.07,8911134.65,5869851.60,10028992.69,0,0,0,0,0,0,0,-1264414.97,-858969.56,-340799.53,-180761.01,7737.59,124148.10,505338.88,366357.42,996980.61,583844.68,308811.72,156972.80,1135540.21,779179.93,733341.89,347554.86,1217695.69,811271.21,663612.88,358707.72,1362326.18,902967.18,672692.62,308084.41,1300742.41,1058587.30,648002.44,368058.52,1311270.27,1152468.72,596134.05,389667.54,2410766.06,1540632.09,693855.22,189048.85,2354975.86,908153.97,603923.96,75421.17,1627355.60,975984.41,631851.59,116165.75,465478.83,356246.57,-216808.46,-97099.53,-792875.30,-374443.39,-253964.60,-145016.53,-670066.32,0,0,0,4590.24,-6391.87,15000.38,14501.14,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.616200,0.394200,0.307300,0.111000,0.630000,0.130000,0.090000,0.017000,0.200000,0.090000,0.080000,0.013000,0.090000,0.050000,0.040000,0.003000,0.150000,0.100000,0.090000,0.044000,0.260000,0.170000,0.126000,0.050000,0.250000,0.157000,0.110000,0.048000,0.230000,0.163000,0.123000,0.038000,0.230000,0.124000,0.069000,0.017000,0.160000,0.091000,0.042000,0.010000,0.170000,0.096000,0.061000,0.016000,0.230000,0.169000,0.101000,0.025000,0.100000,0.107000,0.054000,0.018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.616200,0.394200,0.307300,0.111000,0.630000,0.130000,0.090000,0.017000,0.200000,0.090000,0.080000,0.013000,0.090000,0.050000,0.040000,0.003000,0.150000,0.100000,0.090000,0.044000,0.260000,0.170000,0.126000,0.050000,0.250000,0.157000,0.110000,0.048000,0.230000,0.163000,0.123000,0.038000,0.230000,0.124000,0.069000,0.017000,0.160000,0.091000,0.042000,0.010000,0.170000,0.096000,0.061000,0.016000,0.230000,0.169000,0.101000,0.025000,0.100000,0.107000,0.054000,0.018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,536844340.38,342335351.94,266190138.49,99116218.33,534850828.94,39779686.55,27726427.28,5127733.00,58881768.40,27288937.09,23167445.31,3947601.54,25846782.73,13172565.60,11660450.85,810088.19,43220813.13,29296951.08,27601286.78,13505633.52,77597647.56,51068163.60,37836475.46,14939307.06,75765977.11,47393812.90,33363247.32,14620168.11,70090158.06,49196322.45,37174796.59,10654648.02,62597478.76,34290813.71,19365050.14,4993645.24,44911317.18,25682028.49,12021129.13,2726475.69,42687295.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,525063379.20,329978663.87,257279003.84,93246366.73,524821836.25,0,0,0,58881768.40,27288937.09,23167445.31,3947601.54,27111197.70,14031535.16,12001250.38,990849.20,43213075.54,29172802.98,27095947.90,13139276.10,76600666.95,50484318.92,37527663.74,14782334.26,74630436.90,46614632.97,32629905.43,14272613.25,68872462.37,48385051.24,36511183.71,10295940.30,61235152.58,33387846.53,18692357.52,4685560.83,43610574.77,24623441.19,11373126.69,2358417.17,41376024.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,11780961.18,12356688.07,8911134.65,5869851.60,10028992.69,0,0,0,0,0,0,0,-1264414.97,-858969.56,-340799.53,-180761.01,7737.59,124148.10,505338.88,366357.42,996980.61,583844.68,308811.72,156972.80,1135540.21,779179.93,733341.89,347554.86,1217695.69,811271.21,663612.88,358707.72,1362326.18,902967.18,672692.62,308084.41,1300742.41,1058587.30,648002.44,368058.52,1311270.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
