,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,32263655.14,14905664.06,4803370.10,-3493884.30,33151364.21,35010242.93,31435625.79,6815255.21,-152872255.26,-72640180.58,-29035367.51,-8622681.37,36561910.36,23997291.25,17335547.76,11002289.00,63187257.69,33020331.00,21159096.70,9374076.11,78212339.65,45816966.01,31650017.37,14964398.90,69460130.72,39423871.10,26339701.83,10896623.55,76577249.43,59573811.27,40650153.64,14722838.38,61721920.31,48759871.13,35446906.87,19113190.42,42276404.43,25773145.74,9697401.88,4641662.88,15716462.91,-40252263.91,-38536191.03,-16762759.71,-172273723.73,-50370223.81,-24761682.60,-35022948.87,-591581875.09,-512312700.61,-240164439.54,-19713327.65,28294850.31,16056608.82,24817009.42,21963651.63,-473103073.25,-283327980.04,-111583259.18,27901760.78,258368442.85,248463406.70,180724764.42,58520905.77,349744549.57,257009540.05,189975841.86,51053492.62,271822789.42,156658794.98,67961914.36,33499760.26,126654014.82,39751945.31,45805864.53,35086217.44,58169874.65,45999500.33,42197884.98,0.0
20,减：所得税费用,4347643.39,977421.48,0,0,48438.49,0,0,0,-165318.12,-45527.22,121745.89,102938.38,5754362.55,2265123.26,2091779.80,456274.18,2204904.07,1459019.47,527219.82,459189.54,3860098.66,2539452.40,1984347.04,1081291.60,1493610.99,1003005.96,800698.65,622899.19,8063590.30,3188896.77,2050862.66,642004.77,1570017.68,606690.85,301150.88,143562.89,17234.24,0,0,0,0,0,0,0,26612.66,10995.72,0,0,1496396.75,641917.35,535918.65,726212.43,3667928.25,1327623.30,887063.88,432942.24,6473760.95,1087819.74,1687544.62,6958141.44,47327064.97,71850872.09,63800818.24,196488.61,107501757.35,94537252.92,93313102.92,8411436.54,48658169.82,53116735.13,18665655.83,13475594.02,61920428.06,12680994.13,20729648.29,11767245.30,5115634.02,246384.55,0,0.0
21,五、净利润,27916011.75,13928242.58,4803370.10,-3493884.30,33102925.72,35010242.93,31435625.79,6815255.21,-152706937.14,-72594653.36,-29157113.40,-8725619.75,30807547.81,21732167.99,15243767.96,10546014.82,60982353.62,31561311.53,20631876.88,8914886.57,74352240.99,43277513.61,29665670.33,13883107.30,67966519.73,38420865.14,25539003.18,10273724.36,68513659.13,56384914.50,38599290.98,14080833.61,60151902.63,48153180.28,35145755.99,18969627.53,42259170.19,25773145.74,9697401.88,4641662.88,15716462.91,-40252263.91,-38536191.03,-16762759.71,-172300336.39,-50381219.53,-24761682.60,-35022948.87,-593078271.84,-512954617.96,-240700358.19,-20439540.08,24626922.06,14728985.52,23929945.54,21530709.39,-479576834.20,-284415799.78,-113270803.80,20943619.34,211041377.88,176612534.61,116923946.18,58324417.16,242242792.22,162472287.13,96662738.94,42642056.08,223164619.60,103542059.85,49296258.53,20024166.24,64733586.76,27070951.18,25076216.24,23318972.14,53054240.63,45753115.78,42197884.98,0.0
22,归属于母公司所有者的净利润,27916011.75,13928242.58,4803370.10,-3493884.30,33102925.72,35010242.93,31435625.79,6815255.21,-152706937.14,-72594653.36,-29157113.40,-8725619.75,30807547.81,21732167.99,15243767.96,10546014.82,60982353.62,31561311.53,20631876.88,8914886.57,74352240.99,43277513.61,29665670.33,13883107.30,67966519.73,38420865.14,25539003.18,10273724.36,68513659.13,56384914.50,38599290.98,14080833.61,60151902.63,48153180.28,35145755.99,18969627.53,42259170.19,25773145.74,9697401.88,4641662.88,15716462.91,-40252263.91,-38536191.03,-16762759.71,-167294585.22,-47453845.80,-22086355.08,-34037120.62,-593640188.39,-508484566.92,-237240607.43,-19326978.92,30584774.17,17616696.62,31246440.29,23000492.54,-474896761.30,-278638491.17,-106544009.43,26705261.14,207459814.58,170089830.38,111337118.55,50505930.80,245023581.50,167331136.55,106943080.08,49048803.23,215922223.92,111297915.77,56294253.32,22614847.47,68134627.02,27847818.76,25390644.98,21466463.06,48109295.08,45699255.99,42197884.98,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5005751.17,-2927373.73,-2675327.52,-985828.25,561916.55,-4470051.04,-3459750.76,-1112561.16,-5957852.11,-2887711.10,-7316494.75,-1469783.15,-4680072.90,-5777308.61,-6726794.37,-5761641.80,3581563.30,6522704.23,5586827.63,7818486.36,-2780789.28,-4858849.42,-10280341.14,-6406747.15,7242395.68,-7755855.92,-6997994.79,-2590681.23,-3401040.26,-776867.58,-314428.74,1852509.08,4944945.55,53859.79,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.040000,0.020000,0.010000,-0.005000,0.040000,0.050000,0.040000,0.010000,-0.200000,-0.090000,-0.040000,-0.010000,0.040000,0.030000,0.020000,0.010000,0.080000,0.040000,0.030000,0.012000,0.100000,0.060000,0.039000,0.018000,0.090000,0.050000,0.033000,0.013000,0.090000,0.073000,0.050000,0.020000,0.080000,0.063000,0.050000,0.020000,0.060000,0.034000,0.013000,0.010000,0.020000,-0.050000,-0.050000,-0.020000,-0.220000,-0.060000,-0.030000,-0.050000,-0.770000,-0.660000,-0.310000,-0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.040000,0.020000,0.010000,-0.005000,0.040000,0.050000,0.040000,0.010000,-0.200000,-0.090000,-0.040000,-0.010000,0.040000,0.030000,0.020000,0.010000,0.080000,0.040000,0.030000,0.012000,0.100000,0.060000,0.039000,0.018000,0.090000,0.050000,0.033000,0.013000,0.090000,0.073000,0.050000,0.020000,0.080000,0.063000,0.050000,0.020000,0.060000,0.034000,0.013000,0.010000,0.020000,-0.050000,-0.050000,-0.020000,-0.220000,-0.060000,-0.030000,-0.050000,-0.770000,-0.660000,-0.310000,-0.030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,-95198.37,-117391.77,-16205.38,90969.03,-205691.35,-246864.42,-37501.68,174138.15,289736.77,220767.20,130680.73,32849.15,-273067.43,-111363.19,-80883.76,21347.36,5131636.29,-144798.94,1220.27,-14538.68,-14260.55,-33774.49,-48112.65,-43525.56,153306.05,110990.62,87865.06,19988.89,-1148.44,-14533.08,5342.05,40978.15,378366.02,438254.29,239165.81,134705.57,274825.53,151495.75,73386.46,13707.44,10647.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,27820813.38,13810850.81,4787164.72,-3402915.27,32897234.37,34763378.51,31398124.11,6989393.36,-152417200.37,-72373886.16,-29026432.67,-8692770.60,30534480.38,21620804.80,15162884.20,10567362.18,66113989.91,31416512.59,20633097.15,8900347.89,74337980.44,43243739.12,29617557.68,13839581.74,68119825.78,38531855.76,25626868.24,10293713.25,68512510.69,56370381.42,38604633.03,14121811.76,60530268.65,48591434.57,35384921.80,19104333.10,42533995.72,25924641.49,9770788.34,4655370.32,15727110.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,27820813.38,13810850.81,0,-3402915.27,32897234.37,34763378.51,31398124.11,6989393.36,-152417200.37,-72373886.16,-29026432.67,-8692770.60,30534480.38,21620804.80,15162884.20,10567362.18,66113989.91,31416512.59,20633097.15,8900347.89,74337980.44,43243739.12,29617557.68,13839581.74,68119825.78,38531855.76,25626868.24,10293713.25,68512510.69,56370381.42,38604633.03,14121811.76,60530268.65,48591434.57,35384921.80,19104333.10,42533995.72,25924641.49,9770788.34,4655370.32,15727110.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
