,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,334405981.76,230691668.59,46188995.21,353927106.71,414520360.52,239336047.83,99314872.49,424154501.42,502651671.78,183777385.03,45215518.00,-39871555.53,-67647867.69,-19576092.89,-13412062.26,36847278.97,32281092.04,26532017.75,19248819.27,230635821.96,45271824.41,18146468.35,8646486.37,173771090.03,110329318.07,31318735.04,12072067.36,180076258.80,-143199773.27,-123708092.32,-106488262.34,-183444606.09,-42718476.46,-28965071.05,-15415357.47,-89780127.86,-34051583.95,-20686328.62,-14083154.41,9236683.86,21229688.04,12643535.29,4346887.48,29607741.08,35983867.65,18474222.69,4821946.70,49213814.23,40246817.47,18381790.80,4493907.21,48034385.08,39197660.40,24557726.38,6065655.99,51598788.49,30475505.47,21453823.05,9298706.40,47105266.43,25566143.16,15472636.24,4418020.49,33116848.75,24180056.63,13614403.86,4085643.57,30967784.60,23030538.13,13007003.81,21594095.35,10940372.02,0.0
20,减：所得税费用,69361532.66,45305136.72,8908668.80,81619500.77,88120768.78,54689341.22,28857668.69,109153526.37,109557914.75,48853135.27,15232610.99,-8544579.78,-4535204.48,1147352.48,-204974.01,18328627.86,8503526.58,4771881.21,3628466.87,34974735.02,11242234.47,6849742.00,1481606.24,25308089.78,17845475.92,5672461.96,1983635.38,27415809.80,711159.03,718825.77,327430.99,-2422337.29,163569.05,138278.29,62902.14,311865.41,362481.22,265379.17,115667.16,3368603.43,4069379.66,2499302.18,1185614.14,3467785.30,5634511.05,2882585.12,807332.86,8645643.57,4881451.77,1431161.08,667471.30,6821163.41,6196405.28,3725112.73,1180796.82,9719008.21,6700806.66,5098884.44,2250660.77,9484671.14,3954321.16,2346388.50,712840.99,4467624.12,2864906.30,1517303.71,502520.49,2580724.78,1699848.16,1094170.32,2527612.64,230352.82,0.0
21,五、净利润,265044449.10,185386531.87,37280326.41,272307605.94,326399591.74,184646706.61,70457203.80,315000975.05,393093757.03,134924249.76,29982907.01,-31326975.75,-63112663.21,-20723445.37,-13207088.25,18518651.11,23777565.46,21760136.54,15620352.40,195661086.94,34029589.94,11296726.35,7164880.13,148463000.25,92483842.15,25646273.08,10088431.98,152660449.00,-143910932.30,-124426918.09,-106815693.33,-181022268.80,-42882045.51,-29103349.34,-15478259.61,-90091993.27,-34414065.17,-20951707.79,-14198821.57,5868080.43,17160308.38,10144233.11,3161273.34,26139955.78,30349356.60,15591637.57,4014613.84,40568170.66,35365365.70,16950629.72,3826435.91,41213221.67,33001255.12,20832613.65,4884859.17,41879780.28,23774698.81,16354938.61,7048045.63,37620595.29,21611822.00,13126247.74,3705179.50,28649224.63,21315150.33,12097100.15,3583123.08,28387059.82,21330689.97,11912833.49,19066482.71,10710019.20,0.0
22,归属于母公司所有者的净利润,257188688.25,181292332.61,34728423.88,286438401.83,338153448.51,194464387.36,76850223.88,336546890.63,398556386.23,134590688.27,32217537.68,-32852307.82,-66509968.32,-23092904.94,-15181619.77,19328553.19,23264986.06,21945962.30,15760422.92,192271188.95,28854239.98,7461693.39,7046606.86,147849606.96,93321953.73,26358334.67,9988152.59,154545615.76,-143493609.67,-124238558.19,-106715012.06,-178078878.02,-42630329.22,-28786070.65,-15204936.70,-88191372.52,-33885141.11,-20710248.69,-14052479.41,6033691.44,17259830.15,10175307.63,3266527.69,26239024.20,30363166.66,15672348.65,3976844.30,38697972.36,34651265.68,16403500.99,3588082.18,40164863.94,32255297.52,20085047.62,4715078.79,40103653.74,22971952.24,15816759.62,6683487.29,36206664.38,20932902.98,12692577.92,3561574.95,27120238.13,20176951.76,11413428.38,3405569.21,26779730.83,20132999.54,11247735.50,18371783.61,10410712.93,0.0
23,少数股东损益,7855760.85,4094199.26,2551902.53,-14130795.89,-11753856.77,-9817680.75,-6393020.08,-21545915.58,-5462629.20,333561.49,-2234630.67,1525332.07,3397305.11,2369459.57,1974531.52,-809902.08,512579.40,-185825.76,-140070.52,3389897.99,5175349.96,3835032.96,118273.27,613393.29,-838111.58,-712061.59,100279.39,-1885166.76,-417322.63,-188359.90,-100681.27,-2943390.78,-251716.29,-317278.69,-273322.91,-1900620.75,-528924.06,-241459.10,-146342.16,-165611.01,-99521.77,-31074.52,-105254.35,-99068.42,-13810.06,-80711.08,37769.54,1870198.30,714100.02,547128.73,238353.73,1048357.73,745957.60,747566.03,169780.38,1776126.54,802746.57,538178.99,364558.34,1413930.91,678919.02,433669.82,143604.55,1528986.50,1138198.57,683671.77,177553.87,1607328.99,1197690.43,665097.99,694699.10,299306.27,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.146700,0.103400,0.019800,0.163200,0.192700,0.110800,0.056900,0.263900,0.318700,0.112100,0.031600,-0.034900,-0.070700,-0.024500,-0.016100,0.020500,0.024700,0.058300,0.042000,0.510000,0.076700,0.019800,0.018720,0.390000,0.250000,0.070000,0.026500,0.700000,-0.916300,-0.790000,-0.680000,-1.140000,-0.272200,-0.180000,-0.100000,-0.560000,-0.216400,-0.130000,-0.090000,0.040000,0.110200,0.065000,0.020000,0.170000,0.193800,0.100000,0.030000,0.247100,0.321000,0.150000,0.030000,0.371900,0.299000,0.186000,0.040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.146700,0.103400,0.019800,0.163200,0.192700,0.110800,0.056900,0.263900,0.318700,0.112100,0.031600,-0.034900,-0.070700,-0.024500,-0.016100,0.020500,0.024700,0.058300,0.042000,0.510000,0.076700,0.019800,0.018720,0.390000,0,0.070000,0.026500,0.700000,-0.916300,-0.790000,-0.680000,-1.140000,-0.272200,-0.180000,-0.100000,-0.560000,-0.216400,-0.130000,-0.090000,0.040000,0.110200,0.065000,0.020000,0.170000,0.193800,0.100000,0.030000,0.247100,0.321000,0.150000,0.030000,0.371900,0.299000,0.186000,0.040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,36378636.03,34132353.20,-13025252.88,-12513160.33,-6120002.98,-13730132.64,-14217445.87,11824651.79,34130917.21,37760554.48,45882539.88,18799598.45,0,0,0,704029.31,704029.31,0,0,0,0,0,0,9000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,301423085.13,219518885.07,24255073.53,259794445.61,320279588.76,170916573.97,47301827.78,326825626.84,427224674.24,172684804.24,75865446.89,-12527377.30,-63112663.21,-20723445.37,-13207088.25,19222680.42,24481594.77,21760136.54,15620352.40,195661086.94,34029589.94,11296726.35,7164880.13,157463000.25,92483842.15,25646273.08,10088431.98,152660449.00,-143910932.30,-124426918.09,-106815693.33,-181022268.80,-42882045.51,-29103349.34,-15478259.61,-90091993.27,-34414065.17,-20951707.79,-14198821.57,5868080.43,17160308.38,10144233.11,3161273.34,26139955.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,293134424.23,215367066.50,21747236.25,273583510.75,331733322.76,180946457.58,54010484.67,348371530.30,432943373.34,172382295.48,77983172.84,-14206894.56,-66509968.32,-23092904.94,-15181619.77,20032581.80,23969014.67,21945962.30,15760422.92,192271188.95,28854239.98,7461693.39,7046606.86,151993206.96,93321953.73,26358334.67,9988152.59,154545615.76,-143493609.67,-124238558.19,-106715012.06,-178078878.02,-42630329.22,-28786070.65,0,0,-33885141.11,0,0,0,17259830.15,10144233.11,3266527.69,26139955.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,8288660.90,4151818.57,2507837.28,-13789065.14,-11453734.00,-10029883.61,-6708656.89,-21545903.46,-5718699.10,302508.76,-2117725.95,1679517.26,3397305.11,2369459.57,1974531.52,-809901.38,512580.10,-185825.76,-140070.52,3389897.99,5175349.96,3835032.96,118273.27,5469793.29,-838111.58,-712061.59,100279.39,-1885166.76,-417322.63,-188359.90,-100681.27,-2943390.78,-251716.29,-317278.69,0,0,-528924.06,0,0,0,-99521.77,0,-105254.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
