,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,306952221.39,1665553666.52,1230822981.89,786973410.00,277388951.24,1178309059.53,949254753.20,503187671.39,200504751.44,984253977.86,762801154.24,473987777.74,184771376.53,563096412.93,462894684.17,344435210.20,48254692.54,432701318.16,381825548.38,252536493.45,52072686.78,228045944.12,121685165.90,59259574.33,-8399291.71,151096319.55,130454124.36,81301199.44,7807989.65,172573032.74,104491740.86,82351160.76,10680542.49,153201221.98,126067828.00,96304569.75,37737263.93,364048670.67,309564983.27,185037150.29,92762920.70,242175590.24,133238384.25,64549676.04,18265764.02,135803237.27,87588838.16,51547663.27,5407401.65,90130516.89,53673921.82,38955026.86,8138341.47,63141642.25,41007697.61,30421431.10,9351552.39,52220710.81,39338441.56,43509689.24,27783056.53,0.0
20,减：所得税费用,54258582.68,237076529.70,179426493.48,119089238.03,54940309.51,186687469.54,162654023.17,87793010.74,37955551.95,173737114.59,130540615.54,78726831.39,37913844.16,139630694.81,110621643.28,63966317.64,19689793.08,95884592.92,78244895.59,47042231.09,18668104.00,55289108.18,36512395.50,15417535.91,4289027.80,29188983.11,36078987.19,20497291.32,4874760.76,28598853.79,18061503.39,13955786.77,3906141.19,18332599.44,22108600.82,15162995.83,6616752.10,52971889.18,45252555.22,28506303.74,15540969.57,39206100.11,24210351.83,12751009.18,4543634.89,14066577.29,14973783.88,7351498.45,1071672.28,7773699.27,9795498.02,5822144.86,1754083.24,1229681.01,765767.78,595686.49,0,866055.34,801039.68,1995522.18,1379327.70,0.0
21,五、净利润,252693638.71,1428477136.82,1051396488.41,667884171.97,222448641.73,991621589.99,786600730.03,415394660.65,162549199.49,810516863.27,632260538.70,395260946.35,146857532.37,423465718.12,352273040.89,280468892.56,28564899.46,336816725.24,303580652.79,205494262.36,33404582.78,172756835.94,85172770.40,43842038.42,-12688319.51,121907336.44,94375137.17,60803908.12,2933228.89,143974178.95,86430237.47,68395373.99,6774401.30,134868622.54,103959227.18,81141573.92,31120511.83,311076781.49,264312428.05,156530846.55,77221951.13,202969490.13,109028032.42,51798666.86,13722129.13,121736659.98,72615054.28,44196164.82,4335729.37,82356817.62,43878423.80,33132882.00,6384258.23,61911961.24,40241929.83,29825744.61,9351552.39,51354655.47,38537401.88,41514167.06,26403728.83,0.0
22,归属于母公司所有者的净利润,241939010.06,1379965477.82,1018893810.43,652298951.05,215233758.18,934141403.30,745578938.51,384393569.36,148235481.54,767283673.98,599976333.56,373540556.71,137004433.83,401403276.47,338668981.40,272548986.52,28974334.51,300302631.14,273853256.39,184118460.01,27639424.83,152194786.21,71657130.39,35696487.24,-13711216.10,107949115.41,80478589.24,52004980.03,933328.24,127932200.66,76684430.93,61196823.13,4025279.03,121471082.41,92520015.19,71563358.62,26310502.17,177004449.50,143647163.61,82091602.80,36730110.26,108385542.93,54708351.46,24070324.24,3119276.75,94090246.07,57663053.58,35569461.40,3474001.19,75067243.25,40260783.23,30476927.62,5480938.64,56832894.17,36556709.85,27072010.39,8092401.78,47357790.62,35540816.22,30281150.25,22240912.11,0.0
23,少数股东损益,10754628.65,48511659.00,32502677.98,15585220.92,7214883.55,57480186.69,41021791.52,31001091.29,14313717.95,43233189.29,32284205.14,21720389.64,9853098.54,22062441.65,13604059.49,7919906.04,-409435.05,36514094.10,29727396.40,21375802.35,5765157.95,20562049.73,13515640.01,8145551.18,1022896.59,13958221.03,13896547.93,8798928.09,1999900.65,16041978.29,9745806.54,7198550.86,2749122.27,13397540.13,11439211.99,9578215.30,4810009.66,134072331.99,120665264.44,74439243.75,40491840.87,94583947.20,54319680.96,27728342.62,10602852.38,27646413.91,14952000.70,8626703.42,861728.18,7289574.37,3617640.57,2655954.38,903319.59,5079067.07,3685219.98,2753734.22,1259150.61,3996864.85,2996585.66,11233016.81,4162816.72,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.144200,0.822300,0.607200,0.388700,0.166700,0.723700,0.577600,0.297800,0.183700,0.951000,0.743700,0.463000,0.169800,0.527600,0.454300,0.381300,0.072400,0.750800,0.684600,0.460300,0.069100,0.380500,0.179100,0.089200,-0.034300,0.269900,0.201200,0.130000,0.002300,0.319800,0.190000,0.153000,0.010000,0.303700,0.230000,0.178900,0.130000,1.180000,0.960000,0.550000,0.240000,0.723000,0.360000,0.160000,0.020000,0.627000,0.380000,0.237000,0.020000,0.500000,0.270000,0.200000,0.040000,0,0,0,0.070000,0,0,0,0,0.0
26,稀释每股收益(元/股),0.144200,0.822300,0.607200,0.388700,0.166700,0.723700,0.577600,0.297800,0.183700,0.951000,0.743700,0.463000,0.169800,0.527600,0.454300,0.381300,0.072400,0.750800,0.684600,0.460300,0.069100,0.380500,0.179100,0.089200,-0.034300,0.269900,0.201200,0.130000,0.002300,0.319800,0.190000,0.153000,0.010000,0.303700,0.230000,0.178900,0.130000,1.180000,0.960000,0.550000,0.240000,0.723000,0.360000,0.160000,0.020000,0.627000,0.380000,0.237000,0.020000,0.500000,0.270000,0.200000,0.040000,0,0,0,0.070000,0,0,0,0,0.0
27,七、其他综合收益,-404380.30,2087365.78,2859110.85,586763.31,1333874.58,176455.42,516081.88,-512930.64,201453.85,-771538.07,10823.20,-211279.40,627687.75,-2192696.38,173572.15,-3577365.93,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24420888.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,252289258.41,1430564502.60,1054255599.26,668470935.28,223782516.31,991798045.41,787116811.91,414881730.01,162750653.34,809745325.20,632271361.90,395049666.95,147485220.12,421273021.74,352446613.04,276891526.63,28564899.46,336816725.24,303580652.79,205494262.36,33404582.78,172756835.94,85172770.40,43842038.42,-12688319.51,121907336.44,94375137.17,60803908.12,2933228.89,143974178.95,86430237.47,68395373.99,6774401.30,134868622.54,103959227.18,81141573.92,31120511.83,311076781.49,264312428.05,156530846.55,77221951.13,202969490.13,133448921.20,0,13722129.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,241609512.23,1381796697.89,1021333865.21,652898883.04,216771361.29,934422462.16,746095020.39,383880638.72,148436935.39,766512135.91,599987156.76,373329277.31,137632121.58,399210580.09,338842553.55,268971620.59,28974334.51,300302631.14,273853256.39,184118460.01,27639424.83,152194786.21,71657130.39,35696487.24,-13711216.10,107949115.41,80478589.24,52004980.03,933328.24,127932200.66,76684430.93,61196823.13,4025279.03,121471082.41,92520015.19,71563358.62,26310502.17,177004449.50,143647163.61,82091602.80,36730110.26,108385542.93,79129240.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,10679746.18,48767804.71,32921734.05,15572052.24,7011155.02,57375583.25,41021791.52,31001091.29,14313717.95,43233189.29,32284205.14,21720389.64,9853098.54,22062441.65,13604059.49,7919906.04,-409435.05,36514094.10,29727396.40,21375802.35,5765157.95,20562049.73,13515640.01,8145551.18,1022896.59,13958221.03,13896547.93,8798928.09,1999900.65,16041978.29,9745806.54,7198550.86,2749122.27,13397540.13,11439211.99,9578215.30,4810009.66,134072331.99,120665264.44,74439243.75,40491840.87,94583947.20,54319680.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
