,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,减：所得税费用,2347235467.06,1847660250.77,1348493618.81,2723855894.34,2363158991.34,1686553046.76,1201945578.85,2229168424.15,1879774554.95,1321667756.50,921279116.24,1956036449.75,1617787820.25,1135862890.04,824858564.48,1800119665.74,1520647580.74,1063206223.65,745763759.09,1522665050.92,1369905866.70,952954367.75,669917338.03,1683699701.86,1527230352.71,1127107762.94,786859762.00,2063556711.00,1618390944.92,1066638273.52,739938835.63,1394109315.29,1024742697.47,657070715.46,433474170.93,777526199.62,531986667.40,362218358.53,241559247.20,419695027.35,301835120.80,196200978.46,121076352.95,249780368.96,189026021.74,204717292.21,98089997.94,0.0
21,五、净利润,7152310735.17,5584896240.97,4025174587.20,8115329894.50,7039553743.18,5005460138.50,3475917162.67,6618786143.67,5573309096.84,3900117293.25,2737617468.92,5804929113.99,4822738172.83,3419446732.77,2456054856.53,5365199298.22,4461171638.58,3184744174.19,2227135216.71,4508044232.13,3983112466.53,2854749254.23,2001533939.77,5002153251.34,4497639202.32,3284788923.14,2356527207.12,6151905739.73,4826661363.90,3172295516.09,2212313017.49,4136608198.20,3031479150.87,1929191336.42,1283964066.80,2298690505.02,1575340815.31,1068576496.18,721411549.53,1253613135.31,903821441.78,588363143.42,363111488.19,743057507.69,566563483.21,374851131.95,174978987.01,0.0
22,归属于母公司所有者的净利润,7146332278.35,5581705663.68,4020764957.82,8115189794.69,7038754909.89,5004991771.22,3475147603.50,6627169959.16,5581662088.05,3908260474.95,2742957007.05,5827168870.88,4839158417.69,3423805126.79,2456001858.67,5365185534.99,4461169759.36,3184862528.64,2227129508.74,4507497244.21,3982741953.18,2854479610.90,2001399894.09,5002071835.86,4497580509.00,3284909145.57,2356488565.59,6154302874.52,4828124260.18,3173886530.51,2212048156.19,4020992149.04,2915947202.57,1813856743.92,1171535258.28,2204667836.96,1535676342.46,1067232395.43,721445528.17,1253620006.49,903821441.78,588363143.42,363111488.19,743057507.69,566563483.21,374736701.30,174978867.41,0.0
23,少数股东损益,5978456.82,3190577.29,4409629.38,140099.81,798833.29,468367.28,769559.17,-8383815.49,-8352991.21,-8143181.70,-5339538.13,-22239756.89,-16420244.86,-4358394.02,52997.86,13763.23,1879.22,-118354.45,5707.97,546987.92,370513.35,269643.33,134045.68,81415.48,58693.32,-120222.43,38641.53,-2397134.79,-1462896.28,-1591014.42,264861.30,115616049.16,115531948.30,115334592.50,112428808.52,94022668.06,39664472.85,1344100.75,-33978.64,-6871.18,0,0,0,0,0,0,119.60,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),4.742100,3.703900,2.668100,5.385000,4.670000,3.320000,2.310000,4.400000,3.700000,2.590000,1.820000,3.870000,3.210000,2.270000,1.630000,3.560000,2.960000,2.110000,2.070000,4.190000,3.700000,2.650000,1.860000,4.630000,4.170000,3.040000,2.180000,5.700000,4.470000,2.940000,2.460000,4.470000,3.240000,2.020000,2.600000,4.900000,3.410000,2.370000,1.600000,3.040000,2.230000,1.450000,0.900000,1.830000,1.400000,0.930000,0.460000,0.0
26,稀释每股收益(元/股),4.742100,3.703900,2.668100,5.385000,4.670000,3.320000,2.310000,4.400000,3.700000,2.590000,1.820000,3.870000,3.210000,2.270000,1.630000,3.560000,2.960000,2.110000,2.070000,4.190000,3.700000,2.650000,1.860000,4.630000,4.170000,3.040000,2.180000,5.700000,4.470000,2.940000,2.460000,4.470000,3.240000,2.020000,2.600000,4.900000,3.410000,2.370000,1.600000,3.040000,2.230000,1.450000,0.900000,1.830000,1.400000,0.930000,0.460000,0.0
27,七、其他综合收益,129775.81,980090.41,-287574.86,-142861056.33,-102525850.44,-96057298.22,-22444406.46,-226957.05,-173999.66,-117566.55,-3062.36,1143061.03,179998.53,-17772.30,4399.06,16772.42,11011.54,-194.34,1013.36,-314.82,-667.12,-1710.08,-730.27,-122.69,-4142.38,-5332.72,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,7152440510.98,5585876331.38,4024887012.34,7972468838.17,6937027892.74,4909402840.28,3453472756.21,6618559186.62,5573135097.18,3899999726.70,2737614406.56,5806072175.02,4822918171.36,3419428960.47,2456059255.59,5365216070.64,4461182650.12,3184743979.85,2227136230.07,4508043917.31,3983111799.41,2854747544.15,2001533209.50,5002153128.65,4497635059.94,3284783590.42,2356527207.12,6151905739.73,4826661363.90,3172295516.09,2212313017.49,4136608198.20,3031479150.87,1929191336.42,1283964066.80,2298690505.02,1575340815.31,1068576496.18,721411549.53,1253613135.31,903821441.78,588363143.42,363111488.19,743057507.69,566563483.21,374851131.95,174978987.01,0.0
29,归属于母公司所有者的综合收益总额,7146449709.15,5582684099.93,4020486219.75,7972309380.51,6936207900.25,4908951124.88,3452719848.92,6626944015.72,5581492652.84,3908148137.06,2742951084.26,5828294183.44,4839338416.22,3423787354.49,2456006257.73,5365202307.41,4461180770.90,3184862334.30,2227130522.10,4507496929.39,3982741286.06,2854477900.82,2001399163.82,5002071713.17,4497576366.62,3284903812.85,2356488565.59,6154302874.52,4828124260.18,3173886530.51,2212048156.19,4020992149.04,2915947202.57,1813856743.92,1171535258.28,2204667836.96,1535676342.46,1067232395.43,721445528.17,1253620006.49,903821441.78,588363143.42,363111488.19,743057507.69,566563483.21,374851131.95,174978867.41,0.0
30,归属于少数股东的综合收益总额,5990801.83,3192231.45,4400792.59,159457.66,819992.49,451715.40,752907.29,-8384829.10,-8357555.66,-8148410.36,-5336677.70,-22222008.42,-16420244.86,-4358394.02,52997.86,13763.23,1879.22,-118354.45,5707.97,546987.92,370513.35,269643.33,134045.68,81415.48,58693.32,-120222.43,38641.53,-2397134.79,-1462896.28,-1591014.42,264861.30,115616049.16,115531948.30,115334592.50,112428808.52,94022668.06,39664472.85,1344100.75,-33978.64,-6871.18,0,0,0,0,0,0,119.60,0.0
