,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,261563701.17,132276135.55,-188739740.71,843208496.49,696519179.27,215593776.43,144192961.54,1086702779.97,765063878.19,301253823.33,272693044.74,37104429.17,-551839071.14,-313798994.01,-447409076.22,-2455273745.95,-1729138109.45,-811102707.47,-420877924.61,-2070769664.20,-1272677148.70,-750639361.27,-185598721.47,82965679.87,164251649.77,96367637.68,83580355.59,191870394.48,91481610.32,233484576.36,21923919.99,508817800.35,625599948.86,453532203.76,198909515.18,605232527.71,549310714.10,395976856.84,199655510.23,78342647.44,15695234.38,-118131975.07,-67280613.69,55839752.84,576771941.62,481139121.19,139030038.49,414744825.53,299078928.28,156840737.52,46431082.27,172391498.19,129863677.24,65473366.76,-46173975.90,273434641.92,320351912.50,263127198.10,119769494.94,535375438.96,428895340.17,301969680.06,169595690.46,386524420.88,251530841.96,141392373.85,29902847.25,185888291.39,164725292.45,80485813.38,239467144.98,193652582.42,180581365.45,17144181.96,8804811.00,0.0
20,减：所得税费用,21321426.13,8629744.17,5407384.76,142691969.69,119031383.70,0,0,-81256795.40,-100200000.00,-100200000.00,0.00,1185.32,124.38,124.38,0,53351256.29,-597.37,304.96,0,-36106986.37,-31860899.78,-30891711.36,4222.65,49585325.48,55258208.57,36105158.38,26431503.46,37592104.00,21941556.65,43236975.37,5044763.03,27262739.27,73035534.50,64275279.35,29840895.75,80031202.71,65250216.75,68125783.83,49903987.41,-31825663.52,67530438.65,63730317.85,33164029.69,-48040904.97,63725897.13,70161830.02,20854876.11,15821903.77,43601861.87,22307058.03,6825701.84,14967896.94,12851523.10,3288946.68,417656.61,28259447.23,47523783.65,39075694.75,17788051.58,98323911.99,63699717.31,54953943.68,25187746.32,65098001.33,42673589.34,23335733.35,4876846.31,26090907.94,44652536.91,22396966.38,28287231.67,29047887.36,59591850.60,5657580.05,2905587.63,0.0
21,五、净利润,240242275.04,123646391.38,-194147125.47,700516526.80,577487795.57,215593776.43,144192961.54,1167959575.37,865263878.19,401453823.33,272693044.74,37103243.85,-551839195.52,-313799118.39,-447409076.22,-2508625002.24,-1729137512.08,-811103012.43,-420877924.61,-2034662677.83,-1240816248.92,-719747649.91,-185602944.12,33380354.39,108993441.20,60262479.30,57148852.13,154278290.48,69540053.67,190247600.99,16879156.96,481555061.08,552564414.36,389256924.41,169068619.43,525201325.00,484060497.35,327851073.01,149751522.82,110168310.96,-51835204.27,-181862292.92,-100444643.38,103880657.81,513046044.49,410977291.17,118175162.38,398922921.76,255477066.41,134533679.49,39605380.43,157423601.25,117012154.14,62184420.08,-46591632.51,245175194.69,272828128.85,224051503.35,101981443.36,437051526.97,365195622.86,247015736.38,144407944.14,321426419.55,208857252.62,118056640.50,25026000.94,159797383.45,120072755.54,58088847.00,211179913.31,164604695.06,120989514.85,11486601.91,5899223.37,0.0
22,归属于母公司所有者的净利润,240242275.04,123646391.38,-194147125.47,700516526.80,577487795.57,215593776.43,144192961.54,1167959575.37,865263878.19,401453823.33,272693044.74,37103243.85,-551839195.52,-313799118.39,-447409076.22,-2508625002.24,-1729137512.08,-811103012.43,-420877924.61,-2034662677.83,-1240816248.92,-719747649.91,-185602944.12,33380354.39,108993441.20,60262479.30,57148852.13,154278290.48,69540053.67,190247600.99,16879156.96,481555061.08,552564414.36,389256924.41,169068619.43,525201325.00,484060497.35,327851073.01,149751522.82,110168310.96,-51835204.27,-181862292.92,-100444643.38,103880657.81,513046044.49,410977291.17,118175162.38,398922921.76,255477066.41,134533679.49,39605380.43,157423601.25,117012154.14,62184420.08,-46591632.51,245175194.69,272828128.85,224051503.35,101981443.36,437051526.97,365195622.86,247015736.38,144407944.14,321426419.55,208857252.62,118056640.50,24932251.16,160222184.75,120072755.54,58088847.00,211179913.31,164604695.06,120989514.85,11486601.91,5899223.37,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93749.78,-424801.30,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.157000,0.081000,-0.127000,0.457000,0.377000,0.141000,0.094000,1.524000,1.130000,0.520000,0.360000,0.048000,-0.720000,-0.410000,-0.580000,-3.270000,-2.260000,-1.060000,-0.550000,-2.650000,-1.620000,-0.940000,-0.240000,0.040000,0.140000,0.080000,0.070000,0.200000,0.090000,0.250000,0.020000,0.630000,0.720000,0.510000,0.220000,0.690000,0.630000,0.430000,0.200000,0.140000,-0.070000,-0.240000,-0.130000,0.140000,0.670000,0.540000,0.200000,0.680000,0.430000,0.230000,0.070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.157000,0.081000,-0.127000,0.457000,0.377000,0.141000,0.094000,1.524000,1.130000,0.520000,0.360000,0.048000,-0.720000,-0.410000,-0.580000,-3.270000,-2.260000,-1.060000,-0.550000,-2.650000,-1.620000,-0.940000,-0.240000,0.040000,0.140000,0.080000,0.070000,0.200000,0.090000,0.250000,0.020000,0.630000,0.720000,0.510000,0.220000,0.690000,0.630000,0.430000,0.200000,0.140000,-0.070000,-0.240000,-0.130000,0.140000,0.670000,0.540000,0.200000,0.680000,0.430000,0.230000,0.070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,240242275.04,123646391.38,-194147125.47,700516526.80,577487795.57,215593776.43,144192961.54,1167959575.37,865263878.19,401453823.33,272693044.74,37103243.85,-551839195.52,-313799118.39,-447409076.22,-2508625002.24,-1729137512.08,-811103012.43,-420877924.61,-2034662677.83,-1240816248.92,-719747649.91,-185602944.12,33380354.39,108993441.20,60262479.30,57148852.13,154278290.48,0,0,16879156.96,481555061.08,0,0,169068619.43,525201325.00,0,0,149751522.82,110168310.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,37103243.85,-551839195.52,-313799118.39,-447409076.22,-2508625002.24,-1729137512.08,-811103012.43,-420877924.61,-2034662677.83,-1240816248.92,-719747649.91,-185602944.12,33380354.39,108993441.20,60262479.30,57148852.13,0,0,0,0,0,0,0,0,0,0,0,149751522.82,110168310.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
