,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,16783660.17,1530814395.10,1316051876.71,646360213.79,28252549.46,836537487.27,676502846.80,256596056.54,-162087228.45,664029310.89,708219640.77,219761426.01,-139571455.13,186165551.23,245076311.73,-30486807.08,-227840967.67,160700032.27,71517038.17,-59884552.36,-184727340.39,690308863.89,802702629.05,321711834.44,-107089249.32,675709460.52,512530567.21,150489168.57,-86541091.31,223080473.01,194382460.51,24418186.79,-97868889.35,449137504.33,548724088.02,341068150.00,56680020.31,611378075.60,509843635.74,302889068.22,86046852.79,545342035.30,428550002.08,217483379.31,57292076.96,263755108.93,220204858.13,83292287.65,-566016.17,37625526.08,57110160.74,30399427.58,-8038833.52,29696127.03,25191083.76,15668838.00,-5937656.11,15099633.52,13153275.04,14031842.02,-4563024.06,42321078.16,46695718.12,20514300.95,1373162.72,52162100.10,38061433.74,16946950.13,7439.28,52794701.64,47910547.49,26094509.94,2047962.24,61806231.77,35596647.57,66664815.48,34600735.31,51509238.56,13235367.56,37445084.92,6076569.31,27949858.60,13573019.04,30021264.14,11831991.41,16057115.70,0.0
20,减：所得税费用,7512556.75,223868152.04,200038804.99,112122072.86,20410560.75,147786440.89,106499043.34,47375714.09,2023178.64,134981613.11,121207010.03,38569915.33,3320457.53,50948657.23,48672116.45,13044735.70,-1417253.99,25718487.83,33996503.96,4771688.55,683450.39,134532796.45,122556442.57,51660560.15,-1940136.66,136029972.59,84516671.70,26638965.16,-467542.75,49653601.30,24835340.16,6334962.54,717429.21,101529976.07,127110990.45,78403538.52,13448995.97,78443926.95,73191588.94,42031970.56,10197252.94,77444005.94,63550545.54,23750401.06,9773445.70,46020245.30,31622392.14,13113354.71,2172619.84,7173706.50,9587729.08,5100141.34,699005.86,6388799.39,4934729.81,3261644.47,430408.97,4883437.27,5845013.92,4070221.68,199632.18,11781520.90,8996084.82,4799711.07,613655.87,10665276.71,6519390.14,3869586.94,140367.28,10000686.09,8383421.06,4606388.50,754565.84,7864209.44,3418985.74,10292441.35,7869861.69,8108151.67,2436731.98,6705576.32,1454753.57,5272081.60,2035952.86,4503189.62,3904557.71,5298848.18,0.0
21,五、净利润,9271103.42,1306946243.06,1116013071.72,534238140.93,7841988.71,688751046.38,570003803.46,209220342.45,-164110407.09,529047697.78,587012630.74,181191510.68,-142891912.66,135216894.00,196404195.28,-43531542.78,-226423713.68,134981544.44,37520534.21,-64656240.91,-185410790.78,555776067.44,680146186.48,270051274.29,-105149112.66,539679487.93,428013895.51,123850203.41,-86073548.56,173426871.71,169547120.35,18083224.25,-98586318.56,347607528.26,421613097.57,262664611.48,43231024.34,532934148.65,436652046.80,260857097.66,75849599.85,467898029.36,364999456.54,193732978.25,47518631.26,217734863.63,188582465.99,70178932.94,-2738636.01,30451819.58,47522431.66,25299286.24,-8737839.38,23307327.64,20256353.95,12407193.53,-6368065.08,10216196.25,7308261.12,9961620.34,-4762656.24,30539557.26,37699633.30,15714589.88,759506.85,41496823.39,31542043.60,13077363.19,-132928.00,42794015.55,39527126.43,21488121.44,1293396.40,53432507.73,32177661.83,56372374.13,26730873.62,43401086.89,10798635.58,30739508.60,4621815.74,22677777.00,11537066.18,25518074.52,7927433.70,10758267.52,0.0
22,归属于母公司所有者的净利润,12551927.26,1234148686.52,1041502437.13,502187321.40,12878117.36,654773597.55,551121826.76,219475025.03,-138630085.05,574691757.85,579835377.85,184970149.13,-120641205.57,166579141.35,203794151.40,-18637600.70,-192541752.57,179223871.08,63043501.90,-35070623.88,-163722289.79,561903861.30,635213718.53,258285869.47,-84935174.62,464700104.15,365324359.37,109800255.41,-73632681.42,173543420.89,167206426.69,26492177.31,-87681912.88,332488263.00,393246141.07,246748208.65,40206941.99,491328101.79,396897301.93,245522528.73,73033136.06,408001426.53,310597606.54,159668749.70,47246062.71,176461264.61,146016971.01,47764664.14,-1138856.49,5448165.27,25603391.66,13740276.39,-10198280.20,8251577.71,8847856.55,3874618.16,-6675797.04,5860030.96,3295444.51,7064169.53,-4542734.22,27325747.69,33970501.14,13654466.41,500269.78,39933650.12,29339198.61,13450639.77,49897.45,41774112.41,37706715.91,20446009.16,1244700.52,51554981.06,31092264.72,54894234.12,25114789.26,41510774.97,10140289.72,29158242.45,3829531.52,19360324.00,11537066.18,25518074.52,7927433.70,10758267.52,0.0
23,少数股东损益,-3280823.84,72797556.54,74510634.59,32050819.53,-5036128.65,33977448.83,18881976.70,-10254682.58,-25480322.04,-45644060.07,7177252.89,-3778638.45,-22250707.09,-31362247.35,-7389956.12,-24893942.08,-33881961.11,-44242326.64,-25522967.69,-29585617.03,-21688500.99,-6127793.86,44932467.95,11765404.82,-20213938.04,74979383.78,62689536.14,14049948.00,-12440867.14,-116549.18,2340693.66,-8408953.06,-10904405.68,15119265.26,28366956.50,15916402.83,3024082.35,41606046.86,39754744.87,15334568.93,2816463.79,59896602.83,54401850.00,34064228.55,272568.55,41273599.02,42565494.98,22414268.80,-1599779.52,25003654.31,21919040.00,11559009.85,1460440.82,15055749.93,11408497.40,8532575.37,307731.96,4356165.29,4012816.61,2897450.81,-219922.02,3213809.57,3729132.16,2060123.47,259237.07,1563173.27,2202844.99,-373276.58,-182825.45,1019903.14,1820410.52,1042112.28,48695.88,1877526.67,1085397.11,1478140.01,1616084.36,1890311.92,658345.86,1581266.15,792284.22,3317453.00,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.016200,1.589800,1.341600,0.646900,0.016600,0.843500,0.709900,0.282700,-0.178600,0.740300,0.746900,0.238300,-0.155400,0.214600,0.262500,-0.024000,-0.248000,0.230900,0.081200,-0.045200,-0.210900,0.720000,0.818300,0.332700,-0.109400,0.600000,0.573500,0.183900,-0.123300,0.370000,0.352000,0.055800,-0.185000,0.700000,0.828000,0.519600,0.084700,1.030000,0.836000,0.517000,0.154000,0.940000,0.736000,0.403000,0.119000,0.446000,0.369000,0.121000,-0.003000,0.014000,0.060000,0.034700,-0.026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.016200,1.589800,1.341600,0.646900,0.016600,0.843500,0.709900,0.282700,-0.178600,0.740300,0.746900,0.238300,-0.155400,0.214600,0.262500,-0.024000,-0.248000,0.230900,0.081200,-0.045200,-0.210900,0.720000,0.818300,0.332700,-0.109400,0.600000,0.573500,0.183900,-0.123300,0.370000,0.350000,0.055800,-0.185000,0.700000,0,0.519600,0.084700,1.030000,0,0,0.153800,0.940000,0,0,0.119000,0.446000,0,0.121000,-0.003000,0.014000,0.060000,0.034700,-0.026000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,1402200.00,0,0,0,-58913950.00,-46821450.00,-46821450.00,-15376275.00,-70367025.00,-40310775.00,-16761525.00,5263950.00,-65265525.00,-69539250.00,-79928624.99,-71525075.00,-982876.47,72646769.26,114755222.21,87178094.08,222879635.00,-2929100.00,0,0,0,0,0,0,0,0,0,0,0,0,15916402.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,9271103.42,1308348443.06,1116013071.72,534238140.93,7841988.71,629837096.38,523182353.46,162398892.45,-179486682.09,458680672.78,546701855.74,164429985.68,-137627962.66,69951369.00,126864945.28,-123460167.77,-297948788.68,133998667.97,110167303.47,50098981.30,-98232696.70,778655702.44,677217086.48,0,-105149112.66,539679487.93,0,0,-86073548.56,173426871.71,169547120.35,0,-98586318.56,347607528.26,0,262664611.48,0,532934148.65,0,260857097.66,75849599.85,467898029.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
