,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,-9850219.22,-1941081.98,-1011838.09,90719.04,76311665.25,41294514.04,-24910594.44,-9888471.78,-84776965.53,-57919150.82,-38859386.80,-21039039.26,51797858.92,-31283202.25,-20121064.69,-16041406.45,-24038967.86,-8533858.45,-4819821.77,-2567650.46,4069516.01,-1138746.25,3360333.83,5493833.04,-918507.40,-2053006.34,-3282205.13,-2005272.60,-9456138.05,-7428098.43,-3134913.02,-991322.42,60583531.42,63045270.87,-11976074.07,-21737780.87,-41621797.85,-34874745.72,-28882568.40,-14404657.42,47001895.81,31148048.23,32872402.76,4080693.26,107608182.88,112248536.54,42811313.72,1848678.13,52095036.76,22726188.33,19539340.66,7499077.20,17773527.35,7544634.80,4393850.08,4277554.16,12431317.36,23576853.87,14941229.89,4517489.47,45301566.94,41121141.46,28800547.67,3963931.62,60814656.20,59355615.10,53741597.81,-1146199.69,2164624.97,-12977243.49,-8362469.45,-2145847.55,-49007666.25,-2142604.70,6008446.70,63696501.26,36848546.55,-6025477.75,-128450956.93,-8648024.17,10687052.27,28474674.96,20240117.49,4088200.40,17700820.68,3147786.74,-26039694.79,1951849.64,41582442.32,63047800.00,61675100.00,21967686.10,0.0
20,减：所得税费用,0,0,0,0,0,0,0,0,-3215.27,-32760.13,-12712.96,42035.57,9635440.12,4065269.67,2790136.16,0,164770.79,168537.70,334988.02,0,306863.01,1717002.89,1717002.89,1701395.91,-8939969.17,-10232737.90,740302.64,221013.59,1919447.50,1187322.72,821804.44,656909.04,23838682.45,20961182.46,-849763.70,-1066198.41,7387192.30,-2937692.15,-2657626.42,225732.42,12299644.51,3622506.18,3622506.18,694462.40,51255746.60,30384109.37,12339964.37,2040424.41,40960780.96,15952114.48,13969386.53,4456250.49,15228803.02,6721711.13,3932180.80,2305806.31,9463916.31,4977009.61,2871223.36,1232887.69,23131145.61,5729309.77,3954729.70,2530804.13,4598472.24,3434748.66,2429263.80,0,0,0,0,0,0,0,800071.88,0,0,0,0,0,2053036.79,4271201.24,4788465.95,0,3556757.79,472168.01,15765.59,292777.45,6035270.11,9457200.00,11671000.00,3295152.92,0.0
21,五、净利润,-9850219.22,-1941081.98,-1011838.09,90719.04,76311665.25,41294514.04,-24910594.44,-9888471.78,-84773750.26,-57886390.69,-38846673.84,-21081074.83,42162418.80,-35348471.92,-22911200.85,-16041406.45,-24203738.65,-8702396.15,-5154809.79,-2567650.46,3762653.00,-2855749.14,1643330.94,3792437.13,8021461.77,8179731.56,-4022507.77,-2226286.19,-11375585.55,-8615421.15,-3956717.46,-1648231.46,36744848.97,42084088.41,-11126310.37,-20671582.46,-49008990.15,-31937053.57,-26224941.98,-14630389.84,34702251.30,27525542.05,29249896.58,3386230.86,56352436.28,81864427.17,30471349.35,-191746.28,11134255.80,6774073.85,5569954.13,3042826.71,5203764.67,3611087.34,2184293.48,2815673.63,6997733.55,22234481.89,14669930.79,4525602.10,44682326.31,41260914.84,28560002.16,3193761.56,59217591.19,58157875.76,52203199.52,-1146199.69,2164624.97,-12977243.49,-8362469.45,-2145847.55,-43603389.79,-2142604.70,5208374.82,63696501.26,36848546.55,-6025477.75,-128450956.93,-8648024.17,8634015.48,24203473.72,15451651.54,4088200.40,14144062.89,2675618.73,-26055460.38,1659072.19,35547172.21,53590600.00,50004100.00,17272100.00,0.0
22,归属于母公司所有者的净利润,-9031084.82,-1804445.83,-921967.77,148232.00,77441510.24,41986565.09,-24272510.93,-9777666.03,-83260766.15,-58087733.12,-39047665.53,-21248238.48,32113399.53,-34637955.54,-23184157.80,-15178933.19,-23677901.67,-9020656.58,-5383886.57,-2869597.46,3262819.52,-3453854.62,498223.40,2270142.35,6968765.33,6805215.89,-4470446.77,-2316380.27,-11429304.91,-9683868.34,-4540837.54,-2037125.22,25562198.42,31684665.39,-10461284.79,-19570867.08,-49432411.86,-32676565.85,-27632537.43,-16654155.35,32514070.56,26339961.61,28330074.26,3610432.27,56636760.81,80024394.96,29273308.96,-553116.46,4424277.88,3603349.75,2768821.92,2146233.39,3167794.28,2246510.15,1385609.64,2347663.36,5253315.16,19432838.36,12866228.61,3899060.48,38904113.71,36488129.71,25277464.61,2679067.73,52039720.72,51993216.17,46978512.64,-1146300.06,2560560.67,-12753766.11,-8254280.23,-2119455.63,-43232594.97,-1997579.76,5449994.39,63696501.26,36848546.55,-6025477.75,-128450956.93,-8648024.17,8634015.48,24203473.72,15451651.54,4088200.40,14144062.89,2675618.73,-26055460.38,1659072.19,35547172.21,53590600.00,50004100.00,17272100.00,0.0
23,少数股东损益,-819134.40,-136636.15,-89870.32,-57512.96,-1129844.99,-692051.05,-638083.51,-110805.75,-1512984.11,201342.43,200991.69,167163.65,10049019.27,-710516.38,272956.95,-862473.26,-525836.98,318260.43,229076.78,301947.00,499833.48,598105.48,1145107.54,1522294.78,1052696.44,1374515.67,447939.00,90094.08,53719.36,1068447.19,584120.08,388893.76,11182650.55,10399423.02,-665025.58,-1100715.38,423421.71,739512.28,1407595.45,2023765.51,2188180.74,1185580.44,919822.32,-224201.41,-284324.53,1840032.21,1198040.39,361370.18,6709977.92,3170724.10,2801132.21,896593.32,2035970.39,1364577.19,798683.84,468010.27,1744418.39,2801643.53,1803702.18,626541.62,5778212.60,4772785.13,3282537.55,514693.83,7177870.47,6164659.59,5224686.88,100.37,-395935.70,-223477.38,-108189.22,-26391.92,-370794.82,-145024.94,-241619.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),-0.050000,-0.009800,-0.005000,0.000800,0.420000,0.227200,-0.130000,-0.052900,-0.450000,-0.314300,-0.210000,-0.115000,0.170000,-0.187400,-0.130000,-0.080000,-0.130000,-0.048800,-0.029100,-0.015500,0.020000,-0.018700,0.002700,0.012300,0.040000,0.036800,-0.024200,-0.012500,-0.060000,-0.052400,-0.024600,-0.011000,0.140000,0.171400,-0.056600,-0.105900,-0.267500,-0.176800,-0.149500,-0.090100,0.175900,0.142500,0.153300,0.019500,0.306400,0.433000,0.158400,-0.003000,0.023900,0.019500,0.015000,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),-0.050000,-0.009800,-0.005000,0.000800,0.420000,0.227200,-0.130000,-0.052900,-0.450000,-0.314300,-0.210000,-0.115000,0.170000,-0.187400,-0.130000,-0.080000,-0.130000,-0.048800,-0.029100,-0.015500,0.020000,-0.018700,0.002700,0.012300,0.040000,0.036800,-0.024200,-0.012500,-0.060000,-0.052400,-0.024600,-0.011000,0.140000,0.171400,-0.056600,-0.105900,-0.267500,-0.176800,-0.149500,-0.090100,0.175900,0.142500,0.153300,0.019500,0.306400,0.433000,0.158400,-0.003000,0.023900,0.019500,0.015000,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,-9850219.22,-1941081.98,-1011838.09,90719.04,76311665.25,41294514.04,-24910594.44,-9888471.78,-84773750.26,-57886390.69,-38846673.84,-21081074.83,42162418.80,-35348471.92,-22911200.85,-16041406.45,-24203738.65,-8702396.15,-5154809.79,-2567650.46,3762653.00,-2855749.14,1643330.94,3792437.13,8021461.77,8179731.56,-4022507.77,-2226286.19,-11375585.55,-8615421.15,-3956717.46,-1648231.46,36744848.97,42084088.41,-11126310.37,-20671582.46,-49008990.15,-31937053.57,-26224941.98,-14630389.84,34702251.30,27525542.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
