,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,104579535.91,34413975.26,-25956547.12,-49563166.30,-52204545.25,-118077636.21,-44491836.10,-18133701.72,-58815506.05,-94455483.02,-73466422.64,-34257532.42,-46756181.67,-29695992.35,-27033718.11,-18496767.29,-562028576.01,-301419992.13,-180211248.12,-90588183.57,-126894232.28,-175320354.64,-151985143.26,-44328462.66,-513065020.72,-287114953.24,-168638429.20,-65852040.35,-197651645.81,-105543169.53,-73444862.67,-36404086.57,95378478.87,76307298.24,60728699.28,30123760.46,103586545.94,50256349.08,30874696.61,5152125.51,51531941.59,39598313.96,29982882.87,6165418.62,52599414.54,33548789.37,24902909.72,3425784.43,54030565.79,28866115.15,19521673.58,2224393.28,46388947.99,16289657.04,10619942.53,38055218.31,37513951.11,0.0
20,减：所得税费用,27782045.78,14523628.40,6167943.69,-1365837.12,9268494.47,9444223.41,8591193.53,5519268.97,21710117.80,10296359.71,6637926.11,2497677.97,34660059.88,18117464.55,13131368.22,4942031.14,-5595420.62,3579346.31,3763399.67,1390525.54,4643522.64,7530150.64,4197108.36,1430718.19,22558859.57,-3914853.08,-32550465.40,-12141863.92,-43981202.97,-30097049.10,-20842020.40,-8015316.93,22290567.15,17374772.30,14845692.84,9055409.44,20354054.57,10862650.37,5984343.19,1095403.98,13010231.63,7696771.83,5547159.44,1130639.78,8361095.65,5573998.65,3907119.45,772236.75,6280388.41,3896375.93,2472115.46,270079.29,5966447.37,1843448.56,1592991.38,2870640.09,3428681.73,0.0
21,五、净利润,76797490.13,19890346.86,-32124490.81,-48197329.18,-61473039.72,-127521859.62,-53083029.63,-23652970.69,-80525623.85,-104751842.73,-80104348.75,-36755210.39,-81416241.55,-47813456.90,-40165086.33,-23438798.43,-556433155.39,-304999338.44,-183974647.79,-91978709.11,-131537754.92,-182850505.28,-156182251.62,-45759180.85,-535623880.29,-283200100.16,-136087963.80,-53710176.43,-153670442.84,-75446120.43,-52602842.27,-28388769.64,73087911.72,58932525.94,45883006.44,21068351.02,83232491.37,39393698.71,24890353.42,4056721.53,38521709.96,31901542.13,24435723.43,5034778.84,44238318.89,27974790.72,20995790.27,2653547.68,47750177.38,24969739.22,17049558.12,1954313.99,40422500.62,14446208.48,9026951.15,35184578.22,34085269.38,0.0
22,归属于母公司所有者的净利润,51220472.72,4109312.20,-31759911.41,-34325441.20,32647998.20,-46120668.68,-16021651.93,-7865089.69,-9142670.86,-45331328.64,-39733397.51,-20134786.74,5460422.21,-4271340.21,-5062743.00,-2929115.28,-230022266.58,-120994241.50,-69477208.60,-37181990.02,19073653.84,-79127893.24,-69569405.07,-21522448.42,-511743086.38,-261109156.68,-114833080.28,-43954606.84,-130492846.17,-68642712.40,-47805217.71,-25034219.15,58882591.29,43908734.76,32982444.34,14000201.99,64258527.69,29888553.40,21597566.36,3744721.27,37621756.31,31907685.10,24442033.76,5356887.76,43846901.43,27274642.51,20794638.48,3264423.49,44578351.27,22403731.02,15007802.79,1827154.60,38630976.82,13832747.12,8131189.25,35184578.22,34085269.38,0.0
23,少数股东损益,25577017.41,15781034.66,-364579.40,-13871887.98,-94121037.92,-81401190.94,-37061377.70,-15787881.00,-71382952.99,-59420514.09,-40370951.24,-16620423.65,-86876663.76,-43542116.69,-35102343.33,-20509683.15,-326410888.81,-184005096.94,-114497439.19,-54796719.09,-150611408.76,-103722612.04,-86612846.55,-24236732.43,-23880793.91,-22090943.48,-21254883.52,-9755569.59,-23177596.67,-6803408.03,-4797624.56,-3354550.49,14205320.43,15023791.18,12900562.10,7068149.03,18973963.68,9505145.31,3292787.06,312000.26,899953.65,-6142.97,-6310.33,-322108.92,391417.46,700148.21,201151.79,-610875.81,3171826.11,2566008.20,2041755.33,127159.39,1791523.80,613461.36,895761.90,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.060000,0.010000,-0.040000,-0.040000,0.040000,-0.060000,-0.020000,-0.010000,-0.010000,-0.060000,-0.050000,-0.030000,0.010000,-0.010000,-0.010000,0.000000,-0.290000,-0.150000,-0.090000,-0.050000,0.020000,-0.100000,-0.090000,-0.030000,-0.640000,-0.320000,-0.140000,-0.050000,-0.160000,-0.090000,-0.060000,-0.030000,0.070000,0.050000,0.040000,0.030000,0.170000,0.070000,0.050000,0.020000,0.180000,0.160000,0.120000,0.026300,0.210000,0.130000,0.100000,0.024000,0.390000,0.210000,0.150000,0.018000,0.390000,0.140000,0.090000,0.500000,0.490000,0.0
26,稀释每股收益(元/股),0.060000,0.010000,-0.040000,-0.040000,0.040000,-0.060000,-0.020000,-0.010000,-0.010000,-0.060000,-0.050000,-0.030000,0.010000,-0.010000,-0.010000,0.000000,-0.290000,-0.150000,-0.090000,-0.050000,0.020000,-0.100000,-0.090000,-0.030000,-0.640000,-0.320000,-0.140000,-0.050000,-0.160000,-0.090000,-0.060000,-0.030000,0.070000,0.050000,0.040000,0.030000,0.170000,0.070000,0.050000,0.020000,0.180000,0.160000,0.120000,0.026300,0.210000,0.130000,0.100000,0.024000,0.390000,0.210000,0.150000,0.018000,0.390000,0.140000,0.090000,0.500000,0.490000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,-31284.84,34252.98,26530.10,711.30,-18878.79,13614.45,-10376.26,-55785.48,17235.11,-3574985.05,-3574985.05,38079.92,-27426.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,76797490.13,19890346.86,-32124490.81,-48197329.18,-61473039.72,-127521859.62,-53083029.63,-23652970.69,-80525623.85,-104751842.73,-80104348.75,-36755210.39,-71519851.42,-47813456.90,-40165086.33,-23438798.43,-556433155.39,-304999338.44,-183974647.79,-91978709.11,-131537754.92,-182850505.28,-156182251.62,-45759180.85,-535623880.29,-283200100.16,-136087963.80,-53710176.43,-153701727.68,-75411867.45,-52576312.17,-28388058.34,73069032.93,58946140.39,45872630.18,21012565.54,83249726.48,35818713.66,21315368.37,4094801.45,38494283.02,31901542.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,51220472.72,4109312.20,-31759911.41,-34325441.20,32647998.20,-46120668.68,-16021651.93,-7865089.69,-9142670.86,-45331328.64,-39733397.51,-20134786.74,9462522.38,-4271340.21,-5062743.00,-2929115.28,-230022266.58,-120994241.50,-69477208.60,-37181990.02,19073653.84,-79127893.24,-69569405.07,-21522448.42,-511743086.38,-261109156.68,-114833080.28,-43954606.84,-130524131.01,-68608459.42,-47778687.61,-25033507.85,58863712.50,43922349.21,32972068.08,13944416.51,64275762.80,26313568.35,18022581.31,3782801.19,37594329.37,31907685.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,25577017.41,15781034.66,-364579.40,-13871887.98,-94121037.92,-81401190.94,-37061377.70,-15787881.00,-71382952.99,-59420514.09,-40370951.24,-16620423.65,-80982373.80,-43542116.69,-35102343.33,-20509683.15,-326410888.81,-184005096.94,-114497439.19,-54796719.09,-150611408.76,-103722612.04,-86612846.55,-24236732.43,-23880793.91,-22090943.48,-21254883.52,-9755569.59,-23177596.67,-6803408.03,-4797624.56,-3354550.49,14205320.43,15023791.18,12900562.10,7068149.03,18973963.68,9505145.31,3292787.06,312000.26,899953.65,-6142.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
