,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,1137356593.73,834060792.38,661775001.60,481310347.92,882222778.05,575599063.46,413624810.27,335966492.54,430392152.40,539930745.83,466872066.93,374631230.32,2471796484.58,2729181159.46,1955606511.56,1070250073.16,3281320004.31,2877775656.19,1811852898.94,866075265.00,3137908830.83,2506235546.72,1486696078.81,698224543.61,1245596310.34,914137567.28,481318823.48,88463723.86,244618903.35,195306423.23,121157503.04,2163521.65,46399431.55,-12182255.42,-5659652.34,-48916229.51,77424455.48,96431087.67,70965952.09,38943094.07,161923434.19,207766681.84,186280715.46,78710115.72,88382660.19,87424451.54,146034537.42,103340543.39,797967072.03,698135000.56,479030728.20,199678414.69,164021542.94,131969683.07,70407962.25,34943803.65,116252118.92,84004911.62,33818781.61,-2684438.57,182941212.36,135411448.06,80436372.17,35471355.89,20609518.98,-9083871.25,-8075042.44,-3543583.15,-14922441.03,-10241028.00,-3216647.06,-2090330.60,-1817742.26,-10432155.05,609243.67,3878649.65,22388578.01,6483722.77,46041950.60,11389232.28,38019396.00,16611728.00,41712138.00,10463016.00,11577478.00,10984155.00,6241853.00,0.0
20,减：所得税费用,242313168.86,195559012.68,142677219.27,88414514.52,220578746.02,141152667.26,121503121.51,73799686.72,118078849.62,157205834.60,130410746.28,74235071.55,526716346.81,568555577.54,423283168.78,208060404.12,657058577.05,570850612.56,345459816.06,148586647.22,477789333.36,388182937.77,198129641.28,66215557.83,172257373.21,134680026.94,91132940.71,29533622.10,74232895.04,49320723.65,29914782.23,8760081.95,30122588.17,23233166.28,9430439.58,-5052054.66,40102783.76,34070791.34,24098095.12,16820347.84,55326284.38,47150749.42,36977853.57,20038918.15,12537890.73,37874465.64,34756655.04,19371682.06,168324685.14,156509046.62,105003701.77,65801488.74,65843263.93,50052875.17,27411930.38,13642192.29,29250459.41,18285662.48,0,1012549.18,68459894.18,51669706.54,32544460.25,13081981.01,8774200.02,0,0,0,0,71456.71,71456.71,14921.32,452667.08,0,1445319.42,619935.62,3238178.67,2055596.86,9059658.75,1442422.58,5565803.00,2363846.00,6237530.00,1569373.00,1000289.00,816048.00,9299.00,0.0
21,五、净利润,895043424.87,638501779.70,519097782.33,392895833.40,661644032.03,434446396.20,292121688.76,262166805.82,312313302.78,382724911.23,336461320.65,300396158.77,1945080137.77,2160625581.92,1532323342.78,862189669.04,2624261427.26,2306925043.63,1466393082.88,717488617.78,2660119497.47,2118052608.95,1288566437.53,632008985.78,1073338937.13,779457540.34,390185882.77,58930101.76,170386008.31,145985699.58,91242720.81,-6596560.30,16276843.38,-35415421.70,-15090091.92,-43864174.85,37321671.72,62360296.33,46867856.97,22122746.23,106597149.81,160615932.42,149302861.89,58671197.57,75844769.46,49549985.90,111277882.38,83968861.33,629642386.89,541625953.94,374027026.43,133876925.95,98178279.01,81916807.90,42996031.87,21301611.36,87001659.51,65719249.14,33818781.61,-3696987.75,114481318.18,83741741.52,47891911.92,22389374.88,11835318.96,-9083871.25,-8075042.44,-3543583.15,-14922441.03,-10312484.71,-3288103.77,-2105251.92,-2270409.34,-10432155.05,-836075.75,3258714.03,19150399.34,4428125.91,36982291.85,9946809.70,32453593.00,14247882.00,35474608.00,8893643.00,10577189.00,10168107.00,6232518.00,0.0
22,归属于母公司所有者的净利润,639556309.98,463928304.21,392267832.25,313037111.24,431841768.21,283051132.58,188325671.36,200487693.93,168388319.57,237527626.50,234197410.53,225247021.16,1453136587.35,1642282541.01,1154647962.30,654058240.43,2044419252.11,1751803850.13,1094419856.60,543681108.71,2043192820.88,1586735652.53,957514476.52,488279827.37,715282564.83,509053885.68,247706145.62,33585562.42,99614800.07,89059244.72,57597963.75,-14545458.86,14396561.47,-27632367.44,-10035957.72,-28700557.50,10376641.62,29884260.45,26211914.12,7966847.64,71151334.49,105585315.02,98400383.91,34909137.35,47451505.01,42676996.71,82369379.79,56286150.03,402896191.99,314235330.06,195670528.58,34304266.87,48283361.84,41271230.83,20737646.34,10222897.62,42664772.48,32614983.08,15564689.92,-4519300.41,62403736.76,46463150.71,26145339.31,11864603.21,8983004.51,-7926839.45,-6918187.23,-2386842.96,-11921637.11,-7866525.77,-1689200.96,-1131492.30,2015728.45,-8022770.86,3238706.49,3258714.03,19133854.41,3221474.85,32721110.17,9954341.41,32513857.00,14290394.00,35584096.00,8894878.00,10725233.00,10168112.00,6230348.00,0.0
23,少数股东损益,255487114.89,174573475.49,126829950.08,79858722.16,229802263.82,151395263.62,103796017.40,61679111.89,143924983.21,145197284.73,102263910.12,75149137.61,491943550.42,518343040.91,377675380.48,208131428.61,579842175.15,555121193.50,371973226.28,173807509.07,616926676.59,531316956.42,331051961.01,143729158.41,358056372.30,270403654.66,142479737.15,25344539.34,70771208.24,56926454.86,33644757.06,7948898.56,1880281.91,-7783054.26,-5054134.20,-15163617.35,26945030.10,32476035.88,20655942.85,14155898.59,35445815.32,55030617.40,50902477.98,23762060.22,28393264.45,6872989.19,28908502.59,27682711.30,226746194.90,227390623.88,178356497.85,99572659.08,49894917.17,40645577.07,22258385.53,11078713.74,44336887.03,33104266.06,18254091.69,822312.66,52077581.42,37278590.81,21746572.61,10524771.67,2852314.45,-1157031.80,-1156855.21,-1156740.19,-3000803.92,-2445958.94,-1598902.81,-973759.62,-4286137.79,-2409384.19,-4074782.24,0,16544.93,1206651.06,4261181.68,-7531.71,-60264.00,-42512.00,-109488.00,-1235.00,-148044.00,-5.00,2170.00,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.357000,0.259000,0.219000,0.175000,0.241000,0.158000,0.105000,0.112000,0.094000,0.133000,0.131000,0.126000,0.811000,0.917000,0.644000,0.365000,1.141000,0.978000,0.611000,0.303000,1.321000,1.038000,0.671000,0.395000,0.783000,0.557000,0.271000,0.037000,0.109000,0.097000,0.063000,-0.016000,0.016000,-0.030000,-0.010000,-0.031400,0.010000,0.033000,0.030000,0.010000,0.078000,0.120000,0.110000,0.040000,0.050000,0.050000,0.099000,0.070000,0.520000,0.450000,0.310000,0.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.357000,0.259000,0.219000,0.175000,0.241000,0.158000,0.105000,0.112000,0.094000,0.133000,0.131000,0.126000,0.811000,0.917000,0.644000,0.365000,1.141000,0.978000,0.611000,0.303000,1.321000,1.038000,0.671000,0.395000,0.783000,0.557000,0.271000,0.037000,0.109000,0.097000,0.063000,-0.016000,0.016000,-0.030000,-0.010000,-0.031400,0.010000,0.033000,0.030000,0.010000,0.078000,0.120000,0.110000,0.040000,0.050000,0.050000,0.099000,0.070000,0.520000,0.450000,0.310000,0.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,-1832000.00,0,0,0,-2329384.39,-2329384.39,-2329384.39,250747.72,-365219.51,-496044.41,-441534.04,-474240.26,-196237.35,-392474.70,784949.40,1176507.46,1613507.10,245296.69,21804.15,-32706.22,-599614.12,-348866.40,-474240.26,-125373.86,472753.00,102082.45,254711.50,113976.27,204451.00,204451.00,729732.94,104065.29,3407712.40,-1145711.92,-1341646.63,-461076.37,4686506.62,1546975.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,895043424.87,638501779.70,519097782.33,392895833.40,659812032.03,434446396.20,292121688.76,262166805.82,309983918.39,380395526.84,334131936.26,300646906.49,1944714918.26,2160129537.51,1531881808.74,861715428.78,2624065189.91,2306532568.93,1467178032.28,718665125.24,2661733004.57,2118297905.64,1288588241.68,631976279.56,1072739323.01,779108673.94,389711642.51,58804727.90,170858761.31,146087782.03,91497432.31,-6482584.03,16481294.38,-35210970.70,-14360358.98,-43760109.56,40729384.12,61214584.41,45526210.34,21661669.86,111283656.43,162162908.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
