,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,四、利润总额,103330305.70,65159470.47,12098072.27,61021375.24,36177550.68,22771814.91,2246152.49,33281932.81,29584706.99,18158825.02,2192456.87,36167546.14,34251200.25,18012845.36,1890989.92,35642270.66,31164860.30,20709762.32,2451941.52,57567048.51,36591398.90,20760376.62,1481539.28,36069506.99,22335527.10,9799989.83,-3317268.14,35881038.31,21882345.58,8780251.34,-3852061.55,35579077.13,20018250.28,6711278.02,-6463863.74,57454497.17,39992393.21,16647121.07,4460076.58,51561861.01,33752577.46,14127272.18,2949286.99,42060174.75,33997589.48,13533290.10,2174386.77,37837356.70,31908639.36,15557796.97,8315956.87,22989950.58,20673255.19,19049251.08,0.0
20,减：所得税费用,11611632.54,6521056.10,421053.01,5348732.83,3112544.50,1849098.87,192249.97,3267170.89,2747206.13,1063718.29,508561.34,3319817.13,5556600.54,1057512.33,431082.20,3436155.88,3286387.38,1991997.63,691546.96,6799782.43,4158343.14,2459303.08,520729.95,2198773.01,1506824.72,548662.24,188064.05,2348846.13,1826538.66,397873.14,122253.67,4640731.29,1727882.77,705442.20,297117.84,4100414.92,4242536.71,2028790.12,511020.83,6258128.38,3474696.92,1769658.77,138045.75,2915247.22,1621264.40,0,0,152.46,0,0,0,0,0,0,0.0
21,五、净利润,91718673.16,58638414.37,11677019.26,55672642.41,33065006.18,20922716.04,2053902.52,30014761.92,26837500.86,17095106.73,1683895.53,32847729.01,28694599.71,16955333.03,1459907.72,32206114.78,27878472.92,18717764.69,1760394.56,50767266.08,32433055.76,18301073.54,960809.33,33870733.98,20828702.38,9251327.59,-3505332.19,33532192.18,20055806.92,8382378.20,-3974315.22,30938345.84,18290367.51,6005835.82,-6760981.58,53354082.25,35749856.50,14618330.95,3949055.75,45303732.63,30277880.54,12357613.41,2811241.24,39144927.53,32376325.08,13533290.10,2174386.77,37837204.24,31908639.36,15557796.97,8315956.87,22989950.58,20673255.19,19049251.08,0.0
22,归属于母公司所有者的净利润,91561606.39,58516776.30,11718101.07,54878350.68,32627867.88,20774224.88,2054144.48,30160628.28,26940469.75,17266207.64,1737649.04,33108662.44,28834709.31,17018568.49,1515232.97,32450262.70,28006779.63,18809300.58,1755993.49,50788058.66,32445401.94,18306312.88,959814.91,33870315.13,20828702.38,9251327.59,-3505332.19,33532192.18,20055806.92,8382378.20,-3974315.22,30938345.84,18290367.51,6005835.82,-6760981.58,53354082.25,35749856.50,14618330.95,3949055.75,45303732.63,30277880.54,12357613.41,2811241.24,39144927.53,32376325.08,13533290.10,2174386.77,37837204.24,31908639.36,15557796.97,8315956.87,22989950.58,20673255.19,19049251.08,0.0
23,少数股东损益,157066.77,121638.07,-41081.81,794291.73,437138.30,148491.16,-241.96,-145866.36,-102968.89,-171100.91,-53753.51,-260933.43,-140109.60,-63235.46,-55325.25,-244147.92,-128306.71,-91535.89,4401.07,-20792.58,-12346.18,-5239.34,994.42,418.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.200000,0.130000,0.025500,0.120000,0.070000,0.050000,0.004500,0.070000,0.060000,0.040000,0.004000,0.070000,0.060000,0.040000,0.003000,0.070000,0.060000,0.040000,0.008000,0.230000,0.140000,0.090000,0.005000,0.170000,0.100000,0.050000,-0.040000,0.170000,0.200000,0.080000,-0.040000,0.310000,0.180000,0.060000,-0.070000,0.530000,0.360000,0.150000,0.040000,0.450000,0.300000,0.120000,0.030000,0.400000,0.330000,0.140000,0.020000,0.500000,0.430000,0.210000,0.110000,0.310000,0.350000,0.750000,0.0
26,稀释每股收益(元/股),0.200000,0.130000,0.025500,0.120000,0.070000,0.050000,0.004500,0.070000,0.060000,0.040000,0.004000,0.070000,0.060000,0.040000,0.003000,0.070000,0.060000,0.040000,0.008000,0.230000,0.140000,0.090000,0.005000,0.170000,0.100000,0.050000,-0.040000,0.170000,0.200000,0.080000,-0.040000,0.310000,0.180000,0.060000,-0.070000,0.530000,0.360000,0.150000,0.040000,0.450000,0.300000,0.120000,0.030000,0.400000,0.330000,0.140000,0.020000,0.500000,0.430000,0.210000,0.110000,0.310000,0.350000,0.750000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,91718673.16,58638414.37,11677019.26,55672642.41,33065006.18,20922716.04,2053902.52,30014761.92,26837500.86,17095106.73,1683895.53,32847729.01,28694599.71,16955333.03,1459907.72,32206114.78,27878472.92,18717764.69,1760394.56,50767266.08,32433055.76,18301073.54,960809.33,33870733.98,20828702.38,9251327.59,-3505332.19,33532192.18,20055806.92,8382378.20,-3974315.22,30938345.84,18290367.51,6005835.82,-6760981.58,53354082.25,35749856.50,14618330.95,3949055.75,45303732.63,30277880.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,91561606.39,58516776.30,11718101.07,54878350.68,32627867.88,20774224.88,2054144.48,30160628.28,26940469.75,17266207.64,1737649.04,33108662.44,28834709.31,17018568.49,1515232.97,32450262.70,28006779.63,18809300.58,1755993.49,50788058.66,32445401.94,18306312.88,959814.91,33870315.13,20828702.38,9251327.59,-3505332.19,33532192.18,20055806.92,8382378.20,-3974315.22,0,18290367.51,6005835.82,-6760981.58,53354082.25,35749856.50,14618330.95,3949055.75,45303732.63,30277880.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,157066.77,121638.07,-41081.81,794291.73,437138.30,148491.16,-241.96,-145866.36,-102968.89,-171100.91,-53753.51,-260933.43,-140109.60,-63235.46,-55325.25,-244147.92,-128306.71,-91535.89,4401.07,-20792.58,-12346.18,-5239.34,994.42,418.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
