,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,减：所得税费用,18050213.92,13403797.88,6522428.49,3478737.88,12763600.62,8632261.30,6507414.51,4102707.51,42062453.75,15712203.04,11211295.85,1958506.01,11538532.48,3942987.22,1600369.22,1122485.64,10184089.88,7306091.26,421719.79,118898.65,1593243.56,2738654.16,878998.04,0,7908460.23,0,0,0,-2035900.13,-524080.39,21954.88,0,3750363.02,494424.68,0,0,-2262339.73,-102314.91,0,541096.24,1467773.70,1828841.93,1065295.27,0,66090.36,694124.15,633774.49,120143.44,1726025.24,1499381.35,1329371.18,363540.46,1892889.02,0,0,0,0.0
21,五、净利润,104848769.80,75632221.93,45080283.28,15907280.65,81552400.86,77472042.49,72259947.88,18285977.14,205888239.58,90125349.50,71333250.45,13003636.11,69554648.54,42740111.85,27024072.88,16681652.54,75290260.11,56491196.14,10670689.68,3421488.09,41587645.45,20250517.19,14743096.43,1073670.70,34430983.68,18449741.53,5676622.74,1800768.25,-66006477.52,-34821759.08,-17824313.35,-12538274.37,2519780.20,-31202866.12,-22634686.19,-7445128.03,-24616918.56,-10264355.86,-7728399.76,2168031.34,6810562.48,10716462.04,5233220.18,-880769.35,2591867.65,8117151.00,7448414.23,1009166.44,21040225.85,18194920.82,15492228.60,4483176.45,22301645.93,19695347.18,13293688.68,15373783.08,0.0
22,归属于母公司所有者的净利润,105653080.25,75750043.73,45198083.26,15973409.09,81664313.65,77478650.45,72266618.07,18291677.28,205939682.20,89999361.12,71365258.46,12964570.20,69663399.33,42749502.31,27024072.88,16681652.54,75299237.87,56509284.11,10679667.44,3423633.18,41610798.33,20263860.00,14751921.57,1077765.89,34448225.73,18462617.27,5685462.07,1805506.51,-65965364.63,-34792447.33,-17801699.85,-12527545.75,2526157.20,-31196376.52,-22630704.30,-7445189.24,-24610687.33,-10259960.04,-7724394.45,2170514.07,6821042.43,10721465.80,5237824.73,-876342.77,2593248.03,8110982.35,7442160.15,1009335.17,21039326.48,18203876.29,15500123.30,4483230.81,22340630.46,19743686.64,13594556.99,15376007.80,0.0
23,少数股东损益,-804310.45,-117821.80,-117799.98,-66128.44,-111912.79,-6607.96,-6670.19,-5700.14,-51442.62,125988.38,-32008.01,39065.91,-108750.79,-9390.46,0,0,-8977.76,-18087.97,-8977.76,-2145.09,-23152.88,-13342.81,-8825.14,-4095.19,-17242.05,-12875.74,-8839.33,-4738.26,-41112.89,-29311.75,-22613.50,-10728.62,-6377.00,-6489.60,-3981.89,61.21,-6231.23,-4395.82,-4005.31,-2482.73,-10479.95,-5003.76,-4604.55,-4426.58,-1380.38,6168.65,6254.08,-168.73,899.37,-8955.47,-7894.70,-54.36,-38984.53,-48339.46,-300868.31,-2224.72,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.200000,0.150000,0.090000,0.040000,0.190000,0.180000,0.170000,0.040000,0.470000,0.210000,0.160000,0.030000,0.160000,0.100000,0.060000,0.040000,0.170000,0.410000,0.080000,0.030000,0.320000,0.160000,0.110000,0.010000,0.270000,0.140000,0.040000,0.010000,-0.510000,-0.270000,-0.140000,-0.100000,0.020000,-0.240000,-0.170000,-0.060000,-0.190000,-0.080000,-0.060000,0.030000,0.110000,0.170000,0.080000,-0.010000,0.040000,0.130000,0.110000,0.020000,0.400000,0.380000,0.320000,0.090000,0.460000,0.410000,0.280000,0.320000,0.0
26,稀释每股收益(元/股),0.200000,0.150000,0.090000,0.040000,0.190000,0.180000,0.170000,0.040000,0.470000,0.210000,0.160000,0.030000,0.160000,0.100000,0.060000,0.040000,0.170000,0.410000,0.080000,0.030000,0.320000,0.160000,0.110000,0.010000,0.270000,0.140000,0.040000,0.010000,-0.510000,-0.270000,-0.140000,-0.100000,0.020000,-0.240000,-0.170000,-0.060000,-0.190000,-0.080000,-0.060000,0.030000,0.110000,0.170000,0.080000,-0.010000,0.040000,0.130000,0.110000,0.020000,0.400000,0.380000,0.320000,0.090000,0.460000,0.410000,0.280000,0.320000,0.0
27,七、其他综合收益,-398319.70,949524.92,-913041.95,-2305889.85,2876027.42,2244712.49,-309150.60,-1650205.61,-685067.47,-458104.71,-299814.32,-275358.47,1997199.24,546009.52,151781.46,-155855.62,2780405.75,1821598.85,825549.71,466072.53,136757.61,234052.29,374114.97,127199.12,-682374.12,-545537.39,-441760.97,-318530.77,-264475.64,-43835.26,-62938.85,66329.55,-158148.71,-40018.59,-22010.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,104450450.10,76581746.85,44167241.33,13601390.80,84428428.28,79716754.98,71950797.28,16635771.53,205203172.11,89667244.79,71033436.13,12728277.64,71551847.78,43286121.37,27175854.34,16525796.92,78070665.86,58312794.99,11496239.39,3887560.62,41724403.06,20484569.48,15117211.40,1200869.82,33748609.56,17904204.14,5234861.77,1482237.48,-66270953.16,-34865594.34,-17887252.20,-12471944.82,2361631.49,-31242884.71,-22656696.20,-7445128.03,-24616918.56,-10264355.86,-7728399.76,2168031.34,6810562.48,10716462.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,105254760.55,76699568.65,44285041.31,13667519.24,84540341.07,79723362.94,71957467.47,16641471.67,205254614.73,89541256.41,71065444.14,12689211.73,71660598.57,43295511.83,27175854.34,16525796.92,78079643.62,58330882.96,11505217.15,3889705.71,41747555.94,20497912.29,15126036.54,1204965.01,33765851.61,17917079.88,5243701.10,1486975.74,-66229840.27,-34836282.59,-17864638.70,-12461216.20,2368008.49,-31236395.11,-22652714.31,-7445189.24,-24610687.33,-10259960.04,-7724394.45,2170514.07,6821042.43,10721465.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-804310.45,-117821.80,-117799.98,-66128.44,-111912.79,-6607.96,-6670.19,-5700.14,-51442.62,125988.38,-32008.01,39065.91,-108750.79,-9390.46,0,0,-8977.76,-18087.97,-8977.76,-2145.09,-23152.88,-13342.81,-8825.14,-4095.19,-17242.05,-12875.74,-8839.33,-4738.26,-41112.89,-29311.75,-22613.50,-10728.62,-6377.00,-6489.60,-3981.89,61.21,-6231.23,-4395.82,-4005.31,-2482.73,-10479.95,-5003.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
