,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1482,603029,天鹅股份,2.0073,1.1683,23.4641,-1739.1831,65.2093,34.7907
1483,300319,麦捷科技,1.7921,1.0469,24.4728,948.9263,65.2049,34.7951
1484,002439,启明星辰,3.568,3.3295,114.7074,441.9915,65.1762,34.8238
1485,300550,和仁科技,2.249,2.2299,98.9102,1580.0797,65.1755,34.8245
1486,600316,洪都航空,2.1439,0.7067,9.7544,-29.9004,65.1694,34.8306
1487,300085,银之杰,2.1665,1.9726,41.18,117.2554,65.1421,34.8579
1488,601677,明泰铝业,3.3432,2.4436,16.0594,-13871.1433,65.1403,34.8597
1489,300551,古鳌科技,2.8609,1.9999,94.633,-417.1726,65.1394,34.8606
1490,000882,华联股份,1.8046,1.5657,63.0274,269.7158,65.1374,34.8626
1491,603218,日月股份,2.0963,1.8186,38.3062,-4235.0168,65.111,34.889
1492,300160,秀强股份,1.4382,1.2243,36.9211,425.0209,65.0438,34.9562
1493,603551,奥普家居,1.9157,1.5583,118.823,-2912.9868,65.0315,34.9685
1494,600723,首商股份,2.3443,2.0607,100.2209,2831.0404,65.0263,34.9737
1495,300703,创源文化,1.9294,1.7029,54.6514,-1758.5491,65.0018,34.9982
1496,300803,指南针,2.0294,2.0283,188.1658,-2263.3346,65.0007,34.9993
1497,601100,恒立液压,2.6038,2.0959,109.2143,-1755.7457,64.97800000000001,35.022
1498,002049,紫光国微,3.0846,2.4684,55.489,3247.0406,64.957,35.043
1499,002086,ST东海洋,2.0158,1.2254,82.4445,191.3876,64.9247,35.0753
1500,002064,华峰氨纶,1.314,1.0018,32.4172,1834.3009,64.9013,35.0987
1501,300583,赛托生物,1.6643,0.9501,16.4016,491.9944,64.8974,35.1026
1502,002227,奥特迅,2.6302,1.5179,17.1044,-266.7398,64.8968,35.1032
1503,002154,报喜鸟,1.43,0.6604,10.7887,2401.5837,64.8923,35.1077
1504,603990,麦迪科技,1.7248,1.5714,46.2157,574.4490000000001,64.8886,35.1114
1505,600647,同达创业,2.6128,2.2332,121.4666,-1652.6165,64.8819,35.1181
1506,600023,浙能电力,1.8399,1.6153,104.3204,640.3353,64.8649,35.1351
1507,600976,健民集团,1.9116,1.726,9.3892,60065.457,64.8588,35.1412
1508,600227,圣济堂,1.1753,1.0044,12.5466,-4239.6312,64.8433,35.1567
1509,002792,通宇通讯,2.4033,1.9799,70.6888,-308.7697,64.8326,35.1674
1510,000705,浙江震元,1.7725,1.1347,25.3278,-867.025,64.8178,35.1822
1511,600689,上海三毛,2.2264,2.1632,39.9396,-415.0112,64.7995,35.2005
1512,300032,金龙机电,1.6230000000000002,1.2106,23.1226,2544.6516,64.7977,35.2023
1513,300213,佳讯飞鸿,2.1765,1.796,68.9006,846.4069,64.7748,35.2252
1514,002391,长青股份,2.7342,1.7924,19.4735,1203.1372,64.7704,35.2296
1515,601163,三角轮胎,1.929,1.6817,44.6861,11303.3498,64.7518,35.2482
1516,600796,钱江生化,1.9241,1.2072,47.802,-252.2106,64.7334,35.2666
1517,600818,中路股份,0.5881,0.4168,13.2939,-300.5821,64.6999,35.3001
1518,002110,三钢闽光,1.585,1.2367,55.5983,-27312.1367,64.6998,35.3002
1519,688139,海尔生物,2.1844,2.0774,139.4427,-743.9336,64.6966,35.3034
1520,002938,鹏鼎控股,1.6799,1.4269999999999998,66.0785,-1164.3757,64.6149,35.3851
1521,600805,悦达投资,0.9318,0.7233,27.3053,161.90200000000002,64.5967,35.4033
1522,002299,圣农发展,0.6813,0.3365,13.5725,2255.1054,64.5738,35.4262
1523,600285,羚锐制药,1.6122,1.3919,63.9479,-17226.4907,64.5723,35.4277
1524,002897,意华股份,1.7426,1.2273,36.6077,883.3242,64.5546,35.4454
1525,002046,轴研科技,1.7791,1.4165,39.3533,465.3598,64.548,35.452
1526,000967,盈峰环境,1.4312,1.2405,29.52,3185.9897,64.5455,35.4545
1527,300243,瑞丰高材,1.8381,1.5645,21.0376,823.393,64.5159,35.4841
1528,300310,宜通世纪,2.2145,1.7861,36.0974,-2041.0699,64.5138,35.4862
1529,600488,天药股份,1.1726,0.3942,12.975999999999999,966.913,64.48100000000001,35.519
1530,002029,七匹狼,2.0,1.6494,73.6651,-944.2441,64.4685,35.5315
1531,002930,宏川智慧,0.8243,0.8197,35.2125,838.2191,64.4408,35.5592
1532,600167,联美控股,2.8178,2.6134,191.6008,-929.25,64.4346,35.5654
1533,002388,新亚制程,2.2218,1.749,36.0839,-5685.045999999999,64.4058,35.5942
1534,600798,宁波海运,1.4575,1.3866,92.5156,579.7401,64.3908,35.6092
1535,300341,麦克奥迪,3.9205,2.9102,157.2138,-4976.7182,64.3772,35.6228
1536,300082,奥克股份,1.3234,1.1549,22.9163,716.3468,64.3641,35.6359
1537,300788,中信出版,2.6127,1.7890000000000001,41.513999999999996,-6781.9373,64.3586,35.6414
1538,603725,天安新材,1.5379,1.1392,24.0831,146.2532,64.3429,35.6571
1539,300180,华峰超纤,0.9125,0.7235,7.9702,308.6096,64.3364,35.6636
1540,300740,御家汇,2.5648,1.4047,31.0396,131.4596,64.3354,35.6646
1541,002448,中原内配,2.3096,1.7634,48.8417,504.2612,64.3302,35.6698
1542,002722,金轮股份,1.5817,1.0471,19.7714,557.9049,64.3276,35.6724
1543,300125,易世达,7.5231,7.4126,70.8605,136.047,64.2931,35.7069
1544,002508,老板电器,2.4103,2.0534,92.4611,-2084.1084,64.278,35.722
1545,601869,长飞光纤,1.8156,1.4354,46.4037,-36416.9211,64.2622,35.7378
1546,300069,金利华电,1.4818,1.0717,28.2263,304.1308,64.2232,35.7768
1547,300557,理工光科,2.4089,1.6807,73.1581,4343.5969,64.2193,35.7807
1548,002518,科士达,2.2734,1.8831,53.1394,-933.7931,64.1998,35.8002
1549,603002,宏昌电子,1.9851,1.8394,56.5535,1155.9405,64.1994,35.8006
1550,603355,莱克电气,2.1248,1.7775,111.7778,-589.969,64.1846,35.8154
1551,002075,沙钢股份,1.7362,1.3539,4.2783,-8816.8994,64.1654,35.8346
1552,600433,冠豪高新,1.0768,0.8357,23.4988,377.9057,64.149,35.851
1553,002250,联化科技,1.5584,1.0088,57.1924,3388.3873,64.14,35.86
1554,603985,恒润股份,2.0028,1.3032,40.8054,1619.3998,64.1396,35.8604
1555,000029,深深房A,2.4123,1.6103,83.4398,-5580.7102,64.1353,35.8647
1556,600513,联环药业,1.5365,1.1848,36.4492,2150.471,64.1079,35.8921
1557,002881,美格智能,2.6165,1.9831,46.0403,5475.355,64.1021,35.8979
1558,000582,北部湾港,1.0207,1.0129,71.2463,749.8466,64.04,35.96
1559,603515,欧普照明,2.116,1.8195,14.3739,97304.5126,64.0237,35.9763
1560,601086,国芳集团,1.1419,1.0286,93.0089,-1187.8397,64.0191,35.9809
1561,300366,创意信息,2.0279,1.3716,26.3575,538.164,64.0034,35.9966
1562,300028,金亚科技,0.4451,0.4207,2.112,167803.0067,63.9857,36.0143
1563,300543,朗科智能,2.2007,1.5985,63.3492,-542.0979,63.9698,36.0302
1564,002511,中顺洁柔,1.2713,0.7332,31.948,2178.3539,63.9556,36.0444
1565,603223,恒通股份,1.3217,1.27,39.8551,162.7091,63.9464,36.0536
1566,603003,龙宇燃油,2.0406,1.8556,46.8544,46.0474,63.9452,36.0548
1567,002738,中矿资源,1.8772,1.3498,39.7228,1146.6696,63.9373,36.0627
1568,600076,康欣新材,2.1984,0.6001,15.7242,764.3932,63.9372,36.0628
1569,000816,ST慧业,1.2122,1.0368,38.4753,-29016.8162,63.9357,36.0643
1570,002247,聚力文化,2.1379,2.0289,10.4088,-60.7223,63.9268,36.0732
1571,002283,天润曲轴,1.4196,0.9982,14.6226,788.2735,63.8935,36.1065
1572,300648,星云股份,1.9719,1.3539,25.163,9199.2129,63.8631,36.1369
1573,603238,诺邦股份,1.1265,0.8261,48.5323,-2170.8519,63.8593,36.1407
1574,300693,盛弘股份,2.3828,2.0152,44.9017,6407.667,63.8383,36.1617
1575,603305,旭升股份,2.0085,1.3617,59.9887,2453.2412,63.8363,36.1637
1576,300164,通源石油,1.9204,1.5407,33.0986,1973.2117,63.8342,36.1658
1577,002382,蓝帆医疗,1.5379,1.3528,99.3085,1185.8299,63.7851,36.2149
1578,300681,英搏尔,2.5816,1.6197,52.7497,-1087.1356,63.7672,36.2328
1579,600989,宝丰能源,0.7299,0.6431,53.6456,1306.2942,63.7631,36.2369
1580,002905,金逸影视,1.5337,1.5162,77.3257,-2887.9006,63.7617,36.2383
1581,002626,金达威,2.2681,1.6877,57.7803,1962.1694,63.7521,36.2479
1582,300221,银禧科技,2.3566,1.7266,14.1911,232.782,63.7451,36.2549
1583,002730,电光科技,1.7127,1.4336,16.1979,664.849,63.7267,36.2733
1584,300501,海顺新材,1.3664,1.0897,16.5271,973.7933,63.7098,36.2902
1585,000910,大亚圣象,1.8092,1.0453,55.3874,-24866.7148,63.6877,36.3123
1586,600018,上港集团,2.6116,1.8144,137.2935,1407.7402,63.6855,36.3145
1587,300578,会畅通讯,1.2649,1.1303,47.7655,-2466.0951,63.6845,36.3155
1588,300356,光一科技,2.4339,1.9704,15.4148,146.124,63.6731,36.3269
1589,002265,西仪股份,1.546,1.0991,23.8824,-279.6072,63.6717,36.3283
1590,300024,机器人,2.4155,1.2996,29.9106,645.656,63.6666,36.3334
1591,300503,昊志机电,2.5407,1.4627,38.6809,204.7921,63.6528,36.3472
1592,300098,高新兴,1.5255,1.3095,44.9601,-20.0605,63.6356,36.3644
1593,300585,奥联电子,1.534,1.1545,26.7928,716.0014,63.6248,36.3752
1594,600444,国机通用,2.3971,1.9556,78.2391,-595.2333,63.6161,36.3839
1595,002056,横店东磁,1.881,1.6354,106.6212,-1282.6614,63.5924,36.4076
1596,002050,三花智控,1.9965,1.6186,47.8938,-4049.6681,63.5463,36.4537
1597,002612,朗姿股份,1.4731,0.8431,7.905,334.2005,63.5377,36.4623
1598,603326,我乐家居,1.4725,1.2521,35.0971,45660.4427,63.5324,36.4676
1599,600724,宁波富达,3.091,2.9669,56.5632,1305.7164,63.5078,36.4922
1600,002723,金莱特,1.1434,0.6253,13.5183,2265.1564,63.4834,36.5166
1601,300241,瑞丰光电,1.5135,1.2266,28.2824,7560.9482,63.4737,36.5263
1602,002873,新天药业,1.9259,1.6716,69.7929,3011.1639,63.4185,36.5815
1603,002896,中大力德,1.3181,0.6859,7.7326,1009.9778,63.4091,36.5909
1604,300316,晶盛机电,1.9791,1.462,14.8642,14818.8576,63.3991,36.6009
1605,002662,京威股份,1.0578,0.7035,8.9527,-108.7824,63.3988,36.6012
