,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2450,300074,华平股份,0.06,-32.45,,3.25,,3350.5,8.05,,04-01
2451,002158,汉钟精机,0.56,-19.96,,10.78,,15671.29,-14.53,,04-01
2452,601018,宁波港,0.2,-9.09,2.51,8.19,0.2,255399.8,-9.39,,04-01
2453,600242,中昌数据,0.07,-105.79,,94.28,,1796.18,-105.44,,03-31
2454,000014,沙河股份,0.26,-12.84,,7.68,,5296.35,-12.87,10派0.37,03-31
2455,000060,中金岭南,0.09,-60.87,,2.82,,20094.67,-57.26,10派0.1,03-31
2456,603020,爱普股份,1.19,-7.72,,11.82,,17843.48,15.35,,03-31
2457,002292,奥飞娱乐,0.39,-42.65,,17.46,,48904.0,14.26,,03-31
2458,600871,石化油服,0.0,-97.5,,0.1,,2447.8,-98.01,,03-31
2459,603118,共进股份,0.88,1.15,,12.15,,25259.66,28.57,10派2.45,03-31
2460,000932,华菱钢铁,-0.98,-4072.47,,-33.84,,-295895.38,-4064.6,,03-31
2461,600466,蓝光发展,0.4,1277.0,,10.51,,80500.33,6298.47,10派1.2,03-31
2462,600847,万里股份,-0.13,-1400.0,,-2.79,,-1981.25,-995.12,,03-31
2463,002302,西部建设,0.67,4.69,,8.98,,34679.09,4.23,10派1转10,03-31
2464,600865,百大集团,0.37,-9.76,,9.99,,14063.14,-9.62,10派1.2,03-31
2465,300018,中元股份,0.36,38.46,,8.22,,7515.31,50.73,,03-31
2466,600997,开滦股份,-0.34,-525.0,,-6.15,,-41690.99,-521.66,,03-31
2467,002076,雪莱特,0.16,72.15,,6.23,,5679.64,229.08,,03-31
2468,603901,永创智能,0.4,-59.6,,11.97,,7620.22,2.72,,03-31
2469,601111,中国国航,0.55,77.42,,11.84,,677400.8,79.09,,03-31
2470,600300,维维股份,0.06,-50.0,,3.83,,10150.48,-49.41,10派0.3,03-31
2471,002467,二六三,0.08,-74.19,,4.15,,5891.85,-60.15,,03-31
2472,600336,澳柯玛,0.03,-70.0,,1.92,,1922.0,-73.11,,03-31
2473,002194,武汉凡谷,0.13,-48.0,,3.7,,7503.41,-45.08,,03-31
2474,002533,金杯电工,0.27,13.56,,7.42,,14606.16,14.2,,03-31
2475,000880,潍柴重机,0.11,-35.29,,2.36,,2992.76,-35.38,,03-31
2476,300217,东方电热,0.19,-27.54,,6.09,,7530.84,-26.65,,03-31
2477,600036,招商银行,2.29,3.15,14.31,17.09,15.88,5769600.0,3.19,10派6.9,03-31
2478,600061,国投资本,1.33,13200.0,,19.75,,452259.27,72829.44,,03-31
2479,000425,徐工机械,0.01,-96.5,,0.24,,5059.82,-87.76,,03-31
2480,600493,凤竹纺织,0.05,29.89,,2.04,,1299.8,29.78,10派0.2,03-31
2481,002613,北玻股份,0.03,-19.75,,1.56,,2317.33,24.86,,03-31
2482,600887,伊利股份,0.76,-43.7,,23.87,,463179.18,11.76,10派4.5,03-31
2483,002371,北方华创,0.11,-8.33,,2.09,,3864.79,-7.7,,03-31
2484,000665,湖北广电,0.58,13.73,,7.18,,37216.34,51.88,10派1,03-31
2485,601126,四方股份,0.42,-50.0,,9.69,,34411.6,0.98,10派1.6,03-31
2486,002134,天津普林,-0.2,-600.0,,-8.84,,-4825.78,-595.04,,03-31
2487,688388,嘉元科技,0.17,112.5,1.49,7.54,,2088.77,116.32,,03-31
2488,600343,航天动力,0.08,-18.5,,2.27,,4988.4,-18.48,10派1,03-31
2489,000065,北方国际,0.82,12.33,,14.41,,21885.22,18.56,10派0.8,03-31
2490,603598,引力传媒,0.23,-54.0,,5.96,,2715.03,-45.94,,03-31
2491,000488,晨鸣纸业,0.5,92.31,,6.73,,102122.47,102.14,10派3,03-31
2492,603726,朗迪集团,0.86,-10.42,6.25,14.85,1.08,6139.29,-9.6,,03-31
2493,002739,万达电影,1.07,-33.21,,26.24,,118582.71,48.05,,03-31
2494,601139,深圳燃气,0.31,-13.89,3.27,10.15,0.72,65966.17,-8.52,,03-31
2495,002461,珠江啤酒,0.12,33.33,,2.48,,8315.53,37.69,,03-31
2496,002478,常宝股份,0.52,-14.75,,7.08,,20606.19,-16.2,,03-31
2497,601390,中国中铁,0.53,9.96,,10.94,,1225767.4,18.32,,03-31
2498,600351,亚宝药业,0.32,30.55,,12.0,,22209.04,30.55,10派1,03-31
2499,600387,海越能源,0.06,-79.31,,1.81,,2299.74,-79.32,10派0.5,03-31
2500,002543,万和电气,0.73,19.55,,11.65,,31909.87,19.56,,03-31
2501,601929,吉视传媒,0.13,-51.9,,7.86,,41134.51,0.38,,03-31
2502,600846,同济科技,0.26,-10.34,,9.21,,16025.33,-11.99,10派1,03-31
2503,600505,西昌电力,0.18,5.55,,6.81,,6521.55,5.52,10派0.3,03-31
2504,002365,永安药业,0.09,-44.59,,1.58,,1761.26,-44.48,,03-31
2505,002381,双箭股份,0.3,-47.37,,9.11,,10681.26,-19.94,,03-31
2506,002075,沙钢股份,-0.04,-265.92,1.05,-3.43,,-8062.18,-328.93,,03-31
2507,300442,普丽盛,0.55,-54.55,,6.22,,5006.53,-44.88,,03-31
2508,600693,东百集团,0.12,-72.59,,2.96,,4937.3,-66.24,10转10,03-31
2509,000011,深物业A,0.26,-62.44,,7.59,,15682.0,-62.44,10派0.8,03-31
2510,600727,鲁北化工,0.08,300.0,,2.66,,2771.85,267.02,,03-31
2511,002532,新界泵业,0.37,37.04,,10.28,,11782.24,34.34,,03-31
2512,000878,云南铜业,0.02,-65.38,,0.48,,2595.43,-64.58,,03-31
2513,600016,民生银行,1.3,-0.76,8.26,16.98,6.17,4611100.0,3.51,10派1.6,03-31
2514,600392,盛和资源,0.02,-95.98,,1.53,,1932.86,-89.95,,03-31
2515,600035,楚天高速,0.3,30.43,,11.07,,42965.18,51.37,10派0.9,03-31
2516,002580,圣阳股份,0.15,-16.67,,3.18,,3290.32,69.65,,03-31
2517,600833,第一医药,0.18,5.88,,5.8,,4116.85,11.19,10派0.6,03-31
2518,002612,朗姿股份,0.37,-38.94,,3.25,,7445.64,-38.58,,03-31
2519,600203,福日电子,0.31,7.71,,7.49,,11727.38,49.26,,03-31
2520,600754,锦江酒店,0.79,0.87,,7.55,,63760.95,30.88,10派4.8,03-31
2521,600790,轻纺城,0.28,-31.71,,8.31,,29549.89,-10.44,10派1,03-31
2522,601919,中远海控,0.03,-25.0,,1.16,,28339.11,-21.83,,03-31
2523,600808,马钢股份,-0.62,-2281.82,,-23.01,,-480429.97,-2277.67,,03-31
2524,002283,天润曲轴,0.27,12.5,,4.59,,15026.12,12.71,,03-31
2525,600483,福能股份,0.85,16.44,,17.16,,106333.78,33.69,10派2,03-31
2526,600844,丹化科技,-0.04,-275.89,,-3.68,,-3066.78,-275.94,,03-31
2527,002400,省广集团,0.61,-17.57,,23.9,,54764.35,28.81,,03-31
2528,002110,三钢闽光,-1.74,-3000.0,,-43.68,,-92863.64,-3006.28,,03-31
