,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,其他流动资产,55710362.54,84984346.78,31429479.95,25927015.65,29412510.29,35559054.61,12382511.39,18971625.64,29711495.88,62735153.10,8612882.56,11172424.62,5061093.49,16249829.60,27984692.75,9594991.22,45840039.46,46001608.58,47792542.71,79237867.48,1489630.00,1932130.00,442500.00,1097320.04,12921.96,12221.23,11770.43,4498023.22,9564.73,8892.35,1027311.72,7401463.93,8814.31,9379.80,9728.68,7881.45,18040.30,29048.32,45950.39,74568.46,262445.64,42857.92,88073.03,98372.52,252284.98,55271.70,3943.30,16312.40,322989.54,8043.60,2407231.86,0,6200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182381.00,0,0,-820000.90,0,0,0,0,31000000.00,0,38000000.00,0,0,0,0,0,0,0,0.0
21,流动资产合计,1853621902.46,2094334966.79,1081452512.62,1048917535.85,1262941501.95,1607925027.90,1450779170.81,1342940031.24,1132837052.49,1387215043.65,1260265508.20,1347742068.95,1394187306.15,2359373648.22,3866485490.49,4625788962.83,6996975094.53,7767974851.43,8345727578.12,7643691176.66,8890950224.25,10303076006.96,10190691313.04,9157115011.49,10787217832.16,10708121649.23,11842435386.35,10517460420.81,11772916481.56,11400870755.95,11082741486.13,7770498515.39,9693329962.74,8012022277.81,8755738347.62,7007343555.90,6759629635.08,6778259802.27,6799910091.29,4695369651.82,4992274930.32,4710954672.52,4325427889.60,3305996806.69,3871471080.01,3717633829.44,3738756932.79,2944905059.48,3077035240.52,3017792987.90,3152427664.52,2006349423.84,2371620898.54,2284220171.02,2275777753.88,2047301050.06,2330280155.72,2311180615.67,1081688333.18,894281831.98,889094165.06,893157876.34,986370535.00,721937859.65,991319829.49,761942660.91,888265972.59,624651227.24,710744288.26,491115718.53,573344179.63,414736635.22,564559407.41,467136239.46,513606460.81,473827750.62,468824519.36,434026631.79,335459251.88,405150749.66,442338434.22,387170401.00,428332762.60,456442416.07,537180720.36,583234000.00,503232566.66,333034468.78,212228500.00,141313300.00,127400200.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,17671945.29,18763386.70,18337872.97,19546842.85,20354963.71,21754560.17,21442934.76,22626213.12,22677883.57,20839177.50,20772781.66,23396081.14,26343436.46,22894059.08,35315056.50,36898896.76,16869794.36,0,0,0,0,0,0,0,0,59953312.82,65724908.40,71873284.42,68446354.24,68716149.74,79071293.14,83835658.54,76767405.08,85993447.60,89801910.76,115078066.14,113385668.62,101967453.40,121110701.88,95576415.70,60483045.36,73052695.24,98897905.70,125550284.84,197888713.74,187597047.12,136235466.25,38295830.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.00,300000.00,0,0,0,0,0,0,0,0,0,0,0,0,86821500.00,0,0,5001000.00,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,215726944.16,216402615.07,213660758.84,219343388.93,247203995.90,243149686.44,238352583.45,245818267.77,248762914.91,245468517.15,246172262.82,246837564.05,244834329.70,237180533.06,238029548.06,236633461.88,244240978.04,240677273.83,237078384.46,236321170.31,282736951.05,277653206.45,262354002.51,261602611.76,255886673.43,279815412.27,273057362.76,270610201.18,242922307.61,237034555.91,240763092.22,239018869.55,240705158.16,233163290.80,225691674.28,223728938.66,227045787.96,220868346.64,237897754.32,233307168.48,234784688.99,226584300.06,228708172.74,238959163.93,224173592.07,227444139.65,220523535.15,215637568.40,245713464.27,241166783.38,242895979.67,236660624.48,259343614.53,245894257.83,241140648.78,231147743.11,219166386.87,217042219.99,77309280.17,76756006.29,79032887.65,80297684.64,79284826.41,80168594.43,90792172.52,89300582.24,76856427.72,78567709.70,78407814.15,78671489.04,76653392.19,75580258.83,97542386.99,110242308.99,126428423.94,124764926.65,145627845.46,131581058.49,108541963.29,76539840.57,82789913.28,18452050.00,84302262.66,83215195.75,79390795.86,58259000.00,28408617.10,20956200.00,3830000.00,1450000.00,3148000.00,0.0
28,投资性房地产,10271361.47,10514295.89,10757230.31,11000164.73,11243099.15,11486033.57,11728967.99,11971902.41,12214836.83,12457771.25,12700705.67,12943640.09,6441190.49,6533893.58,6626596.67,6719299.76,6812002.85,6904705.94,6997409.03,7090112.12,7182815.21,7275518.30,7368221.39,7460924.48,7553627.57,7646330.66,7739033.75,7831736.84,7924439.93,8017143.02,8109846.11,8202549.20,8295252.29,8387955.38,8480658.47,8573361.56,8666064.65,8758767.74,8851470.83,8944173.92,9036877.01,9129580.10,9222283.19,9314986.28,9407689.37,9500392.46,9593095.55,9685798.64,9778501.73,9871204.82,9963907.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),5029483.93,6181773.59,4866939.60,3011981.64,5230462.50,4121540.64,3093620.33,1884145.46,0,3588068.77,2020297.10,0,0,986239.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
