,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,146547678.86,148835191.17,147494903.82,147261326.62,147175498.41,143782138.08,126182352.39,126354246.94,128163372.67,118376820.90,123024586.10,117868289.62,117854700.76,143539365.49,117653420.88,117373923.04,122869504.43,85370082.74,74872260.49,72829796.37,72693309.02,101041997.91,119923396.79,123229441.50,119582827.89,123613408.49,117436799.47,116828035.06,136831604.36,147478743.99,114706055.54,115591747.38,126595067.14,51416322.08,45122983.18,45926233.80,48198075.10,34716272.06,31100856.99,57283705.44,56848081.64,61606469.70,60343953.48,61943729.29,62306317.65,79802054.36,80729270.64,85126797.72,85654670.44,137871057.92,141385263.86,77620269.39,78946771.02,91924768.73,117859227.03,118858140.41,126418149.64,151418985.20,160295298.95,192943552.18,241340034.50,348212258.34,339703092.30,285314666.27,387835932.73,327740735.81,325530564.32,258701036.38,250947683.61,264889408.45,245116202.83,197162369.92,344223320.35,98434234.75,15187764.48,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0.00,10983848.81,10885884.92,11168277.62,11168277.62,29410896.90,29702546.44,28665249.10,29030034.95,29422236.40,29665071.15,29939000.75,29939160.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25321187.99,0,0,0,0,0,0,0,0,0,0,77477.40,79464.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,28196714.49,28371903.87,28547093.25,29626904.07,30779606.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73289476.29,73820757.90,74352039.51,74883321.12,75414602.73,75945884.34,76477165.95,77008447.56,77539729.17,78071010.78,78602292.39,79133574.00,79664855.61,80196137.22,80727418.83,81258700.44,81789982.05,82321263.66,85678912.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18880556.73,18743618.37,18743618.37,18743618.37,40514981.62,48218199.06,48027474.71,48249158.62,103835180.40,98233660.48,63046623.63,63043048.56,63903370.28,63762563.88,63704179.28,63704450.28,71344616.25,71289136.84,68209045.48,67988547.70,65708168.49,63491416.36,60941250.63,60917155.98,60212997.39,57763769.64,56436089.85,56226522.69,68072315.62,64674861.50,61749344.91,59298686.44,49323533.36,19235596.29,0.0
