,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
50,应付票据及应付账款,926046687.75,1105056698.83,1096207756.10,824276729.38,1007454955.14,848382521.17,700269318.06,736643897.88,0,821082250.91,651909176.25,688926096.58,0,0,0,0,0,0,0.0
51,应付票据,186336199.30,225995134.87,0,188842401.62,0,191764640.99,186337484.88,201546689.29,190883993.97,152930470.93,113852951.27,216377183.73,167749183.86,207460731.92,102045944.77,83658412.40,66667644.70,67442343.73,0.0
52,应付账款,739710488.45,879061563.96,0,635434327.76,0,656617880.18,513931833.18,535097208.59,691826992.32,668151779.98,538056224.98,472548912.85,404045721.42,260708383.47,308931857.80,278944793.35,143609736.21,59785748.25,0.0
53,预收款项,1363983831.88,1432027543.27,1087637262.06,1276751965.91,1162094151.56,1276964519.05,1027082202.36,1381001299.39,1172074880.79,1316523424.88,952416266.83,1079793769.38,750940139.43,831066381.60,625215042.96,573416935.51,572939570.51,523280340.24,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,183315396.30,196104168.39,156575379.64,331348054.49,157762116.91,165896395.42,121439599.69,267243097.01,155651887.12,147847944.98,113733518.09,264790393.59,180727364.89,108128808.36,70513132.74,84213538.67,42176732.97,25834545.38,0.0
56,应交税费,267348242.25,201374444.13,167592818.74,187391461.29,277739203.49,161386552.09,93137323.74,187542171.76,117527541.33,85467521.29,79206259.81,134916666.12,32954470.00,51664994.02,52947352.21,76026344.60,79077504.22,15804973.12,0.0
57,其他应付款(合计),514745208.92,600921004.69,554168811.46,556035018.85,538162930.71,1098876748.27,676732511.11,627700139.79,0,288328117.08,268751161.08,264767058.33,0,0,0,0,0,0,0.0
58,应付利息,10317881.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,420283454.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,600921004.69,0,556035018.85,538162930.71,678593294.27,676732511.11,627700139.79,346672303.02,288328117.08,268751161.08,264767058.33,177531553.77,150751897.56,132553869.05,134816271.34,63296911.53,81572194.45,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,3966116278.01,4054074311.02,3325229368.31,3188048941.67,3143213357.81,3551506736.00,2618660954.96,3300130605.83,2774642347.37,2812466588.28,2220918807.18,2536637448.00,1926251118.92,1829781196.93,1664207199.53,1651076295.87,1342768100.14,1033720145.17,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,
68,长期借款,322726305.55,237355833.33,184655833.33,140387500.00,100000000.00,85000000.00,0,0,0.00,42843735.91,42843735.91,20228588.91,0,0,0,0,0,0,0.0
69,应付债券,1207607821.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,38714614.23,39478989.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,374716978.31,246480857.15,250967496.68,231117766.83,179753934.22,162110662.50,143768286.80,144213734.05,109357505.97,110706440.23,132320483.25,108704434.73,62735090.56,66504776.68,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68723727.25,42540058.35,35477550.55,27167844.75,0.0
79,非流动负债合计,1943765719.91,523315679.90,435623330.01,371505266.83,279753934.22,247110662.50,143768286.80,144213734.05,109357505.97,153550176.14,175164219.16,128933023.64,62735090.56,66504776.68,68723727.25,42540058.35,35477550.55,27167844.75,0.0
80,负债合计,5909881997.92,4577389990.92,3760852698.32,3559554208.50,3422967292.03,3798617398.50,2762429241.76,3444344339.88,2883999853.34,2966016764.42,2396083026.34,2665570471.64,1988986209.48,1896285973.61,1732930926.78,1693616354.22,1378245650.69,1060887989.92,0.0
81,所有者权益,,,,,,,,,,,,,,,,,,,
82,实收资本(或股本),420170165.00,420191551.00,420191551.00,420283454.00,420283454.00,420283454.00,420596464.00,420596464.00,420596464.00,420596464.00,415091112.00,373581112.00,373581112.00,373581112.00,373581112.00,373581112.00,100000000.00,100000000.00,0.0
83,资本公积,2975529414.77,2976650682.75,2971120927.40,2971075248.94,2967519399.72,2972296063.36,2965594615.16,2950953107.16,2906307141.10,2906307141.10,2615593207.47,650226205.94,650226205.94,650226205.94,650226205.94,650226205.94,5973700.00,5973700.00,0.0
84,减：库存股,0.00,135431037.00,135431037.00,140502244.54,143001894.54,286513431.56,303785323.36,303785323.36,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,199907.99,137313.99,481258.06,459918.06,3612062.90,3527072.94,7583.31,293889.20,169323.62,169323.62,169323.62,410285.37,177515.02,-58125.37,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,210141727.00,210141727.00,210141727.00,210141727.00,191056366.25,191056366.25,191056366.25,191056366.25,124338966.09,124338966.09,124338966.09,124338966.09,68941564.49,39345421.62,10611157.18,10611157.18,35124217.23,18980832.43,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,5162509381.30,4417086408.96,4191531662.70,4099485006.37,3746833008.56,3096662263.71,3040459391.03,2966903589.94,2678022048.78,2147579162.54,1789009905.86,1733488946.95,839324219.45,499976322.03,246242831.35,143394216.82,404027475.26,226339872.32,0.0
90,归属于母公司股东权益合计,9038424725.45,7888776646.70,7658036089.16,7560943109.83,7186302396.89,6397311788.70,6313929096.39,6226018093.19,6129433943.59,5598991057.35,4944202515.04,2882045516.35,1932250616.90,1563070936.22,1280632952.80,1177724465.43,545125392.49,351294404.75,0.0
91,少数股东权益,0,0,0,0.00,0,0.00,0,4222.19,159409.24,284838.98,349767.64,811537.22,6436617.77,7127586.98,2207260.36,2147684.37,74131432.51,59078720.19,0.0
92,所有者权益(或股东权益)合计,9038424725.45,7888776646.70,7658036089.16,7560943109.83,7186302396.89,6397311788.70,6313929096.39,6226022315.38,6129593352.83,5599275896.33,4944552282.68,2882857053.57,1938687234.67,1570198523.20,1282840213.16,1179872149.80,619256825.00,410373124.94,0.0
93,负债和所有者权益(或股东权益)总计,14948306723.37,12466166637.62,11418888787.48,11120497318.33,10609269688.92,10195929187.20,9076358338.15,9670366655.26,9013593206.17,8565292660.75,7340635309.02,5548427525.21,3927673444.15,3466484496.81,3015771139.94,2873488504.02,1997502475.69,1471261114.86,0.0
