,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,29000000.00,29000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,4000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,185833720.00,129500000.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,2199771144.07,2095265757.93,2536316263.53,2722902738.52,2310536242.35,1007783933.52,715129595.33,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,51000000.00,51000000.00,51000000.00,51000000.00,51000000.00,51000000.00,51000000.00,51000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,2620878434.98,2597833952.40,2623111680.61,1445879078.61,2683432557.39,2649888306.59,2632564477.11,2623744877.11,2228048189.20,2185504902.18,2177379591.64,2170861582.31,2063133678.39,1906093678.39,1853409275.93,1814563275.93,2336103050.93,2385862751.99,1330826536.52,773896536.52,792758001.27,790876438.43,817000254.26,929517994.06,1025329810.12,1001865043.14,1003434673.34,4000000.00,1159892456.94,1181397175.17,1196718362.80,1229065294.39,1209232906.21,1192479946.54,1187168856.32,1194245317.22,1157669272.34,1165673761.02,1177317523.58,1160649410.62,1127516756.90,1142221865.88,1163590396.49,1133047548.91,1157709910.02,1220786022.89,1210949621.21,1204846535.96,1209526042.08,1182234813.74,1039981635.61,939010020.54,729269899.26,706602968.48,663050711.80,632727111.80,659397611.73,579397611.73,579984000.98,496397611.73,341016273.16,251016273.16,201016273.16,123414873.16,131186890.94,131186890.94,135119930.56,54158530.56,60440524.14,60700124.14,61673624.14,61673624.14,97796769.58,65572687.93,63003108.00,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,3674398.77,6951393.87,7028577.10,6978407.23,7067181.79,0,3503374.92,3553968.75,3604562.59,3655156.43,3705750.27,3756344.12,3806937.97,3857531.84,3908125.70,3958719.58,4009313.45,4059907.34,4110501.23,4161095.12,4211689.01,4278888.05,4346087.09,4413286.13,4480485.17,4547684.21,4418715.23,4498871.23,9160675.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),6024356576.91,5753917697.91,5233388892.23,5060498659.98,5397713013.86,5160060178.88,5314159013.64,5030122894.66,0,5317608884.96,0,3921418569.83,0,3214855294.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,5455547766.13,0,5058678935.81,5397713013.86,5158339842.65,5312538289.47,5028479093.56,5733230122.61,5313578385.35,4412963998.11,3917397300.99,3309314069.33,3183847470.58,2385287404.67,3848601915.96,4715669876.37,3490351475.59,2576484747.67,2335559086.14,3694485467.66,3269846410.66,2600685007.26,3569071338.18,3060016259.05,2723980385.20,2391757053.84,129541740.19,1847006494.73,1787296136.55,1753011407.74,1707933111.11,2884977570.25,3100639655.89,2019225402.20,2328118749.19,1892023244.15,1699714339.20,1647956924.96,1482799144.92,1467535934.43,1285710927.55,1045416247.24,851073068.17,756172899.11,1117322163.50,988104355.61,821560045.92,257877692.84,184641614.51,361094449.84,226494431.06,85118821.53,72930839.43,58936501.93,34185783.95,39580097.41,22387840.56,25220007.87,8009605.14,41883706.13,33963986.78,21849613.57,12955972.57,70979392.82,55937698.29,33766145.50,4928309.50,75021017.51,58994657.75,43843337.60,39088504.89,35142465.45,18310801.56,2990855278.16,27947161.78,28470805.36,12342504.72,22079153.07,12419860.75,29148494.80,21038967.00,1150502.00,3430447.00,0.0
31,工程物资,0,298369931.78,0,1819724.17,0,1720336.23,1620724.17,1643801.10,4098755.18,4030499.61,4030499.61,4021268.84,36259259.17,31007824.14,30903431.86,35567246.37,34861104.10,115970455.11,184497429.40,236069213.08,752738535.57,570190140.04,135615048.48,108298849.01,26292084.48,33088507.81,19319842.08,19568761.06,5463749.42,3470039.42,980109.42,980109.42,267032601.99,996909.41,968337265.83,915481118.82,1055643171.17,915120275.24,739939303.61,712938884.97,580309624.66,373601276.82,493171996.31,453893579.18,493118550.79,534946760.28,369738597.20,313654103.20,301306429.10,288972650.74,298452359.40,408839824.45,644240.00,694013.76,694013.76,791176.76,849535.13,701535.13,701535.13,701535.13,618475.13,701535.13,719895.13,708895.13,788385.13,783735.13,701535.13,701535.13,1259872.10,1259872.10,1353186.10,1317386.10,358760.00,514723.00,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),27508300646.50,27304353776.30,27601684901.53,28044510226.25,25273515889.87,25597933589.65,27224358042.77,26899195333.07,0,25330899546.79,0,22582638728.82,0,21300521895.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
