,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),89594518.33,91688660.89,90474439.46,91813148.25,90047279.08,92993396.14,89466948.93,92811157.49,0,90876544.11,0,95548863.42,0,97098834.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,91688660.89,0,91813148.25,90047279.08,92993396.14,89466948.93,92811157.49,90258592.17,90876544.11,92698194.12,95548863.42,95251882.46,97098834.54,91141499.20,92403772.19,91904074.17,92774449.84,94957405.99,97029275.21,100666888.43,100678728.69,99587044.68,101324493.05,102318957.82,104796087.34,100071086.32,102359655.03,103003520.73,104944539.89,105606634.31,107335434.65,101930743.14,101758228.91,100730781.96,93429258.36,80084097.89,78746666.87,79185497.90,80393023.66,59691353.16,59876096.58,59066223.77,57494777.19,56103814.33,54538995.77,54092222.89,54361607.62,54544429.67,55459501.55,52328131.43,7553874.08,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,17077894.97,17548859.07,18019823.17,18577335.94,19134848.71,19692361.48,20249874.25,20807387.02,21357720.31,21918822.82,22479925.33,23041027.84,23602130.35,24068463.64,24625053.34,25181643.04,25752815.71,26337004.12,26928248.11,27519492.10,28110736.09,28703000.02,29293224.07,29884468.06,30477345.58,31082485.52,31687625.66,32292765.80,14103987.31,14252134.54,14400281.77,14464250.75,14624781.36,14772928.59,14921076.03,15048027.52,14504835.23,14618328.17,14731821.11,14845314.05,14957341.03,15070833.97,15184326.91,15299285.81,15132855.93,15422294.55,15522990.81,15623687.07,15450218.29,15712508.89,16244229.69,16905950.49,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19337996.05,17825688.45,16683178.77,15614108.05,14876900.94,13466483.88,11709506.22,9858002.68,8908734.04,7950863.98,7198542.31,6316861.78,5655507.29,4031139.70,3685687.18,2596981.09,2358880.20,2048542.70,1816024.55,1034217.40,0,0,0,0,0,0.0
