,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
27,长期股权投资,0,0,0,0,0,0,0,350000.00,573000.00,24158596.42,24883937.22,24883937.22,22369380.79,22369380.79,23837258.05,23800406.08,28253325.68,28253325.68,27737019.83,27737019.83,31639569.37,47730823.92,44509473.60,44509473.60,43479294.16,44251044.16,44251044.16,44251044.16,41448024.10,41448024.10,46177235.08,46177235.08,45563166.77,44191166.77,60983501.26,45983501.26,54241023.59,48395733.35,47413746.14,47413746.14,47277714.11,47277714.11,45562714.11,45562714.11,108279900.33,108279900.33,108279900.33,106921763.57,41406172.74,32750393.06,32949270.67,32750393.06,34289028.71,33061934.02,33584514.06,32164745.34,31841106.35,31824359.77,31774061.16,32263277.57,31544325.46,31261805.72,12656325.45,12044343.63,11000000.00,6000000.00,0,1517805.33,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,466162048.96,468237742.36,471941635.34,428284149.67,344629193.21,346857063.81,350586500.36,335466011.32,338219630.41,338365082.42,343086407.09,39624608.59,39101099.35,40960003.98,41634772.33,54138695.96,54599250.80,53075487.73,53531308.39,55949003.45,56409558.30,56703330.96,57330667.99,57791222.84,58056342.42,66046992.28,61082362.96,68927009.31,69441607.53,70006959.75,70143767.57,78101272.31,78666777.06,78923690.42,79644965.10,69539209.71,64433668.54,70818581.51,65469274.41,74535351.29,75124127.54,72840256.04,75229880.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),598730000.00,527038000.00,477552000.00,465036000.00,528940000.00,450804000.00,255557000.00,208767000.00,0,2895380.58,2485030.48,2485030.48,31623012.06,38169174.59,27000854.26,26742229.73,47078006.39,47061137.38,47127039.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,527038000.00,0,465036000.00,528940000.00,450804000.00,255557000.00,208767000.00,95651000.00,2895380.58,2485030.48,2485030.48,31623012.06,38169174.59,27000854.26,26742229.73,47078006.39,47061137.38,47127039.42,43178919.18,43631749.57,43546546.28,38607850.82,38138109.82,31377231.27,31314749.89,43614304.42,32888087.53,16124515.75,13866250.86,12790868.72,11339320.52,180990720.75,155798193.75,161389074.40,151955993.86,257273589.66,243948243.31,224410027.49,214911116.45,275909050.61,245041540.43,243950001.95,218392923.02,25162890.48,15873439.52,13640413.89,13015410.33,37100940.02,32269988.71,30594814.32,30261618.01,32404394.37,26094889.99,23516602.88,23234650.48,37178975.79,30016468.05,37274922.74,22504944.90,36939203.68,20967854.25,10191382.42,4211065.09,6029567.87,3087249.26,11817933.16,62500.00,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554743.11,293828.97,0,0,104856.44,104856.44,91373.94,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),890810000.00,895021000.00,880082000.00,903000000.00,875180000.00,845097000.00,840604000.00,846896000.00,0,295613588.54,305998176.08,317632491.45,298595191.87,403363668.18,420628849.91,432785690.11,442616640.12,451811261.92,458597030.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,895021000.00,0,903000000.00,875180000.00,845097000.00,840604000.00,846896000.00,844620000.00,295613588.54,305998176.08,317632491.45,298595191.87,403363668.18,420628849.91,432785690.11,442616640.12,451811261.92,458597030.67,469826059.66,476257337.21,532252695.58,543356688.55,553622294.51,732304851.54,739257822.31,728238497.88,745778988.38,740029699.08,755390764.26,770119809.48,785607499.69,673643328.48,648297629.65,633706888.91,634724781.42,490058916.31,498826953.51,509166900.39,520024422.14,463924272.02,462701830.38,463483193.44,469863053.81,442024700.13,453996038.96,445737763.81,458774771.31,464641030.27,476662856.44,488814033.21,495409899.41,504403391.15,494069398.14,503876766.04,513601905.31,455220251.58,462665291.00,460065625.29,482861536.62,387377609.83,399826240.90,404422499.87,202569121.31,200153306.17,190431822.24,173291221.77,137640676.87,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11485.90,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
