,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,90023127000.00,81285522000.00,81982919000.00,84622208000.00,81902959000.00,73339329000.00,64114386000.00,64670777000.00,59001923000.00,63470793000.00,57457050000.00,57467851000.00,53352031000.00,46513597000.00,44976531000.00,47203781000.00,43530325000.00,47856613000.00,47540126000.00,48320881000.00,45172177000.00,48265935000.00,46065420000.00,43985677000.00,41169668000.00,43046059000.00,42978287000.00,41479710000.00,38346189000.00,41500876000.00,41396821000.00,39487019000.00,40727025000.00,42772890000.00,42382160000.00,42322186000.00,33791508000.00,39546856000.00,35382714000.00,29196556000.00,20535330000.00,16181478000.00,17054290000.00,18901565000.00,18818379000.00,24960109000.00,27448703000.00,29033253000.00,24366794000.00,23095819670.92,21163733913.65,18460022607.48,15081223043.04,16111561567.27,16256387268.29,12174040239.58,11372159353.90,13253435854.47,15494301971.33,15089983207.03,12176352564.67,12508613264.95,11794217790.93,9044707451.97,6536200991.93,5948275847.10,6136222966.85,5924798343.62,4656398742.92,4554776882.84,3868896367.07,3198060000.00,2605392501.66,4742869360.34,3501095531.11,4933750196.48,3844622767.70,3556237621.32,2247974673.00,2857217173.04,2154486529.35,1840900824.41,1347583951.92,1604295780.01,1220510440.84,1027970301.97,744003547.93,592439717.83,317841725.32,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,441581000.00,462789000.00,461762000.00,441528000.00,442726000.00,466699000.00,464687000.00,444469000.00,420858000.00,391246000.00,393824000.00,395864000.00,396025000.00,395766000.00,396400000.00,6934000.00,7342000.00,630220000.00,575913000.00,659318000.00,609751000.00,558381000.00,621216000.00,625986000.00,571954000.00,611251000.00,751838000.00,769558000.00,768467000.00,814668000.00,818702000.00,1150709000.00,1175785000.00,278773000.00,324849000.00,904475000.00,1264613000.00,2520166000.00,3472913000.00,4737724000.00,4153636000.00,3080274256.42,3185193864.65,1509727196.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131629406.64,144205538.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387405644.12,433343612.96,453194208.00,364306752.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,13777669000.00,14299904000.00,14213481000.00,13612758000.00,13874369000.00,14367183000.00,13715337000.00,13610643000.00,12880540000.00,13644271000.00,13499327000.00,13296859000.00,13220242000.00,14724888000.00,14525793000.00,13672208000.00,12734564000.00,10103305000.00,5563364000.00,4029223000.00,3449542000.00,3365080000.00,3111384000.00,2847179000.00,2952418000.00,3088173000.00,2738621000.00,2492428000.00,2540574000.00,1832345000.00,1996331000.00,2289315000.00,2311235000.00,3590917000.00,3646949000.00,2107072000.00,1336257000.00,1010279000.00,1027734000.00,1017986000.00,991942000.00,535209000.00,328689000.00,387138000.00,501903000.00,370580000.00,377477000.00,200228000.00,198643000.00,48708977.06,53339557.30,56041916.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,5363574000.00,5608128000.00,5430838000.00,5250728000.00,3569900000.00,1939483000.00,2450699000.00,2269956000.00,2398495000.00,2304099000.00,2249428000.00,2177730000.00,2162217000.00,2023079000.00,2001007000.00,2077439000.00,2036367000.00,1495401000.00,1468367000.00,1285763000.00,1165674000.00,1180573000.00,1174730000.00,1612650000.00,1576613000.00,1420344000.00,1465195000.00,1888021000.00,1913762000.00,2007310000.00,1941456000.00,1943681000.00,1957187000.00,1934834000.00,1949645000.00,1545153000.00,1548332000.00,1582861000.00,1583788000.00,1310165000.00,1930811000.00,1763794000.00,1740377000.00,1706503000.00,1602598000.00,1084347000.00,1041579000.00,1053612000.00,912822000.00,818038924.46,804019618.36,651500092.30,1371111332.27,832797750.29,667381390.24,658797209.19,546454902.98,518670351.43,485354952.56,492698495.41,487447061.95,523174988.05,566038759.65,420965523.42,511326346.25,456446773.25,453419193.76,855628606.46,852911125.78,775058357.22,786735990.23,785770000.00,775669584.29,491294135.59,496063703.81,489611625.02,475605134.79,333378960.33,313409054.00,91315016.46,81321056.45,46349044.84,49376566.95,50152850.10,71525507.46,72778205.88,70013060.67,42653525.15,16016062.89,0.0
28,投资性房地产,2769715000.00,2080191000.00,2112909000.00,1958962000.00,1966277000.00,1789180000.00,1681270000.00,1676462000.00,1679189000.00,1625034000.00,1722065000.00,1758274000.00,1752608000.00,506435000.00,507971000.00,536439000.00,438814000.00,449739000.00,385026000.00,415062000.00,365555000.00,327240000.00,324645000.00,322134000.00,324811000.00,297300000.00,284977000.00,184901000.00,183668000.00,157866000.00,145493000.00,146204000.00,126983000.00,109505000.00,88837000.00,82550000.00,77356000.00,69580000.00,73708000.00,61239000.00,75606000.00,78595000.00,79281000.00,79966000.00,79244000.00,48411000.00,48683000.00,48945000.00,49031000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),9827563000.00,28197429000.00,24654338000.00,23618117000.00,24164814000.00,24675333000.00,23466394000.00,21754689000.00,22194585000.00,0,23804653000.00,0,22769189000.00,0,21682665000.00,0,17040388000.00,0,0,0,10460940000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,24675333000.00,23466394000.00,21754689000.00,22194585000.00,23791054000.00,23804653000.00,23576333000.00,22769189000.00,22885021000.00,21682665000.00,19623443000.00,17040388000.00,15437935000.00,13232558000.00,11445757000.00,10460940000.00,9017259000.00,7195795000.00,8869916000.00,6684619000.00,3032014000.00,2683227000.00,2686605000.00,2279993000.00,2582689000.00,2287206000.00,2190256000.00,1898330000.00,2527231000.00,2336814000.00,1991420000.00,1697664000.00,1208521000.00,1027001000.00,528711000.00,573269000.00,1023128000.00,902953000.00,1094549000.00,943560000.00,1333657000.00,1127380000.00,1009436000.00,693507000.00,869827453.69,587786300.81,602883598.52,666762489.81,576186887.28,364457578.48,336306281.12,251147849.90,645590712.11,778752929.40,646301404.49,503144839.89,412346773.97,459755052.38,405594087.45,167218922.57,424420325.10,361682418.83,341593808.73,246675269.54,204840086.07,145953646.48,0,91791581.98,72542406.21,89576440.10,81298874.34,70696008.60,47129575.60,34884997.17,71315095.26,45083128.81,68046471.17,89689678.16,288185095.99,129564851.10,30422591.09,14256553.21,17553868.50,9480923.53,0.0
