,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57677609.26,58660437.18,54766112.73,53480142.99,53822804.61,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300000.00,0,0,2024765.83,1495808.80,199756.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8002.22,8002.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,25785001771.98,30201644909.23,30742573080.26,38344195016.85,49818587741.87,37384692564.42,35552454755.45,39485489923.69,27394499565.33,20285518602.14,20797481144.25,27751958320.64,19734875207.69,20401256330.14,22814638823.72,28177561103.59,339151303.78,383844570.56,424438026.36,422100839.04,393962842.42,672932768.14,704106058.46,812277045.24,438689364.81,407809596.52,382349121.41,477202334.96,527633593.79,421354878.26,550504443.01,675663159.72,569915374.13,583628023.99,585626199.06,496413848.74,510531786.38,571223140.27,655051188.55,704539975.22,635469161.63,701486781.07,690901467.80,738064145.24,769960801.10,799756349.57,991482395.93,916627322.46,509977021.84,504689707.64,468141414.16,457349222.98,454489146.96,465832303.06,458930986.13,452415188.03,443334888.65,431302828.02,419971873.56,429030233.48,421728105.30,470239060.38,460803315.54,471196109.45,467897117.01,537872006.83,574229857.03,595273642.57,484204783.34,622405846.67,584908000.14,544696129.09,528069328.45,511337822.51,375897504.77,251409357.70,251148883.39,247502395.82,244688338.80,99830118.76,149008691.61,157585918.95,167190533.39,58898140.79,38348564.49,28226495.89,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,35232439127.68,29443294200.85,31791686162.45,30804186162.47,29641427886.02,29262724552.68,30281433583.35,30585313583.35,30722023698.35,24297657031.68,0,21171786452.98,12926714435.16,14684079435.16,14018250808.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,110353950449.40,104880778469.32,93340221344.06,79091537221.58,60188759892.93,61261157961.16,63103405376.25,58493397039.24,46342376126.58,48684867186.61,41948105564.24,39418073907.88,47943546009.29,52451644893.98,51298501894.04,32293922312.94,418596491.03,593053855.41,723053855.41,723053855.41,716838230.41,549750669.29,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,2566873402.65,2653958816.12,2744722665.55,3422385825.78,3538013370.61,3839026585.46,4094625063.78,3315844333.45,2490611084.79,2823823736.69,3028172884.96,4964216332.81,5615801429.78,0,0,0,0,0,170000000.00,170000000.00,40000000.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,10184256906.78,10131126323.17,10132590312.03,9962684057.98,12983844903.13,10955914475.30,10986574710.98,10891457488.64,10891457488.64,10793247349.61,8241944512.05,8284476468.80,8280054319.76,0,0,0,742021103.93,0,0,0,0,0,549750669.29,549750669.29,689819052.24,728039597.79,701782404.60,562773273.99,543399581.94,561443903.27,533375479.36,459019927.18,463274608.14,521198890.97,551179102.38,520446351.36,517536736.62,480306685.87,429101876.05,355122896.76,330092746.01,324816272.30,279669626.72,270158668.80,270840842.02,264646534.81,252871085.06,194901085.06,170263571.65,139697321.99,157947602.42,100593637.08,98714095.48,115571532.73,126852196.90,126893458.77,126955351.55,127803972.35,127076391.46,127167209.53,127277420.55,82865092.22,82858996.87,88090996.57,94034888.89,96101817.97,97683831.20,98153746.24,99214030.88,87021516.33,80024252.73,42439926.00,74353566.95,49719593.85,43530435.24,43144732.88,22511932.58,140415323.81,139100396.91,40839361.98,40839361.98,34655929.04,34655929.04,205200.00,0,0,0.0
28,投资性房地产,9972946226.43,9791725526.09,11861612113.91,11772093396.25,9244836796.94,8704963474.97,8663809582.22,8617105833.38,8599309991.94,8468705006.13,8434283446.87,8416557642.17,7967578771.94,4591584487.01,4573829547.78,4525811115.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
