,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,75203564.71,84630664.38,108114217.22,147373598.81,33251948.37,42253834.72,101362715.32,25289627.09,26607362.95,2819727.87,791908.61,13459619.01,20120294.07,1705885.98,4194378.92,13860064.84,18058525.61,8417701.44,6961259.78,47487353.23,41672612.99,4588692.36,3717848.32,3468072.33,2413313.54,3193738.01,1505536.62,1329492.69,1925749.88,2488560.89,3037444.07,3448871.85,2080768.86,2357253.30,3631252.67,1367806.03,1412425.09,1562284.99,661901.48,1154428.74,484800.23,2150202.00,2856632.40,3879642.55,3519180.46,3945867.39,2798046.35,6746029.38,4528406.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,2240683856.82,2336601792.11,1834930137.63,2418287419.44,1944907998.78,2274667223.48,2395321475.69,2223116130.11,2386970409.01,2495896642.25,2470831978.30,2720653308.75,2549625126.66,3460644837.83,2518357216.63,2412802709.94,2358187546.69,2532618450.36,2526499410.67,2478728745.51,2272771338.59,2705657753.91,2767649772.26,2860183327.08,2493849030.04,2967696902.14,2734527897.77,2491200456.48,2527246322.83,2494964041.50,2657208846.91,2953953960.57,2822502635.10,2467901590.04,2196885771.39,1998601849.46,1702037745.31,2020671905.34,2248500083.18,2178579570.26,1691447257.70,2325333142.52,2446987218.73,1676822995.79,1208503912.92,1265414266.72,1094715272.50,1041571279.04,853744941.90,1009919402.88,907283964.68,813940937.88,746437796.64,811197655.41,748339895.92,712248950.31,629311130.23,639052765.74,622328862.39,542862856.18,508079187.17,587718739.42,585463398.90,657022919.17,441872886.92,485730273.11,397851861.33,361294087.32,366429718.53,320092935.91,344836078.47,335703293.37,349801246.71,370757277.52,501184952.25,319832277.33,306222202.70,293162995.31,278682139.29,246303046.49,191937193.73,194679134.38,213808818.09,204237166.76,83912375.92,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,84824326.00,101992126.00,101992126.00,140419026.00,160920726.00,196968926.00,228367926.00,257735226.00,250716626.00,247946126.00,234093626.00,281007426.00,341034926.00,403112466.00,459255186.00,406713726.00,274359726.00,46430291.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106000.00,14260000.00,14670000.00,7820000.00,5820000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72600000.00,72600000.00,72600000.00,72600000.00,0,0,0,0,0,0,101234500.00,91234500.00,51234500.00,40000000.00,0,0,0,0,0,0,0,0,-1162700.00,0,1162700.00,1162700.00,0,1162700.00,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,125650000.00,138521493.45,140550696.15,126455130.92,127859130.92,4133797.59,7722551.42,0,0,0,0,0,0,0,0,0,0,0,600200398.02,656965341.46,658460869.72,634934843.30,661577913.00,728402555.96,728322165.04,696970058.70,661459134.10,698543798.78,694325647.50,685948766.72,661123626.44,641471941.82,633087193.60,616661794.06,589299638.70,566241822.74,557900349.16,554803482.08,46430291.00,46430291.00,3957426.00,8431084.48,8431084.48,8431084.48,8431084.48,9510250.86,9510250.86,9510250.86,9510250.86,15236592.38,5036592.38,5036592.38,32427350.92,156489550.99,155742264.12,103101095.84,104907276.89,108233994.58,108835246.45,169695166.22,168946332.49,151589536.88,121756291.50,125747367.15,121870270.47,154528001.30,72939930.33,60981254.95,60854656.78,49006146.85,49233968.16,50576073.15,49566222.20,37391285.74,36977557.47,45991894.66,44498720.56,33577994.62,40694243.95,8639630.00,12530899.33,0,0,0,0,0.0
28,投资性房地产,2442231.26,2712832.22,2744020.13,2775208.08,2805530.93,2844180.72,2872065.93,2899951.14,2927931.41,2961103.91,2989131.65,3017159.39,3045187.13,3073214.87,3101242.61,3129270.35,3157298.09,3162042.41,3192167.84,3222293.27,3252418.70,3282544.13,3312669.56,2872235.33,3372920.42,7987509.62,15950883.47,16070273.96,16189664.45,16309054.94,15452141.48,15562880.60,15673619.72,15784358.84,15895097.96,16005837.08,16116576.20,5552600.00,5593832.00,5635064.00,5676296.00,5717528.00,5758760.00,5799992.00,5841224.00,5882456.00,5923688.00,5964920.00,6006152.00,6047384.00,6102360.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
