,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416269.74,104666.28,197230.67,0,0,0,0,0,0,0.0
20,其他流动资产,532872339.06,20703386.49,20283945.72,23819641.51,101991093.35,120137927.60,311662335.68,374002426.42,711917691.00,799123474.96,16055824.74,17863589.57,1852468988.84,27778035.83,3570000.00,44393000.00,69313000.00,28490000.00,7000000.00,7000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416269.74,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,31810786794.20,32012159546.73,33946772959.41,30494550754.91,29096218208.53,28403187427.73,26561653737.59,27415251244.44,30353616867.70,25237780327.57,21362731871.93,25150374368.56,18710503897.59,406778002.79,421082775.82,475104226.68,537551805.48,1799697414.65,1806222531.62,1785165455.72,1564479649.47,1573779287.89,1591872974.76,1624551593.18,114641034.72,85010320.78,76684189.10,113386210.99,87487811.70,123462373.81,191297782.49,261964344.08,314703835.65,241766523.39,257303936.27,227407617.62,238548840.40,137317415.16,141030086.86,138282463.06,140401967.23,125044516.95,91880799.39,118996172.84,501127977.89,514827003.69,597454167.09,631984503.41,632928387.65,588282438.04,665186820.49,579818173.10,1815460274.34,1573327295.73,1282768507.29,2215708990.40,1218702731.45,1237468052.96,1024895016.23,937198203.22,903995123.91,914049032.11,923176460.30,829113233.51,955390420.70,934515943.11,986636546.87,906218299.29,892164667.05,873173403.32,862178155.04,784839385.22,769667710.28,742903779.28,639990786.99,573990815.68,488888706.67,427018097.96,227119905.33,252678535.71,221573950.17,141972642.65,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,3229294290.13,2956600601.82,3720027876.50,3976587550.13,3985003773.75,4526828193.04,5283483539.31,4957254010.33,224065708.72,417581289.47,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,11698815.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,2593769103.10,2618384653.13,1989606536.11,2228185911.83,3034944293.60,2742265240.58,2661531376.59,2641592959.14,2648809945.15,2753350197.05,2642802974.33,238786238.31,202324657.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,105521.90,105521.90,105521.90,105521.90,310740.01,310740.01,310740.01,310740.01,506792.98,506792.98,506792.98,506792.98,694090.13,694090.13,694090.13,694090.13,873022.50,873022.50,873022.50,873022.50,1008975.20,1008975.20,1008975.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,74009551.07,75314005.35,102383032.22,81469125.49,36096402.49,6750605.22,16825396.63,44091607.35,48064474.76,64134477.40,68257861.56,70445982.36,46462312.48,37307447.57,64815354.79,68604723.73,87510786.74,0,0,0,0,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.88,11698815.87,11698815.88,11698815.88,11698815.88,11699431.05,11698815.88,11846445.51,11846445.51,43733533.48,43895916.13,41501796.62,54310337.16,67488963.41,66132665.50,69613894.21,69369809.35,132657123.27,125975276.85,136093918.13,123889344.13,161455645.33,148274243.68,92793792.34,96679137.05,101920301.78,137816264.30,122643770.68,123783300.84,72507829.74,30367181.28,644131.05,50626246.48,69319635.19,69211964.99,50120693.27,50019226.84,123570062.07,71077129.20,-1524321.73,73063617.92,12939070.82,51506251.52,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),32483671.60,20219868.18,19280380.42,17852805.26,191802355.08,188242126.77,187591148.59,188926013.14,0,0,0,143199974.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,20219868.18,0,17852805.26,191802355.08,187786413.79,187135435.61,188470300.16,150539550.56,140469482.15,158520558.53,142777192.89,112918880.91,87433410.59,70717041.21,53792612.37,31230609.60,26344791.50,17033436.56,16958149.56,17070035.76,15040856.62,15040856.62,15040856.62,8436000.77,8173108.48,8173108.48,8173108.48,28073411.44,27562808.51,24703420.45,20656810.09,57899994.21,56808904.45,74071546.31,71968154.85,60413245.42,39237855.26,51582161.17,38722164.06,71082090.16,70729261.00,70698032.99,105538707.60,120407993.87,113991089.71,132662112.29,178189962.74,190527600.39,363973229.15,319536790.35,301820049.24,264237429.65,424973383.53,402850184.87,425232591.56,411059448.50,381773002.32,252485449.54,233616200.19,287546465.96,236755143.14,176323287.75,172266943.33,266989551.99,256286689.05,292776862.36,222766091.01,360573556.04,370069370.91,390039104.80,368871164.43,217091870.53,184907941.62,277668627.84,126831684.90,159601955.00,132717614.89,54122840.96,24964988.39,38991361.18,33128634.90,0.0
31,工程物资,0,0,0,0,0,455712.98,455712.98,455712.98,455712.98,455712.98,455712.98,422781.36,252259.57,61720.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22584.22,22584.22,22584.22,22584.22,22584.22,22584.22,22584.22,22584.22,22845.25,22845.25,22845.25,22845.25,22845.25,22845.25,22845.25,22845.25,169176.37,179527.92,4178672.99,2868019.22,31707888.18,38905152.83,60146205.59,63265407.96,70129596.96,52067464.67,6995376.32,75287155.15,18872119.13,36739292.87,42803052.43,36073962.32,123207417.86,44322664.33,64351437.03,49488983.22,43340762.65,49784115.96,11454031.98,6198668.55,0,0,0,0,0,0,0,0,0,0,11440.32,0,0,16080.08,0.0
32,固定资产及清理(合计),356458697.34,356447566.69,357843625.42,364567303.15,219419679.61,225153857.26,229950328.94,233534994.70,0,0,0,242128269.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,356447566.69,0,364567303.15,219419679.61,225153857.26,229950328.94,233534994.70,236363662.30,239593631.41,238048884.13,242128269.06,246737786.36,48136154.31,48901462.54,49567940.59,56572738.47,58654596.35,60663954.69,62726376.52,102342033.99,105987766.08,110175507.70,114078814.55,412117086.05,372808785.54,382291876.63,395514076.89,394029355.98,405940620.52,416811376.48,428066405.93,466232805.77,478970097.44,473126031.96,488093148.66,497355698.71,513082783.73,499110084.84,525177145.88,635387274.27,651573289.79,670218661.37,683940847.40,1346345130.59,1379759514.67,1393587964.92,1337414324.13,1313797138.69,1149752125.58,1139146886.00,1191814889.64,1215138866.96,1092243558.22,1127845159.63,987008388.81,1082640174.36,1100062713.42,1113180430.39,1137678050.41,988986526.45,978922842.92,959804616.14,973265062.42,1195225126.29,1249633380.45,1208995852.87,1046726723.55,906221335.26,836205669.65,859402834.83,800312066.58,733044886.20,724735308.99,650847976.35,618750986.90,511119315.61,461357084.92,251451996.73,257693748.18,204034785.26,149235812.82,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445116.30,2445116.30,2445116.30,0,0,0,0,0,76801.18,76801.18,76801.18,0,0,0,0,0,0,0,0,0,0,0,0,0,-931560.29,-858498.40,-623659.60,0,-1235384.27,-268674.79,-141700.00,0,284467.55,47783.82,42292.85,42292.85,10137.97,15789.48,-136430.22,23569.78,40371.84,0,0,0,-131139.45,738420.60,0,0,217096.82,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,114036428.24,116727632.48,115870497.80,117782210.30,88370004.35,92064914.27,90949302.92,94251150.09,97407491.70,95382011.00,73979874.36,69855729.09,72091816.82,27312953.70,27489664.08,27693183.77,27896703.14,28100222.51,28303741.88,28507261.25,28698615.37,28901835.58,29105055.79,29308276.00,145741332.98,146816094.86,147890856.74,148965618.62,150061380.50,43435006.04,43733853.41,44053700.78,44373548.15,44693395.52,45023242.98,45353090.34,45682937.70,45993786.06,46316793.46,46672479.77,47684810.22,48045409.02,48406007.82,48766606.62,74562963.86,75097186.87,74799741.88,75334319.97,76225034.66,76715972.33,84668913.64,85160795.24,79556758.48,79891806.76,75223387.22,88571851.96,74627671.83,67030014.01,67344630.81,67938613.25,65763149.23,47082812.89,47378358.70,47673904.51,47969450.32,48264996.13,48560541.94,48856087.75,49130434.56,49424883.87,49719333.18,50013782.49,0,1890753.24,2014063.26,2137373.28,2260683.30,2383993.32,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3640479698.73,3639655275.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
