,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,20375471.21,147468648.92,24072497.54,364573996.57,460278871.73,81929940.64,57241796.19,60072772.86,322453531.33,59876493.24,124115892.79,238437335.29,312376409.68,60533608.05,89686679.02,288910209.68,359529800.98,79801661.96,56725859.13,102157334.60,243809788.91,31905454.90,33762000.51,27715808.13,76743115.11,28875815.99,29436807.50,68117406.64,80682057.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98264.04,0.0
21,流动资产合计,1248793439.66,867286841.99,890407022.00,1067346741.39,1188164581.70,916799982.28,920822905.19,1026519322.87,1100035666.87,1099650858.76,1059194320.35,1128059538.45,1129710541.43,1029101369.47,1130066372.06,967472264.34,996519801.54,911595389.55,839178146.54,899692580.12,935424307.45,852267560.78,766548153.96,653670667.66,642681006.92,626768332.88,595021664.00,546677660.63,577833699.88,560001357.61,521246122.36,468535985.55,472829226.60,472564503.81,449842588.03,458200015.05,477625834.69,508227145.98,514066823.90,525651836.38,489065736.24,505579529.04,481162789.89,476763947.24,436794373.35,591819963.61,554379076.73,493532239.99,429801240.77,401486866.55,464135735.28,346488920.30,357344493.11,437150840.88,468504792.10,475298842.50,492362101.09,499722892.65,407000284.09,338004321.78,490361722.86,439246018.15,336402984.03,294873378.62,362088222.85,282720093.90,265608153.19,270527621.75,376885236.57,82016377.39,109040375.16,76356458.80,59990777.67,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,331249075.02,321598726.58,373672671.49,233002331.62,433353642.97,510207587.88,677705958.01,805303971.98,119592900.16,119592900.16,119592900.16,109592900.16,104592900.16,99592900.16,96592900.16,96592900.16,96592900.16,96592800.16,87678403.00,87327051.50,92975700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,331923.59,331923.59,331923.59,331923.59,331923.59,1213964.85,1213964.85,1213964.85,1213964.85,2151543.48,2151543.48,2996077.26,2996077.26,1064153.82,1398541.30,340000.00,0,1787449.15,787449.15,787449.15,787449.15,40710775.80,131871982.09,130185083.90,130185083.90,130323429.23,130323429.23,136573357.77,136573357.77,137010168.90,137010168.90,137010168.90,137010168.90,137401178.02,130601178.02,111801178.02,111801178.02,103619887.54,103619887.54,109604322.46,101604322.46,105836388.16,91516388.16,89024854.83,89024854.83,91852256.02,16552256.02,16552256.02,16552256.02,88400000.00,88400000.00,89000000.00,93155702.46,92746801.36,21833180.32,2748676.73,3765115.94,6147775.82,6250985.96,6372305.45,6457406.24,13874049.13,11353294.22,4394375.49,4403108.82,288999.50,297748.83,3500000.00,315263.47,332778.11,350292.75,0,249000.00,0.0
28,投资性房地产,61795738.08,62238519.14,63739867.91,67035737.75,65649443.03,64547068.18,65484578.38,66686577.24,67377332.10,69442934.37,69247919.10,70200812.33,71118506.10,85809819.42,86605446.53,87443049.03,88148587.20,87311030.97,88305607.81,89151733.69,90067967.48,87492145.53,86598933.73,88323447.63,89239111.34,97622964.13,88229328.02,85963811.36,82969005.24,82106237.07,82894692.91,83656437.64,82031328.34,73766544.67,74003370.26,83933692.65,66432620.04,47571785.18,47817608.24,43676699.13,43489547.90,48713979.62,53773836.22,61634090.65,61634090.65,47212876.03,47212876.03,39637188.25,52495569.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),965418.40,251834.50,251834.50,1134456.50,1171610.92,0,428717.66,313813.97,1189908.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,965418.40,0,251834.50,0,0,916130.95,428717.66,313813.97,1189908.19,747512.56,236437.22,0,0,0,0,0,1790584.63,6327369.58,6572482.74,6572482.74,6686612.54,6063193.74,1896236.14,623980.88,689760.88,0,0,0,0,0,0,0,0,0,0,0,0,18344348.37,18279237.87,18283906.21,15644288.21,20621306.80,18928057.16,18573953.65,18108795.16,17827397.66,9440709.45,7881237.96,6037158.67,52145494.00,36308132.17,33002815.63,27971917.90,53986389.95,50111363.06,49294729.75,44147090.15,48068747.93,39785519.09,29186713.97,28376499.10,5784188.94,5340900.04,4391071.71,3531421.23,32299164.62,30709764.62,34080218.44,0,21715697.82,15781098.82,1289167.60,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0.00,0,0,282.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,6400000.00,6400000.00,0,0,1558659.95,0,0,0,0,0,0,0,0,0,0,338350.00,0,0,0.0
32,固定资产及清理(合计),44823921.95,56955676.49,57374192.47,55092260.54,58870976.51,0,63368053.04,61346021.64,60789852.25,0,0,64176724.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,44823921.95,0,57374192.47,0,58870976.51,62176397.29,63368053.04,61346021.64,60789852.25,59832826.96,62275126.62,64176724.45,65508573.16,50636681.55,52207352.73,54157868.41,53675400.64,47007903.63,42778596.17,44152907.79,42681270.21,45586478.12,47964843.89,46615079.60,46502233.82,40307258.13,51017818.89,55390032.86,60829475.68,63489819.22,64845812.38,65860760.91,69253208.23,79768972.33,81267900.39,72905721.64,89339041.92,91249301.74,92347090.43,97970226.69,99519983.55,90738861.31,103158605.36,95279341.80,98433459.74,112156664.06,118682466.61,125588869.54,126225521.98,158608112.58,160137526.37,160925559.17,163313962.10,122557044.77,124010329.43,126152265.76,126789918.65,120465128.51,121219222.03,121022275.81,122274345.38,111876257.82,112396453.45,112676540.49,113145174.65,66165294.85,67164712.51,64047020.97,58024239.38,15322701.97,14703831.82,12700264.33,46823332.15,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7516.81,7916.81,-900.00,0,0,0,-2592.00,0,0,0,0,0,0,0,0,0,0,15781098.82,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,20278576.81,36197147.41,36873155.85,34693750.35,35181842.48,48923083.16,49426374.39,50516217.59,51501658.49,51693395.94,52691591.86,53688529.92,54686096.91,59506218.01,60217716.06,61740335.04,62611500.51,61437616.09,33917984.13,34251753.27,34585522.41,34573428.50,30139185.79,30315379.00,30447369.94,29544521.84,21042558.15,21178400.37,21314242.59,21417390.45,21553232.67,21689074.89,21824917.11,21928064.97,22063907.19,22199749.41,22335591.63,23936183.48,24079896.75,24158545.64,24375840.14,24651059.06,24990611.27,25330958.55,25669715.70,30443999.73,31232370.38,29848728.48,32845982.13,7698563.52,9217273.50,10735983.48,12254693.46,13773403.44,15292113.42,16735853.40,18329533.38,19623333.36,21131333.34,22638153.33,24147333.30,13813333.31,14748333.32,16323685.05,16618333.33,7530000.00,8415000.00,8555000.00,8555000.00,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983126.13,1448203.82,884707.70,0,3429417.51,2023138.67,282376.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,73945801.06,73945801.06,73945801.06,73945801.06,273801696.99,273801696.99,273801696.99,273801696.99,273801696.99,273801696.99,273801696.99,273801696.99,275160330.89,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22905462.09,22275947.69,22275947.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226651.66,1226651.66,1226651.66,1226651.66,4155702.46,4155702.46,4155702.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,511013.70,759329.04,2551203.60,3132956.15,3736312.90,4316233.66,4908429.97,6026190.88,5416006.50,3862221.49,2738796.99,2159160.89,1229344.45,1526819.13,1754349.81,1446671.70,1251574.62,1379120.48,140084.84,329182.67,195500.63,239481.17,0,0,0,190121.70,0.00,21241.65,42538.02,152265.46,261992.97,371720.48,481447.99,802077.53,707980.28,817698.79,920321.55,1336446.82,1210076.32,1271098.59,1061173.59,1238035.86,1238035.86,1414898.13,1414898.13,686764.12,686764.12,529111.00,0,0,0,5549326.27,5542326.27,4236889.79,3375677.37,4870309.20,4083843.18,7105209.79,3733897.03,0,1457872.06,431642.67,31553.78,36656.71,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,2185615.67,2637707.69,3671358.85,2656468.59,3062531.88,12604701.53,12604701.53,10685828.76,10404699.39,9224690.50,10027919.97,8924070.36,8791603.62,6254106.08,5448090.17,6420577.80,5042507.74,8055181.84,7651133.89,5317230.84,5228645.00,3350523.90,2854153.21,3041911.51,2711325.82,3575280.62,3395201.63,3377947.87,2941330.81,5045244.80,4694000.90,4433946.06,4088389.58,1873010.05,1788743.56,1921751.57,1921751.57,2485259.46,2485259.46,2495504.90,2495504.90,3512745.61,3512745.61,3660553.76,3660553.76,4548803.11,4113321.28,8435906.52,6566439.29,6527177.72,6520510.18,5655259.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-145125.91,-156405.91,-301531.82,-312811.82,9491858.64,6983717.23,6475575.82,5967434.41,5459293.00,4951151.59,4443010.18,3934868.77,3541269.87,2347670.97,5629113.15,0,0.0
45,非流动资产合计,259371926.29,513526674.97,509297725.44,560655687.05,423912435.02,701997023.65,781588208.76,948440374.00,1077143194.81,590349722.45,592763932.39,595539972.36,587724798.65,583192677.16,581026093.75,581943099.13,582914752.49,585058902.79,299651600.98,291146605.24,290465481.01,333897188.85,324230796.94,322010344.61,322680347.79,324469037.74,316913798.01,325410253.97,327575412.20,331497073.59,333535848.42,313022108.88,314689460.15,315539847.57,310433079.70,293579792.08,292750504.73,288543212.59,289839056.61,297460303.62,288190660.75,295312376.42,297118279.64,294918651.37,297946367.97,307938538.52,230595619.37,230584657.13,241949579.74,320964467.79,306762283.35,309307023.16,302238602.19,287308046.12,216630580.41,206200934.84,203515501.30,201265069.50,191964551.54,182635598.94,182400644.26,155271330.51,150854252.04,144297905.27,143665472.44,111742751.97,111538377.55,114625249.59,70829371.62,40912447.77,33521244.36,19618545.08,47072332.15,0.0
