,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,859586285.57,869586794.94,870248890.28,880100607.18,786987292.24,789395520.38,801229252.66,849619435.11,794052861.21,770157886.92,765420847.60,794079575.88,734047033.11,723573439.33,693718876.17,719809355.89,702926396.10,708393623.83,422835058.35,413706119.70,435568400.74,449772958.58,430365546.16,432212022.20,412028433.68,424897406.06,307159689.21,420761127.51,293983484.02,289477916.67,282607504.17,279163373.54,284851449.96,273887592.25,273306602.40,270578534.49,250885933.61,246472297.77,242459377.78,254111788.73,243465459.70,238380919.45,229319335.76,233599426.52,228040320.16,220948549.98,217289259.54,254722035.69,233441943.94,230342764.92,232855794.38,233401578.69,244563334.01,249494825.27,250098546.69,226712691.55,230047642.70,235871206.03,242080784.18,252155970.60,262062431.84,245850321.56,254563707.09,246052858.75,0,234984427.00,241774184.36,90687362.89,82554124.95,67708449.77,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,5180211.94,5355807.76,5447515.61,5585704.57,5529235.32,5843858.79,6449197.30,6433835.15,5969127.99,5954146.60,5827633.84,5844741.84,43607614.61,43522393.65,43227194.15,42433731.22,40065345.08,38359507.45,36984427.80,36384119.43,34528344.50,33558010.67,31627806.62,30680192.67,45703471.82,27217002.21,26588648.88,25890005.86,24893523.21,24507033.91,24179753.30,23800250.79,23070044.46,22853528.55,22799677.39,22824271.29,22768578.05,22801119.66,22475139.27,22295018.01,22427489.07,22491571.45,22433421.81,22164121.07,21745360.43,19415988.75,19588400.43,19630850.41,26979006.82,27003638.61,26752173.93,27117964.26,27465042.45,27540959.98,27735282.80,27735282.80,28000000.00,28000000.00,17000000.00,17000000.00,16756451.93,16759341.08,4732892.76,5000000.00,0,450000.00,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),457958180.18,390231957.49,309820498.06,286615212.85,175899956.25,130364623.20,125426128.31,70927369.21,0,37475585.05,0,18325714.59,0,6849661.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,390231957.49,0,286615212.85,175899956.25,130364623.20,125426128.31,70927369.21,49291959.49,37475585.05,21140501.08,18325714.59,14133295.08,6849661.32,6008430.34,2091159.94,14812228.25,7234359.09,4020869.15,2773870.51,31888681.10,27236275.90,24491607.30,18841912.70,60843122.47,54196447.79,17662181.34,32523488.40,17187598.11,13608403.83,11509445.31,11138413.73,4772916.41,1126767.73,433956.34,256348.55,5383887.11,2380773.66,0,0,2468854.67,1465081.57,1006411.05,0,3106427.40,2491155.35,2538956.58,0,29907637.29,25733247.32,25390932.57,22031234.12,27462189.83,18223618.75,12486794.47,10366035.74,6453644.00,3867725.55,1875186.26,169026.85,7544191.39,5775710.25,5209889.34,4779243.99,0,6259085.25,5665923.68,4996836.23,6534219.78,6878637.85,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),139322671.92,143160366.73,145368686.36,149185579.33,148536034.01,153107742.85,155105214.90,160148023.48,0,166437654.72,0,178259744.08,0,176453526.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,143160366.73,0,149185579.33,148536034.01,153107742.85,155105214.90,160148023.48,161690608.39,166437654.72,173064133.30,178259744.08,171870088.94,176453526.13,179480162.84,183956139.59,172835293.09,174033127.39,175035043.46,181367489.13,146933942.84,150966091.63,153180392.20,156706466.27,109804199.98,109904348.31,88232831.50,114500965.99,88448697.09,89576932.00,91661661.79,93894983.22,89944077.20,91858439.52,93087501.71,94668458.40,88452761.58,90178057.25,91374784.53,92404603.80,83119329.75,84977412.17,85818382.34,87383218.83,85413655.04,86529960.18,86314701.46,76244680.68,45996620.72,46385220.34,47236897.37,48160424.86,32521359.01,33030202.90,33952414.08,34479778.24,33647847.39,34101075.89,34933467.86,35614058.44,27688508.64,28200266.42,28506225.08,29187676.68,0,20685444.39,21017733.48,21500045.86,16487857.99,18410822.20,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90187.68,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,37129351.36,37621880.53,38114409.70,38606938.87,39011826.10,39504355.27,39692858.11,40185387.28,40177079.28,41691134.94,42215835.73,42676193.29,8150795.99,8454854.99,8758913.99,9052542.99,9040201.48,4629392.40,4422964.27,5165578.17,5499057.94,5788406.56,6107175.94,6411234.94,5371745.67,5675804.67,5979863.67,6283922.67,6589096.67,6892040.67,7196099.67,7500158.67,8088124.19,8678433.18,9263325.50,9875301.17,10247735.26,10859710.93,11471686.60,12083662.27,12462396.50,13068072.17,13680047.84,14292023.51,14765814.07,15377789.74,15989765.41,4135282.08,9524864.34,9826481.01,10182466.61,5127407.28,5202082.47,5503699.14,5811615.81,6119532.48,6187907.67,6495824.34,6803741.01,7111657.68,7180032.87,7487949.54,7795866.21,8189497.17,0,8480074.79,8787991.46,9095908.13,10088033.38,10669700.02,0.0
40,开发支出,14347102.78,12746037.19,11536478.51,10921693.74,8721456.55,7881322.02,6535170.83,6046590.15,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,12434758.57,12175649.39,11240629.74,12417495.72,5522534.12,5974122.62,9466544.39,9378661.16,5575339.93,5474613.42,5339443.25,5332736.76,6327772.65,6235213.82,5644791.37,6032110.83,4649639.97,4664461.97,4645561.04,4688913.58,4242106.89,7177518.99,4001697.03,4623584.25,4337173.29,3591821.59,2952215.68,4258897.00,3275268.88,3192916.20,3138966.53,3024883.84,3034257.30,3112658.37,3036568.57,2877302.00,2591815.11,2547860.38,2488021.70,2467032.18,2268056.64,2242563.82,2183691.99,2225071.96,3261425.11,3120893.38,2923976.02,2923976.02,3016608.65,3016608.65,3223327.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,其他非流动资产,32830312.55,31060814.67,38932560.27,36601717.57,42656415.02,34724016.63,36304791.11,21737772.64,22152642.54,22152642.54,21160754.54,21765245.54,55663834.50,55663834.50,55663834.50,37161601.40,14872789.90,14872789.90,14872789.90,14872789.90,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,699202589.30,632352513.76,560460778.25,539934342.65,425877457.37,377400041.38,378979904.95,314857639.07,284856757.62,279185777.27,268748301.74,272204376.10,299753401.77,297179484.41,298783327.19,280727285.97,256275497.77,243793638.20,239981655.62,245252760.72,223092133.27,224726303.75,219408679.09,217263390.83,226059713.23,200585424.57,141415741.07,183457279.92,140394183.96,137777326.61,137685926.60,139358690.25,128909419.56,127629827.35,128621029.51,130501681.41,129444777.11,128767521.88,127809632.10,129250316.26,122746126.63,124244701.18,125121955.03,126064435.37,128292682.05,126935787.40,127355799.90,102934789.19,115424737.82,111965195.93,112785798.12,102437030.52,92650673.76,84298480.77,79986107.16,78700629.26,74289399.06,72464625.78,60702582.81,59894742.97,59169184.83,58223267.29,46244873.39,47156417.84,0,35874604.43,35471648.62,35592790.22,33110111.15,35959160.07,0.0
46,资产总计,1558788874.87,1501939308.70,1430709668.53,1420034949.83,1212864749.61,1166795561.76,1180209157.61,1164477074.18,1078909618.83,1049343664.19,1034169149.34,1066283951.98,1033800434.88,1020752923.74,992502203.36,1000536641.86,959201893.87,952187262.03,662816713.97,658958880.42,658660534.01,674499262.33,649774225.25,649475413.03,638088146.91,625482830.63,448575430.28,604218407.43,434377667.98,427255243.28,420293430.77,418522063.79,413760869.52,401517419.60,401927631.91,401080215.90,380330710.72,375239819.65,370269009.88,383362104.99,366211586.33,362625620.63,354441290.79,359663861.89,356333002.21,347884337.38,344645059.44,357656824.88,348866681.76,342307960.85,345641592.50,335838609.21,337214007.77,333793306.04,330084653.85,305413320.81,304337041.76,308335831.81,302783366.99,312050713.57,321231616.67,304073588.85,300808580.48,293209276.59,270032423.55,270859031.43,277245832.98,126280153.11,115664236.10,103667609.84,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,199000000.00,193900000.00,146900000.00,106000000.00,96000000.00,94000000.00,79500000.00,86500000.00,85500000.00,88500000.00,92500000.00,95500000.00,95500000.00,95500000.00,95500000.00,95500000.00,95500000.00,105500000.00,138500000.00,108500000.00,138500000.00,143500000.00,141500000.00,142000000.00,109000000.00,110000000.00,40000000.00,100000000.00,40000000.00,39000000.00,39000000.00,39000000.00,39000000.00,36000000.00,39000000.00,38000000.00,28000000.00,37000000.00,37000000.00,37000000.00,37000000.00,35000000.00,34200000.00,34200000.00,34200000.00,29200000.00,2500000.00,2500000.00,2500000.00,2500000.00,10500000.00,3000000.00,35000000.00,35000000.00,35000000.00,14000000.00,13000000.00,13000000.00,9000000.00,18000000.00,17000000.00,9000000.00,16000000.00,11000000.00,0,12640000.00,23700000.00,23700000.00,24700000.00,26300000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,152689550.77,128956654.56,139082198.57,159464320.11,67605730.07,54969537.59,77533957.99,72345999.72,0,41440466.31,0,64755855.05,0,58065909.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,82046738.95,51395387.30,0,54028554.45,0,29492533.00,53429533.00,30820000.00,24000000.00,7000000.00,9751752.00,13501752.00,4860876.00,1110876.00,0.00,0,0,0,0,0.00,0,5000000.00,5000000.00,0.00,20750000.00,27750000.00,0,38000000.00,1200000.00,1200000.00,0,1200000.00,1200000.00,2400000.00,0,4000000.00,4000000.00,0,4000000.00,4000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000.00,0.0
