,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,12575959.78,26200799.71,31591549.40,27463267.79,136892277.02,8735799.60,20990429.09,16072988.91,104315271.84,135115695.49,134077208.70,322703557.30,353194174.85,453066753.30,180598553.01,320514824.51,390128480.73,390209179.73,190447970.54,0,0,0,0.00,0,448888.90,217418.81,0.00,0,0.00,0.00,354702.90,0.00,93750.00,413798.22,131071.74,0,0,0,0,0,0,0,0,0,2832488.47,0,0,0,0,0,960701.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,4016684457.10,5074307224.25,4564090428.15,4186661265.22,4715991052.89,4670662554.36,4086251179.79,3674138920.38,3550126195.01,3414606381.33,3240430663.71,2807735962.81,2877802319.91,2859943616.99,2787046287.49,2362387891.69,2364667155.25,2447779477.03,2586279196.59,1506545585.20,1836336310.02,1618335300.54,1626758518.13,1445494024.60,1930971972.89,1673465941.25,1755587553.57,1562530914.31,2082720353.93,1622939867.74,1621368164.43,1524647060.69,1652953034.50,1718037127.90,1122161412.77,1005571946.75,1074610634.48,1146830370.55,1156738151.19,875017000.15,929557884.73,910435429.26,880884758.71,809569007.27,913287932.18,864152506.09,808509802.77,799802432.44,839693357.39,925641081.45,862410384.45,757733628.61,827354725.85,792374196.25,709208031.40,601589522.74,646815984.86,664186832.78,593497606.43,505964336.38,563510040.92,634246352.13,725057407.35,644084309.32,434116421.95,411616960.26,417006156.66,414872665.95,436451416.74,459394642.43,474747802.86,449771607.37,517689009.48,276270192.26,281944421.00,204031684.00,332197604.00,322128803.33,160368828.48,145445427.39,110997491.97,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,5044634.97,5044634.97,2100001.00,2100001.00,2100001.00,2100001.00,100001.00,100001.00,100001.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,13800000.00,13800000.00,13800000.00,13800000.00,13800000.00,17800000.00,17800000.00,17800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,55680060.87,12570680.69,16005728.97,13927873.66,18238053.42,37000690.23,16672360.57,14308129.51,14816525.94,29746715.22,28926779.78,28598516.19,24675072.26,28170597.10,28619055.63,14082419.83,15977194.56,37052767.47,47653522.23,43325673.68,40133156.44,58452965.84,55284654.74,51964526.57,59175864.97,53297754.22,47802904.15,54906212.57,51960016.95,49084751.57,45613954.74,42547048.46,51269302.70,48889719.07,45680326.79,42482551.40,30634305.57,26948593.65,18453510.00,18322378.86,17995421.84,17834909.71,17978496.76,18249189.54,18074857.32,18378286.03,18183773.06,17994454.39,31646402.61,32532184.88,32131316.19,80992252.03,112810010.11,113349738.99,71822195.63,71955435.08,71900830.19,72232272.89,71799681.77,72121436.87,73315432.78,71976382.32,71311016.96,66578299.42,66235914.65,63930502.90,64096148.98,64096148.98,52000000.00,52000000.00,45000000.00,45000000.00,45000000.00,5200000.00,10000000.00,0,0,0,0,0,0,0.0
28,投资性房地产,184614736.64,184679725.76,186329102.90,187978480.04,180653013.76,165939394.79,167657518.97,171625420.31,2906571.22,2927476.45,2948381.68,3008370.40,3068360.21,3128350.02,3188338.74,3248327.46,10660657.31,10908038.31,16698249.61,16867924.87,17046072.55,17207275.38,17376953.91,17546631.35,17716308.79,17885985.13,18081716.05,18259059.55,18395014.16,18565138.55,18735262.93,18905387.32,19035314.28,19201956.37,19371569.57,19541182.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
