,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19910630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134243.22,698205.83,0,112753.67,0,0,0,0,0,0,0,19967.39,0,0,0.0
20,其他流动资产,28074168302.15,25367659509.35,24383289712.92,23194875906.12,23855894848.93,21610161374.43,18212825062.84,17491985204.73,16966365241.81,14763187191.65,12375165596.13,11999504213.67,12443155661.53,10191427105.33,7680253437.01,9337610427.75,8617453708.54,8182698500.81,79739881.20,38577107.61,2044291.54,3122857.32,3045815.67,2930298.19,8992491.68,6370616.52,3869451.23,3559869.19,3375676.26,2737501.12,3479056.41,3790110.38,2456491.79,3191350.34,4135127.37,4561838.99,1797231.58,3166498.75,7776692.60,7163624.84,2991552.82,2535823.39,1853822.80,2252117.03,3859535.41,2087224.16,2792973.38,3023030.53,0,0,0,10831613.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,916717607659.97,887819711778.46,967905067879.69,927462977052.62,858057876719.75,814687162213.45,781984177758.53,763187080798.32,699794806898.38,677203118035.80,693540100007.15,670776621757.76,611661125488.39,564304574405.90,581630882933.73,542337212929.31,511358102808.72,481551522479.38,6359922297.06,6297175446.88,4300412916.44,4460188467.90,4767166861.58,4812463712.85,4369776142.33,4479383488.28,4220474937.75,4280704751.63,3904740351.11,3988580695.92,3595611555.09,3825613268.66,3699690954.05,3634527257.85,3385528786.15,3254048596.66,3006695721.52,2951762382.89,2843242957.30,2566632775.11,2006548210.17,2131132387.87,2112908670.94,1921889169.76,2224844258.97,2412633974.25,1876927672.34,1834271800.10,2521808865.97,1968586540.43,2118011837.81,2083902830.88,2008061093.00,1963121286.02,2044851266.70,2214947477.50,2205543646.97,2037235679.08,2272408516.73,2467809868.27,2305033448.86,2248092349.30,1933274651.09,1977304971.29,1740390442.21,1689748624.95,1810159928.36,1872677531.28,1826158455.66,1765423511.13,1260164705.15,1284371927.94,1092030778.71,932079424.79,759074081.53,654759887.74,478804922.34,466317948.58,216997951.08,290487180.78,275299490.47,268883572.34,296955983.93,321317806.00,297969510.97,250662250.00,239219375.88,194087763.80,136754562.85,138185722.81,173831223.71,129108643.16,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,361289930.75,653423458.07,331935834.17,436586413.85,685434435.07,715606285.94,437412628.03,348868471.25,238944770.37,237148768.27,280905202.95,271087492.00,336489778.77,284026478.96,231986613.71,227018069.25,100900994.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,8449890573.64,8251922973.32,8230037216.15,7684863686.73,7869083871.61,9162602950.17,9098817449.50,7220952332.45,6767541595.65,5254252676.93,4710286301.81,5943530147.88,5496348686.86,6689355413.81,5067334319.04,306887948.99,319528645.05,372374288.85,299855516.54,259146831.13,451992564.08,451516236.58,444038848.72,444845493.20,452322881.06,405534227.32,415757134.28,438448899.22,433950511.36,183950511.36,206795014.80,212394157.80,204555357.60,216500196.00,224338996.20,268758864.00,303489780.00,270381804.00,292453788.00,216426084.00,159542712.00,201279624.00,251767824.00,336251412.00,525750456.00,67330128.00,67330128.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,6316553146.06,2358205661.65,961537161.95,507606209.14,693364806.67,475566747.00,1032271658.00,482271658.00,138070000.00,188070000.00,150070000.00,150070000.00,471972346.00,513760953.32,426509322.62,427398406.58,2573968726.08,1405591000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000.00,150000000.00,150000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.00,2000.00,2000.00,2000.00,132000.00,132000.00,132000.00,132000.00,132000.00,132000.00,132000.00,130000.00,130000.00,130000.00,2200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,4618858586.97,4721248364.13,4349953836.68,4120507292.67,1973268410.67,1508951218.74,1768692971.13,1401200286.43,567605560.43,197832058.65,467147479.06,807934518.68,359041884.00,317719099.85,645216651.33,493444218.54,512819523.44,496380262.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,21942686405.57,20920010835.94,20007409460.75,18624317817.34,17779693693.42,16510985007.59,15977525016.61,16145346296.41,12910084867.11,8505323322.82,8082951523.45,8012144461.92,7734947192.44,7158515737.13,7676176534.86,7212911376.70,6823501748.62,5609981677.71,777931856.90,779338276.11,791707203.89,812990191.20,808607609.98,839528094.33,833912044.92,830635297.16,826238989.35,789669932.07,904566050.51,911033429.45,875059848.80,858347436.71,739486860.83,695294999.26,683982120.16,476302143.15,467042951.79,458435384.61,444006234.81,432980375.76,391138081.59,346965676.06,352010775.03,344717436.77,333459448.32,330232477.28,333443908.52,288603613.61,269107748.44,264192159.16,384558089.53,418389389.92,480201643.15,467698753.18,482236838.24,463898337.21,403772749.31,402917579.68,400044059.87,281058251.90,280018160.14,293412851.29,263961150.32,266542651.67,320650584.69,280325121.96,268915887.48,258220881.41,97121406.21,90188823.72,91158324.02,86387937.32,67463466.32,61128722.41,71408048.91,51485958.28,65443819.05,51971398.82,45807062.68,50515952.25,67004469.96,64121015.76,59399103.65,60779103.65,60661999.90,108256300.00,118142166.50,118183574.34,124305074.41,119619667.38,37837744.90,19232633.46,0.0
28,投资性房地产,18458019483.55,16846856692.37,22085421984.38,22283775138.27,26849890785.89,26715944541.72,26118874517.70,25763333259.13,20941969357.72,21822239041.76,22580933542.05,22678761902.48,18388679164.05,17961816755.49,17663216086.57,17760149048.17,17090569291.80,16855123628.03,19556190.71,19648227.23,19738730.42,19832300.27,20212900.12,20306469.97,20584709.32,20679250.15,20805795.22,20900484.49,52049381.74,54789256.89,62458619.10,63369783.44,63895716.05,88200175.45,84743953.49,89193392.00,140135604.44,139382045.19,140082049.30,140807951.09,160959666.20,162038211.37,163090467.01,164169620.31,81030514.10,81672943.34,82315372.58,82957801.82,83627451.69,84332769.24,85493952.89,85618376.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
