,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11456.88,0,0,0,0.0
20,其他流动资产,34690654.39,40175153.54,34026460.99,35810518.11,25843275.44,18731890.00,19947972.26,2565785.04,1741822.45,774711.94,507684.88,1962803.71,1192888.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489282.89,2959739.63,4718254.36,0,0,0,0,0,0,0,159351.85,1698334.69,1698334.69,1698334.69,1698334.69,0,0,0,0,0,0,0,180000.00,180000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,264419625.59,225350475.14,260533869.02,242685218.44,271318171.86,349905494.12,341040327.13,440089122.68,423742788.63,447692238.48,453914410.23,414990719.22,417669366.93,409621433.38,384838309.56,385757193.59,374435063.16,411832615.55,458030088.43,358273206.09,370049653.78,385545713.64,363776846.68,327632370.55,320820041.22,920362601.34,1045111444.90,1095331612.41,1187180758.60,1256704569.34,1444788534.81,1580349960.57,1613710372.61,1781693700.23,1943812202.77,2029646422.12,1833434924.24,1765357860.92,1619920421.12,2104473620.61,1702532912.72,2001744198.50,1989519020.13,1790143359.12,1497084623.50,1658898458.29,1715434860.18,1461948633.43,1311194658.89,861602882.92,799812711.29,894348347.53,1092582242.86,824246796.71,772067755.90,920354264.96,887303904.28,948584001.11,877248676.20,900015539.48,883348343.95,906902596.22,807376633.05,742571434.13,747674684.94,689890119.72,655204965.79,828772964.24,741836342.45,760360738.50,759576582.04,762564565.72,646180467.28,646086691.52,567666940.33,574132074.13,520349710.86,557717369.54,499292224.95,426692259.29,260014846.52,344217703.25,358229313.55,340558217.35,235963802.65,538434335.56,397793765.69,377567464.15,271346695.46,0,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,1329916.56,17751586.72,17751586.72,20200081.44,18800941.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20950950.00,27982950.00,20750200.00,84910340.00,92976526.80,93553488.00,95072057.60,97691992.53,102452361.30,101266127.00,107193256.34,115028917.37,132964311.57,156222016.44,149735493.84,148439802.04,106871994.01,55531745.01,14780662.67,14407913.67,5430000.00,5215000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,518251.64,19547067.54,18895519.11,18105390.08,17521813.78,16762553.73,16398400.57,16207710.94,16833248.10,17700444.23,19103059.99,20130538.57,21577242.27,22690726.95,22561004.73,23592543.19,26955057.55,27428308.78,27663993.28,31953092.04,31728420.74,31548949.66,47222877.46,47218200.01,52273690.00,46378759.61,78486477.87,79291760.88,79328709.52,78974169.69,79193326.46,78851649.18,87689391.62,78024628.45,69077696.47,69653085.65,65574214.28,66352039.74,66112967.78,66701488.96,67180126.31,66954841.14,68212994.58,67646605.14,68443325.68,67328100.89,118681360.98,96281071.98,94571567.00,266778071.17,213768593.19,14000000.00,14000000.00,14000000.00,14000000.00,9806000.00,16838000.00,17370464.00,20623700.00,25115300.00,29639560.00,29639560.00,28807470.00,29910358.00,31258900.00,31258900.00,28715000.00,31749000.00,31749000.00,31749000.00,34300000.00,34300000.00,30000000.00,30000000.00,30000000.00,30000000.00,30000000.00,30016900.00,20015825.00,13000.00,2314875.00,2994375.00,3725625.00,1725625.00,0,201875.00,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
