,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
27,长期股权投资,42405469.53,39581211.38,39931211.38,43476389.57,43476389.57,40071488.65,40071488.65,39020785.70,39020785.70,36950084.91,38791474.91,38496737.14,38496737.14,36630708.78,36630708.78,40315468.29,40315468.29,40879740.44,40431109.44,39427535.88,39427535.88,37991072.68,216164399.68,225004359.36,235004359.36,233497629.55,223401605.55,173170256.45,173170256.45,171888234.00,121888234.00,125122392.97,125122392.97,244002596.71,212070885.31,210125182.90,211037727.46,290367389.17,190367389.17,170836559.41,170836559.41,175296500.12,163978556.59,163978556.59,163978556.59,131043891.00,119793891.00,119793891.00,59500000.00,59500000.00,59500000.00,36131628.07,36131628.07,36307542.80,36220884.10,34690996.66,34697221.85,38232824.44,37723902.24,39001797.43,39182247.63,37188472.82,37194698.02,8137173.21,7383023.41,7396375.00,7396375.00,7396375.00,7396375.00,14980000.00,14980000.00,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),80622939.42,186765516.84,318561256.06,480323259.74,572922011.21,380094703.51,223843124.16,114350441.69,357319221.03,0,164357812.56,0,57761351.97,0,65776754.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,80622939.42,0,318561256.06,0,572922011.21,380094703.51,223843124.16,114350441.69,357319221.03,242541905.52,164357812.56,92611176.89,57761351.97,61788065.80,65776754.69,93165826.11,119278688.37,107845799.76,109130291.49,196864904.56,169629015.68,231099039.37,300612970.17,239577444.21,133244340.10,320130987.75,284007113.11,267259711.22,273306361.56,361652405.43,433683073.59,416520848.27,345688481.08,669184795.26,746569416.91,538017519.78,751226865.43,573577113.89,400955685.09,360872211.55,199523518.49,351951982.27,337424191.85,410923981.94,334500560.93,572966130.33,431950460.73,306449996.12,236469509.19,330914692.58,322709623.76,378158023.68,186575426.09,131294255.12,104340621.13,52634086.41,31907774.46,39546453.27,38192897.27,26895869.37,30420982.10,26897009.40,27454024.75,18060121.74,17915221.68,39113419.16,24194896.84,7547968.92,4916367.98,11659571.38,8341354.56,1094430.45,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8447470.96,0,25128646.64,0,1530500.68,0,21472094.14,7883820.78,7399142.57,9019497.00,3221170.75,3077129.95,5930980.09,8611195.44,11006996.96,7250886.16,8151062.20,14856792.75,7605806.00,4354820.00,3246960.00,637165.00,791235.10,1162235.10,991055.09,1030373.61,388373.61,635500.00,1593650.00,1503150.00,0,0,0,0,0,0,37818.61,0.0
32,固定资产及清理(合计),2952314288.44,2884631783.78,2755626619.08,2568347024.69,2403607556.12,2317060314.21,2378999042.21,2424191795.33,2073496687.39,0,2185923510.83,0,2357272625.90,0,2521811821.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,2952314288.44,0,2755626619.08,0,2403607556.12,2317060314.21,2378999042.21,2424191795.33,2073496687.39,2124071974.90,2185923510.83,2273936225.63,2357272625.90,2441879030.87,2521811821.06,2578139990.69,2623877459.40,2701278431.50,2769074034.24,2764442344.90,2880400197.21,2917060432.73,2888760780.10,3011761855.73,3114512995.22,3104268672.48,3231541758.36,3362532745.22,3460789739.89,3574154312.13,3546777441.36,3609225628.15,3745102508.97,3247542615.69,2963757014.62,3014167205.15,2530779724.51,2530437864.92,2649444064.41,2738708627.73,2858996567.19,2700718325.30,2770806945.32,2766311548.09,2878075880.55,2333707903.57,2432294305.24,2532240694.78,2630040983.15,2516425438.98,2523321579.37,2416828308.82,2510310503.22,252635469.22,248487288.86,252436358.69,258757798.78,217711780.99,220618028.60,226294865.17,223987592.11,214936933.55,138135513.63,132435590.91,130471049.36,76301235.50,74204026.64,77605648.90,70880845.95,62727142.78,54633090.87,59150913.20,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904.34,0,0,0,1874.34,1666.02,1357.06,0,1419.59,1669.59,321.59,0,9116416.14,0,0,0,80971.94,79478.84,76447.38,76447.38,131719.70,112777.08,46575.30,3557.40,78275.94,0,0,0,0,0,0,0,0,0,0,0,27240.60,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,1038340568.57,1049775720.78,1061046652.02,1072313261.68,1083402234.43,1091223390.51,1089474961.45,1087544231.92,1096998427.25,1141891198.51,1145857629.55,1158388151.16,1170922672.89,1207653200.38,1204369451.40,1214318141.31,1229571651.95,1304305952.23,1318944610.18,1334487585.37,1350618580.56,1383503343.31,1399816224.59,1420102444.94,1383673498.01,1710627209.57,1422406939.64,1439094391.03,1450781842.42,1472558126.94,1334050988.02,1344051278.44,1352151899.22,1363077029.51,1367682249.70,1370192373.64,597182068.10,399402729.49,344848044.67,339098839.97,336178247.79,304633384.84,303477350.81,305327520.95,307177691.09,309027861.24,310878031.37,312728201.51,314578371.65,316428541.79,318577692.41,320278372.31,321979052.21,47394638.19,47710397.97,48026094.04,48341917.54,26116057.10,26300663.66,26485270.22,26669876.78,24419114.35,20748731.11,20878447.87,21008164.63,16139881.39,16227598.15,16403031.67,16578465.19,16753898.71,17104765.74,17455632.73,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,105000.00,60000.00,60000.00,0,0,0,0,143400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,747023.41,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,11258767.58,747023.41,747023.41,747023.41,747023.41,747023.41,2283136.05,2283136.05,2283136.05,2283136.05,2283136.05,2210968.02,2283136.05,2131628.07,2131628.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,132471648.88,147679959.07,158642129.81,170637018.44,182510039.77,196394578.70,210425178.64,224936163.32,239780035.26,255523861.06,271542359.85,287016040.98,297077260.63,301345731.86,314326939.95,328918502.33,343262020.05,355319624.42,369322464.02,372151291.93,386213796.49,331340053.67,344000394.77,355404921.40,367101423.22,167915129.19,163917826.34,140513207.77,146327872.40,68154642.45,58685503.53,61295510.44,61194888.81,22871417.79,21271067.56,21458575.48,8046363.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439710.15,0,0.0
43,递延所得税资产,121951331.00,230904110.49,237149538.45,206652829.22,187507046.34,195001849.18,160879897.16,141258521.46,126339009.18,165307255.13,163149970.62,159538740.17,157506655.63,139840102.11,138701106.18,125792328.68,125590159.17,67537218.36,68439103.33,76822629.64,76163894.79,41235505.55,42263271.94,41323979.75,41198900.19,37621575.75,39762557.59,39432059.29,39703927.59,32218713.41,32491036.08,35177977.09,31878701.82,16200477.42,22368927.46,18380358.31,8838487.42,22764437.80,22400020.91,6306926.42,4886988.66,20111238.55,2806244.32,5166417.33,4389252.85,2169180.11,2169180.11,1460921.60,1460921.60,3609262.00,3609262.00,3340982.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,其他非流动资产,15787177.00,3386916.15,3386916.15,3386916.15,3386916.15,3386916.15,3386916.15,11826833.15,11826833.15,3751632.15,3751632.15,3751632.15,3774242.15,2841966.15,2841966.15,2841966.15,2878617.15,0,0,0,0,0,0,0,0,769854.23,769854.23,0,0,10410.94,0,0,0,0,0,0,0,2483786.67,2559106.68,2450000.01,2520000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,4496595939.52,4849437111.44,4896573163.06,4865301533.08,4590739321.56,4340643734.83,4234138851.84,4172378796.81,4074031023.20,4101264453.05,4112820109.42,4171149198.02,4240222040.21,4351737636.44,4451653977.92,4550687453.27,4651969294.09,4744361996.42,4842641842.41,4951496521.99,5069753250.32,5109529677.02,5192470064.66,5294027028.80,5275587539.51,5586198730.44,5377171422.40,5433366138.56,5555443767.89,5692002487.22,5538941710.18,5602713760.00,5672457640.45,5574139119.55,5344979998.73,5192047775.39,4118370003.78,3854168808.13,3611321334.34,3620550689.18,3573688904.95,3575011520.57,3588739724.56,3661466750.90,3720501022.44,3354550992.75,3302558911.53,3280862228.42,3252947674.48,3240094836.32,3237100671.78,3162888377.79,3069853402.34,475237711.33,441114012.06,391034495.80,374341877.63,322398350.90,323997726.87,319668857.28,321291072.23,303857144.33,224168467.51,181104983.73,178280609.08,138950911.05,122022896.63,108953024.49,99772054.12,106120612.87,95498921.32,77738794.99,0.0
