,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,22135069.71,18461971.58,521654.37,2506022.25,3107071.23,230490.20,99886241.64,100337187.44,614444.92,752757.00,4459450.95,2905656.54,1121690.45,1208743.77,2754394.62,2014687.12,37698655.96,37837213.90,30664886.00,21597472.51,23168358.92,19726150.66,19739528.16,8707269.11,7849007.58,23875601.63,4169175.57,9234751.10,0,0,25000000.00,30137086.98,5000000.00,0,0,137086.98,0,0,0,40000000.00,44273.70,88547.43,132821.16,177094.89,431832.47,261392.25,195744.82,260993.08,1363839.50,880489.63,1041220.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,357093519.41,324762468.30,368379444.45,291263086.88,223823952.68,200754945.13,209054099.75,214345296.49,179765323.05,122813652.20,123917885.12,107491036.61,128814714.28,125197849.14,77101842.69,81725675.01,1022670783.58,984396899.08,941432312.83,819017986.90,860311811.34,791417095.63,754182442.18,667989301.31,611836723.53,592925450.64,528609189.09,529323737.19,524353688.23,510473891.66,501816827.94,485140490.71,485138380.65,480637811.03,715393579.95,771039553.26,738857229.93,590807022.28,573455378.10,512648752.63,511693797.46,347649475.37,343099338.51,333312456.59,320857450.99,306736713.15,219308747.39,282268127.43,302395761.38,245885542.05,213045918.82,185852742.21,174873538.26,164901479.64,153058998.99,144858994.97,210103904.81,209653011.33,197730443.24,166943351.74,177179944.39,176550510.52,134732807.34,142943333.95,0,154787228.99,152797588.25,17044607.59,27461877.66,73229979.62,80569634.59,72372254.97,81788194.25,84910432.00,104212522.29,88897098.95,78446220.33,106376037.17,79456906.44,176351422.48,14985601.59,38810804.00,40325973.00,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,54645731.18,49357749.01,29485105.23,19535105.23,15000000.00,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,117900000.00,118800000.00,118943663.39,136457049.21,136457049.21,136275005.05,136275005.05,135342972.56,135342972.56,135628051.00,156966800.00,117900000.00,117900000.00,63900000.00,63900000.00,63900000.00,63900000.00,63900000.00,63900000.00,63900000.00,63900000.00,63900000.00,64461600.00,64461600.00,69998940.04,70226665.70,70398852.74,70571039.78,70743226.82,6525792.35,6879699.41,6672006.46,7025913.51,6461067.86,6967867.41,1760251.32,1754388.97,0,2319499.81,2317217.47,4143041.67,5591472.90,5750605.31,5622167.76,5800178.04,7000000.00,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,427776547.51,431407901.53,441060578.07,74558827.28,75758244.99,76791037.80,77823830.61,78686782.40,79799905.83,80848560.86,81880549.64,82912538.42,78289758.54,79284734.85,80279711.16,81274687.47,83357062.41,84415165.89,85473269.37,86531372.85,87589476.33,88647579.81,89705683.29,90763786.77,91825194.14,92886595.94,93947997.74,95009399.54,96080475.19,97182892.45,98285309.71,99403313.05,100887334.10,101986097.15,102703903.19,103799674.04,104922721.00,174192692.59,175665828.67,177112572.67,178585708.75,180045648.79,181505588.83,182965528.87,215771475.42,217395927.15,219020378.88,220644830.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
