,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
33,固定资产净额,4252191998.69,0,4394098692.44,0,4090453724.70,3375458305.43,3180671348.50,2816350186.20,2834367303.35,2923313526.65,2129424518.44,1768091573.81,1638930790.00,1333050945.86,1032247886.85,384052325.27,406238372.88,260256944.19,265152525.93,272434996.75,263815101.28,171789507.93,172898197.04,167632917.17,169801202.60,171401700.00,169681591.46,154600200.84,151574179.71,141980577.44,109904208.49,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,135051682.53,158121837.33,145040138.75,145578327.92,145352677.37,146553692.70,146300089.04,150497823.13,151700465.95,99462666.01,96790103.21,54169419.21,54720019.01,53998700.12,54533466.91,55068233.69,55603000.48,56190050.28,55478102.78,55957038.48,56316059.66,56129698.01,56224152.88,65768172.80,66245836.36,56480700.00,56351989.39,57162459.58,58783399.94,51487321.67,52614701.34,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,4628751.31,3806622.74,2723603.90,309433.95,1552733.35,1552733.35,1552733.35,1552733.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,20169514.74,17248237.89,16790872.98,16790872.98,16790872.98,47148925.20,29859901.81,16790872.98,16790872.98,3380054.75,3380054.75,3380054.75,3380054.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,21938389.01,23089746.00,23829121.02,23591471.99,21694176.60,21693921.08,18757733.24,10972887.73,10038733.29,24103091.44,23894898.60,8856590.75,8843339.59,4872122.56,5209561.27,2470281.92,2654485.97,2838690.02,2260394.07,1498522.09,1333014.59,1186763.34,1264073.34,1341383.34,1418693.34,0,0,0,0,0,0,0.0
43,递延所得税资产,46540502.22,45498379.98,40091135.71,41073953.56,34244821.08,29845897.18,27866038.59,25171984.96,24959866.10,27085204.16,21884771.26,23331586.48,22972528.67,20115089.32,16535613.80,14437173.88,16559748.48,14345811.64,16058500.46,14500854.45,14151085.66,8360933.99,8682746.97,8474821.75,7900889.46,6575600.00,4944470.96,5143488.69,1203209.90,841356.99,1350364.04,0.0
44,其他非流动资产,418673595.47,408684302.13,456883075.26,332816632.31,321228617.20,280569070.57,214558483.25,89953871.10,99401705.04,95563991.22,75195232.34,122978261.35,98269203.10,47455639.24,47827220.96,52841769.52,18575602.83,119378830.77,11426213.62,5354476.33,8112605.69,2072494.19,1749551.78,11558387.88,2723262.59,0,0,0,0,0,0,0.0
45,非流动资产合计,6122544592.10,6444536631.72,6654000293.30,6302829127.76,5960779302.86,4502924491.41,4252700265.46,4464393440.59,4478150200.28,3870209877.22,3634535252.92,2626222611.23,2242859471.29,1826030768.73,1720911248.79,1443423132.52,1175271644.37,600221897.21,407206865.51,399281052.60,379343251.52,366403250.60,318126735.19,329828517.25,314780294.58,262580000.00,247211345.80,220517494.66,211560789.55,194309256.10,188004219.22,0.0
46,资产总计,12676958009.60,13157644416.63,12734799647.32,12336772360.05,11954016138.37,10953227757.54,10843969304.82,10334601472.58,10750304505.82,11661667777.79,10065344094.22,9328050778.11,9168373617.88,7472308452.87,5264724973.39,4642050822.65,4437153789.53,3492950720.58,3176750783.92,2781318487.65,2521969235.77,2077262009.20,2009203576.52,1924788339.95,1691548714.61,1357205400.00,1234815839.29,1032094400.00,691961327.22,563809680.67,698047905.65,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,1807030595.19,1796450000.00,1749500000.00,1505450000.00,1386950000.00,891950000.00,888220000.00,925634195.00,800098490.00,803000000.00,715000000.00,415000000.00,115000000.00,0,240000000.00,240000000.00,30000000.00,30000000.00,45000000.00,0,0,0,36916800.00,0,0,19883900.00,20231720.64,0,2381740.20,915283.63,171688957.28,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,2210347624.40,2420691613.05,2481443451.83,2715912691.41,3178998681.38,3258981863.86,3292270635.00,3446241700.62,3626742870.09,0,3503745072.20,0,4068028443.19,0,2625295285.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,1110493462.08,1302824112.89,1305081650.75,0,2173106603.88,0,2083802695.56,2348636656.91,2551409975.31,3027688527.65,2820853923.59,2721051129.45,3382278144.22,2514952050.87,1937254794.03,1608848307.60,1710629015.60,1626978297.69,1066025156.33,940447331.83,648666773.83,564948487.86,550701731.53,532335982.83,434764108.87,231599200.00,177510065.40,193643179.84,36627275.76,56096352.00,39737258.94,0.0
52,应付账款,1099854162.32,1117867500.16,1176361801.08,0,1005892077.50,0,1208467939.44,1097605043.71,1075332894.78,1048722453.90,682891148.61,798975121.01,685750298.97,521803008.65,688040491.07,447224271.81,787078766.21,212082642.25,198230904.84,141466405.73,279562043.65,201529955.04,139633294.85,155840223.45,212018570.02,138983800.00,126827513.76,98079373.08,81238575.56,63991412.23,50546852.93,0.0
53,预收款项,383115028.22,466272497.85,344960197.29,240059959.22,240145583.62,120347446.19,150414406.85,125345121.47,149309812.40,216587281.14,207277908.31,228950424.03,177080606.21,48482172.43,49295865.11,245227284.62,58013506.08,37536561.73,70185376.36,128478187.95,66873536.51,38189937.14,36914443.69,38156169.37,35714849.66,31114600.00,26895450.34,22296158.58,25849314.07,24121140.48,11839836.55,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,25532462.96,12135621.03,17882293.22,23081471.25,18545555.29,12831646.76,12679004.86,18083704.93,19171542.05,9709355.99,8980137.22,7617795.07,12790485.07,9782861.73,9540231.61,8703606.99,15487192.04,10485328.88,10015485.49,9913025.16,15888265.42,6936664.97,5821968.66,5536377.93,10067352.13,6214300.00,5460711.17,7142295.40,5855775.63,4218104.62,2773194.63,0.0
56,应交税费,57975020.94,54886844.43,21988632.53,39188271.78,33674565.18,34572320.70,32146554.45,17258730.55,32109672.80,65704574.91,106886390.11,20595302.27,55582091.75,41360053.59,61971090.94,10893879.52,27557597.49,18808575.86,27441151.70,8244546.14,21638734.94,7353529.89,6123394.55,4678318.94,12942002.88,9399400.00,7529752.33,12342616.30,12115123.04,15382070.72,9899110.31,0.0
57,其他应付款(合计),415135799.62,523535139.73,387696221.03,670807638.17,432377920.51,430711539.71,591162230.20,680105119.26,976699975.38,0,294860270.32,0,196747366.51,0,98031177.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,4869559.77,4591095.03,4303158.85,3005541.29,0,2832400.62,6329456.59,2337051.69,7360242.72,11687854.19,3170375.01,2862958.34,2729396.84,3011083.34,762770.83,317166.67,0,0,0,0,0,0,0,0,0,0,0,0,25149.18,0,0.0
59,应付股利,877523.85,877523.85,529433.92,529433.92,529433.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33096500.00,0,0,0,0,0,0,0,3057812.02,0.0
60,其他应付款,414258275.77,0,382575692.08,0,428842945.30,430711539.71,588329829.58,673775662.67,974362923.69,1068331952.90,283172416.13,539271087.56,193884408.17,86632290.20,95020093.66,300187494.40,133983793.23,82268286.02,115318137.83,137445453.93,97112746.48,57961723.64,45616822.76,39367200.32,48299980.43,34145300.00,31902096.29,24476566.48,23777108.49,22998401.33,12273446.18,0.0
