,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,1124988637.77,1203103744.05,1128976737.92,1136386544.46,1076958740.25,963744492.43,860160002.12,944799260.26,987763911.59,908160165.03,833315795.66,991851354.10,807373339.89,819404645.98,837318092.50,813874643.66,806153459.62,810829791.29,848292325.21,766441080.53,731832243.10,718882282.75,719779385.39,771613551.45,800128286.01,1045006911.51,705984734.59,651190545.51,575428622.91,596898786.32,576377312.25,569789748.95,555810432.26,560891599.10,516124211.40,530859133.07,438802605.05,417720019.63,388718721.33,358210633.69,333364769.81,376005017.27,340693374.90,307795028.58,466427098.98,436459724.15,433282491.15,418124848.15,451630769.26,480784956.85,447723346.43,430191693.83,488681328.74,508382519.05,478520411.05,467219474.61,533286366.25,535773936.49,525832452.96,514237132.19,551472973.81,711963528.22,726306547.11,686734589.36,726073422.40,629352890.88,685180295.42,682815479.62,633341088.40,511422746.38,428349402.67,455183419.83,346305417.96,364797154.64,400209377.89,35517096.69,32805747.87,16849816.01,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,19468592.20,83253648.89,142253648.89,81253648.89,81253648.89,48065118.25,83065118.25,115065118.25,43065118.25,42150563.36,42150563.36,42150563.36,42150563.36,40000000.00,40000000.00,15000000.00,15000000.00,15000000.00,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31049600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,5801401.85,5821595.39,5840788.84,5840788.86,5928451.54,5928451.51,6028451.51,5928451.54,5985238.35,5985238.35,5985238.35,5985238.35,5956402.72,5956402.73,5956402.75,5956402.74,4750000.00,7260575.68,4090157.80,4888411.56,17452057.70,22976368.42,22192620.82,5000000.00,8789427.08,9874293.40,70165060.35,70165060.35,68899571.67,68899571.67,66641008.74,66641008.74,86192234.32,84121270.91,84121270.91,86186803.73,84710693.63,84706331.35,84706331.35,84706331.35,85943021.50,119695941.63,122212813.31,119451978.49,125275979.41,125356487.43,125014533.61,125014533.61,122672121.59,122672121.59,126090133.11,126090133.11,123092730.12,122505452.52,122030558.60,122069484.70,136355698.06,136455698.06,135546657.22,119963899.07,127244102.62,52225326.53,51693226.14,51732152.24,50213241.31,50252167.41,21191093.51,21230019.61,21516052.56,23454978.66,19565954.17,19596446.16,80242625.87,24795188.76,2575101.63,2626820.14,0,0,0.0
28,投资性房地产,71752381.75,72152156.05,72551930.35,72951704.65,73351478.98,73751253.31,74151562.00,74550801.97,75168271.12,75495945.16,75823619.20,76151293.24,75786828.84,75647806.86,76104409.89,76421990.94,68724559.05,69042140.10,69359721.15,69677302.20,70117170.90,70328891.60,70646472.65,70964053.70,71528659.64,71740380.34,72057961.39,72375542.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),49761292.78,48951185.46,46413437.11,42811432.55,41696674.49,40995191.21,40882976.71,39295054.21,0,42070807.21,46876426.47,42637596.74,0,50467613.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,48951185.46,0,42811432.55,41696674.49,40995191.21,40882976.71,39295054.21,35666095.11,42070807.21,46876426.47,42637596.74,50834204.02,50467613.02,48969927.40,47722774.40,64735875.96,59918071.96,58380205.74,55964101.36,52237222.26,65871342.78,57123153.50,49582879.09,56950378.47,52888788.66,46633343.71,41698143.09,44312815.23,31293956.49,28185049.57,31605703.36,23281832.02,16651102.73,13189046.46,11739527.79,9525249.89,8236469.77,6330528.24,6914860.91,7451430.40,6164694.98,5228774.24,4388660.24,10294343.42,9871017.77,9076577.64,8874345.44,14102241.72,15029882.53,17381468.86,16464730.79,32955003.57,31884892.97,29890114.15,27824675.40,51357172.33,56665344.71,53375326.88,48930562.72,51228445.49,53951131.22,50766591.36,46316556.52,78589211.31,66364052.64,42998579.10,40392520.62,33669332.51,31336485.72,29238448.91,23395091.41,22134083.23,13871170.76,16073223.93,13597461.23,10612528.18,4808982.79,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,69700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41400.00,41400.00,0,0,0,0,2810.00,2810.00,2810.00,2810.00,18030.00,18030.00,18030.00,18030.00,28457.00,2427.00,2427.00,2427.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),206891174.43,206831943.58,207633842.68,215036142.74,214663961.59,216838557.57,219474662.27,218577380.92,0,209699864.29,206101343.98,208736426.93,0,192775080.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
