,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32552.10,0,0,0,0.0
20,其他流动资产,17970575.21,21168016.26,20143135.69,24531295.43,23645995.70,25264420.64,88526530.97,91923132.60,46369913.44,146805475.30,189182414.76,128222204.32,177339857.93,18403207.92,94738800.72,227333117.87,261641503.31,288964990.79,293526861.62,292578426.05,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5539.20,0,0,0,0,0,0,0,0,32552.10,0,0,0,0.0
21,流动资产合计,1378125634.41,1388305862.54,1392995060.83,1385948947.14,1453461993.04,1476468180.18,1381938092.18,1332724851.04,1352175912.75,1320453823.12,1383516152.58,1331976622.14,1285756967.42,1318370002.59,1401917433.94,1333911571.46,1395706501.18,1436647940.10,1512281976.01,1643027622.59,1436431113.22,1528694914.80,1811759328.60,1363730011.09,1506667767.94,1356979406.65,1388851950.53,1360534265.62,1331541271.47,1374478678.18,1324052703.72,1254338546.20,1285833110.02,1332993363.82,1269533678.81,1232269103.63,1179579827.71,1228059136.43,1204589925.13,1176253662.59,1204270656.76,958243240.38,867363131.71,928529269.71,1053556061.28,1000242380.63,923107477.14,943526226.70,906756232.93,885796137.33,882771839.70,779310235.68,717186287.44,767692970.71,780822989.23,744524823.95,688795260.98,739405329.70,691893254.46,618970311.56,611569012.07,556913051.56,566484209.93,527101791.93,424770904.86,484886199.46,502224848.16,466168493.46,512466568.95,468330728.07,450027840.96,457032243.41,509961964.01,228965825.64,211356814.73,152326712.48,122770217.33,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,10679788.00,10679788.00,11679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,10679788.00,272955493.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273279600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,71363980.21,69866497.58,67965350.06,65503792.91,74364943.73,87937924.79,68813837.72,67951849.75,68295327.58,68746203.35,68876810.03,69045591.38,68934906.84,69403792.68,68282978.88,68276295.60,70221538.67,70550871.64,70735435.69,19869324.89,20878087.52,31681890.70,31114357.27,41220415.20,30880593.00,30880593.00,20880593.00,20880593.00,20880593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,13080593.00,14100805.00,14100805.00,14100805.00,14100805.00,14300805.00,4300805.00,4100805.00,4100805.00,6100805.00,6100805.00,7600805.00,-12208611.24,-12253785.39,-12298959.54,-10844133.70,-10889307.84,-10296180.11,-10349466.39,-9957528.42,-9965674.73,-11015690.60,-10016818.19,-8120491.69,-11734117.49,8975048.73,3827966.27,3029924.24,2548485.35,2098780.43,23969396.50,26445744.36,24894732.29,21360233.47,20291951.40,18392410.83,12916359.04,12434296.70,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),31055904.39,28506687.52,26269468.15,20501978.55,49192611.65,64420063.65,101072309.69,161314572.88,0,201873142.51,0,527601795.11,0,470501638.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
