,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
42,长期待摊费用,30171289.62,17321714.03,17906101.15,18435090.27,19119574.04,1183316.44,1391045.97,506219.35,517859.85,594210.45,649180.64,587285.59,0,791999.98,835999.99,8562.77,17125.70,0,0,42814.49,51377.42,85629.14,0,124999.96,0.0
43,递延所得税资产,15258610.18,12817790.91,12401980.19,11006548.27,9853267.74,9019238.50,9156692.85,8081186.34,7082924.78,6644313.45,7508460.31,6202661.72,5071272.08,4142961.50,3847012.29,5216182.83,4984414.83,4544826.54,4190782.47,3603052.62,3603657.43,2967283.05,1698120.67,850401.11,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,4928519.00,14901032.00,10728519.00,0,36000000.00,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,1948755306.76,1942094413.32,1912373925.28,1886215527.60,1866743269.80,1841901771.30,1824034174.11,1773883534.87,1711236005.96,1613429620.24,1497617023.87,1448687446.31,347415428.47,309426607.08,233457273.25,174021852.37,155299390.24,138662285.87,126621439.74,109428031.76,98017352.74,90601684.10,45255741.85,42342094.69,0.0
46,资产总计,3589661923.11,3175869664.38,3089377317.44,3033565452.67,3078548332.90,2883664611.76,2861690478.37,2756774455.96,2698990624.51,2529283539.01,2416537999.01,2447502702.70,1133125134.31,913376897.21,875208459.01,849726862.23,888451342.41,678125299.24,684611399.21,470998276.27,496210835.54,448492172.43,368084710.04,317372522.67,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,203165094.81,186000000.00,145500000.00,147500000.00,177500000.00,242500000.00,273000000.00,198000000.00,100000000.00,131300000.00,41300000.00,3000000.00,6000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,281196459.59,195253205.87,215440966.53,192952803.65,231590017.95,153748343.01,175834118.91,136151586.47,161413972.08,0,153889133.17,0,107773365.89,0,45624146.76,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,14967649.90,7908429.40,12921190.20,0,7249126.60,0,1620004.60,828656.00,1886791.00,2581640.70,3243284.80,2599334.80,300000.00,0,1160000.00,2775000.00,3794835.50,0,680000.00,3991188.00,7933988.00,1831524.00,5759756.00,6545265.50,0.0
52,应付账款,266228809.69,187344776.47,202519776.33,0,224340891.35,0,174214114.31,135322930.47,159527181.08,148508697.37,150645848.37,127409794.26,107473365.89,46150861.39,44464146.76,43149473.80,72912676.05,50638300.24,59707982.32,41129941.25,56711330.52,64435108.96,48337488.84,44558532.16,0.0
53,预收款项,158237094.77,125027508.27,115840635.55,130411245.38,151174479.72,106545120.22,97873713.61,117105478.28,172059602.87,119245323.33,148378592.56,124013493.94,97392653.30,41391781.29,43299085.46,46047390.68,54432052.16,22861486.99,28939692.61,46525345.51,37534311.44,26895398.80,27296520.34,14731844.71,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,48903358.81,12094296.04,14862968.97,13158041.82,45089388.06,20139956.49,18103743.43,17288476.83,50158388.89,25806992.89,23052036.26,17507799.81,15903816.90,1870329.32,1182741.25,1214969.65,9355169.64,960218.53,1220000.00,1200000.00,9973180.00,8263570.73,6049208.45,5960949.28,0.0
56,应交税费,80353343.21,52561092.42,45535776.57,49824879.74,45649502.65,29599697.34,30228440.11,29186355.17,42924691.75,22597939.30,19632698.53,10991853.56,20097172.23,15228934.69,13464628.75,10985385.00,16613089.26,12296490.29,12064923.73,7007469.24,16039521.56,20248015.36,6409272.47,15010044.69,0.0
57,其他应付款(合计),185679377.21,63126759.15,73740218.35,68372345.37,59760398.83,93929042.51,83326899.30,87666368.67,79972449.13,0,105666644.78,0,108258993.85,0,133594355.46,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,224750.00,208606.67,208732.33,263113.28,0,366442.22,285838.20,183333.33,1130642.33,55382.19,0,9045.62,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,4112.13,10357087.38,380001.60,380001.60,0,387370.40,0,0,42010.25,547399.66,309750.01,309750.01,310125.01,310125.01,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,185679377.21,0,63174524.30,0,59117283.95,93929042.51,82573086.68,87380530.47,79789115.80,133981058.17,105063862.93,117550632.59,107940198.22,130739271.70,133284230.45,107125979.49,110833135.35,6353961.98,8732176.24,5620010.93,6120529.81,7256303.68,5076905.35,7118814.25,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,957534728.40,634062861.75,610920565.97,602219315.96,710763787.21,646462159.57,678366915.36,585398265.42,606529104.72,585194304.34,491919105.30,403382658.97,355426002.17,235691303.40,237164957.68,211298198.62,267940957.96,93110458.03,111344774.90,105473954.93,134312861.33,128929921.53,98929151.45,93925450.59,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,6751050.92,7419009.10,6519009.10,6532988.19,9786967.28,9814925.46,10615925.46,10643883.64,20643883.64,21359800.00,21359800.00,21359800.00,21359800.00,25679800.00,25679800.00,25011800.00,21199800.00,20499800.00,20499800.00,18499800.00,17050000.00,12478000.00,8520000.00,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6778000.00,0.0
79,非流动负债合计,6751050.92,7419009.10,6519009.10,6532988.19,9786967.28,9814925.46,10615925.46,10643883.64,20643883.64,21359800.00,21359800.00,21359800.00,21359800.00,25679800.00,25679800.00,25011800.00,21199800.00,20499800.00,20499800.00,18499800.00,17050000.00,12478000.00,8520000.00,6778000.00,0.0
80,负债合计,964285779.32,641481870.85,617439575.07,608752304.15,720550754.49,656277085.03,688982840.82,596042149.06,627172988.36,606554104.34,513278905.30,424742458.97,376785802.17,261371103.40,262844757.68,236309998.62,289140757.96,113610258.03,131844574.90,123973754.93,151362861.33,141407921.53,107449151.45,100703450.59,0.0
81,所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,
82,实收资本(或股本),739751425.00,728559477.00,728312628.00,485536583.00,485456398.00,485456398.00,485603774.00,242801887.00,242801887.00,242949263.00,242949263.00,242949263.00,210996000.00,211003500.00,211003500.00,70067500.00,70067500.00,68000000.00,68000000.00,51000000.00,51000000.00,51000000.00,51000000.00,51000000.00,0.0
83,资本公积,990347545.13,963254433.82,961255307.88,1203537119.01,1200827298.56,1199255440.23,1198480819.45,1430551560.76,1499628425.90,1495527821.40,1489329606.19,1485854109.17,273735706.94,262065564.52,251186010.09,359048860.09,346872170.09,240954420.09,240954420.09,57414420.09,57414420.09,57034527.00,57034527.00,57118040.75,0.0
84,减：库存股,89937635.00,25183225.71,25183225.71,30481062.21,30481062.21,55010243.30,56353098.52,61964549.02,181364667.79,209105562.81,209105562.81,97747403.04,97747403.04,123684040.00,123684040.00,103747150.00,103747150.00,0,0,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,87677441.12,65775063.35,65775063.35,65681002.18,65681002.18,41516879.72,41516879.72,41516879.72,41516879.72,35711283.22,35711283.22,35711283.22,35711283.22,30247225.89,30247225.89,30247225.89,30247225.89,24939467.92,24939467.92,24939467.92,24939467.92,19884918.83,15127534.71,10257192.73,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,861894675.51,760275466.37,700345690.77,661699291.91,599584088.72,522893403.58,472211229.69,479502376.92,435329536.63,345266370.14,310564318.46,322923354.21,302173025.37,265075477.99,241537750.56,255651893.31,255143379.55,229953579.78,218148226.37,212993132.93,210769416.79,178447818.85,137473496.88,98293838.60,0.0
90,归属于母公司股东权益合计,2589733451.76,2492681214.83,2430505464.29,2385972933.89,2321067725.25,2194111878.23,2141459604.34,2132408155.38,2037912061.46,1910349174.95,1869448908.06,1989690606.56,724868612.49,644707728.40,610290446.54,611268329.29,598583125.53,563847467.79,552042114.38,346347020.94,344123304.80,306367264.68,260635558.59,216669072.08,0.0
91,少数股东权益,35642692.03,41706578.70,41432278.08,38840214.63,36929853.16,33275648.50,31248033.21,28324151.52,33905574.69,12380259.72,33810185.65,33069637.17,31470719.65,7298065.41,2073254.79,2148534.32,727458.92,667573.42,724709.93,677500.40,724669.41,716986.22,0,0,0.0
92,所有者权益(或股东权益)合计,2625376143.79,2534387793.53,2471937742.37,2424813148.52,2357997578.41,2227387526.73,2172707637.55,2160732306.90,2071817636.15,1922729434.67,1903259093.71,2022760243.73,756339332.14,652005793.81,612363701.33,613416863.61,599310584.45,564515041.21,552766824.31,347024521.34,344847974.21,307084250.90,260635558.59,216669072.08,0.0
93,负债和所有者权益(或股东权益)总计,3589661923.11,3175869664.38,3089377317.44,3033565452.67,3078548332.90,2883664611.76,2861690478.37,2756774455.96,2698990624.51,2529283539.01,2416537999.01,2447502702.70,1133125134.31,913376897.21,875208459.01,849726862.23,888451342.41,678125299.24,684611399.21,470998276.27,496210835.54,448492172.43,368084710.04,317372522.67,0.0
